	SM57-165		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-55.51	147.44	0.59
4.394531	-53.38	177.93	0.26
5.859375	-49.45	109.04	0.08
7.324219	-38.98	129.33	0.25
8.789063	-31.60	139.29	0.62
10.253906	-24.02	75.50	0.42
11.718750	-28.17	-161.92	0.46
13.183594	-21.08	-87.44	0.29
14.648438	-25.56	1.28	0.29
16.113281	-28.43	159.75	0.42
17.578125	-22.83	162.08	0.67
19.042969	-20.85	-163.91	0.35
20.507813	-27.08	116.55	0.58
21.972656	-25.76	-136.42	0.38
23.437500	-17.53	-99.55	0.39
24.902344	-20.01	139.77	0.31
26.367188	-14.18	-75.06	0.38
27.832031	-22.26	-130.56	0.93
29.296875	-15.24	-90.36	0.46
30.761719	-20.66	-128.50	0.51
32.226563	-15.46	-147.35	0.34
33.691406	-12.50	-153.86	0.50
35.156250	-6.55	-58.42	0.23
36.621094	-3.09	-52.87	0.12
38.085938	0.20	-149.55	0.25
39.550781	1.96	-132.93	0.31
41.015625	2.69	-148.94	0.50
42.480469	4.45	-162.76	0.56
43.945313	5.57	-174.68	0.71
45.410156	6.28	-178.75	0.35
46.875000	5.93	124.99	0.47
48.339844	5.37	95.90	0.35
49.804688	4.90	108.68	0.31
51.269531	4.63	109.62	0.25
52.734375	3.88	119.45	0.16
54.199219	3.89	116.44	0.54
55.664063	4.18	110.89	0.53
57.128906	4.62	122.98	0.25
58.593750	4.71	127.81	0.46
60.058594	3.93	28.38	0.35
61.523438	3.02	-5.31	0.46
62.988281	2.01	-10.06	0.35
64.453125	1.71	16.91	0.75
65.917969	1.96	-162.58	0.45
67.382813	2.72	179.38	0.09
68.847656	3.85	172.56	0.21
70.312500	5.71	172.39	0.20
71.777344	8.46	172.29	0.26
73.242188	9.53	-177.97	0.42
74.707031	8.61	-165.15	0.11
76.171875	6.83	-157.63	0.19
77.636719	5.56	-154.15	0.25
79.101563	4.76	-154.72	0.37
80.566406	3.77	-149.62	0.20
82.031250	2.40	-132.93	0.39
83.496094	1.14	-131.43	0.49
84.960938	0.29	-139.04	0.10
86.425781	-0.25	-148.17	0.05
87.890625	-0.15	-152.50	0.11
89.355469	0.03	-160.83	0.10
90.820313	0.30	-158.03	0.40
92.285156	0.58	-157.91	0.38
93.750000	0.65	164.97	0.22
95.214844	0.27	159.46	0.40
96.679688	-0.61	151.49	0.19
98.144531	-2.15	146.81	0.28
99.609375	-3.94	144.13	0.11
101.074219	-5.50	142.68	0.55
102.539063	-6.41	136.49	0.33
104.003906	-6.84	108.44	0.27
105.468750	-7.00	64.99	0.39
106.933594	-6.91	43.53	0.13
108.398438	-6.72	35.16	0.53
109.863281	-6.47	25.90	0.69
111.328125	-5.84	13.91	0.40
112.792969	-5.18	4.56	0.23
114.257813	-4.71	2.41	0.09
115.722656	-4.40	1.21	0.24
117.187500	-4.09	-7.13	0.41
118.652344	-3.76	-17.43	0.56
120.117188	-3.69	-33.89	0.69
121.582031	-3.78	-58.04	0.34
123.046875	-3.86	-95.02	0.62
124.511719	-3.98	-129.47	0.69
125.976563	-4.20	-157.04	0.80
127.441406	-4.60	-175.58	0.83
128.906250	-5.27	167.07	0.62
130.371094	-6.13	156.69	0.51
131.835938	-7.02	150.34	0.56
133.300781	-7.66	143.68	0.72
134.765625	-8.19	137.34	0.63
136.230469	-8.60	128.22	0.78
137.695313	-8.88	122.40	0.74
139.160156	-9.08	122.69	0.27
140.625000	-9.18	128.69	0.24
142.089844	-9.33	125.59	0.48
143.554688	-9.44	109.59	0.25
145.019531	-9.48	-33.85	0.42
146.484375	-9.36	-50.29	0.50
147.949219	-9.14	-57.21	0.32
149.414063	-8.93	-62.57	0.42
150.878906	-8.90	-55.52	0.12
152.343750	-8.91	-45.22	0.05
153.808594	-8.90	-40.18	0.15
155.273438	-8.77	-35.02	0.13
156.738281	-8.58	-30.97	0.63
158.203125	-8.38	-34.68	0.75
159.667969	-8.20	-44.91	0.62
161.132813	-7.99	-55.46	0.59
162.597656	-7.83	-64.91	0.60
164.062500	-7.72	-72.37	0.80
165.527344	-7.66	-76.68	0.66
166.992188	-7.64	-80.24	0.68
168.457031	-7.68	-83.83	0.59
169.921875	-7.80	-87.40	0.37
171.386719	-8.04	-88.91	0.53
172.851563	-8.24	-88.76	0.23
174.316406	-8.43	-86.07	0.28
175.781250	-8.59	-85.11	0.32
177.246094	-8.75	-85.65	0.14
178.710938	-8.81	-86.97	0.34
180.175781	-8.79	-87.27	0.63
181.640625	-8.66	-88.51	0.79
183.105469	-8.50	-92.04	0.88
184.570313	-8.35	-99.33	0.86
186.035156	-8.25	-110.63	0.78
187.500000	-8.25	-124.01	0.89
188.964844	-8.41	-135.42	0.82
190.429688	-8.68	-144.18	0.75
191.894531	-9.02	-149.98	0.76
193.359375	-9.40	-154.25	0.59
194.824219	-9.77	-157.60	0.39
196.289063	-10.12	-160.29	0.32
197.753906	-10.35	-163.38	0.72
199.218750	-10.53	-167.04	0.77
200.683594	-10.76	-171.99	0.75
202.148438	-11.02	-175.94	0.91
203.613281	-11.30	-177.94	0.77
205.078125	-11.56	-178.80	0.24
206.542969	-11.80	179.62	0.06
208.007813	-12.01	178.02	0.12
209.472656	-12.15	176.29	0.46
210.937500	-12.18	174.58	0.51
212.402344	-12.15	171.97	0.74
213.867188	-12.13	168.36	0.83
215.332031	-12.14	163.78	0.84
216.796875	-12.19	159.38	0.90
218.261719	-12.28	155.39	0.86
219.726563	-12.42	150.85	0.81
221.191406	-12.59	144.35	0.78
222.656250	-12.76	137.17	0.70
224.121094	-12.95	128.74	0.72
225.585938	-13.14	119.91	0.69
227.050781	-13.30	110.44	0.80
228.515625	-13.41	100.06	0.82
229.980469	-13.51	89.28	0.76
231.445313	-13.56	77.87	0.74
232.910156	-13.60	65.29	0.64
234.375000	-13.57	52.66	0.54
235.839844	-13.51	40.97	0.45
237.304688	-13.35	29.91	0.14
238.769531	-13.14	20.89	0.39
240.234375	-12.92	14.31	0.73
241.699219	-12.66	8.33	0.64
243.164063	-12.32	2.45	0.50
244.628906	-11.94	-2.15	0.71
246.093750	-11.56	-5.92	0.78
247.558594	-11.16	-9.19	0.39
249.023438	-10.76	-14.24	0.40
250.488281	-10.33	-21.03	0.55
251.953125	-9.92	-27.16	0.75
253.417969	-9.52	-34.00	0.77
254.882813	-9.14	-41.88	0.65
256.347656	-8.76	-48.61	0.51
257.812500	-8.42	-56.05	0.55
259.277344	-8.11	-61.65	0.40
260.742188	-7.79	-67.15	0.54
262.207031	-7.52	-69.38	0.59
263.671875	-7.32	-72.14	0.28
265.136719	-7.16	-73.18	0.37
266.601563	-7.01	-73.10	0.43
268.066406	-6.88	-74.02	0.43
269.531250	-6.73	-73.96	0.27
270.996094	-6.57	-72.93	0.47
272.460938	-6.40	-68.59	0.51
273.925781	-6.24	-63.52	0.34
275.390625	-6.07	-56.78	0.34
276.855469	-5.87	-49.59	0.20
278.320313	-5.66	-43.79	0.48
279.785156	-5.46	-38.86	0.54
281.250000	-5.24	-32.86	0.60
282.714844	-5.02	-26.11	0.13
284.179688	-4.79	-21.67	0.35
285.644531	-4.55	-19.04	0.17
287.109375	-4.31	-16.72	0.52
288.574219	-4.07	-14.96	0.71
290.039063	-3.84	-14.12	0.65
291.503906	-3.61	-13.47	0.51
292.968750	-3.43	-10.09	0.75
294.433594	-3.29	-4.79	0.81
295.898438	-3.19	4.22	0.84
297.363281	-3.18	22.41	0.70
298.828125	-3.24	47.38	0.56
300.292969	-3.36	60.60	0.73
301.757813	-3.55	66.07	0.83
303.222656	-3.82	68.97	0.88
304.687500	-4.14	69.99	0.90
306.152344	-4.49	70.65	0.93
307.617188	-4.87	71.29	0.94
309.082031	-5.27	71.95	0.92
310.546875	-5.65	72.45	0.86
312.011719	-6.04	72.96	0.85
313.476563	-6.41	73.59	0.94
314.941406	-6.76	74.56	0.79
316.406250	-7.06	75.95	0.79
317.871094	-7.30	77.70	0.66
319.335938	-7.49	80.04	0.82
320.800781	-7.67	82.96	0.81
322.265625	-7.83	85.68	0.74
323.730469	-7.98	87.62	0.81
325.195313	-8.12	88.76	0.67
326.660156	-8.28	88.99	0.76
328.125000	-8.43	88.56	0.77
329.589844	-8.59	87.42	0.85
331.054688	-8.75	85.70	0.96
332.519531	-8.90	83.54	0.94
333.984375	-9.05	81.06	0.96
335.449219	-9.20	78.41	0.94
336.914063	-9.34	75.61	0.90
338.378906	-9.49	72.78	0.94
339.843750	-9.63	69.96	0.94
341.308594	-9.76	67.10	0.94
342.773438	-9.90	64.25	0.93
344.238281	-10.04	61.38	0.92
345.703125	-10.18	58.46	0.84
347.167969	-10.31	55.59	0.84
348.632813	-10.44	52.87	0.87
350.097656	-10.56	50.24	0.92
351.562500	-10.68	47.59	0.86
353.027344	-10.79	45.05	0.82
354.492188	-10.90	42.81	0.79
355.957031	-10.99	40.82	0.77
357.421875	-11.07	39.10	0.44
358.886719	-11.14	37.74	0.44
360.351563	-11.19	36.57	0.56
361.816406	-11.24	35.95	0.65
363.281250	-11.29	35.96	0.63
364.746094	-11.32	35.78	0.42
366.210938	-11.37	35.01	0.33
367.675781	-11.46	33.64	0.09
369.140625	-11.57	31.99	0.45
370.605469	-11.67	30.21	0.62
372.070313	-11.76	28.02	0.78
373.535156	-11.83	25.68	0.84
375.000000	-11.88	23.12	0.54
376.464844	-11.90	20.76	0.60
377.929688	-11.90	18.22	0.72
379.394531	-11.88	15.50	0.54
380.859375	-11.82	12.83	0.37
382.324219	-11.75	10.24	0.54
383.789063	-11.67	7.90	0.61
385.253906	-11.58	5.20	0.76
386.718750	-11.50	2.16	0.59
388.183594	-11.41	-1.05	0.55
389.648438	-11.33	-4.39	0.58
391.113281	-11.24	-7.64	0.74
392.578125	-11.16	-10.87	0.87
394.042969	-11.09	-13.98	0.70
395.507813	-11.02	-16.97	0.67
396.972656	-10.95	-19.78	0.72
398.437500	-10.89	-22.48	0.80
