	SM57-85		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-59.69	120.45	0.38
4.394531	-59.71	133.57	0.53
5.859375	-55.22	146.11	0.88
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	-17.52	70.24	1.00
11.718750	-33.09	10.43	0.42
13.183594	-35.48	-163.60	0.82
14.648438	-26.85	5.45	0.35
16.113281	-32.53	154.33	0.57
17.578125	-29.82	166.34	0.90
19.042969	-29.68	170.42	0.88
20.507813	-23.54	-161.77	0.83
21.972656	-17.23	-60.00	0.34
23.437500	-22.40	167.63	0.89
24.902344	-13.98	110.56	0.42
26.367188	-16.96	130.55	0.99
27.832031	1234.57	45.00	1.00
29.296875	-13.41	127.26	0.46
30.761719	-18.13	105.02	0.98
32.226563	-12.76	70.64	0.51
33.691406	-12.27	128.49	0.58
35.156250	-16.81	144.30	0.72
36.621094	-18.13	168.88	0.55
38.085938	-17.12	140.96	0.46
39.550781	-15.05	122.81	0.34
41.015625	-13.02	112.88	0.46
42.480469	-12.12	97.53	0.35
43.945313	-11.72	104.03	0.04
45.410156	-11.84	91.06	0.34
46.875000	-11.15	-169.67	0.22
48.339844	-11.18	-176.12	0.48
49.804688	-10.33	154.27	0.62
51.269531	-9.22	115.20	0.57
52.734375	-7.38	87.45	0.66
54.199219	-5.72	75.15	0.74
55.664063	-4.62	78.74	0.31
57.128906	-4.41	98.78	0.41
58.593750	-5.23	111.31	0.50
60.058594	-6.39	119.29	0.70
61.523438	-6.81	118.15	0.67
62.988281	-7.14	107.83	0.48
64.453125	-6.56	110.46	0.65
65.917969	-5.95	93.64	0.65
67.382813	-4.98	-56.40	0.26
68.847656	-3.84	-51.09	0.22
70.312500	-2.37	-52.32	0.27
71.777344	0.33	-49.68	0.24
73.242188	1.01	-38.99	0.57
74.707031	-0.10	-29.43	0.23
76.171875	-2.67	-17.95	0.49
77.636719	-4.42	2.19	0.82
79.101563	-5.55	28.89	0.70
80.566406	-6.41	53.12	0.89
82.031250	-7.11	73.95	0.84
83.496094	-7.45	88.05	0.79
84.960938	-7.60	94.40	0.77
86.425781	-7.27	99.47	0.90
87.890625	-7.21	100.75	0.77
89.355469	-7.49	99.80	0.72
90.820313	-7.55	98.32	0.89
92.285156	-7.55	93.98	0.90
93.750000	-7.27	89.06	0.88
95.214844	-6.90	84.00	0.91
96.679688	-6.75	79.16	0.80
98.144531	-6.51	77.18	0.94
99.609375	-6.27	75.47	0.98
101.074219	-6.02	73.62	0.97
102.539063	-5.79	71.46	0.94
104.003906	-5.48	69.40	0.96
105.468750	-5.13	67.92	0.91
106.933594	-4.72	66.37	0.63
108.398438	-4.27	64.94	0.63
109.863281	-3.91	63.90	0.61
111.328125	-3.50	63.55	0.41
112.792969	-2.98	64.64	0.17
114.257813	-2.54	70.05	0.46
115.722656	-2.23	72.28	0.27
117.187500	-1.98	72.10	0.48
118.652344	-1.78	70.45	0.90
120.117188	-1.64	67.72	0.96
121.582031	-1.60	64.11	0.96
123.046875	-1.64	60.78	0.98
124.511719	-1.69	57.88	0.95
125.976563	-1.77	55.87	0.97
127.441406	-1.95	53.21	0.96
128.906250	-2.20	49.87	0.96
130.371094	-2.46	47.07	0.95
131.835938	-2.74	44.82	0.99
133.300781	-3.03	43.73	0.99
134.765625	-3.29	43.26	0.99
136.230469	-3.48	42.91	0.99
137.695313	-3.59	42.56	0.94
139.160156	-3.70	42.13	0.79
140.625000	-3.80	41.93	0.41
142.089844	-3.94	41.78	0.84
143.554688	-4.01	41.47	0.90
145.019531	-4.03	41.23	0.91
146.484375	-4.08	41.77	0.86
147.949219	-4.15	42.07	0.82
149.414063	-4.21	42.30	0.92
150.878906	-4.29	42.49	0.88
152.343750	-4.42	42.31	0.78
153.808594	-4.53	42.16	0.87
155.273438	-4.64	41.90	0.97
156.738281	-4.73	41.74	0.95
158.203125	-4.78	41.81	0.94
159.667969	-4.77	41.55	0.94
161.132813	-4.76	40.83	0.98
162.597656	-4.72	40.08	0.98
164.062500	-4.66	39.28	0.90
165.527344	-4.63	38.96	0.83
166.992188	-4.57	38.37	0.96
168.457031	-4.46	37.06	0.81
169.921875	-4.43	35.28	0.80
171.386719	-4.46	34.48	0.94
172.851563	-4.49	33.58	0.96
174.316406	-4.53	33.04	0.96
175.781250	-4.60	32.28	0.96
177.246094	-4.70	31.32	0.91
178.710938	-4.85	30.69	0.95
180.175781	-4.97	30.30	0.94
181.640625	-5.10	29.84	0.92
183.105469	-5.21	29.54	0.96
184.570313	-5.32	29.25	0.90
186.035156	-5.35	28.81	0.82
187.500000	-5.40	28.03	0.96
188.964844	-5.48	27.39	0.97
190.429688	-5.58	26.66	0.98
191.894531	-5.73	26.20	0.97
193.359375	-5.92	25.92	0.96
194.824219	-6.13	26.17	0.95
196.289063	-6.36	27.04	0.83
197.753906	-6.56	27.72	0.83
199.218750	-6.73	28.16	0.94
200.683594	-6.91	28.62	0.95
202.148438	-7.10	28.90	0.97
203.613281	-7.29	29.16	0.97
205.078125	-7.45	29.55	0.97
206.542969	-7.62	29.97	0.97
208.007813	-7.80	30.72	0.90
209.472656	-7.98	31.78	0.90
210.937500	-8.13	32.83	0.95
212.402344	-8.26	33.84	0.96
213.867188	-8.41	34.77	0.94
215.332031	-8.53	35.89	0.88
216.796875	-8.63	37.30	0.93
218.261719	-8.65	38.96	0.79
219.726563	-8.65	40.64	0.94
221.191406	-8.67	41.86	0.92
222.656250	-8.69	42.66	0.93
224.121094	-8.70	43.39	0.90
225.585938	-8.67	44.06	0.91
227.050781	-8.63	44.91	0.97
228.515625	-8.56	45.74	0.99
229.980469	-8.47	46.70	0.98
231.445313	-8.38	47.73	0.98
232.910156	-8.27	48.74	0.97
234.375000	-8.13	49.89	0.91
235.839844	-7.97	50.81	0.85
237.304688	-7.74	51.53	0.93
238.769531	-7.52	51.71	0.98
240.234375	-7.32	51.64	0.97
241.699219	-7.11	51.45	0.98
243.164063	-6.87	51.27	0.96
244.628906	-6.62	51.19	0.94
246.093750	-6.35	51.00	0.98
247.558594	-6.06	50.69	0.99
249.023438	-5.79	50.15	0.96
250.488281	-5.53	49.34	0.95
251.953125	-5.30	48.49	0.96
253.417969	-5.06	47.58	0.86
254.882813	-4.85	46.84	0.56
256.347656	-4.64	46.16	0.59
257.812500	-4.45	45.33	0.96
259.277344	-4.30	44.41	0.97
260.742188	-4.18	43.56	0.86
262.207031	-4.10	42.87	0.93
263.671875	-4.03	42.37	0.95
265.136719	-3.98	42.06	0.96
266.601563	-3.94	41.82	0.91
268.066406	-3.89	41.71	0.75
269.531250	-3.83	41.36	0.82
270.996094	-3.77	40.75	0.77
272.460938	-3.71	40.04	0.89
273.925781	-3.65	39.42	0.89
275.390625	-3.58	38.78	0.87
276.855469	-3.49	38.09	0.92
278.320313	-3.40	37.24	0.98
279.785156	-3.33	36.35	0.98
281.250000	-3.27	35.50	0.97
282.714844	-3.24	34.50	0.97
284.179688	-3.21	33.43	0.95
285.644531	-3.18	32.21	0.97
287.109375	-3.16	30.84	0.92
288.574219	-3.16	29.35	0.97
290.039063	-3.16	27.80	0.98
291.503906	-3.17	26.22	0.95
292.968750	-3.19	24.66	0.96
294.433594	-3.22	23.01	0.98
295.898438	-3.28	21.19	0.94
297.363281	-3.40	19.42	0.97
298.828125	-3.55	17.97	0.98
300.292969	-3.71	16.72	0.99
301.757813	-3.89	15.74	0.99
303.222656	-4.07	14.94	0.98
304.687500	-4.27	14.30	0.96
306.152344	-4.45	13.79	0.98
307.617188	-4.62	13.40	0.99
309.082031	-4.77	13.04	0.99
310.546875	-4.92	12.74	1.00
312.011719	-5.07	12.48	1.00
313.476563	-5.20	12.28	1.00
314.941406	-5.33	12.14	1.00
316.406250	-5.45	12.02	1.00
317.871094	-5.57	11.92	0.99
319.335938	-5.69	11.87	1.00
320.800781	-5.80	11.89	0.99
322.265625	-5.91	11.93	1.00
323.730469	-6.02	12.00	1.00
325.195313	-6.12	12.12	0.97
326.660156	-6.23	12.24	0.98
328.125000	-6.33	12.44	0.99
329.589844	-6.42	12.62	0.99
331.054688	-6.50	12.78	1.00
332.519531	-6.57	12.90	0.99
333.984375	-6.65	12.99	1.00
335.449219	-6.73	13.09	0.99
336.914063	-6.81	13.25	0.99
338.378906	-6.88	13.44	1.00
339.843750	-6.95	13.67	1.00
341.308594	-7.01	13.95	0.99
342.773438	-7.06	14.24	0.99
344.238281	-7.10	14.54	0.94
345.703125	-7.12	14.84	0.96
347.167969	-7.14	15.11	0.98
348.632813	-7.15	15.39	0.99
350.097656	-7.17	15.67	0.98
351.562500	-7.18	15.92	0.97
353.027344	-7.19	16.09	0.97
354.492188	-7.20	16.17	0.97
355.957031	-7.23	16.17	0.96
357.421875	-7.26	16.18	0.99
358.886719	-7.31	16.20	0.96
360.351563	-7.36	16.22	0.94
361.816406	-7.43	16.20	0.97
363.281250	-7.51	16.23	0.99
364.746094	-7.59	16.35	0.95
366.210938	-7.68	16.60	0.70
367.675781	-7.77	16.99	0.78
369.140625	-7.86	17.60	0.92
370.605469	-7.94	18.33	0.95
372.070313	-8.02	19.12	0.98
373.535156	-8.09	19.97	0.97
375.000000	-8.15	20.92	0.93
376.464844	-8.19	21.88	0.92
377.929688	-8.23	22.92	0.90
379.394531	-8.24	23.98	0.92
380.859375	-8.24	24.96	0.93
382.324219	-8.22	25.94	0.97
383.789063	-8.20	26.90	0.91
385.253906	-8.16	27.88	0.96
386.718750	-8.11	28.86	0.96
388.183594	-8.04	29.82	0.94
389.648438	-7.97	30.69	0.97
391.113281	-7.90	31.49	0.99
392.578125	-7.82	32.19	0.95
394.042969	-7.74	32.80	0.91
395.507813	-7.65	33.30	0.95
396.972656	-7.57	33.72	0.97
398.437500	-7.49	34.05	0.97
399.902344	-7.40	34.29	0.97
401.367188	-7.31	34.43	0.98
402.832031	-7.23	34.47	0.99
404.296875	-7.15	34.45	0.98
