	SM57-10		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-55.16	131.53	0.51
4.394531	-58.70	99.43	0.78
5.859375	-55.04	119.69	0.79
7.324219	-39.36	11.62	0.59
8.789063	-41.00	111.16	0.99
10.253906	1234.57	45.00	1.00
11.718750	-33.43	9.67	0.47
13.183594	-31.15	144.36	0.64
14.648438	-26.51	7.11	0.35
16.113281	-31.24	136.57	0.96
17.578125	-33.03	149.84	0.96
19.042969	-30.60	174.79	0.85
20.507813	-28.83	168.17	0.91
21.972656	-24.31	-173.88	0.69
23.437500	-8.66	165.11	0.31
24.902344	-16.90	-151.49	0.32
26.367188	-17.07	132.78	0.99
27.832031	1234.57	45.00	1.00
29.296875	-17.17	110.51	0.98
30.761719	-14.40	98.71	0.67
32.226563	-10.26	151.87	0.25
33.691406	-11.01	133.89	0.83
35.156250	-11.38	118.46	0.82
36.621094	-10.26	104.00	0.66
38.085938	-10.79	88.34	0.60
39.550781	-11.67	76.69	0.62
41.015625	-10.91	104.75	0.14
42.480469	-9.67	131.56	0.65
43.945313	-7.33	152.28	0.53
45.410156	-6.71	139.91	0.33
46.875000	-6.02	99.23	0.61
48.339844	-6.12	101.61	0.73
49.804688	-6.77	108.33	0.84
51.269531	-7.19	125.13	0.76
52.734375	-7.19	137.68	0.74
54.199219	-6.10	145.11	0.63
55.664063	-4.56	129.32	0.22
57.128906	-4.33	119.01	0.23
58.593750	-3.51	105.95	0.45
60.058594	-3.98	100.23	0.57
61.523438	-4.27	84.19	0.90
62.988281	-4.34	66.09	0.78
64.453125	-4.56	55.65	0.64
65.917969	-4.39	48.87	0.37
67.382813	-3.44	51.49	0.61
68.847656	-2.50	52.27	0.94
70.312500	-1.53	44.29	0.89
71.777344	0.20	36.22	0.51
73.242188	0.27	46.35	0.13
74.707031	-1.16	62.61	0.39
76.171875	-2.81	74.18	0.90
77.636719	-3.80	78.68	0.89
79.101563	-3.99	82.51	0.83
80.566406	-4.20	83.39	0.90
82.031250	-4.77	86.64	0.88
83.496094	-5.17	87.10	0.91
84.960938	-5.47	89.32	0.97
86.425781	-5.47	91.34	0.94
87.890625	-5.17	93.12	0.96
89.355469	-4.71	95.38	0.97
90.820313	-4.13	97.10	0.93
92.285156	-3.73	97.68	0.93
93.750000	-3.48	97.16	0.91
95.214844	-2.79	95.96	0.90
96.679688	-2.26	95.27	0.93
98.144531	-1.99	95.42	0.74
99.609375	-1.76	92.33	0.91
101.074219	-1.63	88.31	0.98
102.539063	-1.46	83.97	0.96
104.003906	-1.30	80.49	0.97
105.468750	-1.19	79.15	0.99
106.933594	-0.96	79.24	0.94
108.398438	-0.61	79.24	0.95
109.863281	-0.44	79.23	0.95
111.328125	-0.34	79.18	0.86
112.792969	-0.12	79.59	0.80
114.257813	0.49	79.95	0.87
115.722656	0.86	80.29	0.94
117.187500	1.02	80.00	0.86
118.652344	1.31	78.38	0.91
120.117188	1.43	75.63	0.86
121.582031	1.41	71.84	0.93
123.046875	1.50	67.72	0.94
124.511719	1.46	63.16	0.96
125.976563	1.26	59.51	0.95
127.441406	1.08	56.20	0.96
128.906250	0.80	53.31	0.97
130.371094	0.52	51.34	0.99
131.835938	0.28	50.07	0.99
133.300781	0.10	49.41	0.99
134.765625	-0.04	49.05	0.99
136.230469	-0.14	48.89	0.99
137.695313	-0.20	48.88	0.99
139.160156	-0.22	48.63	0.96
140.625000	-0.24	48.02	0.94
142.089844	-0.45	47.22	0.91
143.554688	-0.64	46.54	0.99
145.019531	-0.81	46.15	0.99
146.484375	-0.92	45.63	0.99
147.949219	-0.97	44.85	0.97
149.414063	-1.01	44.38	0.95
150.878906	-1.08	44.67	0.96
152.343750	-1.13	44.74	0.96
153.808594	-1.09	44.64	0.99
155.273438	-1.13	44.41	0.99
156.738281	-1.20	44.00	0.98
158.203125	-1.19	43.67	0.98
159.667969	-1.13	43.51	0.96
161.132813	-0.93	43.28	0.91
162.597656	-0.67	42.92	0.98
164.062500	-0.48	42.23	0.98
165.527344	-0.34	41.26	0.93
166.992188	-0.21	40.17	0.89
168.457031	-0.07	38.56	0.92
169.921875	0.10	36.79	0.97
171.386719	0.21	35.23	0.99
172.851563	0.24	34.15	0.98
174.316406	0.25	33.35	0.99
175.781250	0.26	32.80	0.97
177.246094	0.24	32.38	0.99
178.710938	0.17	32.05	0.98
180.175781	0.12	31.83	0.99
181.640625	0.09	31.70	0.99
183.105469	0.08	31.66	0.96
184.570313	0.10	31.42	0.99
186.035156	0.12	30.58	0.97
187.500000	0.12	29.15	0.97
188.964844	0.06	27.90	0.98
190.429688	-0.03	27.06	0.99
191.894531	-0.15	26.62	0.99
193.359375	-0.30	26.39	0.98
194.824219	-0.42	26.22	0.99
196.289063	-0.53	26.12	1.00
197.753906	-0.62	26.02	1.00
199.218750	-0.70	25.90	0.99
200.683594	-0.76	25.92	0.99
202.148438	-0.82	26.09	0.99
203.613281	-0.87	26.30	0.99
205.078125	-0.89	26.52	0.99
206.542969	-0.91	26.66	1.00
208.007813	-0.91	26.78	1.00
209.472656	-0.92	26.75	1.00
210.937500	-0.93	26.57	1.00
212.402344	-0.94	26.23	1.00
213.867188	-0.97	25.81	1.00
215.332031	-1.01	25.43	0.99
216.796875	-1.08	25.15	1.00
218.261719	-1.16	25.06	0.98
219.726563	-1.26	25.10	0.98
221.191406	-1.37	25.42	0.99
222.656250	-1.47	25.92	0.99
224.121094	-1.55	26.64	0.99
225.585938	-1.62	27.30	1.00
227.050781	-1.68	27.94	1.00
228.515625	-1.72	28.57	1.00
229.980469	-1.75	29.23	0.99
231.445313	-1.75	29.89	1.00
232.910156	-1.73	30.52	1.00
234.375000	-1.70	31.09	0.99
235.839844	-1.67	31.62	1.00
237.304688	-1.63	32.15	1.00
238.769531	-1.59	32.66	1.00
240.234375	-1.54	33.20	1.00
241.699219	-1.49	33.78	1.00
243.164063	-1.45	34.39	1.00
244.628906	-1.40	34.97	1.00
246.093750	-1.33	35.47	1.00
247.558594	-1.25	35.89	0.97
249.023438	-1.17	36.20	0.98
250.488281	-1.05	36.38	0.96
251.953125	-0.94	36.22	0.96
253.417969	-0.83	35.88	0.96
254.882813	-0.72	35.46	0.99
256.347656	-0.59	34.95	0.99
257.812500	-0.49	34.35	0.98
259.277344	-0.42	33.64	0.98
260.742188	-0.37	33.09	0.97
262.207031	-0.35	32.68	0.97
263.671875	-0.34	32.35	0.99
265.136719	-0.34	32.02	0.98
266.601563	-0.34	31.74	0.99
268.066406	-0.33	31.56	0.99
269.531250	-0.31	31.45	0.96
270.996094	-0.29	31.39	0.97
272.460938	-0.27	31.50	0.95
273.925781	-0.25	31.52	0.99
275.390625	-0.24	31.50	0.99
276.855469	-0.22	31.49	1.00
278.320313	-0.20	31.45	0.98
279.785156	-0.18	31.38	0.94
281.250000	-0.16	31.29	0.84
282.714844	-0.14	30.95	0.94
284.179688	-0.10	30.59	0.97
285.644531	-0.05	30.18	0.94
287.109375	-0.01	29.63	0.97
288.574219	0.04	28.91	0.99
290.039063	0.08	27.97	0.99
291.503906	0.09	26.92	0.98
292.968750	0.09	25.77	0.98
294.433594	0.06	24.35	0.96
295.898438	0.01	22.90	0.93
297.363281	-0.06	21.56	0.97
298.828125	-0.14	20.37	0.97
300.292969	-0.25	19.27	0.99
301.757813	-0.38	18.17	0.94
303.222656	-0.54	17.18	0.93
304.687500	-0.69	16.45	0.98
306.152344	-0.84	15.94	0.98
307.617188	-0.97	15.64	0.96
309.082031	-1.08	15.48	0.98
310.546875	-1.20	15.42	0.99
312.011719	-1.30	15.49	0.99
313.476563	-1.40	15.67	0.99
314.941406	-1.48	15.91	1.00
316.406250	-1.55	16.20	1.00
317.871094	-1.61	16.51	1.00
319.335938	-1.66	16.85	1.00
320.800781	-1.70	17.20	1.00
322.265625	-1.74	17.52	1.00
323.730469	-1.77	17.83	1.00
325.195313	-1.79	18.16	1.00
326.660156	-1.80	18.49	1.00
328.125000	-1.81	18.82	1.00
329.589844	-1.81	19.13	1.00
331.054688	-1.81	19.40	1.00
332.519531	-1.80	19.63	1.00
333.984375	-1.79	19.81	1.00
335.449219	-1.78	19.95	1.00
336.914063	-1.78	20.06	0.99
338.378906	-1.77	20.13	0.99
339.843750	-1.76	20.16	0.98
341.308594	-1.75	20.17	0.99
342.773438	-1.74	20.22	0.98
344.238281	-1.74	20.29	1.00
345.703125	-1.73	20.38	1.00
347.167969	-1.72	20.48	1.00
348.632813	-1.71	20.58	1.00
350.097656	-1.69	20.68	1.00
351.562500	-1.68	20.77	1.00
353.027344	-1.66	20.84	1.00
354.492188	-1.63	20.90	1.00
355.957031	-1.60	20.94	1.00
357.421875	-1.57	20.94	0.99
358.886719	-1.54	20.91	1.00
360.351563	-1.52	20.81	0.98
361.816406	-1.51	20.67	0.99
363.281250	-1.51	20.56	0.98
364.746094	-1.51	20.46	0.92
366.210938	-1.51	20.35	0.92
367.675781	-1.51	20.29	0.98
369.140625	-1.51	20.34	0.99
370.605469	-1.53	20.48	0.98
372.070313	-1.55	20.70	0.99
373.535156	-1.57	20.99	0.99
375.000000	-1.59	21.35	0.99
376.464844	-1.61	21.75	0.99
377.929688	-1.62	22.16	0.99
379.394531	-1.62	22.57	1.00
380.859375	-1.61	22.98	1.00
382.324219	-1.59	23.38	1.00
383.789063	-1.57	23.76	1.00
385.253906	-1.54	24.12	1.00
386.718750	-1.51	24.49	1.00
388.183594	-1.48	24.86	1.00
389.648438	-1.44	25.21	1.00
391.113281	-1.40	25.55	0.99
392.578125	-1.35	25.85	1.00
394.042969	-1.29	26.11	1.00
395.507813	-1.23	26.33	1.00
396.972656	-1.17	26.53	1.00
398.437500	-1.10	26.69	1.00
399.902344	-1.03	26.80	0.99
401.367188	-0.97	26.86	0.99
402.832031	-0.90	26.86	1.00
404.296875	-0.84	26.84	1.00
405.761719	-0.78	26.79	1.00
407.226563	-0.72	26.71	1.00
408.691406	-0.67	26.61	1.00
