	SM57-40		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-59.77	159.32	0.40
4.394531	-59.85	120.82	0.84
5.859375	-57.03	135.68	0.88
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	1234.57	45.00	1.00
11.718750	-33.73	9.23	0.45
13.183594	-35.48	-163.60	0.82
14.648438	-26.85	5.45	0.35
16.113281	-33.74	174.27	0.85
17.578125	-33.15	167.41	0.90
19.042969	-30.28	-169.19	0.93
20.507813	-27.79	170.91	0.97
21.972656	-10.73	131.19	0.35
23.437500	-10.26	109.37	0.42
24.902344	-11.44	117.61	0.45
26.367188	-16.88	130.78	0.99
27.832031	1234.57	45.00	1.00
29.296875	-10.73	154.22	0.34
30.761719	-15.13	132.75	0.75
32.226563	-13.97	123.77	0.55
33.691406	-9.17	39.97	0.24
35.156250	-10.76	98.44	0.41
36.621094	-12.16	108.47	0.89
38.085938	-10.58	114.44	0.91
39.550781	-8.95	103.96	0.66
41.015625	-8.17	88.37	0.30
42.480469	-6.96	90.84	0.23
43.945313	-7.03	96.25	0.42
45.410156	-7.50	83.06	0.20
46.875000	-7.09	83.78	0.44
48.339844	-6.82	70.28	0.47
49.804688	-8.34	110.70	0.57
51.269531	-8.30	134.55	0.71
52.734375	-7.31	135.81	0.13
54.199219	-5.75	132.42	0.40
55.664063	-3.14	121.01	0.66
57.128906	-2.66	111.08	0.82
58.593750	-3.06	107.52	0.82
60.058594	-3.35	101.04	0.88
61.523438	-3.07	92.85	0.66
62.988281	-2.09	83.09	0.77
64.453125	-1.32	78.99	0.82
65.917969	-0.73	74.52	0.91
67.382813	0.43	67.99	0.84
68.847656	1.77	61.33	0.41
70.312500	3.13	55.57	0.66
71.777344	4.53	54.82	0.39
73.242188	4.58	35.92	0.26
74.707031	3.21	25.37	0.32
76.171875	1.24	24.90	0.43
77.636719	-0.66	30.17	0.82
79.101563	-2.21	39.14	0.87
80.566406	-3.48	47.96	0.94
82.031250	-4.48	56.20	0.90
83.496094	-5.03	65.73	0.92
84.960938	-5.43	73.88	0.98
86.425781	-5.67	80.76	0.97
87.890625	-5.55	86.20	0.95
89.355469	-5.15	89.90	0.97
90.820313	-4.70	91.63	0.99
92.285156	-4.17	92.09	0.97
93.750000	-3.67	92.02	0.99
95.214844	-3.31	91.30	0.98
96.679688	-3.10	89.31	0.98
98.144531	-2.91	86.68	0.98
99.609375	-2.81	84.43	0.99
101.074219	-2.75	82.50	0.97
102.539063	-2.59	80.12	0.97
104.003906	-2.28	78.13	0.97
105.468750	-2.07	76.15	0.93
106.933594	-1.89	75.34	0.94
108.398438	-1.71	74.78	0.96
109.863281	-1.51	74.80	0.95
111.328125	-1.25	75.21	0.93
112.792969	-0.85	75.34	0.91
114.257813	-0.50	75.08	0.91
115.722656	-0.21	74.37	0.88
117.187500	0.08	71.85	0.90
118.652344	0.40	69.15	0.85
120.117188	0.82	66.20	0.93
121.582031	1.10	63.54	0.96
123.046875	1.21	60.74	0.97
124.511719	1.20	58.02	0.97
125.976563	1.12	54.73	0.98
127.441406	0.93	51.26	0.98
128.906250	0.63	48.42	0.98
130.371094	0.26	46.67	0.98
131.835938	-0.09	45.49	0.99
133.300781	-0.40	44.59	1.00
134.765625	-0.64	43.99	1.00
136.230469	-0.82	43.63	0.99
137.695313	-0.99	43.25	0.95
139.160156	-1.23	42.73	0.93
140.625000	-1.46	42.59	0.87
142.089844	-1.55	42.33	0.98
143.554688	-1.60	42.13	1.00
145.019531	-1.61	41.99	1.00
146.484375	-1.60	41.89	0.97
147.949219	-1.62	41.81	0.98
149.414063	-1.67	41.71	0.96
150.878906	-1.75	41.75	0.97
152.343750	-1.79	41.77	0.99
153.808594	-1.82	41.89	0.99
155.273438	-1.83	42.07	0.98
156.738281	-1.80	42.34	0.96
158.203125	-1.73	42.80	0.97
159.667969	-1.58	43.22	0.99
161.132813	-1.35	43.53	0.97
162.597656	-1.12	43.68	0.95
164.062500	-0.92	43.19	0.89
165.527344	-0.73	42.47	0.93
166.992188	-0.57	41.02	0.98
168.457031	-0.42	39.05	0.95
169.921875	-0.36	37.15	0.97
171.386719	-0.39	35.46	0.98
172.851563	-0.42	34.30	0.99
174.316406	-0.49	33.39	0.98
175.781250	-0.59	32.71	0.98
177.246094	-0.71	32.13	0.99
178.710938	-0.84	31.63	0.97
180.175781	-0.97	31.28	0.97
181.640625	-1.06	30.89	0.99
183.105469	-1.11	30.50	0.99
184.570313	-1.11	30.10	0.97
186.035156	-1.08	29.58	0.97
187.500000	-1.08	28.51	0.94
188.964844	-1.14	27.16	0.96
190.429688	-1.26	26.29	0.96
191.894531	-1.41	25.96	0.97
193.359375	-1.56	25.81	0.96
194.824219	-1.68	25.75	0.97
196.289063	-1.79	25.54	0.98
197.753906	-1.88	25.35	0.99
199.218750	-1.99	25.36	0.97
200.683594	-2.12	25.55	0.95
202.148438	-2.25	25.82	0.97
203.613281	-2.34	26.12	0.99
205.078125	-2.40	26.37	0.99
206.542969	-2.47	26.63	0.99
208.007813	-2.54	26.83	0.99
209.472656	-2.61	27.16	0.98
210.937500	-2.66	27.36	0.99
212.402344	-2.71	27.45	0.99
213.867188	-2.79	27.46	0.99
215.332031	-2.89	27.47	0.98
216.796875	-3.02	27.71	0.98
218.261719	-3.15	27.93	0.97
219.726563	-3.24	28.22	0.98
221.191406	-3.31	28.63	0.99
222.656250	-3.37	29.20	0.99
224.121094	-3.41	29.87	0.99
225.585938	-3.42	30.52	0.98
227.050781	-3.44	31.29	0.96
228.515625	-3.45	32.17	0.94
229.980469	-3.44	33.08	0.98
231.445313	-3.42	34.00	1.00
232.910156	-3.39	34.91	0.99
234.375000	-3.34	35.86	0.98
235.839844	-3.27	36.83	0.98
237.304688	-3.19	37.69	0.99
238.769531	-3.11	38.41	0.99
240.234375	-3.03	38.98	0.97
241.699219	-2.92	39.53	0.98
243.164063	-2.81	40.09	0.99
244.628906	-2.69	40.59	0.99
246.093750	-2.56	41.04	0.99
247.558594	-2.41	41.48	0.99
249.023438	-2.24	41.86	0.98
250.488281	-2.06	41.95	0.96
251.953125	-1.86	41.81	0.95
253.417969	-1.65	41.38	0.98
254.882813	-1.45	40.78	0.99
256.347656	-1.27	39.94	0.97
257.812500	-1.11	38.83	0.96
259.277344	-0.98	37.53	0.95
260.742188	-0.88	36.19	0.97
262.207031	-0.81	35.08	0.98
263.671875	-0.77	34.21	0.99
265.136719	-0.74	33.35	0.99
266.601563	-0.73	32.66	0.98
268.066406	-0.73	32.10	0.95
269.531250	-0.70	31.68	0.97
270.996094	-0.67	31.34	0.99
272.460938	-0.64	31.05	0.99
273.925781	-0.58	30.74	0.99
275.390625	-0.51	30.37	0.99
276.855469	-0.42	29.89	0.99
278.320313	-0.34	29.32	0.99
279.785156	-0.25	28.66	0.97
281.250000	-0.16	28.03	0.97
282.714844	-0.06	27.45	0.97
284.179688	0.04	26.91	0.99
285.644531	0.14	26.23	0.99
287.109375	0.24	25.38	0.99
288.574219	0.31	24.39	0.98
290.039063	0.36	23.37	0.98
291.503906	0.39	22.28	1.00
292.968750	0.40	21.03	0.99
294.433594	0.40	19.62	0.99
295.898438	0.36	18.20	1.00
297.363281	0.30	16.85	0.99
298.828125	0.20	15.59	0.98
300.292969	0.07	14.37	0.99
301.757813	-0.07	13.29	1.00
303.222656	-0.23	12.37	1.00
304.687500	-0.42	11.65	0.97
306.152344	-0.62	11.17	0.97
307.617188	-0.82	10.93	0.99
309.082031	-1.01	10.78	1.00
310.546875	-1.19	10.74	1.00
312.011719	-1.35	10.79	1.00
313.476563	-1.50	10.89	1.00
314.941406	-1.64	11.04	1.00
316.406250	-1.76	11.22	0.99
317.871094	-1.88	11.43	1.00
319.335938	-1.98	11.63	1.00
320.800781	-2.08	11.80	1.00
322.265625	-2.17	11.99	1.00
323.730469	-2.26	12.20	1.00
325.195313	-2.35	12.43	1.00
326.660156	-2.42	12.70	1.00
328.125000	-2.50	13.00	1.00
329.589844	-2.56	13.30	1.00
331.054688	-2.62	13.57	0.99
332.519531	-2.66	13.81	0.98
333.984375	-2.70	14.06	0.97
335.449219	-2.73	14.31	0.99
336.914063	-2.76	14.59	1.00
338.378906	-2.78	14.90	0.99
339.843750	-2.81	15.25	0.99
341.308594	-2.83	15.63	1.00
342.773438	-2.85	16.02	1.00
344.238281	-2.87	16.40	0.99
345.703125	-2.88	16.80	0.98
347.167969	-2.89	17.16	0.99
348.632813	-2.89	17.50	1.00
350.097656	-2.89	17.81	0.99
351.562500	-2.89	18.12	0.99
353.027344	-2.88	18.38	1.00
354.492188	-2.87	18.57	0.99
355.957031	-2.86	18.69	0.99
357.421875	-2.84	18.74	0.98
358.886719	-2.84	18.76	1.00
360.351563	-2.84	18.72	1.00
361.816406	-2.86	18.67	1.00
363.281250	-2.88	18.61	1.00
364.746094	-2.92	18.57	0.99
366.210938	-2.96	18.59	0.97
367.675781	-3.02	18.68	0.96
369.140625	-3.07	18.82	0.98
370.605469	-3.13	19.07	1.00
372.070313	-3.18	19.41	0.99
373.535156	-3.24	19.83	0.99
375.000000	-3.29	20.36	1.00
376.464844	-3.34	20.96	1.00
377.929688	-3.36	21.60	0.99
379.394531	-3.38	22.24	0.99
380.859375	-3.39	22.88	0.99
382.324219	-3.38	23.48	1.00
383.789063	-3.37	24.07	1.00
385.253906	-3.35	24.63	0.99
386.718750	-3.33	25.19	0.99
388.183594	-3.30	25.76	0.99
389.648438	-3.26	26.33	0.98
391.113281	-3.22	26.87	0.98
392.578125	-3.16	27.37	0.98
394.042969	-3.09	27.78	0.99
395.507813	-3.03	28.12	0.97
396.972656	-2.97	28.42	0.96
398.437500	-2.90	28.67	0.99
399.902344	-2.83	28.88	0.99
401.367188	-2.76	29.05	0.98
402.832031	-2.69	29.17	0.99
404.296875	-2.62	29.25	0.99
405.761719	-2.55	29.30	0.99
407.226563	-2.49	29.33	1.00
408.691406	-2.43	29.35	1.00
