	SM57-130		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-58.00	145.63	0.58
4.394531	-55.16	159.83	0.29
5.859375	-49.45	109.04	0.08
7.324219	-38.98	129.33	0.25
8.789063	-31.60	139.29	0.62
10.253906	-16.87	72.94	0.49
11.718750	-31.01	-161.92	0.45
13.183594	-25.63	-96.07	0.36
14.648438	-24.32	2.66	0.42
16.113281	-30.25	160.20	0.67
17.578125	-26.18	159.68	0.77
19.042969	-24.59	-165.49	0.37
20.507813	-24.33	-156.09	0.35
21.972656	-26.15	-144.64	0.35
23.437500	-11.22	82.48	0.15
24.902344	-8.24	-44.35	0.74
26.367188	-9.30	-73.85	0.52
27.832031	1234.57	45.00	1.00
29.296875	-12.17	-116.57	0.33
30.761719	-14.79	-107.19	0.08
32.226563	-17.33	-170.10	0.32
33.691406	-15.31	133.37	0.23
35.156250	-15.15	78.73	0.57
36.621094	-14.58	129.43	0.23
38.085938	-12.43	136.40	0.38
39.550781	-10.53	122.11	0.32
41.015625	-8.61	96.13	0.47
42.480469	-8.51	115.97	0.70
43.945313	-8.09	170.74	0.42
45.410156	-7.19	-170.17	0.20
46.875000	-5.64	178.75	0.41
48.339844	-6.70	-160.15	0.04
49.804688	-7.40	-169.40	0.26
51.269531	-7.68	162.84	0.53
52.734375	-7.24	156.91	0.63
54.199219	-6.47	158.78	0.74
55.664063	-6.03	154.81	0.77
57.128906	-5.77	152.98	0.62
58.593750	-5.13	136.29	0.61
60.058594	-4.67	118.96	0.39
61.523438	-4.54	54.44	0.28
62.988281	-4.54	19.94	0.49
64.453125	-4.91	9.67	0.60
65.917969	-5.07	21.63	0.46
67.382813	-4.96	28.12	0.54
68.847656	-4.78	40.93	0.55
70.312500	-4.18	59.04	0.26
71.777344	-3.27	60.43	0.18
73.242188	-3.29	59.22	0.10
74.707031	-4.52	70.04	0.20
76.171875	-6.31	109.64	0.66
77.636719	-7.77	134.32	0.76
79.101563	-8.47	173.98	0.39
80.566406	-8.45	-92.55	0.27
82.031250	-8.66	-94.21	0.29
83.496094	-9.22	-130.23	0.15
84.960938	-9.84	152.21	0.22
86.425781	-10.26	105.17	0.22
87.890625	-10.53	87.93	0.37
89.355469	-10.57	77.05	0.76
90.820313	-10.77	70.63	0.65
92.285156	-11.12	63.40	0.60
93.750000	-11.50	59.89	0.77
95.214844	-11.93	56.60	0.79
96.679688	-12.41	55.34	0.63
98.144531	-12.93	53.73	0.64
99.609375	-13.42	51.41	0.85
101.074219	-14.02	50.47	0.90
102.539063	-14.53	51.24	0.89
104.003906	-14.92	53.16	0.82
105.468750	-15.11	57.14	0.80
106.933594	-14.98	61.31	0.72
108.398438	-14.52	64.18	0.87
109.863281	-13.97	65.24	0.88
111.328125	-13.46	63.51	0.74
112.792969	-12.92	61.59	0.70
114.257813	-12.57	64.50	0.51
115.722656	-12.21	64.30	0.22
117.187500	-11.77	59.41	0.28
118.652344	-11.38	55.20	0.38
120.117188	-11.03	50.83	0.65
121.582031	-10.88	55.81	0.55
123.046875	-10.69	64.34	0.39
124.511719	-10.40	72.30	0.28
125.976563	-10.23	75.48	0.76
127.441406	-10.11	75.23	0.69
128.906250	-10.09	70.27	0.74
130.371094	-10.17	63.59	0.87
131.835938	-10.26	58.14	0.95
133.300781	-10.41	52.93	0.99
134.765625	-10.53	47.94	0.96
136.230469	-10.64	43.00	0.96
137.695313	-10.74	38.57	0.94
139.160156	-10.85	35.42	0.81
140.625000	-11.00	33.53	0.66
142.089844	-11.29	32.66	0.71
143.554688	-11.54	31.82	0.89
145.019531	-11.75	31.12	0.88
146.484375	-11.99	30.48	0.89
147.949219	-12.18	29.81	0.85
149.414063	-12.31	29.20	0.72
150.878906	-12.46	27.71	0.52
152.343750	-12.54	26.25	0.64
153.808594	-12.46	24.85	0.83
155.273438	-12.27	23.18	0.95
156.738281	-12.02	21.22	0.94
158.203125	-11.73	18.26	0.86
159.667969	-11.44	14.40	0.88
161.132813	-11.24	11.06	0.83
162.597656	-11.11	8.30	0.81
164.062500	-11.02	6.11	0.49
165.527344	-10.97	5.42	0.05
166.992188	-10.99	5.10	0.32
168.457031	-11.01	5.55	0.15
169.921875	-11.08	4.37	0.21
171.386719	-11.12	2.66	0.19
172.851563	-11.14	2.58	0.42
174.316406	-11.11	3.64	0.53
175.781250	-11.10	2.95	0.49
177.246094	-11.15	1.98	0.86
178.710938	-11.18	-0.25	0.86
180.175781	-11.21	-2.51	0.92
181.640625	-11.26	-4.57	0.96
183.105469	-11.36	-6.31	0.96
184.570313	-11.54	-7.79	0.95
186.035156	-11.83	-8.87	0.80
187.500000	-12.22	-7.86	0.57
188.964844	-12.72	-2.28	0.58
190.429688	-13.23	10.53	0.55
191.894531	-13.75	28.48	0.63
193.359375	-14.21	44.37	0.86
194.824219	-14.62	56.57	0.52
196.289063	-14.90	65.65	0.61
197.753906	-15.01	72.81	0.58
199.218750	-15.04	76.39	0.74
200.683594	-15.11	75.32	0.70
202.148438	-15.19	74.66	0.90
203.613281	-15.29	75.00	0.89
205.078125	-15.36	76.46	0.85
206.542969	-15.42	79.90	0.72
208.007813	-15.46	85.36	0.84
209.472656	-15.44	92.26	0.64
210.937500	-15.35	100.04	0.26
212.402344	-15.22	106.28	0.64
213.867188	-15.12	107.95	0.60
215.332031	-15.01	107.28	0.67
216.796875	-14.93	104.12	0.81
218.261719	-14.86	99.62	0.74
219.726563	-14.85	94.76	0.58
221.191406	-14.85	91.22	0.61
222.656250	-14.85	87.40	0.74
224.121094	-14.88	83.96	0.86
225.585938	-14.96	80.53	0.82
227.050781	-15.07	77.28	0.93
228.515625	-15.15	74.35	0.95
229.980469	-15.23	71.89	0.94
231.445313	-15.30	70.26	0.91
232.910156	-15.35	69.26	0.82
234.375000	-15.31	68.70	0.47
235.839844	-15.22	68.16	0.28
237.304688	-15.04	67.82	0.30
238.769531	-14.83	67.39	0.87
240.234375	-14.66	66.78	0.83
241.699219	-14.50	66.18	0.80
243.164063	-14.32	65.45	0.72
244.628906	-14.11	64.74	0.75
246.093750	-13.85	64.32	0.64
247.558594	-13.54	64.12	0.66
249.023438	-13.23	63.71	0.80
250.488281	-12.92	63.33	0.86
251.953125	-12.61	62.92	0.79
253.417969	-12.30	62.60	0.53
254.882813	-12.00	62.81	0.83
256.347656	-11.74	64.54	0.57
257.812500	-11.48	67.09	0.58
259.277344	-11.23	69.73	0.73
260.742188	-11.00	70.82	0.85
262.207031	-10.80	70.66	0.87
263.671875	-10.63	69.86	0.92
265.136719	-10.51	68.62	0.87
266.601563	-10.39	67.16	0.91
268.066406	-10.26	65.75	0.91
269.531250	-10.12	64.29	0.78
270.996094	-9.95	62.94	0.62
272.460938	-9.76	61.62	0.71
273.925781	-9.59	60.40	0.78
275.390625	-9.42	58.98	0.83
276.855469	-9.27	57.59	0.87
278.320313	-9.14	55.77	0.78
279.785156	-9.03	53.64	0.72
281.250000	-8.92	51.48	0.74
282.714844	-8.85	49.79	0.90
284.179688	-8.78	48.08	0.89
285.644531	-8.71	46.29	0.89
287.109375	-8.65	44.49	0.94
288.574219	-8.60	42.84	0.91
290.039063	-8.55	41.35	0.78
291.503906	-8.51	40.63	0.79
292.968750	-8.46	40.81	0.87
294.433594	-8.43	42.17	0.85
295.898438	-8.43	44.73	0.59
297.363281	-8.45	47.45	0.77
298.828125	-8.49	48.80	0.87
300.292969	-8.55	48.90	0.89
301.757813	-8.63	48.46	0.82
303.222656	-8.75	47.52	0.85
304.687500	-8.90	46.33	0.96
306.152344	-9.06	44.96	0.98
307.617188	-9.22	43.43	0.99
309.082031	-9.39	41.90	0.99
310.546875	-9.57	40.40	0.98
312.011719	-9.75	38.93	0.99
313.476563	-9.94	37.57	0.98
314.941406	-10.13	36.39	0.99
316.406250	-10.33	35.50	0.99
317.871094	-10.54	34.93	0.92
319.335938	-10.73	34.64	0.87
320.800781	-10.90	34.70	0.79
322.265625	-11.04	35.01	0.44
323.730469	-11.13	35.48	0.58
325.195313	-11.17	35.68	0.67
326.660156	-11.18	35.61	0.81
328.125000	-11.15	35.19	0.84
329.589844	-11.08	34.46	0.95
331.054688	-11.01	33.39	0.95
332.519531	-10.94	32.04	0.95
333.984375	-10.87	30.48	0.97
335.449219	-10.80	28.76	0.97
336.914063	-10.74	26.86	0.96
338.378906	-10.68	24.84	0.96
339.843750	-10.63	22.78	0.95
341.308594	-10.59	20.58	0.97
342.773438	-10.54	18.28	0.97
344.238281	-10.51	15.93	0.98
345.703125	-10.47	13.59	0.98
347.167969	-10.45	11.28	0.97
348.632813	-10.42	8.97	0.98
350.097656	-10.40	6.70	0.98
351.562500	-10.39	4.39	0.96
353.027344	-10.37	2.09	0.93
354.492188	-10.35	-0.25	0.93
355.957031	-10.33	-2.73	0.88
357.421875	-10.32	-5.33	0.85
358.886719	-10.32	-7.63	0.86
360.351563	-10.32	-9.65	0.89
361.816406	-10.34	-11.16	0.92
363.281250	-10.37	-12.25	0.90
364.746094	-10.40	-12.96	0.53
366.210938	-10.46	-13.39	0.52
367.675781	-10.57	-12.33	0.35
369.140625	-10.71	-10.75	0.51
370.605469	-10.87	-8.31	0.60
372.070313	-11.02	-4.51	0.81
373.535156	-11.17	0.86	0.89
375.000000	-11.29	8.01	0.81
376.464844	-11.41	16.73	0.83
377.929688	-11.51	26.17	0.76
379.394531	-11.62	34.81	0.80
380.859375	-11.73	42.08	0.64
382.324219	-11.83	48.05	0.77
383.789063	-11.89	52.99	0.77
385.253906	-11.95	56.67	0.72
386.718750	-12.00	59.28	0.66
388.183594	-12.05	60.61	0.70
389.648438	-12.10	61.34	0.93
391.113281	-12.15	61.66	0.92
392.578125	-12.19	61.82	0.92
394.042969	-12.23	61.89	0.85
395.507813	-12.25	61.98	0.82
396.972656	-12.27	61.94	0.65
398.437500	-12.26	61.76	0.75
399.902344	-12.24	61.47	0.60
401.367188	-12.21	61.12	0.70
402.832031	-12.16	60.62	0.77
