	SM57-160		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-55.51	147.44	0.59
4.394531	-53.38	177.93	0.26
5.859375	-49.45	109.04	0.08
7.324219	-38.98	129.33	0.25
8.789063	-31.60	139.29	0.62
10.253906	-24.02	75.50	0.42
11.718750	-28.17	-161.92	0.46
13.183594	-22.50	-76.25	0.29
14.648438	-25.56	1.28	0.29
16.113281	-28.43	159.75	0.42
17.578125	-22.83	162.08	0.67
19.042969	-21.64	-165.19	0.38
20.507813	-27.08	116.55	0.58
21.972656	-25.76	-136.42	0.38
23.437500	-18.52	-97.54	0.43
24.902344	-20.92	-162.25	0.11
26.367188	-14.21	-75.06	0.38
27.832031	-22.24	-130.73	0.93
29.296875	-15.00	-90.75	0.46
30.761719	-18.84	-143.29	0.40
32.226563	-15.63	-142.62	0.34
33.691406	-12.63	-112.75	0.18
35.156250	-7.38	52.12	0.21
36.621094	-5.61	11.73	0.38
38.085938	-3.62	-64.21	0.16
39.550781	-1.79	-46.76	0.43
41.015625	0.68	-51.78	0.30
42.480469	4.57	-71.52	0.13
43.945313	5.85	-154.90	0.15
45.410156	7.90	95.99	0.25
46.875000	9.05	89.42	0.58
48.339844	8.62	76.72	0.61
49.804688	7.49	68.46	0.09
51.269531	7.64	83.39	0.39
52.734375	8.58	76.99	0.57
54.199219	8.80	66.91	0.46
55.664063	8.61	86.54	0.10
57.128906	7.10	89.57	0.27
58.593750	5.12	78.28	0.09
60.058594	3.37	57.36	0.61
61.523438	2.49	39.11	0.59
62.988281	2.75	19.17	0.56
64.453125	2.37	15.85	0.28
65.917969	2.09	4.03	0.30
67.382813	2.37	-12.34	0.24
68.847656	3.30	-17.53	0.20
70.312500	4.84	-17.72	0.11
71.777344	7.56	-16.00	0.16
73.242188	9.39	-19.73	0.36
74.707031	9.21	-23.38	0.38
76.171875	8.69	-22.14	0.55
77.636719	8.02	-20.00	0.50
79.101563	7.60	-18.52	0.51
80.566406	6.81	-19.70	0.42
82.031250	5.92	-29.02	0.08
83.496094	5.21	-32.21	0.40
84.960938	4.85	-29.99	0.56
86.425781	4.74	-27.69	0.17
87.890625	4.64	-54.20	0.07
89.355469	4.57	-101.94	0.34
90.820313	4.14	-125.47	0.21
92.285156	3.77	-150.80	0.63
93.750000	3.33	-157.30	0.60
95.214844	2.54	-152.95	0.45
96.679688	1.24	-155.41	0.15
98.144531	-0.33	-159.09	0.11
99.609375	-1.72	-167.14	0.33
101.074219	-2.94	-171.73	0.33
102.539063	-3.95	178.24	0.17
104.003906	-4.38	168.27	0.13
105.468750	-4.52	164.16	0.14
106.933594	-4.62	147.06	0.08
108.398438	-4.58	137.74	0.43
109.863281	-4.40	130.28	0.14
111.328125	-4.11	112.49	0.17
112.792969	-3.90	87.93	0.16
114.257813	-3.73	41.04	0.32
115.722656	-3.55	17.45	0.33
117.187500	-3.33	11.88	0.26
118.652344	-3.09	16.94	0.37
120.117188	-3.03	31.96	0.23
121.582031	-3.02	47.28	0.16
123.046875	-3.02	31.65	0.51
124.511719	-3.20	66.99	0.34
125.976563	-3.54	91.97	0.42
127.441406	-4.04	92.45	0.45
128.906250	-4.64	86.34	0.50
130.371094	-5.45	85.43	0.53
131.835938	-6.27	84.73	0.69
133.300781	-7.11	82.25	0.43
134.765625	-7.88	77.23	0.42
136.230469	-8.43	69.93	0.64
137.695313	-8.80	65.43	0.37
139.160156	-8.95	62.81	0.27
140.625000	-9.12	61.65	0.45
142.089844	-9.30	61.05	0.38
143.554688	-9.45	57.59	0.40
145.019531	-9.61	50.61	0.60
146.484375	-9.68	44.62	0.32
147.949219	-9.83	41.42	0.57
149.414063	-9.94	41.76	0.24
150.878906	-10.05	48.34	0.30
152.343750	-10.10	53.06	0.25
153.808594	-10.14	56.54	0.32
155.273438	-10.10	58.50	0.59
156.738281	-10.11	55.95	0.55
158.203125	-10.11	50.97	0.45
159.667969	-10.06	46.44	0.62
161.132813	-9.94	42.34	0.53
162.597656	-9.80	38.39	0.62
164.062500	-9.61	37.20	0.37
165.527344	-9.31	36.83	0.22
166.992188	-9.09	33.32	0.16
168.457031	-8.96	21.29	0.34
169.921875	-8.95	10.33	0.33
171.386719	-9.03	1.85	0.58
172.851563	-9.09	0.03	0.21
174.316406	-9.09	-5.72	0.37
175.781250	-9.05	-23.71	0.36
177.246094	-9.00	-45.59	0.57
178.710938	-8.97	-65.08	0.59
180.175781	-8.89	-72.73	0.33
181.640625	-8.73	-77.69	0.65
183.105469	-8.58	-84.21	0.91
184.570313	-8.45	-91.72	0.89
186.035156	-8.39	-100.59	0.92
187.500000	-8.45	-111.51	0.91
188.964844	-8.65	-122.26	0.81
190.429688	-8.96	-132.34	0.73
191.894531	-9.34	-140.53	0.84
193.359375	-9.73	-147.39	0.75
194.824219	-10.08	-153.65	0.69
196.289063	-10.31	-160.77	0.78
197.753906	-10.46	-167.49	0.64
199.218750	-10.61	-174.63	0.64
200.683594	-10.81	178.14	0.55
202.148438	-11.05	172.07	0.78
203.613281	-11.29	167.99	0.71
205.078125	-11.47	164.47	0.58
206.542969	-11.61	163.06	0.25
208.007813	-11.74	162.45	0.08
209.472656	-11.81	161.45	0.64
210.937500	-11.86	160.32	0.81
212.402344	-11.92	157.78	0.82
213.867188	-11.98	154.34	0.83
215.332031	-12.05	150.92	0.66
216.796875	-12.18	147.41	0.77
218.261719	-12.35	143.65	0.79
219.726563	-12.56	140.05	0.74
221.191406	-12.77	136.19	0.71
222.656250	-13.00	131.98	0.72
224.121094	-13.22	126.40	0.67
225.585938	-13.44	119.23	0.57
227.050781	-13.72	111.70	0.56
228.515625	-13.92	102.79	0.79
229.980469	-14.06	92.90	0.69
231.445313	-14.15	82.66	0.57
232.910156	-14.15	71.53	0.33
234.375000	-14.06	59.17	0.58
235.839844	-13.95	49.28	0.25
237.304688	-13.82	39.18	0.20
238.769531	-13.68	30.52	0.40
240.234375	-13.53	21.51	0.63
241.699219	-13.34	12.77	0.29
243.164063	-13.04	4.61	0.46
244.628906	-12.67	-3.29	0.72
246.093750	-12.22	-9.88	0.59
247.558594	-11.71	-14.73	0.20
249.023438	-11.18	-19.60	0.47
250.488281	-10.71	-23.33	0.78
251.953125	-10.27	-28.42	0.64
253.417969	-9.85	-32.74	0.57
254.882813	-9.48	-37.92	0.42
256.347656	-9.12	-41.57	0.52
257.812500	-8.82	-41.49	0.68
259.277344	-8.54	-37.35	0.51
260.742188	-8.32	-27.20	0.60
262.207031	-8.16	-9.09	0.46
263.671875	-8.03	8.31	0.54
265.136719	-7.86	20.12	0.41
266.601563	-7.67	27.11	0.43
268.066406	-7.51	27.50	0.07
269.531250	-7.40	28.73	0.16
270.996094	-7.32	29.80	0.31
272.460938	-7.25	30.48	0.28
273.925781	-7.13	32.09	0.20
275.390625	-6.94	34.03	0.33
276.855469	-6.76	34.49	0.20
278.320313	-6.61	35.19	0.31
279.785156	-6.45	33.97	0.58
281.250000	-6.25	32.51	0.78
282.714844	-6.04	30.20	0.64
284.179688	-5.81	26.81	0.42
285.644531	-5.58	22.70	0.34
287.109375	-5.34	19.70	0.78
288.574219	-5.14	19.51	0.81
290.039063	-4.94	20.77	0.60
291.503906	-4.74	23.11	0.54
292.968750	-4.57	26.59	0.62
294.433594	-4.43	31.20	0.66
295.898438	-4.33	37.51	0.82
297.363281	-4.29	46.69	0.52
298.828125	-4.33	55.84	0.80
300.292969	-4.44	60.23	0.87
301.757813	-4.63	61.91	0.81
303.222656	-4.88	62.62	0.85
304.687500	-5.16	62.92	0.92
306.152344	-5.47	62.98	0.86
307.617188	-5.81	62.99	0.88
309.082031	-6.16	62.90	0.88
310.546875	-6.51	62.97	0.91
312.011719	-6.85	63.08	0.94
313.476563	-7.16	63.29	0.93
314.941406	-7.46	63.70	0.89
316.406250	-7.72	64.57	0.88
317.871094	-7.96	66.10	0.86
319.335938	-8.17	68.20	0.79
320.800781	-8.36	71.19	0.73
322.265625	-8.54	74.18	0.86
323.730469	-8.71	76.56	0.86
325.195313	-8.87	78.16	0.82
326.660156	-9.03	79.05	0.89
328.125000	-9.18	79.19	0.86
329.589844	-9.34	78.60	0.75
331.054688	-9.49	77.65	0.93
332.519531	-9.64	76.39	0.94
333.984375	-9.79	74.72	0.88
335.449219	-9.96	72.75	0.89
336.914063	-10.12	70.51	0.92
338.378906	-10.28	68.03	0.91
339.843750	-10.43	65.23	0.87
341.308594	-10.57	62.22	0.87
342.773438	-10.71	59.12	0.95
344.238281	-10.86	56.12	0.95
345.703125	-11.00	53.17	0.87
347.167969	-11.16	50.06	0.88
348.632813	-11.30	46.92	0.89
350.097656	-11.43	43.69	0.89
351.562500	-11.55	40.54	0.87
353.027344	-11.67	37.43	0.89
354.492188	-11.78	34.57	0.84
355.957031	-11.89	32.02	0.76
357.421875	-11.99	29.62	0.64
358.886719	-12.08	27.33	0.54
360.351563	-12.14	25.13	0.66
361.816406	-12.18	23.05	0.76
363.281250	-12.21	21.32	0.64
364.746094	-12.22	20.01	0.33
366.210938	-12.24	19.07	0.20
367.675781	-12.28	18.48	0.31
369.140625	-12.35	16.99	0.44
370.605469	-12.40	15.42	0.65
372.070313	-12.44	13.60	0.59
373.535156	-12.46	11.63	0.56
375.000000	-12.47	9.83	0.62
376.464844	-12.45	7.85	0.48
377.929688	-12.39	5.79	0.27
379.394531	-12.31	3.41	0.34
380.859375	-12.22	1.02	0.42
382.324219	-12.10	-1.07	0.69
383.789063	-11.99	-2.92	0.68
385.253906	-11.89	-4.68	0.80
386.718750	-11.80	-6.73	0.67
388.183594	-11.70	-8.73	0.59
389.648438	-11.61	-10.83	0.82
391.113281	-11.51	-13.09	0.56
392.578125	-11.42	-15.35	0.38
394.042969	-11.31	-17.48	0.67
395.507813	-11.21	-19.74	0.78
396.972656	-11.13	-21.35	0.71
398.437500	-11.04	-22.91	0.81
399.902344	-10.97	-24.27	0.89
401.367188	-10.92	-25.39	0.69
