	SM57-35		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-59.77	159.32	0.40
4.394531	-57.24	87.08	0.50
5.859375	-57.62	133.91	0.86
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	1234.57	45.00	1.00
11.718750	-33.73	9.23	0.45
13.183594	-33.76	149.78	0.72
14.648438	-26.49	7.26	0.35
16.113281	-32.87	148.50	0.75
17.578125	-34.13	158.66	0.86
19.042969	-30.30	-169.90	0.91
20.507813	-27.79	170.91	0.97
21.972656	-8.81	135.94	0.32
23.437500	-14.79	-89.04	0.69
24.902344	-5.92	-117.73	0.49
26.367188	-16.68	136.50	0.99
27.832031	1234.57	45.00	1.00
29.296875	-10.18	159.58	0.34
30.761719	-10.96	-174.22	0.50
32.226563	-9.09	143.19	0.37
33.691406	-11.09	128.79	0.38
35.156250	-13.28	137.87	0.17
36.621094	-10.72	-170.40	0.41
38.085938	-10.92	110.53	0.24
39.550781	-9.12	116.87	0.66
41.015625	-8.52	119.05	0.83
42.480469	-8.06	126.23	0.60
43.945313	-7.40	137.30	0.58
45.410156	-8.53	104.40	0.27
46.875000	-10.35	74.54	0.76
48.339844	-11.07	78.78	0.77
49.804688	-11.04	89.35	0.85
51.269531	-10.62	92.91	0.83
52.734375	-9.34	85.64	0.55
54.199219	-8.23	71.28	0.54
55.664063	-7.23	87.76	0.61
57.128906	-7.10	88.28	0.62
58.593750	-6.17	89.73	0.83
60.058594	-5.36	86.21	0.78
61.523438	-4.70	73.58	0.75
62.988281	-4.38	65.62	0.79
64.453125	-3.86	58.69	0.65
65.917969	-3.17	55.98	0.32
67.382813	-2.80	57.77	0.14
68.847656	-2.47	60.46	0.63
70.312500	-2.14	66.54	0.74
71.777344	-1.80	59.75	0.56
73.242188	-1.76	46.29	0.38
74.707031	-2.30	47.67	0.48
76.171875	-3.50	55.61	0.63
77.636719	-4.39	62.46	0.70
79.101563	-4.96	66.78	0.68
80.566406	-5.51	70.06	0.96
82.031250	-6.04	74.44	0.98
83.496094	-6.51	78.77	1.00
84.960938	-6.79	82.91	1.00
86.425781	-6.89	86.81	0.99
87.890625	-6.76	90.09	0.99
89.355469	-6.40	92.08	0.98
90.820313	-5.83	93.28	0.99
92.285156	-5.29	93.64	0.99
93.750000	-4.68	93.26	0.99
95.214844	-4.11	92.18	0.99
96.679688	-3.65	90.53	0.99
98.144531	-3.27	88.58	0.99
99.609375	-2.97	87.29	1.00
101.074219	-2.78	86.44	0.99
102.539063	-2.57	85.63	0.94
104.003906	-2.30	84.83	0.92
105.468750	-2.18	83.10	0.96
106.933594	-2.03	81.19	0.98
108.398438	-1.85	79.13	0.92
109.863281	-1.65	78.17	0.95
111.328125	-1.48	78.29	0.97
112.792969	-1.24	78.33	0.98
114.257813	-0.93	78.02	0.96
115.722656	-0.47	76.68	0.98
117.187500	0.09	74.66	0.98
118.652344	0.56	71.95	0.93
120.117188	0.89	68.77	0.97
121.582031	1.15	65.63	0.99
123.046875	1.29	62.06	0.98
124.511719	1.34	58.62	0.99
125.976563	1.27	55.70	0.98
127.441406	1.04	52.33	0.97
128.906250	0.66	49.30	0.98
130.371094	0.28	47.21	0.99
131.835938	-0.08	45.95	1.00
133.300781	-0.36	45.20	1.00
134.765625	-0.59	44.82	1.00
136.230469	-0.76	44.79	0.99
137.695313	-0.89	44.79	0.99
139.160156	-0.98	44.70	0.98
140.625000	-1.11	43.84	0.98
142.089844	-1.22	43.52	0.99
143.554688	-1.36	43.70	0.99
145.019531	-1.47	43.91	1.00
146.484375	-1.56	44.08	1.00
147.949219	-1.61	44.16	0.99
149.414063	-1.65	44.06	1.00
150.878906	-1.67	44.01	1.00
152.343750	-1.69	43.93	1.00
153.808594	-1.72	43.83	0.99
155.273438	-1.73	43.68	0.99
156.738281	-1.72	43.71	1.00
158.203125	-1.67	43.92	1.00
159.667969	-1.59	44.09	1.00
161.132813	-1.45	44.15	0.99
162.597656	-1.30	43.82	0.98
164.062500	-1.11	43.33	0.99
165.527344	-0.93	42.71	1.00
166.992188	-0.75	41.86	1.00
168.457031	-0.59	40.62	0.98
169.921875	-0.48	39.37	0.99
171.386719	-0.48	38.38	0.96
172.851563	-0.58	37.40	0.97
174.316406	-0.68	36.48	0.92
175.781250	-0.75	35.59	0.98
177.246094	-0.85	34.64	0.98
178.710938	-0.94	33.70	0.98
180.175781	-1.03	32.96	0.98
181.640625	-1.08	32.48	0.99
183.105469	-1.10	32.17	0.98
184.570313	-1.07	31.75	0.99
186.035156	-1.01	30.98	0.96
187.500000	-0.98	29.87	0.97
188.964844	-1.04	28.77	0.99
190.429688	-1.15	27.94	1.00
191.894531	-1.28	27.41	1.00
193.359375	-1.43	27.13	1.00
194.824219	-1.56	27.06	1.00
196.289063	-1.68	27.09	1.00
197.753906	-1.78	27.20	1.00
199.218750	-1.88	27.33	1.00
200.683594	-1.98	27.53	1.00
202.148438	-2.05	27.80	0.99
203.613281	-2.11	28.07	1.00
205.078125	-2.15	28.35	1.00
206.542969	-2.17	28.64	0.99
208.007813	-2.17	28.88	0.99
209.472656	-2.18	29.11	1.00
210.937500	-2.19	29.26	0.99
212.402344	-2.21	29.10	0.99
213.867188	-2.25	28.88	0.99
215.332031	-2.31	28.69	1.00
216.796875	-2.39	28.65	0.99
218.261719	-2.49	28.73	1.00
219.726563	-2.57	29.01	1.00
221.191406	-2.66	29.45	1.00
222.656250	-2.74	29.98	1.00
224.121094	-2.80	30.55	1.00
225.585938	-2.84	31.13	1.00
227.050781	-2.88	31.81	1.00
228.515625	-2.90	32.56	1.00
229.980469	-2.90	33.33	1.00
231.445313	-2.89	34.10	1.00
232.910156	-2.87	34.85	1.00
234.375000	-2.83	35.63	0.99
235.839844	-2.77	36.37	0.98
237.304688	-2.69	37.00	0.99
238.769531	-2.59	37.49	0.99
240.234375	-2.49	37.91	1.00
241.699219	-2.39	38.32	1.00
243.164063	-2.29	38.73	0.99
244.628906	-2.18	39.12	1.00
246.093750	-2.05	39.49	0.99
247.558594	-1.90	39.78	0.99
249.023438	-1.72	39.95	0.99
250.488281	-1.52	40.07	0.99
251.953125	-1.32	39.98	0.98
253.417969	-1.13	39.71	0.99
254.882813	-0.96	39.31	1.00
256.347656	-0.79	38.72	0.97
257.812500	-0.66	38.07	0.98
259.277344	-0.55	37.33	0.95
260.742188	-0.50	36.59	0.97
262.207031	-0.47	35.85	0.97
263.671875	-0.45	35.08	0.99
265.136719	-0.44	34.38	1.00
266.601563	-0.43	33.76	1.00
268.066406	-0.42	33.21	1.00
269.531250	-0.42	32.74	1.00
270.996094	-0.41	32.34	1.00
272.460938	-0.38	31.96	0.99
273.925781	-0.34	31.57	0.99
275.390625	-0.28	31.14	0.99
276.855469	-0.22	30.66	0.99
278.320313	-0.15	30.11	0.99
279.785156	-0.07	29.57	0.99
281.250000	0.01	29.06	0.99
282.714844	0.10	28.54	0.98
284.179688	0.18	28.01	0.99
285.644531	0.26	27.48	0.99
287.109375	0.32	26.84	0.99
288.574219	0.37	25.94	0.96
290.039063	0.40	24.77	0.99
291.503906	0.41	23.54	1.00
292.968750	0.41	22.25	0.99
294.433594	0.38	20.81	0.98
295.898438	0.32	19.33	0.99
297.363281	0.23	17.97	0.99
298.828125	0.11	16.73	0.99
300.292969	-0.02	15.64	1.00
301.757813	-0.17	14.70	0.99
303.222656	-0.35	13.93	0.99
304.687500	-0.53	13.30	0.98
306.152344	-0.72	12.90	0.99
307.617188	-0.90	12.69	0.99
309.082031	-1.06	12.60	1.00
310.546875	-1.22	12.60	0.99
312.011719	-1.36	12.68	1.00
313.476563	-1.48	12.81	1.00
314.941406	-1.59	12.97	1.00
316.406250	-1.69	13.16	1.00
317.871094	-1.78	13.38	1.00
319.335938	-1.86	13.61	1.00
320.800781	-1.93	13.84	1.00
322.265625	-1.99	14.09	1.00
323.730469	-2.05	14.35	1.00
325.195313	-2.11	14.65	1.00
326.660156	-2.16	14.98	1.00
328.125000	-2.21	15.35	1.00
329.589844	-2.24	15.73	1.00
331.054688	-2.27	16.10	1.00
332.519531	-2.29	16.42	1.00
333.984375	-2.31	16.69	1.00
335.449219	-2.34	16.94	1.00
336.914063	-2.37	17.21	1.00
338.378906	-2.40	17.51	1.00
339.843750	-2.43	17.84	1.00
341.308594	-2.45	18.15	0.99
342.773438	-2.47	18.45	1.00
344.238281	-2.48	18.76	1.00
345.703125	-2.49	19.07	1.00
347.167969	-2.49	19.38	1.00
348.632813	-2.49	19.66	1.00
350.097656	-2.49	19.93	1.00
351.562500	-2.48	20.18	1.00
353.027344	-2.46	20.38	1.00
354.492188	-2.44	20.55	1.00
355.957031	-2.42	20.66	1.00
357.421875	-2.40	20.72	0.99
358.886719	-2.39	20.71	0.99
360.351563	-2.38	20.64	1.00
361.816406	-2.39	20.54	0.99
363.281250	-2.41	20.47	1.00
364.746094	-2.45	20.43	1.00
366.210938	-2.49	20.45	1.00
367.675781	-2.55	20.55	0.99
369.140625	-2.62	20.71	1.00
370.605469	-2.68	20.93	1.00
372.070313	-2.74	21.21	1.00
373.535156	-2.80	21.57	1.00
375.000000	-2.85	22.00	1.00
376.464844	-2.89	22.48	1.00
377.929688	-2.91	22.98	1.00
379.394531	-2.93	23.51	0.99
380.859375	-2.93	24.02	1.00
382.324219	-2.92	24.52	1.00
383.789063	-2.91	24.99	1.00
385.253906	-2.90	25.46	0.99
386.718750	-2.89	25.96	0.99
388.183594	-2.87	26.47	1.00
389.648438	-2.84	26.97	1.00
391.113281	-2.79	27.44	1.00
392.578125	-2.74	27.88	1.00
394.042969	-2.69	28.28	1.00
395.507813	-2.63	28.63	1.00
396.972656	-2.56	28.95	1.00
398.437500	-2.50	29.21	1.00
399.902344	-2.43	29.43	1.00
401.367188	-2.35	29.59	1.00
402.832031	-2.28	29.71	1.00
404.296875	-2.22	29.78	1.00
405.761719	-2.15	29.83	1.00
407.226563	-2.09	29.85	1.00
