	SM57-120		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-60.05	167.75	0.55
4.394531	-59.01	165.87	0.73
5.859375	-53.33	142.79	0.78
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	-17.83	44.47	0.89
11.718750	-33.26	-88.29	0.11
13.183594	-29.85	-128.49	0.49
14.648438	-26.85	5.45	0.35
16.113281	-32.53	154.33	0.57
17.578125	-29.22	162.06	0.85
19.042969	-23.44	120.09	0.46
20.507813	-19.51	21.77	0.31
21.972656	-24.94	93.69	0.30
23.437500	-10.20	78.47	0.16
24.902344	-6.58	-47.94	0.75
26.367188	-9.24	-73.94	0.52
27.832031	1234.57	45.00	1.00
29.296875	-15.85	147.82	0.64
30.761719	-20.35	137.82	0.32
32.226563	-19.80	133.37	0.36
33.691406	-11.23	97.88	0.53
35.156250	-10.41	61.81	0.04
36.621094	-11.90	87.45	0.46
38.085938	-11.46	78.69	0.34
39.550781	-7.74	36.64	0.45
41.015625	-5.07	28.65	0.37
42.480469	-3.93	154.71	0.23
43.945313	-4.65	144.31	0.48
45.410156	-5.35	123.33	0.07
46.875000	-5.37	124.09	0.42
48.339844	-5.22	53.38	0.36
49.804688	-6.33	-22.42	0.29
51.269531	-7.26	4.60	0.12
52.734375	-7.33	47.30	0.34
54.199219	-6.96	62.63	0.32
55.664063	-6.80	126.54	0.37
57.128906	-7.16	139.28	0.59
58.593750	-7.86	141.36	0.38
60.058594	-7.64	145.74	0.42
61.523438	-6.49	148.57	0.66
62.988281	-5.94	154.21	0.53
64.453125	-5.27	160.43	0.68
65.917969	-4.72	-177.96	0.41
67.382813	-3.90	-139.54	0.39
68.847656	-2.83	-134.79	0.15
70.312500	-1.54	-138.03	0.06
71.777344	-0.03	-140.93	0.15
73.242188	0.83	-142.52	0.40
74.707031	0.43	-143.62	0.23
76.171875	-1.00	-161.24	0.28
77.636719	-3.10	-164.10	0.43
79.101563	-5.31	-166.77	0.19
80.566406	-7.40	-168.44	0.06
82.031250	-9.27	-177.30	0.41
83.496094	-10.98	167.04	0.34
84.960938	-11.81	146.85	0.70
86.425781	-11.74	127.44	0.40
87.890625	-11.61	113.30	0.53
89.355469	-11.29	101.90	0.87
90.820313	-11.10	92.53	0.84
92.285156	-10.92	84.82	0.89
93.750000	-10.63	79.19	0.87
95.214844	-10.33	75.54	0.87
96.679688	-10.20	74.61	0.78
98.144531	-10.24	74.22	0.79
99.609375	-10.27	73.75	0.86
101.074219	-10.34	72.63	0.89
102.539063	-10.50	71.86	0.96
104.003906	-10.53	71.83	0.96
105.468750	-10.42	72.72	0.70
106.933594	-10.25	75.47	0.48
108.398438	-10.05	78.33	0.82
109.863281	-9.78	81.45	0.83
111.328125	-9.39	83.13	0.74
112.792969	-9.03	84.18	0.66
114.257813	-8.83	83.11	0.71
115.722656	-8.58	80.63	0.43
117.187500	-8.40	77.11	0.56
118.652344	-8.46	72.87	0.73
120.117188	-8.66	69.32	0.93
121.582031	-8.93	68.22	0.65
123.046875	-9.22	67.14	0.69
124.511719	-9.38	64.43	0.67
125.976563	-9.16	61.49	0.75
127.441406	-8.85	58.57	0.92
128.906250	-8.66	54.35	0.92
130.371094	-8.61	50.25	0.84
131.835938	-8.60	47.01	0.97
133.300781	-8.64	43.81	0.95
134.765625	-8.68	40.61	0.94
136.230469	-8.72	37.47	0.94
137.695313	-8.81	34.36	0.96
139.160156	-8.98	31.00	0.87
140.625000	-9.24	28.93	0.78
142.089844	-9.47	28.60	0.87
143.554688	-9.67	29.24	0.96
145.019531	-9.83	29.62	0.98
146.484375	-10.01	30.22	0.87
147.949219	-10.23	30.58	0.86
149.414063	-10.48	30.86	0.92
150.878906	-10.72	31.28	0.92
152.343750	-10.94	31.22	0.97
153.808594	-11.10	31.04	0.94
155.273438	-11.26	30.59	0.83
156.738281	-11.34	29.51	0.81
158.203125	-11.27	28.09	0.91
159.667969	-11.14	26.65	0.96
161.132813	-11.01	25.14	0.86
162.597656	-10.91	23.67	0.86
164.062500	-10.88	23.44	0.70
165.527344	-10.84	22.96	0.71
166.992188	-10.75	21.82	0.55
168.457031	-10.71	22.22	0.30
169.921875	-10.71	22.56	0.43
171.386719	-10.70	22.65	0.76
172.851563	-10.64	22.33	0.59
174.316406	-10.60	21.41	0.80
175.781250	-10.55	19.50	0.83
177.246094	-10.54	17.09	0.96
178.710938	-10.59	14.10	0.91
180.175781	-10.67	11.26	0.93
181.640625	-10.78	8.32	0.94
183.105469	-10.94	6.00	0.96
184.570313	-11.17	4.54	0.91
186.035156	-11.47	3.65	0.85
187.500000	-11.87	5.05	0.70
188.964844	-12.34	8.94	0.65
190.429688	-12.73	13.63	0.78
191.894531	-13.09	17.04	0.87
193.359375	-13.39	19.67	0.78
194.824219	-13.63	22.32	0.64
196.289063	-13.77	25.04	0.55
197.753906	-13.83	28.34	0.38
199.218750	-13.87	31.68	0.64
200.683594	-13.88	34.58	0.88
202.148438	-13.91	36.89	0.96
203.613281	-13.96	38.57	0.94
205.078125	-14.04	40.64	0.98
206.542969	-14.08	43.55	0.95
208.007813	-14.11	47.33	0.82
209.472656	-14.10	52.19	0.63
210.937500	-14.01	57.42	0.54
212.402344	-13.86	62.37	0.60
213.867188	-13.65	66.65	0.17
215.332031	-13.42	70.24	0.16
216.796875	-13.21	73.21	0.73
218.261719	-13.06	74.45	0.85
219.726563	-12.97	74.84	0.85
221.191406	-12.94	74.22	0.88
222.656250	-12.95	73.04	0.97
224.121094	-12.96	71.62	0.80
225.585938	-13.00	70.23	0.70
227.050781	-13.03	69.24	0.79
228.515625	-13.06	68.73	0.93
229.980469	-13.07	68.46	0.93
231.445313	-13.07	68.51	0.96
232.910156	-13.05	69.04	0.86
234.375000	-12.98	69.85	0.87
235.839844	-12.79	70.66	0.68
237.304688	-12.56	71.08	0.79
238.769531	-12.35	70.84	0.93
240.234375	-12.17	70.09	0.94
241.699219	-12.00	68.90	0.88
243.164063	-11.80	67.53	0.92
244.628906	-11.58	66.10	0.94
246.093750	-11.35	64.61	0.87
247.558594	-11.08	63.02	0.77
249.023438	-10.79	61.33	0.89
250.488281	-10.53	60.05	0.95
251.953125	-10.27	59.14	0.91
253.417969	-10.02	58.78	0.81
254.882813	-9.80	58.56	0.73
256.347656	-9.61	58.62	0.67
257.812500	-9.45	58.36	0.47
259.277344	-9.28	58.40	0.58
260.742188	-9.12	58.26	0.58
262.207031	-8.99	57.58	0.66
263.671875	-8.86	56.80	0.78
265.136719	-8.72	55.92	0.75
266.601563	-8.61	55.15	0.78
268.066406	-8.53	54.44	0.63
269.531250	-8.49	53.71	0.63
270.996094	-8.47	53.14	0.75
272.460938	-8.42	52.64	0.68
273.925781	-8.33	51.75	0.74
275.390625	-8.24	50.86	0.71
276.855469	-8.16	50.03	0.80
278.320313	-8.09	49.09	0.90
279.785156	-8.02	48.06	0.93
281.250000	-7.96	46.97	0.81
282.714844	-7.93	45.47	0.82
284.179688	-7.89	44.09	0.93
285.644531	-7.86	42.72	0.91
287.109375	-7.84	41.39	0.77
288.574219	-7.82	39.96	0.81
290.039063	-7.82	38.50	0.87
291.503906	-7.84	37.62	0.70
292.968750	-7.87	36.93	0.75
294.433594	-7.90	36.47	0.64
295.898438	-7.92	36.09	0.65
297.363281	-7.95	35.32	0.93
298.828125	-8.01	34.05	0.89
300.292969	-8.08	32.67	0.95
301.757813	-8.17	31.42	0.98
303.222656	-8.27	30.25	0.97
304.687500	-8.38	29.05	0.99
306.152344	-8.49	27.85	0.99
307.617188	-8.61	26.58	0.98
309.082031	-8.74	25.25	0.99
310.546875	-8.88	23.88	0.99
312.011719	-9.04	22.55	1.00
313.476563	-9.20	21.29	1.00
314.941406	-9.37	20.14	0.99
316.406250	-9.55	19.10	0.99
317.871094	-9.74	18.18	1.00
319.335938	-9.93	17.40	0.99
320.800781	-10.13	16.77	0.97
322.265625	-10.32	16.33	0.96
323.730469	-10.51	16.10	0.91
325.195313	-10.67	16.06	0.62
326.660156	-10.82	16.06	0.57
328.125000	-10.94	16.07	0.66
329.589844	-11.02	16.02	0.49
331.054688	-11.06	15.83	0.79
332.519531	-11.10	15.52	0.91
333.984375	-11.13	15.15	0.88
335.449219	-11.17	14.80	0.89
336.914063	-11.19	14.40	0.94
338.378906	-11.21	13.92	0.93
339.843750	-11.22	13.41	0.97
341.308594	-11.22	12.80	0.98
342.773438	-11.23	12.08	0.99
344.238281	-11.23	11.33	0.94
345.703125	-11.25	10.59	0.89
347.167969	-11.27	9.84	0.97
348.632813	-11.28	9.07	0.99
350.097656	-11.29	8.22	0.99
351.562500	-11.31	7.32	0.97
353.027344	-11.32	6.33	0.96
354.492188	-11.34	5.20	0.94
355.957031	-11.36	3.96	0.89
357.421875	-11.38	2.93	0.87
358.886719	-11.42	2.07	0.85
360.351563	-11.48	1.45	0.92
361.816406	-11.54	0.89	0.90
363.281250	-11.61	0.66	0.96
364.746094	-11.69	0.94	0.69
366.210938	-11.77	1.14	0.53
367.675781	-11.90	2.29	0.51
369.140625	-12.05	4.56	0.41
370.605469	-12.21	7.37	0.23
372.070313	-12.36	10.37	0.46
373.535156	-12.48	13.31	0.05
375.000000	-12.58	16.31	0.23
376.464844	-12.65	19.41	0.19
377.929688	-12.69	22.22	0.67
379.394531	-12.73	24.55	0.72
380.859375	-12.76	26.51	0.76
382.324219	-12.78	28.32	0.57
383.789063	-12.80	29.99	0.71
385.253906	-12.81	31.70	0.40
386.718750	-12.79	33.47	0.55
388.183594	-12.76	35.02	0.73
389.648438	-12.71	36.26	0.78
391.113281	-12.64	37.26	0.85
392.578125	-12.57	38.07	0.75
394.042969	-12.49	38.75	0.73
395.507813	-12.41	39.44	0.39
396.972656	-12.31	40.20	0.48
398.437500	-12.22	40.86	0.75
399.902344	-12.12	41.58	0.87
401.367188	-12.02	42.15	0.59
402.832031	-11.92	42.67	0.43
404.296875	-11.82	43.26	0.64
