	SM57-70		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-59.77	159.32	0.40
4.394531	-59.50	115.50	0.83
5.859375	-57.03	135.68	0.88
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	-17.52	70.24	1.00
11.718750	-33.73	9.23	0.45
13.183594	-35.48	-163.60	0.82
14.648438	-26.85	5.45	0.35
16.113281	-32.53	154.33	0.57
17.578125	-33.15	167.41	0.90
19.042969	-30.37	-175.57	0.94
20.507813	-23.70	-160.61	0.82
21.972656	-17.23	-60.00	0.34
23.437500	-22.40	167.63	0.89
24.902344	-13.98	110.56	0.42
26.367188	-16.96	130.55	0.99
27.832031	1234.57	45.00	1.00
29.296875	-11.56	133.84	0.51
30.761719	-15.97	140.56	0.46
32.226563	-16.11	-30.20	0.15
33.691406	-12.73	50.84	0.37
35.156250	-13.91	68.80	0.61
36.621094	-12.12	48.46	0.69
38.085938	-11.46	70.88	0.47
39.550781	-10.79	123.11	0.57
41.015625	-8.55	138.63	0.69
42.480469	-6.94	153.80	0.62
43.945313	-4.21	148.32	0.45
45.410156	-2.97	144.64	0.65
46.875000	-3.75	144.24	0.47
48.339844	-3.39	150.97	0.40
49.804688	-3.71	-142.58	0.45
51.269531	-5.16	-166.58	0.11
52.734375	-5.57	75.83	0.44
54.199219	-4.34	76.45	0.74
55.664063	-4.10	100.91	0.14
57.128906	-4.06	128.46	0.56
58.593750	-3.69	127.66	0.87
60.058594	-2.92	118.58	0.76
61.523438	-2.29	98.92	0.75
62.988281	-2.20	93.84	0.53
64.453125	-2.01	108.27	0.40
65.917969	-1.02	93.60	0.30
67.382813	0.24	80.11	0.37
68.847656	0.95	66.31	0.33
70.312500	1.79	16.65	0.88
71.777344	2.83	-69.97	0.03
73.242188	3.11	-83.57	0.44
74.707031	1.87	-86.18	0.24
76.171875	0.15	-98.97	0.56
77.636719	-1.15	-107.11	0.45
79.101563	-2.74	-110.78	0.11
80.566406	-3.47	-128.96	0.35
82.031250	-3.98	166.74	0.31
83.496094	-4.59	114.94	0.63
84.960938	-5.14	109.10	0.92
86.425781	-5.48	109.79	0.73
87.890625	-5.67	105.45	0.73
89.355469	-5.71	102.77	0.84
90.820313	-5.58	97.35	0.92
92.285156	-5.36	94.51	0.95
93.750000	-5.10	92.50	0.95
95.214844	-4.88	91.56	0.98
96.679688	-4.70	90.25	0.97
98.144531	-4.55	89.02	0.98
99.609375	-4.44	88.31	0.97
101.074219	-4.29	88.06	0.84
102.539063	-4.20	87.96	0.84
104.003906	-3.91	88.17	0.96
105.468750	-3.62	89.51	0.89
106.933594	-3.03	92.20	0.80
108.398438	-2.36	92.91	0.89
109.863281	-1.66	92.20	0.94
111.328125	-0.95	90.52	0.80
112.792969	-0.24	87.39	0.53
114.257813	0.15	85.43	0.39
115.722656	0.34	83.75	0.66
117.187500	0.35	80.49	0.72
118.652344	0.22	78.23	0.94
120.117188	0.09	75.45	0.96
121.582031	-0.02	71.82	0.95
123.046875	-0.17	67.37	0.96
124.511719	-0.32	62.88	0.97
125.976563	-0.53	58.84	0.99
127.441406	-0.82	54.69	0.97
128.906250	-1.10	51.35	0.99
130.371094	-1.46	49.23	0.99
131.835938	-1.85	47.85	1.00
133.300781	-2.23	46.94	1.00
134.765625	-2.58	46.34	0.99
136.230469	-2.88	45.84	0.99
137.695313	-3.13	45.77	0.99
139.160156	-3.35	45.86	0.92
140.625000	-3.54	45.52	0.60
142.089844	-3.65	44.28	0.86
143.554688	-3.70	43.66	0.98
145.019531	-3.74	43.16	0.99
146.484375	-3.77	42.76	0.95
147.949219	-3.80	42.56	0.96
149.414063	-3.82	42.08	0.98
150.878906	-3.83	41.94	0.98
152.343750	-3.89	41.97	0.97
153.808594	-3.92	41.83	0.99
155.273438	-3.93	41.71	1.00
156.738281	-3.92	41.59	0.98
158.203125	-3.88	41.49	0.99
159.667969	-3.79	41.51	0.98
161.132813	-3.68	41.69	0.99
162.597656	-3.54	41.68	0.99
164.062500	-3.41	41.44	0.99
165.527344	-3.27	41.24	0.99
166.992188	-3.13	40.93	0.98
168.457031	-2.99	40.32	0.99
169.921875	-2.94	39.15	0.99
171.386719	-2.98	37.50	0.95
172.851563	-3.03	36.21	0.94
174.316406	-3.03	35.12	0.92
175.781250	-3.09	33.67	0.97
177.246094	-3.16	31.99	0.99
178.710938	-3.25	30.69	0.99
180.175781	-3.37	29.61	0.99
181.640625	-3.51	28.88	1.00
183.105469	-3.62	28.41	0.96
184.570313	-3.70	28.06	0.91
186.035156	-3.73	27.52	0.81
187.500000	-3.80	27.01	0.98
188.964844	-3.91	26.26	0.95
190.429688	-4.04	25.46	0.94
191.894531	-4.19	24.85	0.99
193.359375	-4.36	24.44	1.00
194.824219	-4.55	24.34	0.99
196.289063	-4.73	24.55	0.98
197.753906	-4.88	24.79	0.97
199.218750	-4.96	25.01	0.99
200.683594	-5.01	25.24	0.99
202.148438	-5.09	25.36	0.99
203.613281	-5.15	25.50	1.00
205.078125	-5.21	25.54	0.99
206.542969	-5.25	25.59	0.98
208.007813	-5.30	25.78	0.99
209.472656	-5.35	26.04	0.99
210.937500	-5.40	26.38	0.98
212.402344	-5.44	26.96	0.99
213.867188	-5.51	27.52	0.98
215.332031	-5.62	28.04	0.96
216.796875	-5.73	28.85	0.98
218.261719	-5.81	29.91	0.95
219.726563	-5.89	31.09	0.95
221.191406	-5.98	32.19	0.96
222.656250	-6.06	33.33	0.99
224.121094	-6.13	34.46	0.99
225.585938	-6.19	35.57	0.99
227.050781	-6.24	36.59	0.99
228.515625	-6.28	37.72	0.99
229.980469	-6.29	38.91	0.99
231.445313	-6.28	40.20	0.99
232.910156	-6.23	41.53	0.99
234.375000	-6.15	42.87	0.96
235.839844	-6.03	44.18	0.96
237.304688	-5.87	45.34	0.97
238.769531	-5.69	46.33	0.98
240.234375	-5.51	47.00	0.94
241.699219	-5.33	47.54	0.98
243.164063	-5.14	47.89	0.98
244.628906	-4.92	48.08	0.96
246.093750	-4.68	48.13	0.97
247.558594	-4.40	48.21	0.98
249.023438	-4.13	48.10	0.99
250.488281	-3.86	47.81	0.98
251.953125	-3.62	47.24	0.99
253.417969	-3.39	46.47	0.94
254.882813	-3.18	45.49	0.84
256.347656	-2.99	44.04	0.91
257.812500	-2.85	42.47	0.96
259.277344	-2.76	40.93	0.96
260.742188	-2.70	39.63	0.96
262.207031	-2.64	38.53	0.97
263.671875	-2.60	37.66	0.99
265.136719	-2.57	36.93	0.99
266.601563	-2.54	36.28	0.98
268.066406	-2.50	35.78	0.99
269.531250	-2.46	35.35	1.00
270.996094	-2.41	34.98	0.98
272.460938	-2.36	34.66	0.93
273.925781	-2.28	34.36	0.97
275.390625	-2.20	33.91	1.00
276.855469	-2.12	33.40	0.99
278.320313	-2.05	32.77	0.98
279.785156	-1.98	32.02	0.90
281.250000	-1.90	31.25	0.86
282.714844	-1.83	30.22	0.95
284.179688	-1.76	29.08	0.99
285.644531	-1.70	27.83	0.99
287.109375	-1.64	26.47	0.98
288.574219	-1.60	24.99	0.99
290.039063	-1.59	23.47	0.96
291.503906	-1.59	21.96	0.99
292.968750	-1.60	20.44	0.98
294.433594	-1.63	18.82	0.98
295.898438	-1.69	17.03	0.99
297.363281	-1.80	15.35	0.99
298.828125	-1.93	13.92	0.99
300.292969	-2.09	12.71	0.99
301.757813	-2.27	11.74	1.00
303.222656	-2.46	10.98	0.99
304.687500	-2.68	10.46	0.98
306.152344	-2.90	10.17	0.99
307.617188	-3.10	10.06	0.99
309.082031	-3.30	10.03	1.00
310.546875	-3.48	10.07	1.00
312.011719	-3.65	10.18	1.00
313.476563	-3.80	10.35	1.00
314.941406	-3.95	10.56	1.00
316.406250	-4.08	10.79	1.00
317.871094	-4.20	11.04	1.00
319.335938	-4.32	11.34	0.99
320.800781	-4.42	11.67	0.99
322.265625	-4.51	12.01	1.00
323.730469	-4.60	12.39	0.99
325.195313	-4.68	12.80	0.99
326.660156	-4.74	13.23	0.99
328.125000	-4.79	13.69	0.98
329.589844	-4.83	14.10	0.99
331.054688	-4.88	14.44	1.00
332.519531	-4.92	14.69	1.00
333.984375	-4.97	14.87	1.00
335.449219	-5.02	15.09	0.99
336.914063	-5.07	15.37	0.99
338.378906	-5.13	15.71	0.99
339.843750	-5.19	16.08	0.96
341.308594	-5.24	16.48	0.97
342.773438	-5.28	16.85	0.99
344.238281	-5.31	17.21	1.00
345.703125	-5.34	17.55	1.00
347.167969	-5.37	17.86	0.99
348.632813	-5.38	18.11	1.00
350.097656	-5.40	18.32	1.00
351.562500	-5.41	18.51	0.99
353.027344	-5.42	18.65	0.99
354.492188	-5.43	18.71	0.99
355.957031	-5.44	18.66	0.99
357.421875	-5.45	18.55	0.99
358.886719	-5.48	18.41	0.99
360.351563	-5.52	18.23	0.95
361.816406	-5.57	17.97	0.97
363.281250	-5.63	17.76	0.99
364.746094	-5.70	17.63	0.99
366.210938	-5.78	17.63	0.91
367.675781	-5.88	17.89	0.89
369.140625	-5.99	18.37	0.91
370.605469	-6.08	18.94	0.97
372.070313	-6.15	19.61	0.99
373.535156	-6.21	20.35	0.97
375.000000	-6.24	21.14	0.97
376.464844	-6.26	21.91	0.98
377.929688	-6.26	22.72	0.98
379.394531	-6.25	23.56	0.96
380.859375	-6.24	24.31	0.99
382.324219	-6.21	25.01	1.00
383.789063	-6.19	25.67	0.97
385.253906	-6.17	26.29	0.97
386.718750	-6.15	26.91	0.98
388.183594	-6.12	27.50	0.99
389.648438	-6.08	28.05	0.99
391.113281	-6.04	28.58	0.98
392.578125	-5.99	29.05	0.99
394.042969	-5.94	29.45	0.98
395.507813	-5.88	29.82	0.99
396.972656	-5.82	30.14	0.99
398.437500	-5.76	30.44	0.99
399.902344	-5.69	30.72	0.99
401.367188	-5.63	30.97	1.00
402.832031	-5.57	31.18	1.00
404.296875	-5.52	31.35	0.99
405.761719	-5.46	31.48	0.99
