	SM57-115		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-60.05	167.75	0.55
4.394531	-59.01	165.87	0.73
5.859375	-54.50	151.99	0.88
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	-17.83	44.47	0.89
11.718750	-33.26	-88.29	0.11
13.183594	-29.85	-128.49	0.49
14.648438	-26.85	5.45	0.35
16.113281	-32.53	154.33	0.57
17.578125	-29.22	162.06	0.85
19.042969	-27.71	129.83	0.40
20.507813	-23.82	-161.69	0.60
21.972656	-24.17	117.61	0.39
23.437500	-15.42	90.78	0.55
24.902344	-31.37	150.00	0.96
26.367188	-20.54	132.05	0.93
27.832031	1234.57	45.00	1.00
29.296875	-15.73	147.68	0.64
30.761719	-19.41	136.13	0.30
32.226563	-16.08	147.67	0.59
33.691406	-9.57	157.03	0.82
35.156250	-10.34	160.26	0.54
36.621094	-11.69	168.72	0.42
38.085938	-11.12	-172.29	0.50
39.550781	-9.91	-164.73	0.38
41.015625	-7.62	-163.97	0.20
42.480469	-6.01	-161.09	0.40
43.945313	-5.25	-175.03	0.46
45.410156	-5.94	-173.64	0.40
46.875000	-7.12	-147.82	0.21
48.339844	-6.08	-147.56	0.25
49.804688	-6.98	172.44	0.49
51.269531	-8.27	177.05	0.61
52.734375	-7.76	-164.88	0.46
54.199219	-6.92	-154.29	0.23
55.664063	-5.86	-164.03	0.18
57.128906	-5.73	173.35	0.35
58.593750	-6.67	148.94	0.35
60.058594	-7.27	139.10	0.36
61.523438	-7.51	116.97	0.56
62.988281	-7.52	104.44	0.83
64.453125	-7.54	95.82	0.67
65.917969	-6.79	93.38	0.39
67.382813	-5.24	115.43	0.18
68.847656	-4.25	49.65	0.27
70.312500	-3.35	43.42	0.59
71.777344	-2.11	38.75	0.58
73.242188	-1.86	27.23	0.65
74.707031	-2.91	28.85	0.38
76.171875	-4.71	39.24	0.25
77.636719	-5.73	53.90	0.13
79.101563	-6.53	64.23	0.66
80.566406	-7.72	62.50	0.48
82.031250	-9.05	65.71	0.43
83.496094	-9.77	71.49	0.66
84.960938	-10.31	76.39	0.78
86.425781	-10.64	80.57	0.90
87.890625	-10.70	83.76	0.93
89.355469	-10.74	85.50	0.94
90.820313	-10.55	84.71	0.93
92.285156	-10.36	83.34	0.92
93.750000	-10.23	80.36	0.89
95.214844	-10.34	78.58	0.91
96.679688	-10.26	77.09	0.91
98.144531	-10.29	76.05	0.84
99.609375	-10.45	76.69	0.83
101.074219	-10.53	76.82	0.85
102.539063	-10.60	78.01	0.90
104.003906	-10.61	79.15	0.84
105.468750	-10.43	79.43	0.79
106.933594	-10.12	79.80	0.67
108.398438	-9.59	80.25	0.52
109.863281	-9.06	80.66	0.58
111.328125	-8.64	81.73	0.74
112.792969	-8.35	80.54	0.71
114.257813	-7.93	77.75	0.75
115.722656	-7.42	75.75	0.56
117.187500	-7.19	73.66	0.49
118.652344	-7.09	70.32	0.63
120.117188	-7.08	66.93	0.82
121.582031	-7.11	65.46	0.89
123.046875	-7.15	64.26	0.65
124.511719	-7.27	62.67	0.77
125.976563	-7.36	60.55	0.86
127.441406	-7.44	58.34	0.87
128.906250	-7.52	55.32	0.93
130.371094	-7.69	53.14	0.99
131.835938	-7.95	50.89	0.94
133.300781	-8.18	48.39	0.92
134.765625	-8.38	46.39	0.88
136.230469	-8.46	44.21	0.88
137.695313	-8.56	40.96	0.89
139.160156	-8.62	38.37	0.84
140.625000	-8.83	36.24	0.62
142.089844	-9.05	35.82	0.69
143.554688	-9.19	36.21	0.82
145.019531	-9.26	36.53	0.84
146.484375	-9.31	37.02	0.84
147.949219	-9.36	36.85	0.86
149.414063	-9.43	36.26	0.85
150.878906	-9.49	35.46	0.63
152.343750	-9.53	33.86	0.82
153.808594	-9.61	32.85	0.87
155.273438	-9.72	32.65	0.87
156.738281	-9.81	32.23	0.94
158.203125	-9.88	31.51	0.97
159.667969	-9.92	30.70	0.94
161.132813	-9.98	29.91	0.87
162.597656	-10.00	29.37	0.79
164.062500	-10.05	29.47	0.78
165.527344	-10.06	30.00	0.56
166.992188	-9.94	30.52	0.72
168.457031	-9.85	30.60	0.87
169.921875	-9.80	30.46	0.84
171.386719	-9.78	30.03	0.88
172.851563	-9.75	29.42	0.90
174.316406	-9.70	28.65	0.96
175.781250	-9.69	27.17	0.96
177.246094	-9.72	25.01	0.87
178.710938	-9.78	22.28	0.95
180.175781	-9.86	19.60	0.99
181.640625	-9.97	17.32	0.98
183.105469	-10.12	15.30	0.98
184.570313	-10.35	13.75	0.95
186.035156	-10.65	13.12	0.89
187.500000	-11.04	13.63	0.62
188.964844	-11.44	15.09	0.72
190.429688	-11.76	16.01	0.58
191.894531	-12.01	16.46	0.81
193.359375	-12.24	16.93	0.93
194.824219	-12.44	17.67	0.92
196.289063	-12.57	18.42	0.77
197.753906	-12.65	19.24	0.47
199.218750	-12.70	19.76	0.33
200.683594	-12.67	20.20	0.87
202.148438	-12.73	20.09	0.90
203.613281	-12.87	19.45	0.87
205.078125	-12.99	19.13	0.84
206.542969	-13.09	19.04	0.78
208.007813	-13.15	18.95	0.89
209.472656	-13.21	19.82	0.82
210.937500	-13.23	21.82	0.63
212.402344	-13.25	25.39	0.53
213.867188	-13.27	29.84	0.30
215.332031	-13.25	34.81	0.22
216.796875	-13.13	40.20	0.49
218.261719	-12.99	44.73	0.58
219.726563	-12.88	47.99	0.33
221.191406	-12.78	50.76	0.72
222.656250	-12.66	52.94	0.61
224.121094	-12.54	54.65	0.81
225.585938	-12.49	55.70	0.92
227.050781	-12.47	56.57	0.83
228.515625	-12.46	57.25	0.77
229.980469	-12.48	58.10	0.89
231.445313	-12.49	59.47	0.89
232.910156	-12.46	61.32	0.60
234.375000	-12.36	63.08	0.14
235.839844	-12.16	64.64	0.66
237.304688	-11.89	65.75	0.54
238.769531	-11.60	66.20	0.77
240.234375	-11.33	66.48	0.88
241.699219	-11.03	66.53	0.75
243.164063	-10.70	66.42	0.79
244.628906	-10.35	66.46	0.91
246.093750	-9.97	66.29	0.85
247.558594	-9.64	66.06	0.85
249.023438	-9.34	65.18	0.64
250.488281	-9.09	63.91	0.75
251.953125	-8.90	62.20	0.92
253.417969	-8.76	60.50	0.93
254.882813	-8.63	58.92	0.56
256.347656	-8.48	57.45	0.36
257.812500	-8.30	56.01	0.46
259.277344	-8.11	54.33	0.26
260.742188	-7.95	53.13	0.39
262.207031	-7.80	52.41	0.79
263.671875	-7.66	51.99	0.68
265.136719	-7.57	51.84	0.85
266.601563	-7.52	51.40	0.84
268.066406	-7.49	51.09	0.67
269.531250	-7.47	50.91	0.77
270.996094	-7.43	50.71	0.80
272.460938	-7.36	50.42	0.62
273.925781	-7.27	50.33	0.68
275.390625	-7.16	50.09	0.87
276.855469	-7.05	49.53	0.86
278.320313	-6.93	48.77	0.92
279.785156	-6.80	47.89	0.80
281.250000	-6.70	47.03	0.81
282.714844	-6.64	45.62	0.88
284.179688	-6.60	44.16	0.94
285.644531	-6.59	42.65	0.89
287.109375	-6.59	41.19	0.86
288.574219	-6.63	40.00	0.68
290.039063	-6.71	39.05	0.58
291.503906	-6.80	38.12	0.84
292.968750	-6.92	37.48	0.85
294.433594	-7.04	36.96	0.45
295.898438	-7.16	36.22	0.70
297.363281	-7.29	35.11	0.82
298.828125	-7.43	33.79	0.95
300.292969	-7.56	32.34	0.94
301.757813	-7.69	30.86	0.93
303.222656	-7.82	29.44	0.91
304.687500	-7.93	28.09	0.93
306.152344	-8.04	26.76	0.99
307.617188	-8.15	25.37	0.99
309.082031	-8.26	23.93	0.99
310.546875	-8.38	22.50	0.97
312.011719	-8.51	21.12	0.99
313.476563	-8.65	19.82	1.00
314.941406	-8.80	18.60	1.00
316.406250	-8.96	17.47	0.99
317.871094	-9.13	16.43	0.99
319.335938	-9.30	15.52	0.98
320.800781	-9.46	14.74	0.97
322.265625	-9.62	14.10	0.98
323.730469	-9.77	13.64	0.95
325.195313	-9.90	13.31	0.93
326.660156	-10.03	13.09	0.84
328.125000	-10.15	12.98	0.57
329.589844	-10.24	12.84	0.75
331.054688	-10.31	12.68	0.89
332.519531	-10.39	12.46	0.91
333.984375	-10.46	12.09	0.87
335.449219	-10.53	11.62	0.93
336.914063	-10.60	11.19	0.98
338.378906	-10.66	10.74	0.98
339.843750	-10.73	10.25	0.96
341.308594	-10.80	9.78	0.93
342.773438	-10.86	9.26	0.98
344.238281	-10.93	8.69	0.97
345.703125	-10.99	8.12	0.93
347.167969	-11.06	7.60	0.90
348.632813	-11.11	7.14	0.94
350.097656	-11.13	6.71	0.98
351.562500	-11.13	6.26	0.98
353.027344	-11.14	5.77	0.95
354.492188	-11.15	5.21	0.95
355.957031	-11.17	4.60	0.98
357.421875	-11.20	4.01	0.95
358.886719	-11.25	3.38	0.93
360.351563	-11.30	2.89	0.87
361.816406	-11.35	2.60	0.72
363.281250	-11.40	2.40	0.69
364.746094	-11.44	2.28	0.65
366.210938	-11.50	2.45	0.57
367.675781	-11.60	3.38	0.53
369.140625	-11.75	5.03	0.52
370.605469	-11.89	6.92	0.01
372.070313	-12.00	8.99	0.66
373.535156	-12.10	11.15	0.49
375.000000	-12.17	13.38	0.55
376.464844	-12.22	15.62	0.71
377.929688	-12.26	17.83	0.77
379.394531	-12.29	19.86	0.59
380.859375	-12.30	21.77	0.81
382.324219	-12.29	23.58	0.67
383.789063	-12.28	25.48	0.46
385.253906	-12.24	27.33	0.43
386.718750	-12.19	29.06	0.65
388.183594	-12.16	30.80	0.68
389.648438	-12.12	32.44	0.86
391.113281	-12.08	33.82	0.86
392.578125	-12.04	35.12	0.76
394.042969	-11.99	36.34	0.77
395.507813	-11.93	37.54	0.48
396.972656	-11.85	38.58	0.59
398.437500	-11.78	39.55	0.92
399.902344	-11.69	40.38	0.89
401.367188	-11.62	40.96	0.78
402.832031	-11.54	41.32	0.74
404.296875	-11.46	41.56	0.80
