	SM57-175		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-56.04	144.52	0.61
4.394531	-52.30	147.93	0.27
5.859375	-46.88	101.43	0.17
7.324219	-38.98	129.33	0.25
8.789063	-36.30	145.98	0.38
10.253906	-32.63	86.08	0.28
11.718750	-32.03	93.16	0.26
13.183594	-29.62	-78.99	0.12
14.648438	-25.73	1.15	0.30
16.113281	-28.56	161.53	0.42
17.578125	-23.93	162.32	0.65
19.042969	-20.85	-163.91	0.35
20.507813	-27.08	116.55	0.58
21.972656	-25.40	-142.76	0.35
23.437500	-23.45	132.13	0.74
24.902344	-19.75	139.50	0.41
26.367188	-14.18	-75.09	0.38
27.832031	-22.27	-130.11	0.93
29.296875	-15.39	-90.31	0.46
30.761719	-18.00	-106.79	0.53
32.226563	-14.62	-125.86	0.57
33.691406	-11.98	-163.46	0.33
35.156250	-6.15	153.34	0.35
36.621094	-5.12	176.19	0.33
38.085938	-3.53	-143.17	0.38
39.550781	-2.03	-152.73	0.54
41.015625	-0.09	-166.57	0.26
42.480469	1.22	-159.18	0.26
43.945313	1.20	-173.07	0.45
45.410156	1.03	170.09	0.77
46.875000	0.27	155.58	0.91
48.339844	-0.37	135.22	0.66
49.804688	-0.97	117.11	0.67
51.269531	-1.57	120.08	0.51
52.734375	-2.38	127.93	0.52
54.199219	-1.90	122.79	0.55
55.664063	-1.29	124.10	0.51
57.128906	-1.43	98.51	0.28
58.593750	-1.77	72.41	0.55
60.058594	-2.51	56.38	0.55
61.523438	-3.06	23.43	0.49
62.988281	-3.02	-15.65	0.61
64.453125	-2.73	-27.44	0.55
65.917969	-1.77	-37.63	0.75
67.382813	-0.36	-50.78	0.77
68.847656	1.16	-71.68	0.33
70.312500	3.09	-89.07	0.47
71.777344	5.39	-96.79	0.36
73.242188	6.19	-97.63	0.61
74.707031	5.05	-94.81	0.28
76.171875	2.25	-92.81	0.37
77.636719	-0.07	-92.09	0.16
79.101563	-2.07	-93.31	0.11
80.566406	-3.77	-98.52	0.26
82.031250	-5.05	-106.13	0.33
83.496094	-5.80	-127.18	0.40
84.960938	-6.54	-133.45	0.43
86.425781	-7.53	-123.20	0.36
87.890625	-8.32	-77.67	0.56
89.355469	-8.66	-39.59	0.04
90.820313	-8.94	-30.70	0.40
92.285156	-9.13	-29.23	0.64
93.750000	-9.37	-28.40	0.58
95.214844	-9.70	-32.52	0.44
96.679688	-10.35	-34.14	0.51
98.144531	-11.23	-33.60	0.19
99.609375	-12.04	-35.90	0.24
101.074219	-12.64	-38.47	0.34
102.539063	-12.94	-44.04	0.49
104.003906	-13.21	-47.01	0.63
105.468750	-13.08	-48.54	0.35
106.933594	-12.85	-49.07	0.42
108.398438	-12.29	-47.60	0.28
109.863281	-11.54	-48.03	0.14
111.328125	-10.55	-49.22	0.28
112.792969	-9.59	-54.05	0.47
114.257813	-8.78	-55.16	0.56
115.722656	-8.30	-53.71	0.64
117.187500	-8.07	-53.58	0.53
118.652344	-7.77	-55.26	0.60
120.117188	-7.54	-61.44	0.65
121.582031	-7.31	-72.10	0.79
123.046875	-7.20	-84.06	0.86
124.511719	-7.24	-97.66	0.87
125.976563	-7.44	-112.17	0.85
127.441406	-7.75	-128.95	0.83
128.906250	-8.37	-146.60	0.81
130.371094	-9.18	-161.18	0.89
131.835938	-10.01	-174.14	0.91
133.300781	-10.76	173.11	0.94
134.765625	-11.34	160.83	0.96
136.230469	-11.75	149.43	0.83
137.695313	-12.00	137.85	0.45
139.160156	-11.99	121.02	0.23
140.625000	-11.89	102.17	0.32
142.089844	-11.88	79.26	0.20
143.554688	-12.01	57.74	0.28
145.019531	-12.19	44.33	0.51
146.484375	-12.32	34.79	0.56
147.949219	-12.44	28.10	0.41
149.414063	-12.51	27.13	0.12
150.878906	-12.56	18.90	0.33
152.343750	-12.61	0.78	0.51
153.808594	-12.48	-16.92	0.25
155.273438	-12.19	-28.31	0.31
156.738281	-11.85	-34.06	0.66
158.203125	-11.46	-42.15	0.88
159.667969	-11.08	-50.36	0.82
161.132813	-10.65	-58.59	0.75
162.597656	-10.21	-66.07	0.66
164.062500	-9.85	-72.91	0.72
165.527344	-9.52	-79.51	0.68
166.992188	-9.27	-85.87	0.73
168.457031	-9.11	-93.87	0.88
169.921875	-9.09	-101.05	0.77
171.386719	-9.19	-107.53	0.46
172.851563	-9.31	-112.96	0.70
174.316406	-9.43	-115.95	0.33
175.781250	-9.58	-114.72	0.29
177.246094	-9.69	-115.03	0.09
178.710938	-9.71	-114.30	0.36
180.175781	-9.62	-112.78	0.32
181.640625	-9.37	-111.38	0.69
183.105469	-9.02	-111.16	0.86
184.570313	-8.68	-113.76	0.82
186.035156	-8.44	-119.69	0.87
187.500000	-8.34	-130.33	0.77
188.964844	-8.40	-142.15	0.85
190.429688	-8.58	-151.15	0.93
191.894531	-8.84	-158.26	0.83
193.359375	-9.19	-163.57	0.67
194.824219	-9.52	-168.66	0.82
196.289063	-9.82	-172.85	0.87
197.753906	-10.10	-176.54	0.82
199.218750	-10.37	179.72	0.85
200.683594	-10.67	174.95	0.82
202.148438	-11.01	170.15	0.82
203.613281	-11.30	166.11	0.83
205.078125	-11.55	162.79	0.72
206.542969	-11.74	160.42	0.60
208.007813	-11.84	158.65	0.25
209.472656	-11.82	156.97	0.74
210.937500	-11.73	155.00	0.58
212.402344	-11.61	151.84	0.64
213.867188	-11.55	146.96	0.82
215.332031	-11.55	141.42	0.75
216.796875	-11.61	135.47	0.73
218.261719	-11.68	128.42	0.89
219.726563	-11.76	121.56	0.88
221.191406	-11.88	114.89	0.84
222.656250	-12.04	108.48	0.62
224.121094	-12.20	101.76	0.63
225.585938	-12.35	93.69	0.44
227.050781	-12.49	84.27	0.32
228.515625	-12.62	73.28	0.56
229.980469	-12.74	62.88	0.82
231.445313	-12.82	52.37	0.82
232.910156	-12.89	41.85	0.72
234.375000	-12.89	31.63	0.42
235.839844	-12.83	22.31	0.33
237.304688	-12.71	14.37	0.72
238.769531	-12.57	7.68	0.85
240.234375	-12.40	1.61	0.81
241.699219	-12.18	-4.02	0.84
243.164063	-11.96	-9.90	0.92
244.628906	-11.74	-15.83	0.79
246.093750	-11.51	-20.91	0.80
247.558594	-11.27	-25.26	0.77
249.023438	-11.04	-29.21	0.67
250.488281	-10.79	-32.53	0.71
251.953125	-10.53	-35.41	0.72
253.417969	-10.27	-38.46	0.90
254.882813	-10.01	-41.32	0.74
256.347656	-9.75	-43.72	0.72
257.812500	-9.52	-46.01	0.72
259.277344	-9.33	-47.89	0.73
260.742188	-9.14	-49.15	0.64
262.207031	-8.96	-49.52	0.61
263.671875	-8.77	-49.24	0.22
265.136719	-8.56	-48.75	0.34
266.601563	-8.33	-48.23	0.45
268.066406	-8.07	-47.15	0.76
269.531250	-7.81	-45.63	0.72
270.996094	-7.55	-43.57	0.40
272.460938	-7.28	-41.46	0.55
273.925781	-7.00	-39.27	0.59
275.390625	-6.71	-37.06	0.50
276.855469	-6.41	-34.44	0.55
278.320313	-6.10	-31.20	0.62
279.785156	-5.79	-27.69	0.77
281.250000	-5.48	-23.94	0.78
282.714844	-5.19	-20.27	0.80
284.179688	-4.91	-16.87	0.52
285.644531	-4.65	-13.83	0.58
287.109375	-4.40	-11.14	0.62
288.574219	-4.17	-8.13	0.50
290.039063	-3.96	-4.79	0.73
291.503906	-3.76	-1.47	0.66
292.968750	-3.60	2.22	0.65
294.433594	-3.46	6.29	0.77
295.898438	-3.35	10.80	0.84
297.363281	-3.30	16.12	0.93
298.828125	-3.35	22.44	0.69
300.292969	-3.44	28.47	0.91
301.757813	-3.62	33.31	0.94
303.222656	-3.86	37.66	0.89
304.687500	-4.15	41.35	0.94
306.152344	-4.49	44.47	0.95
307.617188	-4.84	47.19	0.96
309.082031	-5.22	49.51	0.94
310.546875	-5.60	51.51	0.89
312.011719	-5.97	53.42	0.86
313.476563	-6.33	55.39	0.84
314.941406	-6.64	57.52	0.88
316.406250	-6.93	59.96	0.79
317.871094	-7.17	62.78	0.16
319.335938	-7.37	65.73	0.51
320.800781	-7.51	68.78	0.63
322.265625	-7.61	71.57	0.82
323.730469	-7.71	73.87	0.90
325.195313	-7.82	75.46	0.94
326.660156	-7.95	76.25	0.95
328.125000	-8.10	76.59	0.96
329.589844	-8.26	76.51	0.97
331.054688	-8.42	76.19	0.98
332.519531	-8.60	75.60	0.98
333.984375	-8.79	74.68	0.99
335.449219	-8.98	73.55	0.99
336.914063	-9.19	72.27	0.99
338.378906	-9.39	70.87	0.98
339.843750	-9.61	69.43	0.98
341.308594	-9.82	67.86	0.97
342.773438	-10.05	66.31	0.95
344.238281	-10.28	64.76	0.93
345.703125	-10.50	63.25	0.97
347.167969	-10.73	61.78	0.94
348.632813	-10.95	60.40	0.93
350.097656	-11.17	59.08	0.89
351.562500	-11.38	57.81	0.95
353.027344	-11.57	56.66	0.94
354.492188	-11.76	55.70	0.94
355.957031	-11.92	54.92	0.86
357.421875	-12.07	54.20	0.73
358.886719	-12.17	53.54	0.60
360.351563	-12.26	53.00	0.79
361.816406	-12.32	52.70	0.79
363.281250	-12.35	52.66	0.31
364.746094	-12.35	52.66	0.45
366.210938	-12.32	52.54	0.34
367.675781	-12.29	51.87	0.47
369.140625	-12.27	50.66	0.66
370.605469	-12.26	49.00	0.82
372.070313	-12.23	47.02	0.84
373.535156	-12.18	44.86	0.92
375.000000	-12.14	42.47	0.97
376.464844	-12.09	39.81	0.98
377.929688	-12.02	36.96	0.96
379.394531	-11.95	33.97	0.94
380.859375	-11.87	30.82	0.94
382.324219	-11.79	27.54	0.90
383.789063	-11.70	24.13	0.95
385.253906	-11.61	20.73	0.97
386.718750	-11.52	17.32	0.96
388.183594	-11.44	13.94	0.95
389.648438	-11.36	10.61	0.95
391.113281	-11.29	7.29	0.97
392.578125	-11.22	4.01	0.92
394.042969	-11.17	0.81	0.93
395.507813	-11.12	-2.31	0.90
