	SM57-25		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-54.54	113.88	0.62
4.394531	-54.93	49.65	0.39
5.859375	-55.04	119.69	0.79
7.324219	-39.36	11.62	0.59
8.789063	-41.00	111.16	0.99
10.253906	1234.57	45.00	1.00
11.718750	-33.43	9.67	0.47
13.183594	-31.15	144.36	0.64
14.648438	-26.51	7.11	0.35
16.113281	-31.24	136.57	0.96
17.578125	-33.03	149.84	0.96
19.042969	-30.60	174.79	0.85
20.507813	-28.83	168.17	0.91
21.972656	-24.31	-173.88	0.69
23.437500	-20.99	170.13	0.92
24.902344	-18.83	-134.01	0.12
26.367188	-17.13	132.45	0.99
27.832031	1234.57	45.00	1.00
29.296875	-10.84	167.29	0.41
30.761719	-5.46	-129.80	0.81
32.226563	-10.93	-165.05	0.16
33.691406	-12.65	134.62	0.77
35.156250	-12.63	149.58	0.62
36.621094	-12.18	132.10	0.60
38.085938	-11.36	114.81	0.87
39.550781	-11.01	110.96	0.79
41.015625	-10.08	95.41	0.31
42.480469	-7.39	128.30	0.30
43.945313	-5.92	132.29	0.65
45.410156	-7.85	126.37	0.75
46.875000	-8.58	123.69	0.67
48.339844	-8.64	119.04	0.73
49.804688	-8.98	117.96	0.59
51.269531	-8.97	106.65	0.61
52.734375	-7.81	110.42	0.94
54.199219	-7.84	117.26	0.92
55.664063	-8.60	120.27	0.74
57.128906	-9.23	114.91	0.51
58.593750	-9.83	108.78	0.60
60.058594	-9.67	102.74	0.75
61.523438	-9.39	95.58	0.79
62.988281	-8.95	89.01	0.96
64.453125	-7.83	85.71	0.92
65.917969	-6.44	83.68	0.92
67.382813	-5.22	82.57	0.84
68.847656	-4.15	84.73	0.78
70.312500	-3.31	89.13	0.60
71.777344	-2.94	96.93	0.54
73.242188	-2.84	103.00	0.26
74.707031	-3.66	101.73	0.53
76.171875	-4.20	98.11	0.31
77.636719	-4.41	93.42	0.79
79.101563	-4.77	90.84	0.97
80.566406	-5.20	89.09	0.97
82.031250	-5.66	87.57	0.98
83.496094	-6.02	87.61	0.99
84.960938	-6.23	88.79	0.97
86.425781	-6.24	90.12	1.00
87.890625	-6.13	91.37	1.00
89.355469	-5.86	92.53	0.99
90.820313	-5.46	93.56	0.99
92.285156	-4.96	94.39	0.99
93.750000	-4.39	94.26	0.99
95.214844	-3.90	93.15	0.98
96.679688	-3.44	91.60	0.98
98.144531	-3.17	89.32	0.98
99.609375	-3.02	86.99	0.99
101.074219	-2.87	84.98	1.00
102.539063	-2.69	83.42	1.00
104.003906	-2.55	82.21	1.00
105.468750	-2.44	81.32	0.99
106.933594	-2.32	80.89	1.00
108.398438	-2.13	80.69	1.00
109.863281	-1.91	80.71	0.99
111.328125	-1.63	80.97	0.99
112.792969	-1.26	81.03	1.00
114.257813	-0.82	80.51	0.98
115.722656	-0.33	79.86	0.99
117.187500	0.17	78.62	0.95
118.652344	0.60	76.09	0.87
120.117188	1.14	73.81	0.88
121.582031	1.42	70.81	0.94
123.046875	1.56	67.20	0.97
124.511719	1.57	63.01	0.97
125.976563	1.42	58.89	0.98
127.441406	1.14	55.25	0.97
128.906250	0.78	51.84	0.95
130.371094	0.46	49.32	0.99
131.835938	0.16	47.81	0.99
133.300781	-0.12	46.90	1.00
134.765625	-0.37	46.37	1.00
136.230469	-0.56	46.04	1.00
137.695313	-0.71	45.82	0.99
139.160156	-0.83	45.52	0.99
140.625000	-0.91	45.13	0.99
142.089844	-1.03	45.10	0.98
143.554688	-1.16	44.88	0.99
145.019531	-1.23	44.72	0.99
146.484375	-1.26	44.64	1.00
147.949219	-1.27	44.50	1.00
149.414063	-1.27	44.26	1.00
150.878906	-1.25	44.03	1.00
152.343750	-1.23	43.85	1.00
153.808594	-1.21	43.73	1.00
155.273438	-1.21	43.65	1.00
156.738281	-1.20	43.79	1.00
158.203125	-1.18	44.06	1.00
159.667969	-1.07	44.28	1.00
161.132813	-0.93	44.37	1.00
162.597656	-0.73	44.27	1.00
164.062500	-0.54	43.85	1.00
165.527344	-0.35	43.14	0.99
166.992188	-0.15	42.18	0.98
168.457031	0.06	41.08	0.98
169.921875	0.19	39.79	0.98
171.386719	0.24	38.53	0.99
172.851563	0.22	37.70	0.94
174.316406	0.14	36.82	0.98
175.781250	0.06	35.94	0.98
177.246094	-0.03	35.15	1.00
178.710938	-0.12	34.58	1.00
180.175781	-0.20	34.24	0.99
181.640625	-0.26	34.00	0.99
183.105469	-0.23	33.78	0.99
184.570313	-0.16	33.51	0.98
186.035156	-0.10	32.87	0.98
187.500000	-0.11	31.77	0.99
188.964844	-0.20	30.39	0.99
190.429688	-0.32	29.32	1.00
191.894531	-0.47	28.50	1.00
193.359375	-0.62	27.97	1.00
194.824219	-0.77	27.65	1.00
196.289063	-0.91	27.43	0.99
197.753906	-1.02	27.25	0.99
199.218750	-1.13	27.09	1.00
200.683594	-1.22	27.00	1.00
202.148438	-1.32	27.01	1.00
203.613281	-1.39	27.13	1.00
205.078125	-1.44	27.28	1.00
206.542969	-1.48	27.42	1.00
208.007813	-1.51	27.51	1.00
209.472656	-1.53	27.55	1.00
210.937500	-1.53	27.52	0.99
212.402344	-1.56	27.31	1.00
213.867188	-1.61	26.99	1.00
215.332031	-1.68	26.69	1.00
216.796875	-1.78	26.52	1.00
218.261719	-1.88	26.50	1.00
219.726563	-1.99	26.67	1.00
221.191406	-2.08	26.97	1.00
222.656250	-2.17	27.38	1.00
224.121094	-2.24	27.90	1.00
225.585938	-2.29	28.47	1.00
227.050781	-2.33	29.09	1.00
228.515625	-2.36	29.74	1.00
229.980469	-2.37	30.40	1.00
231.445313	-2.36	31.06	1.00
232.910156	-2.34	31.72	1.00
234.375000	-2.30	32.36	1.00
235.839844	-2.25	32.98	1.00
237.304688	-2.20	33.51	1.00
238.769531	-2.14	33.96	1.00
240.234375	-2.07	34.37	1.00
241.699219	-2.00	34.76	1.00
243.164063	-1.91	35.14	1.00
244.628906	-1.82	35.52	1.00
246.093750	-1.70	35.82	1.00
247.558594	-1.57	36.03	1.00
249.023438	-1.43	36.14	1.00
250.488281	-1.28	36.07	1.00
251.953125	-1.13	35.83	1.00
253.417969	-0.99	35.45	0.97
254.882813	-0.85	35.00	0.99
256.347656	-0.71	34.47	0.99
257.812500	-0.59	33.74	0.98
259.277344	-0.51	32.80	0.98
260.742188	-0.47	31.96	0.99
262.207031	-0.45	31.26	0.99
263.671875	-0.45	30.73	0.98
265.136719	-0.45	30.35	1.00
266.601563	-0.45	29.98	1.00
268.066406	-0.45	29.64	1.00
269.531250	-0.45	29.36	1.00
270.996094	-0.44	29.11	1.00
272.460938	-0.43	28.90	1.00
273.925781	-0.41	28.70	0.99
275.390625	-0.37	28.50	0.98
276.855469	-0.30	28.26	1.00
278.320313	-0.23	27.94	0.98
279.785156	-0.16	27.57	1.00
281.250000	-0.08	27.20	0.99
282.714844	-0.01	26.81	1.00
284.179688	0.07	26.36	1.00
285.644531	0.15	25.77	1.00
287.109375	0.23	25.07	1.00
288.574219	0.29	24.20	1.00
290.039063	0.34	23.27	1.00
291.503906	0.37	22.25	0.99
292.968750	0.39	21.18	0.98
294.433594	0.38	20.02	0.99
295.898438	0.33	18.76	0.99
297.363281	0.26	17.63	1.00
298.828125	0.16	16.61	1.00
300.292969	0.05	15.68	1.00
301.757813	-0.08	14.84	1.00
303.222656	-0.23	14.15	0.99
304.687500	-0.39	13.60	0.99
306.152344	-0.56	13.25	0.99
307.617188	-0.73	13.07	1.00
309.082031	-0.88	13.01	1.00
310.546875	-1.02	13.04	1.00
312.011719	-1.15	13.14	1.00
313.476563	-1.27	13.32	1.00
314.941406	-1.37	13.55	1.00
316.406250	-1.47	13.84	1.00
317.871094	-1.56	14.16	1.00
319.335938	-1.63	14.51	1.00
320.800781	-1.70	14.86	1.00
322.265625	-1.76	15.21	1.00
323.730469	-1.81	15.58	1.00
325.195313	-1.85	15.96	1.00
326.660156	-1.89	16.36	1.00
328.125000	-1.92	16.75	1.00
329.589844	-1.94	17.12	1.00
331.054688	-1.95	17.47	1.00
332.519531	-1.96	17.76	1.00
333.984375	-1.96	18.02	1.00
335.449219	-1.97	18.24	1.00
336.914063	-1.98	18.43	1.00
338.378906	-1.99	18.64	1.00
339.843750	-2.01	18.85	1.00
341.308594	-2.02	19.09	0.99
342.773438	-2.03	19.30	0.99
344.238281	-2.04	19.53	1.00
345.703125	-2.05	19.76	1.00
347.167969	-2.06	19.99	1.00
348.632813	-2.05	20.22	1.00
350.097656	-2.05	20.44	1.00
351.562500	-2.04	20.64	1.00
353.027344	-2.02	20.82	1.00
354.492188	-2.01	20.95	1.00
355.957031	-1.99	21.03	1.00
357.421875	-1.98	21.06	1.00
358.886719	-1.97	21.03	1.00
360.351563	-1.96	20.96	1.00
361.816406	-1.97	20.87	1.00
363.281250	-1.98	20.78	1.00
364.746094	-2.01	20.71	1.00
366.210938	-2.04	20.68	1.00
367.675781	-2.07	20.73	1.00
369.140625	-2.11	20.86	1.00
370.605469	-2.16	21.09	1.00
372.070313	-2.20	21.37	1.00
373.535156	-2.24	21.72	1.00
375.000000	-2.27	22.11	1.00
376.464844	-2.29	22.54	1.00
377.929688	-2.30	23.00	1.00
379.394531	-2.31	23.45	1.00
380.859375	-2.30	23.91	1.00
382.324219	-2.29	24.34	1.00
383.789063	-2.27	24.76	1.00
385.253906	-2.25	25.16	1.00
386.718750	-2.22	25.57	1.00
388.183594	-2.19	25.98	1.00
389.648438	-2.16	26.39	1.00
391.113281	-2.11	26.79	1.00
392.578125	-2.06	27.17	1.00
394.042969	-2.00	27.50	1.00
395.507813	-1.93	27.79	1.00
396.972656	-1.87	28.04	1.00
398.437500	-1.80	28.26	1.00
399.902344	-1.73	28.43	1.00
401.367188	-1.66	28.56	1.00
402.832031	-1.59	28.62	1.00
404.296875	-1.52	28.65	1.00
405.761719	-1.45	28.66	1.00
407.226563	-1.39	28.64	1.00
