	SM57-140		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-57.95	143.32	0.55
4.394531	-53.78	-177.98	0.24
5.859375	-49.45	109.04	0.08
7.324219	-38.98	129.33	0.25
8.789063	-31.60	139.29	0.62
10.253906	-16.87	72.94	0.49
11.718750	-30.09	-160.32	0.46
13.183594	-25.63	-96.07	0.36
14.648438	-24.32	2.66	0.42
16.113281	-30.25	160.20	0.67
17.578125	-26.18	159.68	0.77
19.042969	-23.14	-143.05	0.32
20.507813	-24.20	-151.76	0.29
21.972656	-26.15	-144.64	0.35
23.437500	-14.79	167.31	0.08
24.902344	-15.98	-31.92	0.58
26.367188	-9.57	-74.21	0.52
27.832031	1234.57	45.00	1.00
29.296875	-12.07	-104.92	0.43
30.761719	-13.58	-134.98	0.26
32.226563	-14.92	173.20	0.72
33.691406	-12.47	166.98	0.69
35.156250	-11.35	156.43	0.67
36.621094	-10.40	163.24	0.37
38.085938	-9.72	-165.85	0.65
39.550781	-7.97	-143.52	0.18
41.015625	-5.26	-49.75	0.25
42.480469	-4.79	50.63	0.21
43.945313	-4.52	98.93	0.24
45.410156	-3.11	143.14	0.04
46.875000	-2.77	162.80	0.41
48.339844	-3.19	158.64	0.45
49.804688	-3.55	108.67	0.37
51.269531	-3.26	130.08	0.22
52.734375	-4.02	106.11	0.44
54.199219	-3.68	93.05	0.49
55.664063	-2.94	85.39	0.41
57.128906	-2.07	75.03	0.68
58.593750	-1.84	73.46	0.34
60.058594	-2.07	47.13	0.20
61.523438	-1.91	10.96	0.36
62.988281	-2.04	6.44	0.52
64.453125	-2.59	-7.25	0.09
65.917969	-2.86	-142.95	0.23
67.382813	-2.83	-136.28	0.22
68.847656	-1.66	-127.36	0.13
70.312500	-0.52	-110.77	0.14
71.777344	0.65	-96.26	0.10
73.242188	1.11	-88.68	0.43
74.707031	-0.33	-79.83	0.28
76.171875	-2.75	-69.96	0.26
77.636719	-4.79	-67.58	0.29
79.101563	-6.58	-66.55	0.10
80.566406	-8.13	-54.25	0.53
82.031250	-9.36	-40.63	0.31
83.496094	-9.99	-17.21	0.20
84.960938	-10.21	26.01	0.34
86.425781	-10.55	70.85	0.58
87.890625	-10.87	74.17	0.84
89.355469	-11.24	66.24	0.79
90.820313	-11.63	56.91	0.59
92.285156	-11.85	51.46	0.62
93.750000	-12.26	46.28	0.71
95.214844	-12.89	46.72	0.53
96.679688	-13.37	48.12	0.42
98.144531	-13.80	46.52	0.35
99.609375	-14.19	43.81	0.68
101.074219	-14.51	41.16	0.86
102.539063	-14.79	39.45	0.77
104.003906	-14.99	39.05	0.68
105.468750	-15.13	40.03	0.59
106.933594	-15.09	43.72	0.35
108.398438	-14.55	46.59	0.74
109.863281	-13.82	45.92	0.70
111.328125	-13.16	41.58	0.71
112.792969	-12.56	38.11	0.66
114.257813	-12.08	39.61	0.46
115.722656	-11.75	40.50	0.32
117.187500	-11.52	43.67	0.50
118.652344	-11.34	47.74	0.42
120.117188	-11.25	55.33	0.25
121.582031	-11.31	63.81	0.30
123.046875	-11.27	74.41	0.31
124.511719	-10.98	82.89	0.25
125.976563	-10.72	87.73	0.37
127.441406	-10.54	87.90	0.63
128.906250	-10.52	79.05	0.57
130.371094	-10.60	70.95	0.89
131.835938	-10.72	63.69	0.89
133.300781	-10.83	57.40	0.94
134.765625	-10.92	52.09	0.96
136.230469	-10.99	46.76	0.84
137.695313	-10.98	41.59	0.72
139.160156	-10.89	37.11	0.65
140.625000	-10.88	34.13	0.54
142.089844	-11.12	36.47	0.24
143.554688	-11.40	35.53	0.74
145.019531	-11.71	33.22	0.78
146.484375	-11.98	30.20	0.80
147.949219	-12.24	27.28	0.69
149.414063	-12.38	25.21	0.72
150.878906	-12.50	24.02	0.55
152.343750	-12.49	22.80	0.88
153.808594	-12.35	22.09	0.75
155.273438	-12.08	21.34	0.63
156.738281	-11.70	20.19	0.74
158.203125	-11.32	18.85	0.80
159.667969	-10.99	15.98	0.79
161.132813	-10.67	13.40	0.77
162.597656	-10.40	11.10	0.66
164.062500	-10.28	10.68	0.14
165.527344	-10.16	10.47	0.10
166.992188	-10.00	9.38	0.20
168.457031	-9.81	7.84	0.31
169.921875	-9.71	8.07	0.35
171.386719	-9.69	5.83	0.51
172.851563	-9.66	2.02	0.07
174.316406	-9.70	0.26	0.41
175.781250	-9.80	-2.95	0.57
177.246094	-9.87	-6.14	0.84
178.710938	-9.92	-11.81	0.86
180.175781	-9.94	-19.66	0.82
181.640625	-9.91	-28.74	0.90
183.105469	-9.89	-39.83	0.92
184.570313	-9.89	-55.86	0.80
186.035156	-9.99	-75.17	0.87
187.500000	-10.23	-102.01	0.71
188.964844	-10.62	-128.10	0.74
190.429688	-11.04	-152.10	0.87
191.894531	-11.50	-169.97	0.59
193.359375	-12.00	-179.76	0.43
194.824219	-12.47	173.95	0.30
196.289063	-12.83	166.87	0.61
197.753906	-13.14	160.64	0.79
199.218750	-13.41	154.36	0.82
200.683594	-13.64	147.48	0.77
202.148438	-13.88	140.89	0.81
203.613281	-14.04	136.03	0.66
205.078125	-14.11	131.84	0.54
206.542969	-14.13	129.06	0.77
208.007813	-14.11	128.44	0.74
209.472656	-14.06	130.30	0.68
210.937500	-13.96	132.20	0.61
212.402344	-13.90	132.28	0.56
213.867188	-13.85	130.41	0.79
215.332031	-13.79	126.89	0.63
216.796875	-13.78	120.46	0.69
218.261719	-13.77	114.08	0.89
219.726563	-13.75	108.59	0.86
221.191406	-13.79	104.23	0.84
222.656250	-13.87	100.21	0.80
224.121094	-13.98	96.30	0.78
225.585938	-14.12	91.94	0.64
227.050781	-14.25	87.32	0.70
228.515625	-14.41	83.54	0.63
229.980469	-14.57	80.20	0.87
231.445313	-14.71	77.97	0.89
232.910156	-14.83	76.62	0.61
234.375000	-14.84	75.79	0.51
235.839844	-14.74	75.35	0.31
237.304688	-14.59	74.29	0.60
238.769531	-14.39	72.92	0.77
240.234375	-14.19	70.98	0.76
241.699219	-13.99	69.10	0.76
243.164063	-13.76	67.47	0.82
244.628906	-13.47	66.47	0.52
246.093750	-13.18	65.84	0.58
247.558594	-12.84	66.07	0.43
249.023438	-12.47	67.16	0.42
250.488281	-12.09	68.65	0.35
251.953125	-11.66	70.09	0.38
253.417969	-11.28	71.50	0.52
254.882813	-10.92	72.08	0.64
256.347656	-10.56	73.03	0.42
257.812500	-10.25	76.24	0.17
259.277344	-9.96	79.37	0.48
260.742188	-9.73	80.86	0.66
262.207031	-9.55	80.30	0.55
263.671875	-9.43	77.73	0.38
265.136719	-9.28	76.08	0.51
266.601563	-9.15	74.02	0.41
268.066406	-8.99	71.68	0.45
269.531250	-8.80	69.33	0.26
270.996094	-8.59	67.25	0.12
272.460938	-8.38	64.90	0.48
273.925781	-8.19	62.56	0.53
275.390625	-8.03	59.21	0.64
276.855469	-7.87	55.66	0.70
278.320313	-7.71	52.00	0.25
279.785156	-7.57	47.36	0.12
281.250000	-7.44	42.86	0.47
282.714844	-7.33	39.28	0.70
284.179688	-7.23	36.16	0.77
285.644531	-7.13	33.86	0.68
287.109375	-7.04	32.25	0.32
288.574219	-6.94	30.97	0.41
290.039063	-6.84	32.09	0.34
291.503906	-6.75	34.53	0.50
292.968750	-6.66	39.73	0.60
294.433594	-6.60	48.80	0.76
295.898438	-6.60	60.24	0.65
297.363281	-6.65	66.60	0.71
298.828125	-6.74	68.26	0.83
300.292969	-6.85	67.88	0.86
301.757813	-6.98	66.59	0.82
303.222656	-7.15	64.76	0.91
304.687500	-7.33	62.56	0.95
306.152344	-7.51	60.25	0.95
307.617188	-7.70	58.25	0.95
309.082031	-7.90	56.35	0.94
310.546875	-8.09	54.49	0.98
312.011719	-8.28	53.00	0.98
313.476563	-8.46	51.82	0.98
314.941406	-8.64	50.91	0.97
316.406250	-8.80	50.38	0.95
317.871094	-8.95	50.36	0.84
319.335938	-9.08	50.79	0.86
320.800781	-9.19	51.73	0.64
322.265625	-9.27	52.94	0.50
323.730469	-9.31	53.69	0.89
325.195313	-9.35	53.83	0.89
326.660156	-9.38	53.23	0.89
328.125000	-9.39	52.28	0.88
329.589844	-9.40	50.92	0.95
331.054688	-9.41	49.27	0.98
332.519531	-9.43	47.26	0.98
333.984375	-9.45	45.01	0.95
335.449219	-9.47	42.59	0.95
336.914063	-9.49	40.13	0.95
338.378906	-9.50	37.58	0.97
339.843750	-9.53	34.80	0.92
341.308594	-9.57	31.98	0.93
342.773438	-9.62	29.13	0.97
344.238281	-9.68	26.20	0.96
345.703125	-9.75	23.24	0.93
347.167969	-9.82	20.37	0.93
348.632813	-9.90	17.57	0.94
350.097656	-9.96	14.78	0.96
351.562500	-10.03	11.97	0.98
353.027344	-10.09	9.20	0.96
354.492188	-10.16	6.52	0.95
355.957031	-10.23	3.94	0.97
357.421875	-10.30	1.55	0.94
358.886719	-10.38	-0.72	0.84
360.351563	-10.48	-2.83	0.94
361.816406	-10.57	-4.78	0.93
363.281250	-10.66	-6.61	0.85
364.746094	-10.74	-8.29	0.59
366.210938	-10.82	-9.62	0.23
367.675781	-10.93	-11.82	0.33
369.140625	-11.08	-12.98	0.27
370.605469	-11.24	-14.22	0.74
372.070313	-11.40	-14.74	0.84
373.535156	-11.57	-13.90	0.66
375.000000	-11.74	-12.34	0.53
376.464844	-11.89	-9.97	0.58
377.929688	-12.04	-7.13	0.62
379.394531	-12.16	-3.68	0.15
380.859375	-12.27	0.19	0.24
382.324219	-12.35	3.75	0.31
383.789063	-12.43	7.51	0.18
385.253906	-12.48	12.26	0.44
386.718750	-12.52	17.06	0.55
388.183594	-12.57	22.36	0.40
389.648438	-12.63	27.03	0.36
391.113281	-12.69	30.93	0.75
392.578125	-12.74	34.21	0.83
394.042969	-12.80	37.18	0.55
395.507813	-12.84	39.68	0.20
396.972656	-12.85	42.44	0.26
398.437500	-12.84	45.05	0.43
399.902344	-12.80	47.45	0.10
401.367188	-12.75	49.70	0.46
