	SM57-150		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-55.51	147.44	0.59
4.394531	-53.38	177.93	0.26
5.859375	-49.45	109.04	0.08
7.324219	-38.98	129.33	0.25
8.789063	-31.60	139.29	0.62
10.253906	-24.02	75.50	0.42
11.718750	-28.17	-161.92	0.46
13.183594	-22.50	-76.25	0.29
14.648438	-25.56	1.28	0.29
16.113281	-28.43	159.75	0.42
17.578125	-22.83	162.08	0.67
19.042969	-21.64	-165.19	0.38
20.507813	-27.08	116.55	0.58
21.972656	-25.76	-136.42	0.38
23.437500	-18.61	-96.89	0.41
24.902344	-20.92	-162.25	0.11
26.367188	-14.21	-75.06	0.38
27.832031	-22.21	-131.59	0.93
29.296875	-14.69	-91.97	0.46
30.761719	-16.48	165.82	0.69
32.226563	-17.06	175.07	0.37
33.691406	-14.75	170.26	0.71
35.156250	-13.52	-143.21	0.49
36.621094	-12.22	-151.39	0.61
38.085938	-11.23	163.46	0.26
39.550781	-9.86	-146.94	0.23
41.015625	-7.92	-127.01	0.37
42.480469	-5.38	-94.10	0.15
43.945313	-4.13	-79.19	0.12
45.410156	-3.60	-114.53	0.14
46.875000	-4.24	-58.15	0.15
48.339844	-2.61	27.97	0.17
49.804688	-2.85	145.85	0.25
51.269531	-3.93	164.41	0.37
52.734375	-3.87	140.50	0.24
54.199219	-2.98	131.15	0.47
55.664063	-2.57	146.50	0.29
57.128906	-2.12	149.60	0.47
58.593750	-1.61	132.49	0.64
60.058594	-1.67	120.87	0.48
61.523438	-2.50	77.72	0.23
62.988281	-3.11	-28.99	0.57
64.453125	-2.80	-64.31	0.34
65.917969	-1.40	-65.34	0.25
67.382813	0.19	-58.64	0.44
68.847656	1.47	-59.57	0.44
70.312500	2.98	-65.35	0.39
71.777344	5.41	-63.83	0.24
73.242188	6.40	-53.81	0.15
74.707031	4.85	-46.39	0.08
76.171875	1.80	-39.09	0.33
77.636719	-0.21	-29.20	0.57
79.101563	-1.93	-16.70	0.34
80.566406	-3.41	-7.61	0.56
82.031250	-5.07	0.31	0.35
83.496094	-6.92	0.51	0.42
84.960938	-8.10	4.36	0.28
86.425781	-9.00	21.82	0.37
87.890625	-9.78	35.11	0.77
89.355469	-10.51	37.88	0.72
90.820313	-11.15	36.90	0.53
92.285156	-11.73	37.78	0.59
93.750000	-12.22	30.56	0.44
95.214844	-12.62	24.25	0.64
96.679688	-13.19	18.67	0.66
98.144531	-13.78	17.83	0.75
99.609375	-14.27	17.52	0.81
101.074219	-14.40	16.41	0.71
102.539063	-14.53	15.76	0.80
104.003906	-14.68	15.32	0.67
105.468750	-14.71	15.49	0.44
106.933594	-14.50	16.14	0.57
108.398438	-14.18	19.93	0.29
109.863281	-13.87	24.33	0.53
111.328125	-13.53	24.87	0.56
112.792969	-12.97	22.00	0.57
114.257813	-12.46	14.41	0.69
115.722656	-12.14	-0.16	0.77
117.187500	-11.84	-12.60	0.72
118.652344	-11.58	-26.77	0.61
120.117188	-11.25	-50.34	0.23
121.582031	-10.91	-83.88	0.60
123.046875	-10.62	-115.11	0.80
124.511719	-10.47	-147.51	0.76
125.976563	-10.50	-179.02	0.66
127.441406	-10.58	136.25	0.58
128.906250	-10.63	111.00	0.84
130.371094	-10.82	93.82	0.81
131.835938	-10.99	81.41	0.75
133.300781	-11.13	72.75	0.53
134.765625	-11.16	63.89	0.77
136.230469	-11.16	55.47	0.86
137.695313	-11.16	47.81	0.87
139.160156	-11.08	42.85	0.75
140.625000	-11.00	41.90	0.56
142.089844	-11.00	40.03	0.21
143.554688	-11.10	36.80	0.30
145.019531	-11.22	35.31	0.62
146.484375	-11.46	34.54	0.52
147.949219	-11.75	31.85	0.53
149.414063	-12.03	29.02	0.29
150.878906	-12.25	28.19	0.08
152.343750	-12.35	25.66	0.58
153.808594	-12.18	24.50	0.01
155.273438	-11.92	20.68	0.33
156.738281	-11.56	16.04	0.38
158.203125	-11.15	11.39	0.64
159.667969	-10.78	6.18	0.61
161.132813	-10.48	0.33	0.69
162.597656	-10.20	-4.14	0.72
164.062500	-9.89	-4.18	0.69
165.527344	-9.59	-2.27	0.72
166.992188	-9.29	3.34	0.51
168.457031	-9.06	18.06	0.33
169.921875	-8.90	48.92	0.49
171.386719	-8.88	60.70	0.61
172.851563	-8.91	57.26	0.65
174.316406	-8.98	47.99	0.63
175.781250	-9.07	31.68	0.68
177.246094	-9.17	14.49	0.67
178.710938	-9.26	-0.10	0.72
180.175781	-9.30	-15.76	0.90
181.640625	-9.25	-31.18	0.93
183.105469	-9.14	-46.08	0.87
184.570313	-8.99	-61.22	0.93
186.035156	-8.96	-79.09	0.77
187.500000	-9.09	-98.96	0.81
188.964844	-9.40	-115.05	0.78
190.429688	-9.80	-126.59	0.70
191.894531	-10.26	-136.54	0.73
193.359375	-10.67	-145.32	0.91
194.824219	-11.02	-153.28	0.84
196.289063	-11.30	-161.28	0.79
197.753906	-11.58	-171.16	0.82
199.218750	-11.82	179.04	0.76
200.683594	-12.06	168.81	0.83
202.148438	-12.37	160.73	0.63
203.613281	-12.70	152.03	0.66
205.078125	-12.95	144.67	0.58
206.542969	-13.18	140.30	0.65
208.007813	-13.39	138.80	0.67
209.472656	-13.57	138.33	0.59
210.937500	-13.63	139.27	0.25
212.402344	-13.68	137.27	0.72
213.867188	-13.73	134.05	0.60
215.332031	-13.79	130.36	0.86
216.796875	-13.86	126.89	0.91
218.261719	-13.94	122.18	0.80
219.726563	-14.06	117.02	0.47
221.191406	-14.25	110.81	0.46
222.656250	-14.47	104.73	0.57
224.121094	-14.70	99.30	0.63
225.585938	-14.92	93.78	0.89
227.050781	-15.13	88.82	0.85
228.515625	-15.35	84.24	0.78
229.980469	-15.59	80.17	0.90
231.445313	-15.78	77.11	0.81
232.910156	-15.91	74.23	0.65
234.375000	-15.99	72.34	0.70
235.839844	-16.02	71.88	0.27
237.304688	-16.01	71.75	0.58
238.769531	-15.95	70.80	0.59
240.234375	-15.82	68.89	0.71
241.699219	-15.66	66.20	0.77
243.164063	-15.46	62.75	0.72
244.628906	-15.23	58.85	0.69
246.093750	-14.94	55.57	0.41
247.558594	-14.64	52.78	0.16
249.023438	-14.28	49.81	0.53
250.488281	-13.91	46.95	0.38
251.953125	-13.54	45.34	0.15
253.417969	-13.11	43.68	0.32
254.882813	-12.63	42.42	0.49
256.347656	-12.21	45.08	0.76
257.812500	-11.83	52.69	0.43
259.277344	-11.45	60.96	0.45
260.742188	-11.14	66.12	0.73
262.207031	-10.89	64.55	0.63
263.671875	-10.71	60.21	0.42
265.136719	-10.55	56.52	0.66
266.601563	-10.37	53.00	0.70
268.066406	-10.20	49.66	0.34
269.531250	-9.98	46.34	0.49
270.996094	-9.73	43.27	0.08
272.460938	-9.47	40.34	0.29
273.925781	-9.21	38.20	0.32
275.390625	-8.93	36.80	0.35
276.855469	-8.65	35.04	0.45
278.320313	-8.34	32.80	0.41
279.785156	-8.01	30.36	0.77
281.250000	-7.74	27.29	0.68
282.714844	-7.51	22.62	0.58
284.179688	-7.28	18.03	0.67
285.644531	-7.04	14.07	0.66
287.109375	-6.80	10.56	0.70
288.574219	-6.56	7.28	0.55
290.039063	-6.34	4.03	0.72
291.503906	-6.16	4.02	0.78
292.968750	-6.02	11.20	0.86
294.433594	-5.91	28.30	0.85
295.898438	-5.86	56.38	0.80
297.363281	-5.88	74.29	0.78
298.828125	-5.97	76.73	0.80
300.292969	-6.13	76.06	0.94
301.757813	-6.34	74.20	0.96
303.222656	-6.60	72.16	0.98
304.687500	-6.89	70.02	0.96
306.152344	-7.21	67.74	0.98
307.617188	-7.53	65.56	0.96
309.082031	-7.87	63.55	0.95
310.546875	-8.20	61.83	0.95
312.011719	-8.52	60.48	0.92
313.476563	-8.84	59.34	0.96
314.941406	-9.13	58.39	0.95
316.406250	-9.41	57.89	0.95
317.871094	-9.67	57.95	0.89
319.335938	-9.90	58.49	0.88
320.800781	-10.10	59.55	0.51
322.265625	-10.25	60.59	0.86
323.730469	-10.37	61.30	0.84
325.195313	-10.45	61.63	0.90
326.660156	-10.50	61.50	0.89
328.125000	-10.53	60.91	0.92
329.589844	-10.56	59.85	0.94
331.054688	-10.58	58.36	0.96
332.519531	-10.61	56.48	0.96
333.984375	-10.64	54.32	0.91
335.449219	-10.67	51.96	0.97
336.914063	-10.70	49.37	0.98
338.378906	-10.74	46.60	0.98
339.843750	-10.78	43.73	0.98
341.308594	-10.81	40.83	0.97
342.773438	-10.85	37.93	0.95
344.238281	-10.90	34.97	0.93
345.703125	-10.94	31.97	0.95
347.167969	-11.00	29.00	0.98
348.632813	-11.04	25.98	0.98
350.097656	-11.09	22.91	0.95
351.562500	-11.16	19.83	0.95
353.027344	-11.23	16.86	0.96
354.492188	-11.31	13.92	0.97
355.957031	-11.39	10.95	0.95
357.421875	-11.47	8.14	0.87
358.886719	-11.54	5.39	0.86
360.351563	-11.60	2.72	0.78
361.816406	-11.66	0.20	0.70
363.281250	-11.73	-2.14	0.71
364.746094	-11.78	-4.19	0.70
366.210938	-11.83	-6.03	0.83
367.675781	-11.91	-7.25	0.66
369.140625	-12.03	-7.42	0.08
370.605469	-12.15	-7.31	0.17
372.070313	-12.27	-7.32	0.52
373.535156	-12.35	-7.06	0.51
375.000000	-12.42	-6.51	0.11
376.464844	-12.45	-6.08	0.13
377.929688	-12.48	-5.62	0.25
379.394531	-12.49	-4.90	0.37
380.859375	-12.49	-4.02	0.38
382.324219	-12.49	-2.76	0.40
383.789063	-12.47	-1.68	0.05
385.253906	-12.47	-0.94	0.45
386.718750	-12.48	0.95	0.30
388.183594	-12.51	2.75	0.45
389.648438	-12.53	4.32	0.64
391.113281	-12.55	5.81	0.67
392.578125	-12.57	6.70	0.42
394.042969	-12.57	7.66	0.48
395.507813	-12.55	8.50	0.49
396.972656	-12.52	9.93	0.32
398.437500	-12.48	11.80	0.21
399.902344	-12.44	13.93	0.37
