	SM57-110		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-59.69	120.45	0.38
4.394531	-59.71	133.57	0.53
5.859375	-55.22	146.11	0.88
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	-17.83	44.47	0.89
11.718750	-33.26	-88.29	0.11
13.183594	-29.85	-128.49	0.49
14.648438	-26.85	5.45	0.35
16.113281	-32.53	154.33	0.57
17.578125	-29.22	162.06	0.85
19.042969	-26.23	81.71	0.39
20.507813	-23.34	125.84	0.52
21.972656	-20.05	129.95	0.28
23.437500	-15.42	90.78	0.55
24.902344	-28.55	159.12	0.64
26.367188	-20.44	132.25	0.93
27.832031	1234.57	45.00	1.00
29.296875	-15.42	146.36	0.64
30.761719	-18.10	130.20	0.61
32.226563	-19.14	128.12	0.59
33.691406	-13.55	103.69	0.33
35.156250	-12.41	133.36	0.43
36.621094	-12.86	178.89	0.44
38.085938	-13.35	57.14	0.23
39.550781	-13.06	54.94	0.55
41.015625	-9.74	43.90	0.09
42.480469	-8.17	65.19	0.35
43.945313	-7.32	107.72	0.40
45.410156	-5.54	120.72	0.69
46.875000	-4.97	136.69	0.73
48.339844	-4.37	147.25	0.63
49.804688	-4.20	-163.33	0.40
51.269531	-4.50	19.67	0.18
52.734375	-3.92	30.19	0.27
54.199219	-3.63	52.67	0.31
55.664063	-3.43	77.14	0.30
57.128906	-3.17	66.59	0.32
58.593750	-3.35	60.25	0.64
60.058594	-2.96	56.50	0.41
61.523438	-2.90	45.67	0.34
62.988281	-2.41	45.93	0.62
64.453125	-1.92	52.44	0.76
65.917969	-1.26	69.01	0.59
67.382813	-0.85	82.30	0.65
68.847656	-0.75	88.77	0.68
70.312500	-0.49	85.87	0.55
71.777344	-0.04	77.15	0.11
73.242188	0.14	74.90	0.36
74.707031	-1.03	77.84	0.09
76.171875	-2.94	78.72	0.68
77.636719	-4.21	78.61	0.19
79.101563	-5.24	74.87	0.51
80.566406	-6.43	70.66	0.15
82.031250	-7.88	68.74	0.25
83.496094	-9.31	72.16	0.62
84.960938	-10.28	78.63	0.75
86.425781	-10.65	84.96	0.61
87.890625	-10.87	86.78	0.55
89.355469	-11.14	85.76	0.80
90.820313	-11.17	86.17	0.83
92.285156	-11.16	85.26	0.83
93.750000	-10.90	83.78	0.85
95.214844	-10.46	81.91	0.78
96.679688	-10.21	79.90	0.68
98.144531	-10.03	82.27	0.83
99.609375	-9.89	84.05	0.89
101.074219	-9.77	86.31	0.88
102.539063	-9.33	88.17	0.75
104.003906	-8.91	88.24	0.66
105.468750	-8.60	88.75	0.61
106.933594	-8.28	90.43	0.76
108.398438	-7.95	89.09	0.82
109.863281	-7.67	87.49	0.87
111.328125	-7.41	83.94	0.82
112.792969	-7.15	79.75	0.75
114.257813	-6.98	75.81	0.43
115.722656	-6.81	74.91	0.57
117.187500	-6.71	75.85	0.89
118.652344	-6.66	74.40	0.91
120.117188	-6.55	72.61	0.94
121.582031	-6.45	70.93	0.94
123.046875	-6.42	67.72	0.94
124.511719	-6.44	64.34	0.93
125.976563	-6.40	61.24	0.93
127.441406	-6.35	57.88	0.91
128.906250	-6.38	54.55	0.97
130.371094	-6.53	51.98	0.98
131.835938	-6.71	49.65	0.97
133.300781	-6.95	47.16	0.97
134.765625	-7.21	44.95	0.97
136.230469	-7.49	42.95	0.98
137.695313	-7.73	41.07	0.98
139.160156	-7.99	39.67	0.97
140.625000	-8.23	38.94	0.94
142.089844	-8.41	39.31	0.81
143.554688	-8.50	39.82	0.92
145.019531	-8.59	39.81	0.96
146.484375	-8.69	39.39	0.85
147.949219	-8.82	38.78	0.78
149.414063	-9.03	37.01	0.85
150.878906	-9.18	36.14	0.85
152.343750	-9.28	35.68	0.90
153.808594	-9.36	34.84	0.84
155.273438	-9.46	34.87	0.90
156.738281	-9.56	34.65	0.96
158.203125	-9.68	34.09	0.96
159.667969	-9.80	33.27	0.95
161.132813	-9.93	32.68	0.98
162.597656	-10.08	32.03	0.96
164.062500	-10.21	31.58	0.96
165.527344	-10.26	31.66	0.89
166.992188	-10.24	32.04	0.92
168.457031	-10.11	32.49	0.93
169.921875	-9.97	32.53	0.92
171.386719	-9.86	32.27	0.89
172.851563	-9.73	31.76	0.95
174.316406	-9.61	30.66	0.96
175.781250	-9.54	29.14	0.96
177.246094	-9.51	27.34	0.97
178.710938	-9.55	25.34	0.98
180.175781	-9.65	23.54	0.98
181.640625	-9.79	21.98	0.99
183.105469	-9.97	20.74	0.99
184.570313	-10.21	19.92	0.98
186.035156	-10.49	19.92	0.81
187.500000	-10.85	20.70	0.33
188.964844	-11.14	21.93	0.78
190.429688	-11.34	23.13	0.91
191.894531	-11.54	24.17	0.93
193.359375	-11.73	25.07	0.90
194.824219	-11.90	26.20	0.82
196.289063	-12.03	27.98	0.76
197.753906	-12.10	29.63	0.74
199.218750	-12.14	30.92	0.53
200.683594	-12.13	31.95	0.82
202.148438	-12.14	32.31	0.94
203.613281	-12.15	32.96	0.97
205.078125	-12.17	33.90	0.97
206.542969	-12.21	35.25	0.92
208.007813	-12.28	37.04	0.83
209.472656	-12.29	39.43	0.77
210.937500	-12.27	42.50	0.48
212.402344	-12.29	46.08	0.26
213.867188	-12.30	50.62	0.58
215.332031	-12.27	55.85	0.46
216.796875	-12.19	60.62	0.87
218.261719	-12.06	63.98	0.69
219.726563	-11.95	66.37	0.71
221.191406	-11.90	66.34	0.66
222.656250	-11.90	64.29	0.64
224.121094	-11.88	61.80	0.91
225.585938	-11.84	59.61	0.91
227.050781	-11.79	57.51	0.76
228.515625	-11.72	55.94	0.82
229.980469	-11.62	54.62	0.88
231.445313	-11.47	53.46	0.79
232.910156	-11.27	52.87	0.90
234.375000	-11.04	52.63	0.77
235.839844	-10.74	52.54	0.33
237.304688	-10.43	52.88	0.49
238.769531	-10.11	53.16	0.70
240.234375	-9.83	52.79	0.78
241.699219	-9.57	52.44	0.81
243.164063	-9.30	51.98	0.91
244.628906	-9.01	51.42	0.86
246.093750	-8.70	50.84	0.89
247.558594	-8.38	50.25	0.83
249.023438	-8.05	49.40	0.79
250.488281	-7.71	48.45	0.79
251.953125	-7.40	47.47	0.86
253.417969	-7.14	46.65	0.69
254.882813	-6.92	46.02	0.30
256.347656	-6.75	45.09	0.23
257.812500	-6.60	44.48	0.42
259.277344	-6.49	44.69	0.41
260.742188	-6.42	45.32	0.53
262.207031	-6.38	45.09	0.61
263.671875	-6.38	44.55	0.82
265.136719	-6.40	43.70	0.80
266.601563	-6.44	42.98	0.75
268.066406	-6.47	42.35	0.72
269.531250	-6.47	41.95	0.77
270.996094	-6.44	41.56	0.74
272.460938	-6.38	41.26	0.73
273.925781	-6.29	40.98	0.73
275.390625	-6.21	40.95	0.79
276.855469	-6.11	40.89	0.83
278.320313	-6.01	40.74	0.88
279.785156	-5.93	40.33	0.87
281.250000	-5.88	39.72	0.82
282.714844	-5.87	39.15	0.83
284.179688	-5.89	38.54	0.80
285.644531	-5.93	37.80	0.81
287.109375	-5.97	37.04	0.94
288.574219	-6.03	36.15	0.82
290.039063	-6.11	34.89	0.83
291.503906	-6.21	33.62	0.91
292.968750	-6.30	32.40	0.63
294.433594	-6.41	31.18	0.61
295.898438	-6.55	29.99	0.77
297.363281	-6.70	28.94	0.91
298.828125	-6.84	28.03	0.96
300.292969	-6.98	27.28	0.94
301.757813	-7.11	26.53	0.90
303.222656	-7.23	25.78	0.94
304.687500	-7.34	25.02	0.92
306.152344	-7.45	24.27	0.95
307.617188	-7.55	23.40	0.98
309.082031	-7.64	22.45	0.99
310.546875	-7.74	21.43	0.99
312.011719	-7.85	20.32	0.99
313.476563	-7.98	19.16	0.99
314.941406	-8.11	18.05	0.99
316.406250	-8.25	17.01	0.99
317.871094	-8.39	16.07	0.99
319.335938	-8.55	15.27	0.98
320.800781	-8.71	14.59	0.98
322.265625	-8.87	14.01	0.97
323.730469	-9.04	13.56	0.92
325.195313	-9.19	13.18	0.94
326.660156	-9.32	12.87	0.96
328.125000	-9.45	12.70	0.93
329.589844	-9.57	12.60	0.90
331.054688	-9.66	12.47	0.87
332.519531	-9.74	12.24	0.80
333.984375	-9.83	11.82	0.92
335.449219	-9.93	11.44	0.98
336.914063	-10.03	11.07	0.97
338.378906	-10.12	10.70	0.99
339.843750	-10.21	10.33	0.96
341.308594	-10.29	9.99	0.96
342.773438	-10.37	9.64	0.95
344.238281	-10.45	9.31	0.95
345.703125	-10.54	9.00	0.96
347.167969	-10.62	8.72	0.96
348.632813	-10.70	8.52	0.92
350.097656	-10.76	8.34	0.97
351.562500	-10.81	8.17	0.98
353.027344	-10.85	7.92	0.97
354.492188	-10.90	7.63	0.99
355.957031	-10.96	7.29	0.97
357.421875	-11.02	7.01	0.95
358.886719	-11.09	6.81	0.94
360.351563	-11.17	6.71	0.94
361.816406	-11.25	6.73	0.91
363.281250	-11.34	6.97	0.78
364.746094	-11.45	7.53	0.65
366.210938	-11.58	8.51	0.67
367.675781	-11.73	10.13	0.36
369.140625	-11.91	12.34	0.25
370.605469	-12.08	14.53	0.61
372.070313	-12.22	16.76	0.75
373.535156	-12.33	19.05	0.78
375.000000	-12.40	21.35	0.77
376.464844	-12.42	23.61	0.72
377.929688	-12.42	25.81	0.69
379.394531	-12.41	27.92	0.82
380.859375	-12.38	29.88	0.95
382.324219	-12.35	31.75	0.94
383.789063	-12.30	33.53	0.70
385.253906	-12.26	35.16	0.31
386.718750	-12.20	36.71	0.67
388.183594	-12.15	37.89	0.86
389.648438	-12.09	38.81	0.93
391.113281	-12.02	39.60	0.96
392.578125	-11.95	40.25	0.97
394.042969	-11.87	40.73	0.95
395.507813	-11.79	41.13	0.95
396.972656	-11.71	41.47	0.91
398.437500	-11.62	41.74	0.96
399.902344	-11.53	41.94	0.86
401.367188	-11.42	42.08	0.75
402.832031	-11.30	42.24	0.84
404.296875	-11.18	42.42	0.92
405.761719	-11.07	42.55	0.82
