	SM57-135		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-58.00	145.63	0.58
4.394531	-55.16	159.83	0.29
5.859375	-49.45	109.04	0.08
7.324219	-38.98	129.33	0.25
8.789063	-31.60	139.29	0.62
10.253906	-16.87	72.94	0.49
11.718750	-30.09	-160.32	0.46
13.183594	-25.63	-96.07	0.36
14.648438	-24.32	2.66	0.42
16.113281	-30.25	160.20	0.67
17.578125	-26.18	159.68	0.77
19.042969	-24.47	-159.73	0.36
20.507813	-24.33	-156.09	0.35
21.972656	-26.15	-144.64	0.35
23.437500	-11.22	82.48	0.15
24.902344	-8.24	-44.35	0.74
26.367188	-9.30	-73.85	0.52
27.832031	1234.57	45.00	1.00
29.296875	-11.94	-101.62	0.43
30.761719	-12.59	-87.24	0.10
32.226563	-15.25	-59.73	0.17
33.691406	-14.01	-66.52	0.21
35.156250	-14.32	-93.70	0.41
36.621094	-15.16	-106.74	0.65
38.085938	-13.70	137.75	0.34
39.550781	-12.17	3.95	0.40
41.015625	-11.10	-10.97	0.49
42.480469	-11.36	0.50	0.38
43.945313	-10.77	-157.27	0.64
45.410156	-10.06	-121.24	0.35
46.875000	-10.15	-133.49	0.54
48.339844	-10.41	-154.20	0.31
49.804688	-10.32	-153.95	0.12
51.269531	-10.48	-178.32	0.57
52.734375	-10.73	159.18	0.72
54.199219	-9.85	150.83	0.69
55.664063	-8.12	147.16	0.36
57.128906	-6.97	114.22	0.27
58.593750	-6.34	84.33	0.61
60.058594	-6.40	79.25	0.42
61.523438	-6.56	79.18	0.56
62.988281	-6.35	79.64	0.63
64.453125	-6.39	78.75	0.67
65.917969	-6.28	84.07	0.38
67.382813	-6.61	92.57	0.52
68.847656	-6.17	107.74	0.47
70.312500	-5.17	118.64	0.20
71.777344	-3.58	129.57	0.36
73.242188	-3.07	134.28	0.60
74.707031	-4.15	134.86	0.36
76.171875	-6.29	133.34	0.36
77.636719	-7.95	130.24	0.60
79.101563	-9.22	124.37	0.52
80.566406	-9.96	117.23	0.42
82.031250	-10.72	112.04	0.58
83.496094	-11.21	112.77	0.47
84.960938	-11.90	110.12	0.51
86.425781	-12.63	104.14	0.41
87.890625	-12.97	96.91	0.70
89.355469	-13.08	88.33	0.92
90.820313	-13.42	80.94	0.93
92.285156	-13.84	71.65	0.91
93.750000	-14.20	61.54	0.59
95.214844	-14.26	53.29	0.76
96.679688	-14.45	52.33	0.82
98.144531	-14.63	53.26	0.80
99.609375	-14.94	51.54	0.81
101.074219	-15.36	49.96	0.89
102.539063	-15.73	48.32	0.94
104.003906	-16.14	48.20	0.89
105.468750	-16.47	50.26	0.82
106.933594	-16.48	53.14	0.57
108.398438	-16.05	54.51	0.78
109.863281	-15.47	54.03	0.86
111.328125	-14.81	52.30	0.73
112.792969	-14.14	48.34	0.21
114.257813	-13.62	42.24	0.50
115.722656	-13.23	39.84	0.56
117.187500	-12.97	37.89	0.22
118.652344	-12.62	37.02	0.28
120.117188	-12.41	33.76	0.64
121.582031	-12.30	42.04	0.44
123.046875	-12.02	56.42	0.39
124.511719	-11.60	65.95	0.15
125.976563	-11.33	69.17	0.63
127.441406	-11.18	66.44	0.70
128.906250	-11.15	59.16	0.76
130.371094	-11.07	54.08	0.90
131.835938	-11.05	48.91	0.84
133.300781	-11.05	43.94	0.87
134.765625	-11.10	39.30	0.92
136.230469	-11.08	34.78	0.94
137.695313	-11.08	31.19	0.93
139.160156	-11.18	29.13	0.89
140.625000	-11.33	28.03	0.59
142.089844	-11.57	27.36	0.52
143.554688	-11.88	25.74	0.73
145.019531	-12.12	23.17	0.84
146.484375	-12.32	19.76	0.82
147.949219	-12.55	16.60	0.74
149.414063	-12.76	13.10	0.83
150.878906	-12.99	10.83	0.87
152.343750	-13.18	9.38	0.81
153.808594	-13.23	8.07	0.73
155.273438	-13.12	6.38	0.80
156.738281	-12.92	3.89	0.87
158.203125	-12.72	0.13	0.95
159.667969	-12.53	-4.94	0.94
161.132813	-12.37	-11.27	0.84
162.597656	-12.15	-18.75	0.77
164.062500	-12.01	-24.21	0.77
165.527344	-11.98	-27.24	0.62
166.992188	-11.95	-30.55	0.46
168.457031	-11.93	-33.74	0.34
169.921875	-11.95	-37.85	0.17
171.386719	-11.94	-43.35	0.56
172.851563	-11.90	-44.99	0.47
174.316406	-11.71	-46.00	0.32
175.781250	-11.48	-46.45	0.16
177.246094	-11.26	-46.80	0.47
178.710938	-11.08	-45.84	0.67
180.175781	-10.94	-47.24	0.92
181.640625	-10.79	-51.56	0.88
183.105469	-10.66	-59.06	0.95
184.570313	-10.59	-69.96	0.94
186.035156	-10.60	-84.81	0.86
187.500000	-10.77	-102.80	0.79
188.964844	-11.10	-119.49	0.83
190.429688	-11.51	-135.14	0.73
191.894531	-11.96	-149.07	0.73
193.359375	-12.39	-161.23	0.46
194.824219	-12.75	-173.63	0.35
196.289063	-13.00	173.61	0.55
197.753906	-13.19	161.53	0.66
199.218750	-13.34	149.99	0.89
200.683594	-13.52	139.76	0.84
202.148438	-13.73	129.84	0.67
203.613281	-13.94	119.58	0.74
205.078125	-14.10	108.96	0.71
206.542969	-14.24	101.29	0.83
208.007813	-14.35	97.37	0.86
209.472656	-14.41	97.12	0.59
210.937500	-14.44	100.29	0.52
212.402344	-14.46	103.20	0.41
213.867188	-14.47	99.23	0.52
215.332031	-14.46	95.20	0.80
216.796875	-14.43	90.46	0.89
218.261719	-14.43	84.14	0.84
219.726563	-14.46	76.49	0.60
221.191406	-14.58	71.59	0.62
222.656250	-14.73	69.21	0.50
224.121094	-14.89	67.33	0.67
225.585938	-15.05	66.18	0.80
227.050781	-15.15	65.03	0.94
228.515625	-15.25	64.12	0.90
229.980469	-15.35	63.40	0.93
231.445313	-15.44	63.60	0.86
232.910156	-15.54	64.63	0.68
234.375000	-15.59	65.87	0.47
235.839844	-15.58	67.42	0.22
237.304688	-15.52	68.91	0.66
238.769531	-15.38	69.79	0.90
240.234375	-15.26	70.70	0.92
241.699219	-15.13	71.45	0.92
243.164063	-14.99	71.90	0.87
244.628906	-14.83	72.35	0.71
246.093750	-14.67	72.88	0.71
247.558594	-14.47	73.29	0.51
249.023438	-14.22	73.83	0.63
250.488281	-13.92	74.72	0.64
251.953125	-13.60	75.51	0.56
253.417969	-13.25	76.89	0.47
254.882813	-12.89	78.80	0.54
256.347656	-12.53	81.87	0.39
257.812500	-12.18	84.64	0.70
259.277344	-11.82	86.63	0.69
260.742188	-11.52	86.78	0.79
262.207031	-11.28	84.80	0.73
263.671875	-11.09	82.83	0.47
265.136719	-10.97	80.72	0.56
266.601563	-10.85	79.14	0.70
268.066406	-10.71	77.93	0.30
269.531250	-10.51	76.62	0.22
270.996094	-10.32	75.26	0.55
272.460938	-10.12	73.55	0.26
273.925781	-9.91	72.03	0.71
275.390625	-9.70	70.35	0.92
276.855469	-9.52	68.63	0.88
278.320313	-9.37	66.85	0.82
279.785156	-9.25	65.24	0.79
281.250000	-9.16	63.29	0.58
282.714844	-9.10	60.91	0.51
284.179688	-9.05	58.23	0.66
285.644531	-9.00	55.70	0.84
287.109375	-8.94	53.57	0.90
288.574219	-8.88	52.27	0.94
290.039063	-8.82	51.86	0.90
291.503906	-8.76	52.55	0.77
292.968750	-8.71	54.49	0.79
294.433594	-8.68	57.08	0.67
295.898438	-8.66	59.83	0.59
297.363281	-8.67	61.42	0.87
298.828125	-8.73	61.38	0.84
300.292969	-8.82	60.45	0.89
301.757813	-8.92	58.88	0.78
303.222656	-9.02	56.84	0.88
304.687500	-9.13	54.71	0.97
306.152344	-9.25	52.53	0.99
307.617188	-9.38	50.34	0.99
309.082031	-9.51	48.19	0.99
310.546875	-9.66	46.10	0.99
312.011719	-9.82	44.08	0.98
313.476563	-9.98	42.24	0.98
314.941406	-10.15	40.64	0.98
316.406250	-10.32	39.36	0.98
317.871094	-10.48	38.37	0.95
319.335938	-10.64	37.83	0.90
320.800781	-10.79	37.88	0.71
322.265625	-10.92	38.25	0.36
323.730469	-11.02	38.66	0.79
325.195313	-11.09	38.75	0.83
326.660156	-11.13	38.57	0.91
328.125000	-11.15	38.16	0.90
329.589844	-11.14	37.48	0.95
331.054688	-11.12	36.52	0.94
332.519531	-11.10	35.38	0.96
333.984375	-11.07	34.17	0.96
335.449219	-11.05	32.88	0.96
336.914063	-11.02	31.42	0.97
338.378906	-10.99	29.82	0.95
339.843750	-10.97	28.24	0.93
341.308594	-10.96	26.53	0.92
342.773438	-10.95	24.83	0.96
344.238281	-10.96	23.22	0.99
345.703125	-10.98	21.64	0.99
347.167969	-11.01	20.07	0.95
348.632813	-11.04	18.58	0.95
350.097656	-11.08	17.08	0.94
351.562500	-11.13	15.73	0.86
353.027344	-11.18	14.53	0.94
354.492188	-11.24	13.39	0.98
355.957031	-11.30	12.37	0.96
357.421875	-11.37	11.58	0.95
358.886719	-11.45	11.17	0.96
360.351563	-11.53	11.08	0.96
361.816406	-11.62	11.49	0.97
363.281250	-11.71	12.58	0.84
364.746094	-11.80	14.30	0.48
366.210938	-11.92	15.95	0.24
367.675781	-12.09	17.76	0.53
369.140625	-12.28	20.38	0.74
370.605469	-12.46	23.89	0.81
372.070313	-12.63	28.17	0.75
373.535156	-12.78	32.77	0.81
375.000000	-12.92	37.29	0.81
376.464844	-13.05	41.62	0.80
377.929688	-13.18	45.55	0.59
379.394531	-13.29	49.12	0.31
380.859375	-13.40	52.29	0.45
382.324219	-13.49	54.98	0.27
383.789063	-13.55	57.47	0.33
385.253906	-13.57	59.83	0.37
386.718750	-13.59	61.74	0.70
388.183594	-13.60	63.08	0.83
389.648438	-13.61	63.65	0.92
391.113281	-13.63	63.70	0.87
392.578125	-13.65	63.74	0.83
394.042969	-13.67	63.70	0.76
395.507813	-13.67	63.70	0.69
396.972656	-13.67	63.62	0.71
398.437500	-13.64	63.38	0.54
399.902344	-13.57	63.20	0.31
401.367188	-13.48	63.12	0.62
402.832031	-13.36	62.82	0.73
