	SM57-55		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-59.77	159.32	0.40
4.394531	-59.50	115.50	0.83
5.859375	-57.03	135.68	0.88
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	1234.57	45.00	1.00
11.718750	-33.73	9.23	0.45
13.183594	-35.48	-163.60	0.82
14.648438	-26.85	5.45	0.35
16.113281	-33.74	174.27	0.85
17.578125	-33.15	167.41	0.90
19.042969	-30.37	-175.57	0.94
20.507813	-27.89	170.90	0.97
21.972656	-14.45	116.17	0.24
23.437500	-22.61	178.48	0.99
24.902344	-12.71	115.21	0.44
26.367188	-16.92	130.68	0.99
27.832031	1234.57	45.00	1.00
29.296875	-10.98	159.08	0.34
30.761719	-14.48	175.75	0.48
32.226563	-10.52	-141.97	0.65
33.691406	-12.20	-79.13	0.71
35.156250	-13.28	36.75	0.19
36.621094	-11.05	78.16	0.31
38.085938	-6.95	74.52	0.65
39.550781	-4.24	59.44	0.57
41.015625	-1.80	8.78	0.59
42.480469	-1.62	52.09	0.29
43.945313	-1.98	50.17	0.47
45.410156	-2.83	39.70	0.22
46.875000	-5.50	38.33	0.15
48.339844	-8.31	57.86	0.14
49.804688	-9.28	82.91	0.73
51.269531	-10.07	98.84	0.93
52.734375	-10.65	111.40	0.94
54.199219	-9.58	113.99	0.88
55.664063	-8.61	107.54	0.78
57.128906	-7.82	111.89	0.73
58.593750	-8.36	120.27	0.86
60.058594	-8.22	118.09	0.95
61.523438	-7.52	109.88	0.59
62.988281	-6.52	94.83	0.58
64.453125	-6.30	102.76	0.70
65.917969	-5.66	113.77	0.67
67.382813	-4.77	126.72	0.39
68.847656	-3.12	137.25	0.36
70.312500	-1.89	146.20	0.18
71.777344	-1.06	140.48	0.41
73.242188	-1.02	135.64	0.46
74.707031	-1.90	133.33	0.44
76.171875	-3.12	123.52	0.71
77.636719	-3.75	109.53	0.47
79.101563	-4.58	96.77	0.76
80.566406	-5.25	89.63	0.82
82.031250	-5.84	88.46	0.91
83.496094	-6.44	87.92	0.90
84.960938	-7.09	87.91	0.94
86.425781	-7.30	87.40	0.91
87.890625	-7.21	87.45	0.91
89.355469	-7.05	87.88	0.94
90.820313	-6.54	88.15	0.94
92.285156	-5.89	88.27	0.96
93.750000	-5.19	88.08	0.97
95.214844	-4.75	88.00	0.98
96.679688	-4.48	87.61	0.99
98.144531	-4.26	86.62	1.00
99.609375	-4.11	85.89	0.99
101.074219	-3.98	84.51	1.00
102.539063	-3.87	83.60	1.00
104.003906	-3.79	83.05	0.99
105.468750	-3.69	83.37	0.99
106.933594	-3.56	84.97	0.98
108.398438	-3.38	86.13	0.94
109.863281	-3.30	86.53	0.84
111.328125	-3.11	87.11	0.45
112.792969	-2.71	87.29	0.35
114.257813	-2.31	85.27	0.66
115.722656	-1.54	82.67	0.40
117.187500	-0.83	79.53	0.83
118.652344	-0.31	73.71	0.73
120.117188	0.13	68.78	0.77
121.582031	0.41	65.72	0.93
123.046875	0.54	62.56	0.98
124.511719	0.53	59.25	0.94
125.976563	0.35	56.31	0.97
127.441406	0.16	53.55	0.99
128.906250	-0.14	50.89	0.97
130.371094	-0.53	48.83	0.97
131.835938	-0.83	46.97	0.99
133.300781	-1.10	45.49	0.99
134.765625	-1.35	44.22	0.99
136.230469	-1.56	43.02	0.98
137.695313	-1.76	42.30	0.99
139.160156	-1.97	41.91	0.98
140.625000	-2.21	41.70	0.98
142.089844	-2.40	41.75	0.98
143.554688	-2.53	41.86	0.99
145.019531	-2.63	41.87	0.98
146.484375	-2.72	41.93	0.96
147.949219	-2.81	41.78	0.98
149.414063	-2.86	41.66	0.99
150.878906	-2.90	41.66	0.99
152.343750	-2.94	41.79	1.00
153.808594	-2.99	41.87	0.99
155.273438	-3.03	42.17	0.99
156.738281	-3.08	42.74	0.99
158.203125	-3.10	43.48	0.96
159.667969	-3.06	44.14	0.97
161.132813	-2.97	44.49	0.98
162.597656	-2.83	44.54	0.89
164.062500	-2.61	44.18	0.97
165.527344	-2.42	43.52	0.95
166.992188	-2.22	42.37	0.85
168.457031	-2.05	40.57	0.92
169.921875	-1.99	39.02	0.94
171.386719	-1.98	37.35	0.98
172.851563	-1.99	36.03	0.99
174.316406	-1.99	34.94	0.99
175.781250	-2.01	33.83	0.99
177.246094	-2.05	32.79	1.00
178.710938	-2.12	31.85	0.99
180.175781	-2.23	30.95	0.99
181.640625	-2.32	30.31	0.99
183.105469	-2.38	29.89	1.00
184.570313	-2.41	29.36	0.99
186.035156	-2.41	28.64	0.88
187.500000	-2.42	27.86	0.95
188.964844	-2.48	27.17	0.99
190.429688	-2.58	26.55	0.99
191.894531	-2.70	26.17	0.99
193.359375	-2.83	26.03	0.99
194.824219	-2.95	26.03	1.00
196.289063	-3.06	26.14	1.00
197.753906	-3.15	26.30	0.99
199.218750	-3.23	26.46	0.99
200.683594	-3.31	26.64	1.00
202.148438	-3.40	26.84	1.00
203.613281	-3.47	27.02	0.99
205.078125	-3.54	27.17	0.98
206.542969	-3.61	27.48	0.98
208.007813	-3.68	27.96	0.99
209.472656	-3.73	28.40	0.99
210.937500	-3.79	28.82	0.97
212.402344	-3.85	29.17	0.93
213.867188	-3.91	29.27	0.97
215.332031	-3.99	29.39	0.99
216.796875	-4.06	29.65	0.97
218.261719	-4.14	30.25	0.96
219.726563	-4.17	31.11	0.93
221.191406	-4.21	32.03	0.99
222.656250	-4.26	32.95	0.99
224.121094	-4.30	33.81	0.99
225.585938	-4.32	34.62	1.00
227.050781	-4.33	35.42	1.00
228.515625	-4.33	36.26	1.00
229.980469	-4.31	37.14	1.00
231.445313	-4.28	38.07	0.99
232.910156	-4.22	39.08	0.99
234.375000	-4.13	40.10	0.99
235.839844	-4.01	40.96	0.98
237.304688	-3.86	41.61	0.98
238.769531	-3.68	42.10	1.00
240.234375	-3.51	42.44	0.99
241.699219	-3.34	42.70	1.00
243.164063	-3.17	42.99	1.00
244.628906	-2.99	43.30	0.99
246.093750	-2.80	43.61	0.99
247.558594	-2.60	43.79	0.99
249.023438	-2.40	43.85	0.99
250.488281	-2.21	43.76	0.98
251.953125	-2.01	43.40	0.94
253.417969	-1.83	42.80	0.94
254.882813	-1.66	41.92	0.88
256.347656	-1.51	40.87	0.80
257.812500	-1.36	39.91	0.96
259.277344	-1.24	38.82	0.98
260.742188	-1.18	37.90	0.96
262.207031	-1.17	37.10	0.97
263.671875	-1.15	36.37	0.99
265.136719	-1.13	35.75	1.00
266.601563	-1.11	35.21	1.00
268.066406	-1.08	34.72	0.99
269.531250	-1.06	34.28	0.99
270.996094	-1.03	33.86	1.00
272.460938	-0.98	33.44	0.99
273.925781	-0.92	32.97	1.00
275.390625	-0.85	32.42	0.99
276.855469	-0.77	31.83	0.97
278.320313	-0.68	31.25	0.99
279.785156	-0.61	30.54	0.98
281.250000	-0.55	29.82	0.99
282.714844	-0.50	29.15	1.00
284.179688	-0.45	28.42	1.00
285.644531	-0.40	27.60	1.00
287.109375	-0.37	26.64	1.00
288.574219	-0.36	25.55	0.99
290.039063	-0.36	24.43	1.00
291.503906	-0.38	23.29	0.99
292.968750	-0.41	22.08	1.00
294.433594	-0.46	20.68	0.99
295.898438	-0.54	19.11	0.97
297.363281	-0.64	17.58	1.00
298.828125	-0.77	16.23	1.00
300.292969	-0.93	15.01	1.00
301.757813	-1.11	13.95	1.00
303.222656	-1.32	13.04	0.95
304.687500	-1.54	12.29	0.95
306.152344	-1.76	11.83	0.98
307.617188	-1.96	11.54	0.99
309.082031	-2.15	11.41	0.99
310.546875	-2.32	11.39	0.98
312.011719	-2.47	11.48	0.97
313.476563	-2.61	11.62	0.99
314.941406	-2.75	11.81	0.99
316.406250	-2.87	12.01	1.00
317.871094	-2.98	12.22	1.00
319.335938	-3.08	12.45	1.00
320.800781	-3.16	12.68	1.00
322.265625	-3.25	12.93	1.00
323.730469	-3.33	13.18	0.98
325.195313	-3.40	13.40	0.99
326.660156	-3.46	13.66	0.99
328.125000	-3.52	13.97	0.96
329.589844	-3.56	14.34	0.96
331.054688	-3.61	14.67	0.98
332.519531	-3.65	14.95	1.00
333.984375	-3.70	15.17	1.00
335.449219	-3.76	15.37	0.98
336.914063	-3.81	15.58	0.99
338.378906	-3.86	15.82	0.99
339.843750	-3.89	16.10	0.95
341.308594	-3.93	16.44	0.97
342.773438	-3.96	16.75	0.99
344.238281	-3.98	17.08	1.00
345.703125	-4.00	17.39	0.99
347.167969	-4.01	17.66	0.98
348.632813	-4.02	17.85	0.94
350.097656	-4.02	18.00	0.97
351.562500	-4.01	18.12	0.98
353.027344	-4.00	18.21	0.99
354.492188	-3.99	18.27	1.00
355.957031	-3.99	18.30	0.99
357.421875	-3.99	18.28	0.99
358.886719	-3.99	18.19	0.98
360.351563	-3.99	18.04	0.99
361.816406	-4.00	17.88	1.00
363.281250	-4.03	17.76	0.99
364.746094	-4.07	17.67	0.97
366.210938	-4.12	17.70	0.94
367.675781	-4.18	17.88	0.97
369.140625	-4.26	18.19	0.99
370.605469	-4.33	18.60	0.99
372.070313	-4.39	19.06	0.99
373.535156	-4.45	19.59	1.00
375.000000	-4.50	20.22	0.99
376.464844	-4.55	20.94	0.99
377.929688	-4.57	21.70	0.99
379.394531	-4.59	22.46	1.00
380.859375	-4.60	23.18	1.00
382.324219	-4.60	23.89	1.00
383.789063	-4.60	24.58	1.00
385.253906	-4.59	25.26	1.00
386.718750	-4.58	25.95	0.98
388.183594	-4.56	26.64	0.99
389.648438	-4.53	27.30	0.99
391.113281	-4.49	27.90	0.99
392.578125	-4.44	28.46	1.00
394.042969	-4.39	28.96	1.00
395.507813	-4.34	29.41	1.00
396.972656	-4.27	29.82	1.00
398.437500	-4.21	30.17	1.00
399.902344	-4.14	30.47	1.00
401.367188	-4.07	30.71	1.00
402.832031	-4.00	30.92	1.00
404.296875	-3.94	31.06	1.00
405.761719	-3.87	31.17	1.00
