	SM57-80		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-59.69	120.45	0.38
4.394531	-59.71	133.57	0.53
5.859375	-55.22	146.11	0.88
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	-17.52	70.24	1.00
11.718750	-33.73	9.23	0.45
13.183594	-35.48	-163.60	0.82
14.648438	-26.85	5.45	0.35
16.113281	-32.53	154.33	0.57
17.578125	-29.82	166.34	0.90
19.042969	-29.68	170.42	0.88
20.507813	-23.54	-161.77	0.83
21.972656	-17.23	-60.00	0.34
23.437500	-22.40	167.63	0.89
24.902344	-13.98	110.56	0.42
26.367188	-16.96	130.55	0.99
27.832031	1234.57	45.00	1.00
29.296875	-13.34	129.39	0.46
30.761719	-17.65	134.31	0.83
32.226563	-15.59	110.59	0.53
33.691406	-13.26	105.91	0.50
35.156250	-14.68	128.89	0.57
36.621094	-15.07	129.85	0.95
38.085938	-15.58	127.65	0.88
39.550781	-14.00	103.75	0.65
41.015625	-11.18	78.61	0.53
42.480469	-10.19	57.01	0.22
43.945313	-10.73	15.03	0.30
45.410156	-10.27	-10.17	0.21
46.875000	-8.22	-0.81	0.33
48.339844	-7.70	13.11	0.58
49.804688	-7.90	41.28	0.62
51.269531	-7.06	55.70	0.54
52.734375	-5.81	79.06	0.14
54.199219	-5.97	139.09	0.53
55.664063	-6.53	26.45	0.16
57.128906	-7.96	-3.61	0.28
58.593750	-8.98	51.06	0.45
60.058594	-9.07	51.09	0.62
61.523438	-8.29	27.99	0.44
62.988281	-7.42	6.87	0.53
64.453125	-6.26	-1.44	0.64
65.917969	-5.14	-12.73	0.76
67.382813	-3.65	-29.27	0.61
68.847656	-1.92	-41.65	0.58
70.312500	-0.13	-46.99	0.42
71.777344	1.52	-48.73	0.22
73.242188	1.90	-71.59	0.25
74.707031	0.78	-74.68	0.26
76.171875	-1.76	-75.91	0.28
77.636719	-3.85	-75.61	0.89
79.101563	-5.27	-70.20	0.89
80.566406	-6.35	-39.49	0.78
82.031250	-7.17	64.59	0.88
83.496094	-7.69	83.02	0.92
84.960938	-8.00	88.12	0.97
86.425781	-8.12	91.08	0.91
87.890625	-8.13	91.99	0.89
89.355469	-8.13	91.66	0.94
90.820313	-8.04	91.23	0.85
92.285156	-7.75	90.85	0.80
93.750000	-7.31	90.81	0.97
95.214844	-6.93	91.44	0.96
96.679688	-6.58	92.11	0.92
98.144531	-6.48	91.44	0.96
99.609375	-6.47	90.01	0.98
101.074219	-6.51	87.92	0.99
102.539063	-6.40	86.19	0.98
104.003906	-6.23	85.50	0.98
105.468750	-6.05	87.25	0.84
106.933594	-5.75	90.74	0.68
108.398438	-5.23	94.69	0.56
109.863281	-4.63	96.30	0.81
111.328125	-3.97	95.53	0.88
112.792969	-3.41	95.11	0.83
114.257813	-3.00	91.52	0.84
115.722656	-2.62	87.96	0.74
117.187500	-2.11	84.10	0.91
118.652344	-1.60	79.99	0.96
120.117188	-1.25	75.69	0.97
121.582031	-1.06	71.44	0.98
123.046875	-1.02	66.78	0.98
124.511719	-1.09	62.60	0.97
125.976563	-1.21	57.84	0.96
127.441406	-1.32	52.95	0.97
128.906250	-1.52	48.36	0.93
130.371094	-1.79	44.97	0.95
131.835938	-2.07	42.90	0.95
133.300781	-2.41	41.85	0.94
134.765625	-2.68	40.57	0.83
136.230469	-2.89	38.98	0.88
137.695313	-3.09	37.84	0.91
139.160156	-3.25	37.04	0.92
140.625000	-3.43	36.47	0.89
142.089844	-3.55	36.65	0.94
143.554688	-3.68	37.15	0.96
145.019531	-3.82	37.98	0.97
146.484375	-3.95	38.99	0.82
147.949219	-4.14	39.45	0.94
149.414063	-4.31	39.88	0.95
150.878906	-4.48	40.05	0.96
152.343750	-4.64	40.30	0.97
153.808594	-4.74	40.52	0.93
155.273438	-4.84	40.84	0.99
156.738281	-4.93	41.28	0.99
158.203125	-4.98	42.00	0.99
159.667969	-4.98	42.66	0.98
161.132813	-4.92	43.31	0.97
162.597656	-4.86	43.93	0.96
164.062500	-4.75	44.51	0.88
165.527344	-4.59	45.28	0.79
166.992188	-4.38	45.20	0.86
168.457031	-4.21	43.92	0.85
169.921875	-4.07	41.96	0.94
171.386719	-4.01	39.74	0.97
172.851563	-4.02	37.78	0.97
174.316406	-4.04	35.78	0.98
175.781250	-4.08	33.53	0.98
177.246094	-4.18	31.60	0.98
178.710938	-4.34	29.92	0.99
180.175781	-4.52	28.62	0.99
181.640625	-4.74	27.68	0.93
183.105469	-4.97	26.96	0.91
184.570313	-5.17	26.24	0.88
186.035156	-5.34	25.39	0.77
187.500000	-5.45	24.62	0.84
188.964844	-5.56	23.77	0.98
190.429688	-5.73	22.95	0.98
191.894531	-5.94	22.33	0.94
193.359375	-6.15	22.02	0.96
194.824219	-6.36	21.97	0.96
196.289063	-6.56	22.38	0.96
197.753906	-6.79	23.27	0.89
199.218750	-6.98	24.10	0.89
200.683594	-7.13	24.74	0.92
202.148438	-7.26	25.12	0.99
203.613281	-7.39	25.62	1.00
205.078125	-7.51	26.24	0.99
206.542969	-7.61	27.02	0.99
208.007813	-7.70	27.97	0.98
209.472656	-7.78	28.86	0.97
210.937500	-7.86	29.68	0.97
212.402344	-7.88	30.58	0.94
213.867188	-7.92	31.44	0.88
215.332031	-7.98	32.24	0.92
216.796875	-8.05	33.54	0.97
218.261719	-8.08	34.84	0.91
219.726563	-8.08	36.27	0.81
221.191406	-8.13	37.75	0.88
222.656250	-8.21	39.16	0.93
224.121094	-8.24	40.41	0.92
225.585938	-8.24	41.65	0.94
227.050781	-8.21	42.79	0.90
228.515625	-8.20	43.82	0.89
229.980469	-8.17	44.84	0.97
231.445313	-8.12	45.85	0.98
232.910156	-8.06	47.00	0.91
234.375000	-7.97	48.30	0.93
235.839844	-7.79	49.60	0.89
237.304688	-7.56	50.74	0.96
238.769531	-7.29	51.51	0.98
240.234375	-7.03	51.93	0.96
241.699219	-6.77	52.12	0.96
243.164063	-6.52	52.34	0.99
244.628906	-6.26	52.46	0.99
246.093750	-6.00	52.45	0.97
247.558594	-5.75	52.30	0.95
249.023438	-5.52	51.91	0.94
250.488281	-5.32	51.22	0.98
251.953125	-5.14	50.20	0.96
253.417969	-4.98	48.90	0.94
254.882813	-4.82	47.66	0.93
256.347656	-4.67	46.54	0.95
257.812500	-4.51	45.51	0.94
259.277344	-4.36	44.48	0.91
260.742188	-4.23	43.60	0.92
262.207031	-4.12	43.09	0.90
263.671875	-4.02	42.59	0.93
265.136719	-3.92	41.93	0.94
266.601563	-3.83	41.31	0.95
268.066406	-3.74	40.67	0.99
269.531250	-3.63	40.06	0.97
270.996094	-3.53	39.57	0.97
272.460938	-3.43	39.15	0.97
273.925781	-3.30	38.72	0.98
275.390625	-3.16	38.27	0.92
276.855469	-3.04	37.92	0.96
278.320313	-2.92	37.55	1.00
279.785156	-2.83	37.06	0.99
281.250000	-2.75	36.54	0.97
282.714844	-2.68	35.89	0.92
284.179688	-2.64	34.98	0.94
285.644531	-2.60	33.88	0.95
287.109375	-2.57	32.61	0.97
288.574219	-2.56	31.18	0.97
290.039063	-2.55	29.63	0.97
291.503906	-2.54	27.96	0.94
292.968750	-2.53	26.19	0.92
294.433594	-2.54	24.36	0.95
295.898438	-2.60	22.37	0.98
297.363281	-2.72	20.52	0.98
298.828125	-2.86	18.89	0.98
300.292969	-3.03	17.48	0.99
301.757813	-3.20	16.25	1.00
303.222656	-3.39	15.22	1.00
304.687500	-3.58	14.44	0.99
306.152344	-3.78	13.83	0.99
307.617188	-3.95	13.35	0.98
309.082031	-4.12	12.96	0.99
310.546875	-4.27	12.67	1.00
312.011719	-4.43	12.44	0.99
313.476563	-4.57	12.23	1.00
314.941406	-4.70	12.05	1.00
316.406250	-4.83	11.90	1.00
317.871094	-4.95	11.78	1.00
319.335938	-5.06	11.74	0.99
320.800781	-5.18	11.71	1.00
322.265625	-5.30	11.74	1.00
323.730469	-5.42	11.81	0.99
325.195313	-5.54	11.91	0.99
326.660156	-5.66	12.10	0.97
328.125000	-5.76	12.34	0.96
329.589844	-5.86	12.60	0.99
331.054688	-5.94	12.82	0.99
332.519531	-6.03	13.03	0.99
333.984375	-6.11	13.19	0.98
335.449219	-6.18	13.34	1.00
336.914063	-6.26	13.54	1.00
338.378906	-6.34	13.80	0.99
339.843750	-6.41	14.09	0.97
341.308594	-6.46	14.41	0.97
342.773438	-6.50	14.72	1.00
344.238281	-6.53	15.04	0.99
345.703125	-6.56	15.36	0.97
347.167969	-6.58	15.64	0.98
348.632813	-6.59	15.88	0.98
350.097656	-6.59	16.11	0.99
351.562500	-6.60	16.28	0.99
353.027344	-6.61	16.35	0.99
354.492188	-6.63	16.34	0.99
355.957031	-6.65	16.33	0.98
357.421875	-6.67	16.26	0.96
358.886719	-6.69	16.14	0.98
360.351563	-6.72	16.00	0.99
361.816406	-6.76	15.90	0.99
363.281250	-6.80	15.87	1.00
364.746094	-6.85	15.94	0.97
366.210938	-6.90	16.09	0.96
367.675781	-6.97	16.48	0.95
369.140625	-7.06	17.15	0.95
370.605469	-7.14	17.90	0.99
372.070313	-7.22	18.72	0.97
373.535156	-7.29	19.66	0.91
375.000000	-7.36	20.68	0.92
376.464844	-7.42	21.70	0.93
377.929688	-7.45	22.70	0.95
379.394531	-7.47	23.71	0.98
380.859375	-7.48	24.66	0.96
382.324219	-7.47	25.56	0.95
383.789063	-7.47	26.39	0.98
385.253906	-7.45	27.17	0.95
386.718750	-7.43	27.91	0.93
388.183594	-7.40	28.67	0.92
389.648438	-7.34	29.44	0.92
391.113281	-7.27	30.20	0.95
392.578125	-7.20	30.90	0.95
394.042969	-7.12	31.56	0.98
395.507813	-7.03	32.16	0.95
396.972656	-6.94	32.67	0.88
398.437500	-6.85	33.07	0.95
399.902344	-6.76	33.36	0.99
401.367188	-6.68	33.56	0.98
402.832031	-6.60	33.66	0.98
404.296875	-6.52	33.70	0.99
