	SM57-20		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-55.16	131.53	0.51
4.394531	-58.70	99.43	0.78
5.859375	-55.04	119.69	0.79
7.324219	-39.36	11.62	0.59
8.789063	-41.00	111.16	0.99
10.253906	1234.57	45.00	1.00
11.718750	-33.43	9.67	0.47
13.183594	-31.15	144.36	0.64
14.648438	-26.51	7.11	0.35
16.113281	-31.24	136.57	0.96
17.578125	-33.03	149.84	0.96
19.042969	-30.60	174.79	0.85
20.507813	-28.83	168.17	0.91
21.972656	-24.31	-173.88	0.69
23.437500	-18.18	172.64	0.97
24.902344	-16.72	-145.54	0.46
26.367188	-17.06	133.69	0.99
27.832031	1234.57	45.00	1.00
29.296875	-13.80	-159.17	0.34
30.761719	-8.28	-124.96	0.62
32.226563	-8.30	-175.68	0.49
33.691406	-6.24	90.76	0.43
35.156250	-8.95	74.18	0.21
36.621094	-9.12	30.95	0.17
38.085938	-9.41	65.75	0.35
39.550781	-10.12	77.56	0.60
41.015625	-8.29	96.43	0.93
42.480469	-7.32	107.22	0.94
43.945313	-7.66	141.73	0.70
45.410156	-7.99	149.96	0.83
46.875000	-8.19	146.83	0.72
48.339844	-7.85	141.48	0.18
49.804688	-7.21	114.59	0.19
51.269531	-5.73	103.01	0.33
52.734375	-4.33	99.51	0.88
54.199219	-2.94	97.46	0.81
55.664063	-1.28	93.71	0.67
57.128906	-0.67	91.15	0.75
58.593750	-1.11	86.84	0.51
60.058594	-1.60	85.29	0.85
61.523438	-1.48	84.58	0.96
62.988281	-0.83	89.05	0.85
64.453125	-0.11	101.27	0.46
65.917969	0.24	123.51	0.54
67.382813	1.27	138.23	0.48
68.847656	2.44	153.58	0.58
70.312500	2.98	166.84	0.29
71.777344	3.95	161.49	0.21
73.242188	4.27	145.60	0.34
74.707031	3.13	139.66	0.52
76.171875	1.07	127.10	0.78
77.636719	-0.72	115.97	0.88
79.101563	-2.16	106.69	0.95
80.566406	-3.38	100.79	0.96
82.031250	-4.24	95.47	0.98
83.496094	-4.76	91.48	0.99
84.960938	-5.07	89.40	0.97
86.425781	-5.22	89.28	0.98
87.890625	-5.08	89.51	0.99
89.355469	-4.74	89.94	0.96
90.820313	-4.16	89.94	0.94
92.285156	-3.50	90.18	0.95
93.750000	-2.74	89.01	0.93
95.214844	-2.25	86.83	0.96
96.679688	-2.05	85.30	0.98
98.144531	-2.02	84.01	0.99
99.609375	-1.89	82.22	0.99
101.074219	-1.73	80.75	0.99
102.539063	-1.59	79.56	0.97
104.003906	-1.51	78.84	0.99
105.468750	-1.47	78.68	0.98
106.933594	-1.45	78.78	0.98
108.398438	-1.31	79.48	0.97
109.863281	-1.17	80.20	0.94
111.328125	-0.92	80.34	0.93
112.792969	-0.55	81.72	0.95
114.257813	-0.23	82.87	0.83
115.722656	0.27	82.62	0.83
117.187500	0.82	80.93	0.96
118.652344	1.32	79.55	0.91
120.117188	1.68	77.08	0.96
121.582031	1.75	73.11	0.98
123.046875	1.73	68.90	0.97
124.511719	1.58	64.32	0.95
125.976563	1.38	59.78	0.85
127.441406	1.18	55.34	0.94
128.906250	0.82	52.40	0.89
130.371094	0.46	50.19	0.98
131.835938	0.12	48.63	0.98
133.300781	-0.16	47.75	0.99
134.765625	-0.36	47.08	1.00
136.230469	-0.50	46.74	1.00
137.695313	-0.59	46.59	0.97
139.160156	-0.66	46.34	0.96
140.625000	-0.74	45.70	0.97
142.089844	-0.85	45.08	0.98
143.554688	-0.90	44.34	0.99
145.019531	-0.91	43.60	0.97
146.484375	-0.89	43.31	0.98
147.949219	-0.91	43.05	1.00
149.414063	-0.93	43.02	0.99
150.878906	-0.96	43.28	0.98
152.343750	-0.92	43.41	0.99
153.808594	-0.90	43.49	0.99
155.273438	-0.89	43.56	1.00
156.738281	-0.88	43.75	0.99
158.203125	-0.84	44.00	0.94
159.667969	-0.75	44.06	0.98
161.132813	-0.63	43.89	0.98
162.597656	-0.46	43.59	0.99
164.062500	-0.30	43.22	1.00
165.527344	-0.17	42.57	1.00
166.992188	-0.06	41.69	0.99
168.457031	0.02	40.48	0.98
169.921875	0.05	39.21	0.99
171.386719	0.03	37.77	0.91
172.851563	-0.02	36.45	0.97
174.316406	-0.08	35.57	0.98
175.781250	-0.15	34.89	0.98
177.246094	-0.23	34.17	0.99
178.710938	-0.29	33.55	0.99
180.175781	-0.36	33.13	0.97
181.640625	-0.38	32.84	0.99
183.105469	-0.34	32.47	0.99
184.570313	-0.24	31.92	0.94
186.035156	-0.13	31.25	0.97
187.500000	-0.10	30.04	0.99
188.964844	-0.15	28.66	0.99
190.429688	-0.24	27.67	1.00
191.894531	-0.37	27.07	0.99
193.359375	-0.55	26.79	0.98
194.824219	-0.68	26.60	1.00
196.289063	-0.79	26.48	1.00
197.753906	-0.89	26.42	1.00
199.218750	-0.98	26.46	1.00
200.683594	-1.08	26.58	1.00
202.148438	-1.17	26.73	1.00
203.613281	-1.25	26.96	1.00
205.078125	-1.30	27.17	1.00
206.542969	-1.33	27.34	1.00
208.007813	-1.35	27.45	1.00
209.472656	-1.37	27.51	1.00
210.937500	-1.39	27.51	1.00
212.402344	-1.41	27.41	1.00
213.867188	-1.46	27.26	1.00
215.332031	-1.52	27.12	0.97
216.796875	-1.61	27.00	0.99
218.261719	-1.70	27.08	1.00
219.726563	-1.79	27.36	1.00
221.191406	-1.88	27.78	1.00
222.656250	-1.97	28.34	1.00
224.121094	-2.03	28.96	1.00
225.585938	-2.07	29.59	1.00
227.050781	-2.09	30.25	0.99
228.515625	-2.10	30.85	0.99
229.980469	-2.11	31.41	1.00
231.445313	-2.10	31.98	1.00
232.910156	-2.08	32.57	1.00
234.375000	-2.04	33.16	1.00
235.839844	-1.99	33.71	1.00
237.304688	-1.93	34.23	1.00
238.769531	-1.87	34.68	1.00
240.234375	-1.80	35.07	1.00
241.699219	-1.74	35.45	1.00
243.164063	-1.66	35.80	1.00
244.628906	-1.57	36.12	0.99
246.093750	-1.45	36.45	0.99
247.558594	-1.31	36.80	0.99
249.023438	-1.16	37.01	0.97
250.488281	-0.99	37.16	0.98
251.953125	-0.82	37.11	0.96
253.417969	-0.66	36.78	0.99
254.882813	-0.53	36.28	0.99
256.347656	-0.41	35.61	0.99
257.812500	-0.32	34.63	0.98
259.277344	-0.26	33.47	0.99
260.742188	-0.23	32.54	0.99
262.207031	-0.21	31.74	1.00
263.671875	-0.21	31.14	0.99
265.136719	-0.22	30.64	0.99
266.601563	-0.22	30.26	0.99
268.066406	-0.23	29.96	0.99
269.531250	-0.24	29.74	1.00
270.996094	-0.24	29.58	0.97
272.460938	-0.23	29.47	0.96
273.925781	-0.20	29.27	0.95
275.390625	-0.15	29.05	0.99
276.855469	-0.08	28.74	1.00
278.320313	-0.01	28.34	0.98
279.785156	0.07	27.92	0.98
281.250000	0.13	27.50	0.99
282.714844	0.19	27.14	0.99
284.179688	0.24	26.72	0.99
285.644531	0.30	26.16	1.00
287.109375	0.35	25.43	1.00
288.574219	0.39	24.56	1.00
290.039063	0.41	23.60	1.00
291.503906	0.41	22.60	1.00
292.968750	0.40	21.56	0.99
294.433594	0.38	20.47	0.99
295.898438	0.32	19.36	0.99
297.363281	0.25	18.29	1.00
298.828125	0.16	17.30	1.00
300.292969	0.05	16.37	0.99
301.757813	-0.07	15.52	0.99
303.222656	-0.21	14.78	0.99
304.687500	-0.36	14.14	0.99
306.152344	-0.52	13.70	0.98
307.617188	-0.69	13.46	0.98
309.082031	-0.83	13.37	0.98
310.546875	-0.96	13.36	1.00
312.011719	-1.07	13.42	1.00
313.476563	-1.18	13.56	1.00
314.941406	-1.27	13.77	1.00
316.406250	-1.35	14.01	1.00
317.871094	-1.42	14.30	1.00
319.335938	-1.47	14.63	1.00
320.800781	-1.52	14.97	1.00
322.265625	-1.56	15.31	1.00
323.730469	-1.60	15.66	1.00
325.195313	-1.63	16.01	1.00
326.660156	-1.67	16.37	1.00
328.125000	-1.69	16.74	1.00
329.589844	-1.71	17.11	1.00
331.054688	-1.73	17.45	1.00
332.519531	-1.74	17.75	1.00
333.984375	-1.74	18.00	1.00
335.449219	-1.75	18.22	0.99
336.914063	-1.76	18.45	0.99
338.378906	-1.77	18.73	1.00
339.843750	-1.79	19.05	0.99
341.308594	-1.81	19.33	1.00
342.773438	-1.82	19.57	0.99
344.238281	-1.84	19.82	1.00
345.703125	-1.85	20.09	0.99
347.167969	-1.86	20.37	1.00
348.632813	-1.87	20.63	1.00
350.097656	-1.87	20.88	1.00
351.562500	-1.87	21.11	1.00
353.027344	-1.85	21.32	1.00
354.492188	-1.84	21.49	1.00
355.957031	-1.82	21.64	1.00
357.421875	-1.80	21.74	1.00
358.886719	-1.78	21.78	1.00
360.351563	-1.77	21.80	1.00
361.816406	-1.78	21.77	0.99
363.281250	-1.78	21.71	0.99
364.746094	-1.79	21.64	1.00
366.210938	-1.81	21.61	1.00
367.675781	-1.83	21.63	1.00
369.140625	-1.86	21.73	0.98
370.605469	-1.89	21.90	0.99
372.070313	-1.92	22.14	1.00
373.535156	-1.94	22.45	1.00
375.000000	-1.96	22.81	1.00
376.464844	-1.97	23.21	1.00
377.929688	-1.97	23.65	0.99
379.394531	-1.97	24.06	1.00
380.859375	-1.95	24.47	1.00
382.324219	-1.94	24.88	1.00
383.789063	-1.92	25.26	1.00
385.253906	-1.89	25.64	1.00
386.718750	-1.87	26.01	1.00
388.183594	-1.84	26.38	0.99
389.648438	-1.80	26.75	0.99
391.113281	-1.76	27.11	1.00
392.578125	-1.71	27.44	1.00
394.042969	-1.65	27.73	1.00
395.507813	-1.59	27.98	1.00
396.972656	-1.53	28.19	1.00
398.437500	-1.47	28.36	1.00
399.902344	-1.40	28.47	1.00
401.367188	-1.33	28.53	1.00
402.832031	-1.27	28.53	1.00
404.296875	-1.21	28.50	1.00
405.761719	-1.15	28.42	1.00
407.226563	-1.10	28.30	1.00
408.691406	-1.05	28.15	1.00
