	SM57-155		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-55.51	147.44	0.59
4.394531	-53.38	177.93	0.26
5.859375	-49.45	109.04	0.08
7.324219	-38.98	129.33	0.25
8.789063	-31.60	139.29	0.62
10.253906	-24.02	75.50	0.42
11.718750	-28.17	-161.92	0.46
13.183594	-22.50	-76.25	0.29
14.648438	-25.56	1.28	0.29
16.113281	-28.43	159.75	0.42
17.578125	-22.83	162.08	0.67
19.042969	-21.64	-165.19	0.38
20.507813	-27.08	116.55	0.58
21.972656	-25.76	-136.42	0.38
23.437500	-18.52	-97.54	0.43
24.902344	-20.92	-162.25	0.11
26.367188	-14.21	-75.06	0.38
27.832031	-22.24	-131.09	0.93
29.296875	-14.96	-91.28	0.46
30.761719	-18.51	-166.89	0.50
32.226563	-16.47	-152.33	0.51
33.691406	-10.51	-175.79	0.45
35.156250	-8.47	128.62	0.10
36.621094	-7.97	171.68	0.23
38.085938	-6.26	-177.26	0.20
39.550781	-3.06	-173.35	0.40
41.015625	-1.43	175.02	0.40
42.480469	-0.08	137.35	0.49
43.945313	0.31	113.82	0.39
45.410156	0.31	119.17	0.46
46.875000	0.29	115.89	0.55
48.339844	0.41	115.11	0.46
49.804688	-0.55	117.03	0.29
51.269531	-1.29	103.17	0.07
52.734375	-0.90	99.04	0.52
54.199219	-0.85	100.75	0.66
55.664063	-1.50	85.67	0.37
57.128906	-2.63	87.07	0.28
58.593750	-3.59	86.59	0.52
60.058594	-3.66	86.02	0.60
61.523438	-2.99	77.54	0.43
62.988281	-3.19	74.80	0.34
64.453125	-2.59	93.43	0.29
65.917969	-1.08	117.06	0.34
67.382813	0.69	134.94	0.39
68.847656	2.12	147.09	0.05
70.312500	3.52	155.89	0.56
71.777344	5.36	169.45	0.11
73.242188	6.15	-179.42	0.26
74.707031	5.23	179.27	0.15
76.171875	2.88	177.97	0.44
77.636719	1.12	-165.06	0.43
79.101563	-0.34	-137.66	0.27
80.566406	-2.09	-116.94	0.14
82.031250	-3.47	-176.27	0.42
83.496094	-4.83	169.48	0.45
84.960938	-5.95	-174.40	0.28
86.425781	-6.68	172.14	0.31
87.890625	-7.50	90.39	0.07
89.355469	-8.26	50.45	0.27
90.820313	-8.87	46.33	0.55
92.285156	-9.57	39.05	0.58
93.750000	-10.36	32.12	0.31
95.214844	-11.23	16.94	0.16
96.679688	-12.07	4.27	0.56
98.144531	-13.02	7.97	0.18
99.609375	-13.78	11.13	0.48
101.074219	-14.16	6.95	0.67
102.539063	-14.26	4.70	0.74
104.003906	-14.08	2.98	0.69
105.468750	-13.61	-0.32	0.77
106.933594	-13.13	-5.37	0.49
108.398438	-12.56	-10.32	0.28
109.863281	-11.96	-10.11	0.35
111.328125	-11.29	-8.30	0.70
112.792969	-10.66	-5.63	0.71
114.257813	-10.30	-4.92	0.57
115.722656	-10.01	-13.05	0.37
117.187500	-9.70	-44.70	0.18
118.652344	-9.34	-88.85	0.50
120.117188	-9.01	-118.04	0.49
121.582031	-8.63	-131.69	0.51
123.046875	-8.39	-148.07	0.53
124.511719	-8.32	-165.68	0.59
125.976563	-8.41	178.50	0.80
127.441406	-8.57	166.21	0.87
128.906250	-8.81	153.37	0.86
130.371094	-9.27	139.31	0.83
131.835938	-9.70	125.53	0.81
133.300781	-10.04	112.49	0.87
134.765625	-10.38	100.70	0.65
136.230469	-10.70	88.70	0.70
137.695313	-11.01	76.23	0.64
139.160156	-11.30	67.29	0.26
140.625000	-11.46	55.08	0.10
142.089844	-11.77	41.82	0.16
143.554688	-12.16	27.48	0.54
145.019531	-12.59	13.31	0.70
146.484375	-12.99	3.38	0.61
147.949219	-13.29	-6.17	0.52
149.414063	-13.37	-14.06	0.55
150.878906	-13.40	-16.48	0.58
152.343750	-13.43	-15.95	0.52
153.808594	-13.27	-14.62	0.14
155.273438	-12.93	-13.20	0.30
156.738281	-12.52	-14.20	0.58
158.203125	-12.08	-18.33	0.74
159.667969	-11.60	-23.69	0.88
161.132813	-11.11	-30.21	0.75
162.597656	-10.67	-39.44	0.55
164.062500	-10.29	-48.00	0.68
165.527344	-9.98	-55.37	0.73
166.992188	-9.81	-59.48	0.63
168.457031	-9.76	-61.17	0.55
169.921875	-9.76	-61.74	0.49
171.386719	-9.86	-62.17	0.41
172.851563	-10.02	-60.25	0.17
174.316406	-10.12	-58.77	0.05
175.781250	-10.12	-58.05	0.16
177.246094	-10.12	-57.91	0.38
178.710938	-10.05	-59.50	0.62
180.175781	-9.91	-62.71	0.79
181.640625	-9.72	-67.29	0.87
183.105469	-9.54	-74.15	0.80
184.570313	-9.34	-82.28	0.91
186.035156	-9.25	-91.93	0.90
187.500000	-9.29	-104.15	0.84
188.964844	-9.51	-116.38	0.84
190.429688	-9.86	-127.07	0.74
191.894531	-10.29	-136.66	0.73
193.359375	-10.72	-145.07	0.77
194.824219	-11.07	-153.04	0.80
196.289063	-11.34	-160.05	0.59
197.753906	-11.55	-167.56	0.65
199.218750	-11.81	-173.85	0.74
200.683594	-12.10	-179.99	0.43
202.148438	-12.42	173.89	0.66
203.613281	-12.72	168.64	0.84
205.078125	-12.97	164.21	0.76
206.542969	-13.14	161.17	0.31
208.007813	-13.16	158.50	0.52
209.472656	-13.06	156.43	0.45
210.937500	-12.95	154.51	0.67
212.402344	-12.82	152.20	0.83
213.867188	-12.76	149.59	0.83
215.332031	-12.73	145.89	0.81
216.796875	-12.76	142.36	0.89
218.261719	-12.83	138.44	0.87
219.726563	-12.97	134.53	0.61
221.191406	-13.16	131.22	0.58
222.656250	-13.37	127.54	0.76
224.121094	-13.60	124.16	0.57
225.585938	-13.84	119.78	0.46
227.050781	-14.09	115.00	0.39
228.515625	-14.31	109.85	0.67
229.980469	-14.53	105.06	0.82
231.445313	-14.71	101.19	0.82
232.910156	-14.83	98.13	0.53
234.375000	-14.90	95.10	0.37
235.839844	-14.89	91.93	0.38
237.304688	-14.80	89.24	0.32
238.769531	-14.66	81.13	0.56
240.234375	-14.50	62.58	0.70
241.699219	-14.27	19.20	0.68
243.164063	-13.98	-28.11	0.67
244.628906	-13.65	-53.16	0.77
246.093750	-13.28	-68.80	0.48
247.558594	-12.90	-78.76	0.38
249.023438	-12.50	-86.59	0.44
250.488281	-12.09	-91.76	0.45
251.953125	-11.68	-94.00	0.04
253.417969	-11.28	-96.17	0.43
254.882813	-10.90	-100.19	0.61
256.347656	-10.53	-104.23	0.77
257.812500	-10.21	-107.05	0.69
259.277344	-9.95	-110.61	0.57
260.742188	-9.74	-117.64	0.60
262.207031	-9.57	-124.82	0.67
263.671875	-9.45	-130.28	0.41
265.136719	-9.36	-135.82	0.16
266.601563	-9.23	-143.20	0.43
268.066406	-9.09	-157.63	0.52
269.531250	-8.96	-179.65	0.24
270.996094	-8.83	80.42	0.49
272.460938	-8.66	42.80	0.61
273.925781	-8.48	29.12	0.61
275.390625	-8.30	20.57	0.41
276.855469	-8.10	16.25	0.19
278.320313	-7.90	15.03	0.08
279.785156	-7.66	14.30	0.54
281.250000	-7.43	12.99	0.83
282.714844	-7.21	11.98	0.54
284.179688	-7.00	10.75	0.59
285.644531	-6.79	8.80	0.38
287.109375	-6.57	6.58	0.61
288.574219	-6.35	5.42	0.66
290.039063	-6.17	5.95	0.83
291.503906	-6.02	8.37	0.76
292.968750	-5.87	11.53	0.76
294.433594	-5.74	16.08	0.72
295.898438	-5.65	22.97	0.84
297.363281	-5.65	33.21	0.10
298.828125	-5.70	41.68	0.95
300.292969	-5.83	46.07	0.94
301.757813	-6.03	48.51	0.92
303.222656	-6.27	49.95	0.96
304.687500	-6.55	50.56	0.93
306.152344	-6.85	50.76	0.98
307.617188	-7.15	50.75	0.97
309.082031	-7.46	50.66	0.96
310.546875	-7.75	50.42	0.96
312.011719	-8.05	50.04	0.97
313.476563	-8.34	49.75	0.96
314.941406	-8.63	49.60	0.89
316.406250	-8.91	49.78	0.83
317.871094	-9.16	50.25	0.89
319.335938	-9.38	51.12	0.88
320.800781	-9.58	52.74	0.70
322.265625	-9.77	54.99	0.74
323.730469	-9.92	57.10	0.77
325.195313	-10.05	58.83	0.84
326.660156	-10.14	60.18	0.94
328.125000	-10.22	60.96	0.94
329.589844	-10.28	61.04	0.89
331.054688	-10.34	60.55	0.83
332.519531	-10.40	59.60	0.93
333.984375	-10.45	58.30	0.92
335.449219	-10.49	56.66	0.97
336.914063	-10.54	54.74	0.99
338.378906	-10.59	52.60	0.98
339.843750	-10.64	50.26	0.97
341.308594	-10.70	47.73	0.95
342.773438	-10.76	45.11	0.96
344.238281	-10.82	42.32	0.92
345.703125	-10.88	39.33	0.85
347.167969	-10.94	36.32	0.94
348.632813	-11.00	33.38	0.92
350.097656	-11.04	30.47	0.92
351.562500	-11.09	27.67	0.95
353.027344	-11.15	25.08	0.88
354.492188	-11.21	22.49	0.84
355.957031	-11.27	20.14	0.78
357.421875	-11.33	18.18	0.73
358.886719	-11.39	16.56	0.46
360.351563	-11.43	15.01	0.60
361.816406	-11.45	13.62	0.63
363.281250	-11.47	12.45	0.53
364.746094	-11.48	11.76	0.21
366.210938	-11.51	10.68	0.32
367.675781	-11.58	9.59	0.47
369.140625	-11.69	9.37	0.06
370.605469	-11.83	9.03	0.16
372.070313	-11.96	8.46	0.32
373.535156	-12.07	7.99	0.44
375.000000	-12.17	7.79	0.61
376.464844	-12.23	7.85	0.50
377.929688	-12.28	8.11	0.37
379.394531	-12.30	8.64	0.52
380.859375	-12.30	9.27	0.40
382.324219	-12.29	9.36	0.22
383.789063	-12.27	9.67	0.47
385.253906	-12.23	9.59	0.32
386.718750	-12.19	9.22	0.25
388.183594	-12.15	9.40	0.73
389.648438	-12.11	9.32	0.71
391.113281	-12.06	9.34	0.71
392.578125	-12.00	9.48	0.72
394.042969	-11.95	9.51	0.40
395.507813	-11.88	9.24	0.66
396.972656	-11.81	9.55	0.60
398.437500	-11.74	10.95	0.71
399.902344	-11.66	13.36	0.74
