	NT2000-60-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-39.25	52.16	0.99
2.929688	-38.35	63.20	0.97
4.394531	-32.14	51.65	0.95
5.859375	-31.57	63.34	0.59
7.324219	-34.69	40.17	0.58
8.789063	-30.65	60.71	0.78
10.253906	-27.12	111.42	0.79
11.718750	-28.48	95.91	0.86
13.183594	-24.70	91.55	0.46
14.648438	-23.85	77.96	0.85
16.113281	-21.23	34.46	0.44
17.578125	-14.77	-94.31	0.22
19.042969	-21.58	-148.84	0.39
20.507813	-20.62	-155.10	0.59
21.972656	-17.68	166.61	0.50
23.437500	-16.08	166.57	0.72
24.902344	-7.97	166.04	0.67
26.367188	-3.80	47.81	0.95
27.832031	-3.46	49.90	0.84
29.296875	-4.20	39.57	0.94
30.761719	-4.63	30.21	0.95
32.226563	-5.27	24.04	0.97
33.691406	-5.51	27.05	0.99
35.156250	-5.93	28.47	0.99
36.621094	-6.88	32.10	0.99
38.085938	-6.98	31.06	0.99
39.550781	-6.84	32.24	0.99
41.015625	-6.53	32.50	0.99
42.480469	-6.05	24.86	0.98
43.945313	-5.77	19.87	1.00
45.410156	-5.88	19.86	1.00
46.875000	-6.26	18.77	1.00
48.339844	-6.72	18.22	0.99
49.804688	-7.49	17.90	0.99
51.269531	-8.29	19.46	0.99
52.734375	-8.99	23.31	0.97
54.199219	-9.48	26.59	0.98
55.664063	-8.85	30.20	0.98
57.128906	-8.02	30.78	0.99
58.593750	-7.37	30.51	1.00
60.058594	-6.95	30.21	1.00
61.523438	-6.68	29.73	1.00
62.988281	-6.64	29.93	1.00
64.453125	-6.60	30.98	1.00
65.917969	-6.30	31.19	0.99
67.382813	-5.63	29.88	0.98
68.847656	-4.74	25.39	0.95
70.312500	-4.30	20.67	0.96
71.777344	-4.35	18.49	0.96
73.242188	-4.84	15.61	0.97
74.707031	-5.33	15.37	0.99
76.171875	-5.65	16.91	0.98
77.636719	-5.61	18.40	0.86
79.101563	-5.52	18.86	0.97
80.566406	-5.63	18.36	0.97
82.031250	-5.97	18.49	0.99
83.496094	-6.24	19.31	1.00
84.960938	-6.39	20.83	0.99
86.425781	-6.36	22.43	0.99
87.890625	-6.15	23.50	0.99
89.355469	-5.79	24.07	0.98
90.820313	-5.51	24.40	1.00
92.285156	-5.34	24.52	0.99
93.750000	-5.18	24.10	0.99
95.214844	-4.96	23.75	0.99
96.679688	-4.73	23.73	0.99
98.144531	-4.59	23.79	1.00
99.609375	-4.49	23.84	1.00
101.074219	-4.44	23.88	1.00
102.539063	-4.35	23.78	1.00
104.003906	-4.24	23.54	1.00
105.468750	-4.20	22.99	0.99
106.933594	-4.14	22.01	0.99
108.398438	-4.05	21.16	0.99
109.863281	-3.88	20.46	1.00
111.328125	-3.76	19.27	1.00
112.792969	-3.71	17.12	0.99
114.257813	-3.81	14.24	0.97
115.722656	-4.00	11.61	0.98
117.187500	-4.22	9.85	0.99
118.652344	-4.44	8.81	1.00
120.117188	-4.58	8.18	0.99
121.582031	-4.66	7.63	1.00
123.046875	-4.77	7.12	1.00
124.511719	-4.91	6.62	1.00
125.976563	-5.08	6.18	1.00
127.441406	-5.28	5.92	1.00
128.906250	-5.52	6.27	0.99
130.371094	-5.81	7.47	0.99
131.835938	-6.02	9.07	1.00
133.300781	-6.12	11.14	1.00
134.765625	-6.11	13.32	1.00
136.230469	-6.01	15.62	0.99
137.695313	-5.76	17.56	1.00
139.160156	-5.42	18.98	0.99
140.625000	-4.96	19.87	0.99
142.089844	-4.50	19.88	0.99
143.554688	-4.06	19.10	0.99
145.019531	-3.67	17.62	1.00
146.484375	-3.37	15.75	1.00
147.949219	-3.10	13.67	1.00
149.414063	-2.89	11.18	0.99
150.878906	-2.76	8.93	1.00
152.343750	-2.69	6.71	1.00
153.808594	-2.68	4.44	1.00
155.273438	-2.71	2.07	1.00
156.738281	-2.80	-0.39	0.99
158.203125	-2.95	-2.82	0.99
159.667969	-3.15	-4.60	0.98
161.132813	-3.38	-6.18	0.99
162.597656	-3.58	-7.29	0.99
164.062500	-3.78	-8.16	1.00
165.527344	-3.97	-8.88	1.00
166.992188	-4.19	-9.56	0.99
168.457031	-4.43	-10.07	1.00
169.921875	-4.64	-10.41	1.00
171.386719	-4.87	-10.57	1.00
172.851563	-5.10	-10.49	0.99
174.316406	-5.34	-10.20	1.00
175.781250	-5.56	-9.82	1.00
177.246094	-5.75	-9.33	1.00
178.710938	-5.92	-8.65	0.99
180.175781	-6.05	-7.90	1.00
181.640625	-6.15	-7.22	1.00
183.105469	-6.24	-6.51	1.00
184.570313	-6.29	-5.78	1.00
186.035156	-6.30	-5.05	0.98
187.500000	-6.26	-4.44	0.99
188.964844	-6.21	-4.28	0.99
190.429688	-6.16	-4.62	0.98
191.894531	-6.17	-4.95	0.97
193.359375	-6.21	-5.05	0.98
194.824219	-6.21	-4.88	0.99
196.289063	-6.19	-4.51	0.98
197.753906	-6.11	-4.36	0.99
199.218750	-6.02	-4.67	0.97
200.683594	-5.97	-5.54	0.99
202.148438	-5.99	-7.22	0.96
203.613281	-6.08	-8.67	1.00
205.078125	-6.24	-9.94	0.99
206.542969	-6.46	-10.86	1.00
208.007813	-6.71	-11.50	1.00
209.472656	-7.00	-11.86	0.96
210.937500	-7.31	-11.86	0.99
212.402344	-7.62	-11.28	0.98
213.867188	-7.91	-10.23	0.94
215.332031	-8.12	-9.10	0.99
216.796875	-8.32	-7.93	1.00
218.261719	-8.50	-6.61	0.99
219.726563	-8.69	-5.11	0.99
221.191406	-8.84	-3.44	0.98
222.656250	-8.95	-1.67	0.96
224.121094	-9.03	0.15	0.98
225.585938	-9.10	2.17	0.94
227.050781	-9.16	4.48	0.97
228.515625	-9.14	6.94	0.96
229.980469	-9.03	9.43	0.99
231.445313	-8.88	11.68	1.00
232.910156	-8.69	13.64	1.00
234.375000	-8.46	15.37	1.00
235.839844	-8.21	16.85	1.00
237.304688	-7.94	18.06	0.99
238.769531	-7.65	18.95	0.99
240.234375	-7.36	19.50	0.99
241.699219	-7.09	19.63	0.99
243.164063	-6.85	19.50	0.99
244.628906	-6.64	19.28	1.00
246.093750	-6.44	19.03	1.00
247.558594	-6.25	18.73	1.00
249.023438	-6.08	18.40	1.00
250.488281	-5.92	18.16	1.00
251.953125	-5.77	17.97	1.00
253.417969	-5.63	17.79	1.00
254.882813	-5.49	17.64	1.00
256.347656	-5.34	17.51	1.00
257.812500	-5.18	17.36	1.00
259.277344	-5.01	17.18	0.99
260.742188	-4.84	16.95	1.00
262.207031	-4.64	16.58	1.00
