	NT2000-0-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-50.76	-61.73	0.76
2.929688	-31.52	-138.77	0.87
4.394531	-27.32	-106.81	0.93
5.859375	-26.85	-57.23	0.96
7.324219	-23.89	-130.45	0.90
8.789063	-21.02	92.38	0.95
10.253906	-28.24	35.19	0.99
11.718750	1234.57	45.00	1.00
13.183594	1234.57	45.00	1.00
14.648438	1234.57	45.00	1.00
16.113281	-24.22	150.63	0.87
17.578125	-26.01	164.66	0.79
19.042969	-26.04	176.58	0.74
20.507813	1234.57	45.00	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	-27.78	-63.31	0.65
26.367188	-11.00	57.50	0.98
27.832031	-4.47	53.03	0.98
29.296875	-1.95	35.38	0.98
30.761719	-1.53	36.29	1.00
32.226563	-1.54	35.29	1.00
33.691406	-2.10	34.47	1.00
35.156250	-2.60	33.32	1.00
36.621094	-2.75	33.51	1.00
38.085938	-2.84	34.75	1.00
39.550781	-2.90	36.39	0.99
41.015625	-2.71	35.55	0.98
42.480469	-2.14	29.67	1.00
43.945313	-1.91	26.18	1.00
45.410156	-2.08	22.77	1.00
46.875000	-2.46	20.84	1.00
48.339844	-3.09	18.63	1.00
49.804688	-3.77	18.13	1.00
51.269531	-4.62	19.26	0.99
52.734375	-5.18	24.06	0.99
54.199219	-4.95	31.36	0.93
55.664063	-4.29	37.97	0.98
57.128906	-3.40	37.82	0.99
58.593750	-3.06	36.69	0.99
60.058594	-2.78	36.34	1.00
61.523438	-2.57	36.46	1.00
62.988281	-2.32	36.95	1.00
64.453125	-2.03	37.63	1.00
65.917969	-1.48	37.44	1.00
67.382813	-0.73	36.11	0.98
68.847656	-0.28	32.86	0.99
70.312500	-0.23	28.50	1.00
71.777344	-0.36	24.95	1.00
73.242188	-0.65	21.49	0.99
74.707031	-0.91	20.35	0.99
76.171875	-1.03	21.49	0.98
77.636719	-0.84	22.61	1.00
79.101563	-0.62	22.61	1.00
80.566406	-0.53	21.27	1.00
82.031250	-0.54	19.81	1.00
83.496094	-0.66	18.38	1.00
84.960938	-0.86	17.36	1.00
86.425781	-1.12	17.08	1.00
87.890625	-1.32	17.78	1.00
89.355469	-1.40	18.88	1.00
90.820313	-1.39	19.93	1.00
92.285156	-1.41	20.87	1.00
93.750000	-1.32	21.63	1.00
95.214844	-1.15	21.88	1.00
96.679688	-1.00	21.19	1.00
98.144531	-0.91	20.64	1.00
99.609375	-0.84	20.29	1.00
101.074219	-0.79	19.99	1.00
102.539063	-0.72	19.67	1.00
104.003906	-0.67	19.45	1.00
105.468750	-0.61	19.41	1.00
106.933594	-0.48	19.32	1.00
108.398438	-0.25	18.89	0.99
109.863281	-0.03	18.00	1.00
111.328125	0.16	16.53	1.00
112.792969	0.25	14.54	0.99
114.257813	0.24	12.03	0.99
115.722656	0.06	9.63	0.99
117.187500	-0.17	8.19	1.00
118.652344	-0.40	7.39	0.99
120.117188	-0.57	6.76	1.00
121.582031	-0.69	6.12	1.00
123.046875	-0.83	5.66	1.00
124.511719	-1.00	5.37	1.00
125.976563	-1.19	5.21	1.00
127.441406	-1.44	5.35	1.00
128.906250	-1.69	5.95	0.99
130.371094	-1.88	6.94	1.00
131.835938	-1.97	8.06	0.99
133.300781	-1.99	9.18	0.99
134.765625	-1.99	9.93	0.97
136.230469	-2.00	11.04	0.96
137.695313	-1.98	12.86	0.97
139.160156	-1.84	14.57	0.99
140.625000	-1.65	15.68	0.99
142.089844	-1.39	16.29	1.00
143.554688	-1.08	16.57	0.99
145.019531	-0.78	16.37	1.00
