	NT2000-80-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
253.417969	-9.68	32.67	0.97
254.882813	-9.51	31.72	0.99
256.347656	-9.33	30.83	1.00
257.812500	-9.15	29.96	1.00
259.277344	-8.96	29.10	1.00
260.742188	-8.77	28.22	1.00
262.207031	-8.56	27.28	0.99
263.671875	-8.37	26.29	1.00
265.136719	-8.18	25.27	1.00
266.601563	-7.99	24.22	0.99
268.066406	-7.79	23.09	0.99
269.531250	-7.59	21.84	0.99
270.996094	-7.40	20.44	1.00
272.460938	-7.22	18.92	0.99
273.925781	-7.07	17.24	0.97
275.390625	-6.96	15.39	0.99
276.855469	-6.90	13.39	0.99
278.320313	-6.87	11.52	0.99
279.785156	-6.87	9.81	1.00
281.250000	-6.89	8.25	1.00
282.714844	-6.92	6.82	1.00
284.179688	-6.96	5.50	1.00
285.644531	-7.00	4.27	1.00
287.109375	-7.05	3.08	1.00
288.574219	-7.09	1.84	1.00
290.039063	-7.13	0.52	1.00
291.503906	-7.19	-0.87	1.00
292.968750	-7.27	-2.33	1.00
294.433594	-7.37	-3.79	1.00
295.898438	-7.48	-5.22	1.00
297.363281	-7.62	-6.57	1.00
298.828125	-7.78	-7.80	1.00
300.292969	-7.94	-8.92	1.00
301.757813	-8.12	-9.91	1.00
303.222656	-8.31	-10.77	1.00
304.687500	-8.51	-11.48	1.00
306.152344	-8.71	-12.05	1.00
307.617188	-8.91	-12.48	1.00
309.082031	-9.12	-12.72	1.00
310.546875	-9.32	-12.76	0.99
312.011719	-9.53	-12.61	0.95
313.476563	-9.72	-12.28	0.97
314.941406	-9.85	-11.87	0.95
316.406250	-9.94	-11.44	0.99
317.871094	-10.00	-11.08	1.00
319.335938	-10.04	-10.78	1.00
320.800781	-10.07	-10.59	1.00
322.265625	-10.09	-10.48	0.99
323.730469	-10.12	-10.43	0.99
325.195313	-10.16	-10.40	1.00
326.660156	-10.20	-10.35	0.98
328.125000	-10.25	-10.26	0.98
329.589844	-10.27	-10.12	0.96
331.054688	-10.29	-10.08	0.99
332.519531	-10.30	-10.18	1.00
333.984375	-10.33	-10.40	0.99
335.449219	-10.37	-10.73	0.99
336.914063	-10.43	-11.08	0.99
338.378906	-10.50	-11.30	0.99
339.843750	-10.60	-11.43	1.00
341.308594	-10.70	-11.52	1.00
342.773438	-10.82	-11.58	0.99
344.238281	-10.93	-11.54	0.99
345.703125	-11.05	-11.40	0.99
347.167969	-11.15	-11.16	0.99
348.632813	-11.25	-10.89	1.00
350.097656	-11.33	-10.58	0.99
351.562500	-11.40	-10.29	0.98
353.027344	-11.46	-9.99	0.99
354.492188	-11.53	-9.69	1.00
355.957031	-11.60	-9.36	0.99
357.421875	-11.67	-9.01	0.99
358.886719	-11.72	-8.59	0.98
360.351563	-11.77	-8.09	0.96
361.816406	-11.80	-7.60	0.99
363.281250	-11.81	-7.13	0.99
364.746094	-11.80	-6.71	0.99
366.210938	-11.80	-6.36	0.99
367.675781	-11.81	-6.03	1.00
369.140625	-11.81	-5.72	1.00
370.605469	-11.81	-5.39	0.99
372.070313	-11.82	-5.08	0.99
373.535156	-11.82	-4.78	0.99
375.000000	-11.81	-4.46	0.98
376.464844	-11.79	-4.14	0.97
377.929688	-11.76	-3.84	0.98
379.394531	-11.74	-3.61	1.00
380.859375	-11.72	-3.44	0.99
382.324219	-11.71	-3.28	0.99
383.789063	-11.71	-3.11	0.98
385.253906	-11.71	-2.87	0.95
386.718750	-11.69	-2.64	0.98
388.183594	-11.66	-2.47	0.99
389.648438	-11.63	-2.35	1.00
391.113281	-11.61	-2.28	1.00
392.578125	-11.59	-2.28	0.98
394.042969	-11.57	-2.32	0.99
395.507813	-11.57	-2.38	1.00
396.972656	-11.58	-2.41	1.00
398.437500	-11.60	-2.41	0.99
399.902344	-11.62	-2.38	0.99
401.367188	-11.66	-2.25	0.99
402.832031	-11.68	-1.99	0.99
404.296875	-11.71	-1.62	0.98
405.761719	-11.72	-1.19	0.99
407.226563	-11.71	-0.75	0.99
408.691406	-11.70	-0.31	1.00
410.156250	-11.68	0.14	1.00
411.621094	-11.65	0.58	1.00
413.085938	-11.61	0.99	1.00
414.550781	-11.56	1.37	0.99
416.015625	-11.50	1.74	0.99
417.480469	-11.44	2.08	1.00
418.945313	-11.37	2.41	1.00
420.410156	-11.30	2.72	1.00
421.875000	-11.21	3.01	1.00
423.339844	-11.12	3.27	0.98
424.804688	-11.01	3.49	0.96
426.269531	-10.88	3.61	0.96
427.734375	-10.75	3.59	0.96
429.199219	-10.62	3.41	0.98
430.664063	-10.51	3.09	0.99
432.128906	-10.41	2.75	0.99
433.593750	-10.32	2.45	1.00
435.058594	-10.23	2.17	1.00
436.523438	-10.14	1.88	1.00
437.988281	-10.05	1.56	1.00
