	NT2000-180-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-38.85	50.50	0.99
2.929688	-36.40	65.27	0.96
4.394531	-34.30	57.16	0.90
5.859375	-30.78	64.61	0.75
7.324219	-26.03	68.75	0.69
8.789063	-24.25	80.38	0.90
10.253906	-23.03	61.76	0.64
11.718750	-21.84	58.81	0.82
13.183594	-21.03	51.32	0.81
14.648438	-15.85	-5.02	0.56
16.113281	-13.91	27.70	0.55
17.578125	-7.29	63.09	0.43
19.042969	-9.27	2.11	0.52
20.507813	-9.57	46.52	0.79
21.972656	-12.02	13.75	0.81
23.437500	-9.62	14.50	0.88
24.902344	-8.73	-23.45	0.78
26.367188	-8.15	-98.51	0.67
27.832031	-1.53	-143.09	0.82
29.296875	-3.64	-138.06	0.84
30.761719	-3.40	-141.79	0.95
32.226563	-4.23	-143.06	0.99
33.691406	-5.00	-144.55	1.00
35.156250	-5.68	-142.11	1.00
36.621094	-5.88	-138.62	1.00
38.085938	-5.50	-137.71	1.00
39.550781	-4.79	-138.91	0.98
41.015625	-3.81	-139.66	0.95
42.480469	-3.44	-145.81	0.98
43.945313	-3.85	-153.23	0.99
45.410156	-4.67	-156.97	0.99
46.875000	-5.40	-157.98	1.00
48.339844	-6.33	-159.06	0.99
49.804688	-7.56	-159.21	0.99
51.269531	-8.49	-154.07	0.99
52.734375	-8.89	-139.29	0.87
54.199219	-8.55	-126.24	0.86
55.664063	-6.58	-123.36	0.81
57.128906	-5.81	-128.97	0.97
58.593750	-5.67	-129.60	0.99
60.058594	-5.45	-129.92	1.00
61.523438	-5.11	-129.53	1.00
62.988281	-4.74	-129.61	1.00
64.453125	-4.30	-129.28	1.00
65.917969	-3.78	-129.35	0.99
67.382813	-3.12	-131.04	0.99
68.847656	-2.41	-134.76	0.99
70.312500	-2.12	-139.81	0.99
71.777344	-2.24	-142.27	0.99
73.242188	-2.58	-144.16	0.98
74.707031	-2.99	-145.89	0.94
76.171875	-3.15	-146.29	0.96
77.636719	-2.66	-146.82	0.90
79.101563	-2.24	-147.04	0.95
80.566406	-2.00	-149.08	0.97
82.031250	-2.01	-151.69	0.98
83.496094	-2.02	-153.41	0.92
84.960938	-2.27	-154.38	0.87
86.425781	-2.71	-155.49	0.97
87.890625	-3.04	-155.64	0.99
89.355469	-3.23	-154.97	0.98
90.820313	-3.25	-153.70	0.97
92.285156	-3.11	-152.01	0.93
93.750000	-2.83	-151.37	0.96
95.214844	-2.66	-150.58	0.96
96.679688	-2.52	-150.33	0.95
98.144531	-2.40	-150.59	0.99
99.609375	-2.34	-150.64	1.00
101.074219	-2.34	-150.37	1.00
102.539063	-2.35	-150.31	0.99
104.003906	-2.30	-150.34	0.99
105.468750	-2.19	-150.45	0.98
106.933594	-2.00	-150.90	0.99
108.398438	-1.69	-151.52	0.98
109.863281	-1.32	-152.36	0.99
111.328125	-1.04	-153.69	0.99
112.792969	-0.93	-156.30	0.99
114.257813	-1.01	-159.93	0.97
115.722656	-1.21	-163.43	0.98
117.187500	-1.49	-165.32	0.98
118.652344	-1.75	-166.34	0.99
120.117188	-1.94	-167.40	0.99
121.582031	-2.11	-168.38	1.00
123.046875	-2.33	-169.22	1.00
124.511719	-2.60	-169.93	1.00
125.976563	-2.91	-170.20	1.00
127.441406	-3.21	-169.73	1.00
128.906250	-3.49	-168.37	0.99
130.371094	-3.74	-166.39	0.99
131.835938	-3.88	-164.37	1.00
133.300781	-3.94	-162.41	1.00
134.765625	-3.97	-160.60	0.99
136.230469	-3.99	-158.80	0.99
137.695313	-3.92	-156.67	0.99
139.160156	-3.71	-154.56	0.98
140.625000	-3.37	-152.78	0.99
142.089844	-3.00	-151.81	0.98
143.554688	-2.56	-151.62	0.97
145.019531	-2.12	-152.33	0.99
146.484375	-1.75	-153.62	0.99
147.949219	-1.44	-155.69	0.97
149.414063	-1.15	-158.22	0.99
150.878906	-0.98	-160.66	1.00
