	NT2000-30-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-46.78	1.74	0.45
2.929688	-38.37	51.57	0.97
4.394531	-34.22	51.14	0.86
5.859375	-33.01	90.87	0.72
7.324219	-28.16	106.35	0.80
8.789063	-23.14	-73.72	0.20
10.253906	-17.35	106.23	0.27
11.718750	-17.48	32.39	0.34
13.183594	-20.04	4.43	0.31
14.648438	-22.12	-10.95	0.59
16.113281	-15.46	-170.20	0.40
17.578125	-11.72	91.50	0.18
19.042969	-11.75	165.63	0.10
20.507813	-16.69	-93.51	0.65
21.972656	-20.04	-152.06	0.33
23.437500	-12.14	-172.52	0.69
24.902344	-13.65	-157.22	0.59
26.367188	-5.30	46.45	0.57
27.832031	-2.59	33.03	0.92
29.296875	-0.97	32.97	0.95
30.761719	-0.80	36.98	0.97
32.226563	-2.02	32.08	0.98
33.691406	-2.75	29.67	0.98
35.156250	-3.45	28.06	0.99
36.621094	-4.82	33.10	0.97
38.085938	-5.91	35.47	0.96
39.550781	-4.23	35.37	0.97
41.015625	-2.97	30.93	1.00
42.480469	-2.47	25.47	0.99
43.945313	-2.45	23.34	1.00
45.410156	-2.85	22.56	1.00
46.875000	-3.26	22.41	0.99
48.339844	-3.86	19.32	1.00
49.804688	-4.51	18.65	1.00
51.269531	-5.44	21.22	0.98
52.734375	-6.05	25.34	0.99
54.199219	-5.86	30.13	0.98
55.664063	-4.91	34.65	0.97
57.128906	-4.37	35.86	0.99
58.593750	-4.27	37.18	0.99
60.058594	-4.23	35.99	0.99
61.523438	-4.08	35.13	1.00
62.988281	-3.97	35.72	1.00
64.453125	-3.56	36.62	1.00
65.917969	-3.01	36.23	1.00
67.382813	-2.32	34.74	0.99
68.847656	-1.68	30.79	0.98
70.312500	-1.27	26.31	0.98
71.777344	-1.51	25.29	0.99
73.242188	-1.88	23.89	0.99
74.707031	-2.12	23.12	0.98
76.171875	-2.26	23.99	0.98
77.636719	-2.18	23.68	0.99
79.101563	-2.06	22.01	0.97
80.566406	-1.99	20.35	0.99
82.031250	-2.08	19.31	0.99
83.496094	-2.29	18.62	0.98
84.960938	-2.39	18.86	1.00
86.425781	-2.34	19.31	1.00
87.890625	-2.27	20.67	1.00
89.355469	-2.19	22.36	1.00
90.820313	-2.08	23.89	1.00
92.285156	-2.01	24.83	0.99
93.750000	-1.96	25.26	0.99
95.214844	-1.86	24.81	0.98
96.679688	-1.81	23.85	0.99
98.144531	-1.76	22.62	0.99
99.609375	-1.68	22.01	1.00
101.074219	-1.58	21.81	1.00
102.539063	-1.46	21.61	1.00
104.003906	-1.31	21.22	1.00
105.468750	-1.17	20.78	1.00
106.933594	-1.00	20.24	1.00
108.398438	-0.82	19.50	1.00
109.863281	-0.62	18.59	1.00
111.328125	-0.41	17.29	0.99
112.792969	-0.28	15.48	0.99
114.257813	-0.32	13.13	0.99
115.722656	-0.55	10.92	0.95
117.187500	-0.81	9.37	1.00
118.652344	-1.03	8.29	1.00
120.117188	-1.21	7.61	1.00
121.582031	-1.34	6.89	0.99
123.046875	-1.50	6.32	1.00
124.511719	-1.68	5.94	1.00
125.976563	-1.87	5.80	0.99
127.441406	-2.12	5.96	0.98
128.906250	-2.36	6.42	0.99
130.371094	-2.58	7.43	1.00
131.835938	-2.68	8.72	0.98
133.300781	-2.71	10.13	0.99
134.765625	-2.68	11.58	1.00
136.230469	-2.62	13.11	1.00
137.695313	-2.48	14.69	0.99
139.160156	-2.27	16.06	1.00
140.625000	-1.97	16.96	0.99
142.089844	-1.63	17.34	1.00
143.554688	-1.27	17.15	0.99
145.019531	-0.93	16.42	1.00
146.484375	-0.63	15.38	1.00
147.949219	-0.39	13.88	1.00
149.414063	-0.19	12.11	0.99
150.878906	-0.06	10.11	1.00
152.343750	-0.01	7.94	1.00
153.808594	-0.03	5.68	1.00
155.273438	-0.16	3.32	0.98
156.738281	-0.35	1.10	1.00
158.203125	-0.59	-0.75	0.97
159.667969	-0.84	-2.00	1.00
161.132813	-1.05	-2.68	0.99
162.597656	-1.21	-2.86	0.96
164.062500	-1.30	-2.81	1.00
165.527344	-1.38	-2.89	0.99
166.992188	-1.46	-3.20	1.00
168.457031	-1.56	-3.29	1.00
169.921875	-1.66	-3.21	1.00
171.386719	-1.78	-3.01	1.00
172.851563	-1.91	-2.73	1.00
174.316406	-2.01	-2.30	1.00
175.781250	-2.09	-1.81	1.00
177.246094	-2.15	-1.31	1.00
178.710938	-2.18	-0.72	1.00
180.175781	-2.18	-0.01	0.99
181.640625	-2.15	0.56	1.00
183.105469	-2.11	0.96	1.00
184.570313	-2.08	1.30	1.00
186.035156	-2.04	1.60	0.99
187.500000	-1.98	1.73	1.00
188.964844	-1.90	1.59	0.99
190.429688	-1.84	1.08	0.98
191.894531	-1.83	0.91	0.98
193.359375	-1.83	1.09	0.99
194.824219	-1.80	1.39	0.99
196.289063	-1.72	1.56	0.99
197.753906	-1.64	1.28	1.00
199.218750	-1.58	0.56	0.99
200.683594	-1.55	-0.65	0.99
202.148438	-1.59	-2.32	0.96
203.613281	-1.71	-3.81	0.97
205.078125	-1.86	-4.89	0.99
206.542969	-2.04	-5.58	1.00
208.007813	-2.22	-5.99	1.00
209.472656	-2.39	-6.19	1.00
210.937500	-2.57	-6.29	1.00
212.402344	-2.75	-6.19	0.99
213.867188	-2.91	-5.93	1.00
215.332031	-3.05	-5.60	1.00
216.796875	-3.19	-5.17	1.00
218.261719	-3.33	-4.57	1.00
219.726563	-3.47	-3.81	1.00
221.191406	-3.59	-2.98	1.00
222.656250	-3.70	-2.05	1.00
224.121094	-3.79	-1.04	1.00
225.585938	-3.89	0.14	0.99
227.050781	-3.96	1.56	0.99
228.515625	-3.99	3.08	0.99
229.980469	-3.96	4.64	1.00
231.445313	-3.90	6.11	1.00
232.910156	-3.81	7.45	1.00
234.375000	-3.70	8.67	1.00
235.839844	-3.56	9.74	1.00
237.304688	-3.40	10.66	0.99
238.769531	-3.24	11.31	1.00
240.234375	-3.08	11.70	1.00
241.699219	-2.92	11.87	1.00
243.164063	-2.79	11.88	0.99
244.628906	-2.68	11.74	1.00
246.093750	-2.58	11.67	1.00
247.558594	-2.48	11.58	1.00
249.023438	-2.39	11.46	1.00
250.488281	-2.32	11.29	1.00
251.953125	-2.25	11.19	1.00
253.417969	-2.18	11.15	1.00
254.882813	-2.11	11.16	0.99
256.347656	-2.03	11.14	1.00
257.812500	-1.94	11.09	1.00
259.277344	-1.83	11.01	1.00
260.742188	-1.71	10.89	1.00
262.207031	-1.59	10.67	1.00
263.671875	-1.46	10.38	0.99
265.136719	-1.34	10.01	0.99
266.601563	-1.23	9.63	0.99
268.066406	-1.11	9.24	1.00
269.531250	-0.99	8.74	1.00
270.996094	-0.86	8.13	1.00
272.460938	-0.75	7.36	1.00
273.925781	-0.64	6.46	1.00
275.390625	-0.55	5.47	1.00
276.855469	-0.48	4.46	1.00
278.320313	-0.42	3.41	1.00
279.785156	-0.38	2.30	1.00
281.250000	-0.37	1.15	1.00
282.714844	-0.38	0.05	1.00
284.179688	-0.40	-1.01	1.00
285.644531	-0.44	-2.07	1.00
287.109375	-0.49	-3.11	1.00
288.574219	-0.56	-4.06	1.00
290.039063	-0.64	-4.91	1.00
291.503906	-0.72	-5.69	1.00
292.968750	-0.82	-6.44	1.00
294.433594	-0.93	-7.14	1.00
295.898438	-1.04	-7.79	1.00
297.363281	-1.17	-8.38	1.00
298.828125	-1.30	-8.93	1.00
300.292969	-1.44	-9.42	1.00
301.757813	-1.59	-9.83	1.00
303.222656	-1.75	-10.11	1.00
304.687500	-1.91	-10.25	1.00
306.152344	-2.06	-10.29	1.00
307.617188	-2.20	-10.28	1.00
309.082031	-2.33	-10.22	0.99
310.546875	-2.47	-10.18	0.97
312.011719	-2.63	-10.09	1.00
313.476563	-2.77	-9.86	0.99
314.941406	-2.89	-9.52	1.00
316.406250	-2.99	-9.09	1.00
317.871094	-3.07	-8.63	1.00
319.335938	-3.14	-8.14	1.00
320.800781	-3.19	-7.64	1.00
322.265625	-3.24	-7.14	1.00
323.730469	-3.27	-6.62	1.00
325.195313	-3.29	-6.10	1.00
326.660156	-3.30	-5.57	0.99
328.125000	-3.30	-5.06	1.00
329.589844	-3.28	-4.63	1.00
