	NT2000-120-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-38.93	53.54	1.00
2.929688	-37.74	67.38	0.96
4.394531	-33.89	67.69	0.98
5.859375	-33.51	72.63	0.90
7.324219	-30.44	82.00	0.82
8.789063	-24.76	108.71	0.88
10.253906	-24.64	64.29	0.63
11.718750	-32.19	75.64	0.84
13.183594	-32.16	59.96	0.95
14.648438	-30.68	38.29	0.37
16.113281	-33.63	37.10	0.38
17.578125	-13.89	-62.82	0.57
19.042969	-20.62	112.29	0.36
20.507813	-21.66	156.11	0.59
21.972656	-13.80	24.81	0.84
23.437500	-13.75	26.05	0.95
24.902344	-13.60	27.59	0.82
26.367188	-13.74	22.88	0.45
27.832031	-8.19	-159.03	0.48
29.296875	-12.11	-168.60	0.81
30.761719	-13.01	-178.97	0.77
32.226563	-13.04	-120.22	0.89
33.691406	-14.29	-108.55	0.91
35.156250	-16.50	-102.72	0.89
36.621094	-16.12	-99.53	0.86
38.085938	-13.88	-87.79	0.88
39.550781	-12.93	-79.22	0.81
41.015625	-11.87	-82.01	0.69
42.480469	-12.13	-124.57	0.84
43.945313	-12.23	-131.63	0.91
45.410156	-12.18	-136.37	0.94
46.875000	-13.01	-139.33	0.87
48.339844	-14.48	-148.74	0.91
49.804688	-16.28	-149.72	0.94
51.269531	-18.72	-143.03	0.81
52.734375	-20.70	-132.99	0.81
54.199219	-19.04	-116.69	0.78
55.664063	-17.62	-108.82	0.87
57.128906	-16.05	-111.58	0.95
58.593750	-15.38	-110.73	0.98
60.058594	-14.70	-110.04	0.99
61.523438	-13.84	-110.62	0.98
62.988281	-12.80	-113.84	0.99
64.453125	-12.04	-117.70	1.00
65.917969	-11.41	-122.29	1.00
67.382813	-10.81	-128.41	0.98
68.847656	-10.44	-135.98	0.98
70.312500	-10.50	-142.77	0.95
71.777344	-10.70	-149.21	0.58
73.242188	-10.40	-155.32	0.71
74.707031	-10.29	-156.50	0.98
76.171875	-10.15	-156.36	0.95
77.636719	-9.80	-155.86	0.99
79.101563	-9.52	-156.97	0.99
80.566406	-9.34	-159.43	0.98
82.031250	-9.29	-162.49	0.97
83.496094	-9.34	-166.33	0.96
84.960938	-9.58	-169.97	0.96
86.425781	-9.88	-171.80	0.97
87.890625	-10.56	-173.14	0.82
89.355469	-11.58	-172.44	0.92
90.820313	-12.12	-170.79	0.97
92.285156	-12.42	-167.65	0.74
93.750000	-12.52	-163.22	0.77
95.214844	-12.30	-160.97	0.86
96.679688	-12.27	-161.68	0.92
98.144531	-12.46	-160.81	0.92
99.609375	-12.50	-159.19	0.90
101.074219	-12.58	-157.59	0.96
102.539063	-12.69	-155.73	0.95
104.003906	-12.77	-153.80	0.96
105.468750	-12.58	-151.80	0.91
106.933594	-12.14	-150.90	0.95
108.398438	-11.57	-152.15	0.96
109.863281	-11.14	-153.85	0.96
111.328125	-10.89	-155.26	0.96
112.792969	-10.72	-156.60	0.95
114.257813	-10.56	-158.95	0.97
115.722656	-10.67	-162.45	0.96
117.187500	-10.90	-165.07	0.99
118.652344	-11.11	-166.97	1.00
120.117188	-11.31	-168.66	1.00
121.582031	-11.48	-170.31	0.99
123.046875	-11.74	-171.28	0.99
124.511719	-12.05	-171.74	1.00
125.976563	-12.40	-171.25	0.98
127.441406	-12.83	-169.57	0.87
128.906250	-13.08	-167.01	0.93
130.371094	-13.19	-164.73	0.98
131.835938	-13.18	-163.25	0.96
133.300781	-13.17	-163.17	0.98
134.765625	-13.28	-163.92	0.98
136.230469	-13.59	-165.25	0.93
137.695313	-14.01	-164.74	0.95
139.160156	-14.40	-162.48	0.92
140.625000	-14.71	-159.15	0.96
142.089844	-14.87	-154.77	0.78
143.554688	-14.72	-149.43	0.27
145.019531	-14.34	-145.21	0.87
146.484375	-13.87	-142.67	0.90
147.949219	-13.47	-142.32	0.95
149.414063	-13.15	-143.00	0.97
150.878906	-12.98	-143.86	0.99
152.343750	-12.94	-144.54	0.99
153.808594	-13.02	-145.17	0.99
155.273438	-13.18	-144.48	0.94
156.738281	-13.34	-142.39	0.95
158.203125	-13.33	-139.46	0.83
159.667969	-13.12	-136.34	0.91
161.132813	-12.81	-134.09	0.99
162.597656	-12.42	-132.89	0.97
164.062500	-11.95	-132.43	0.95
