	NT2000-100-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-38.93	53.54	1.00
2.929688	-36.33	59.16	0.99
4.394531	-35.92	56.97	0.96
5.859375	-31.70	55.01	0.78
7.324219	-29.84	131.35	0.54
8.789063	-25.72	103.48	0.86
10.253906	-27.15	90.42	0.95
11.718750	-22.86	139.24	0.60
13.183594	-18.49	105.02	0.12
14.648438	-25.31	1.12	0.42
16.113281	-19.46	177.81	0.70
17.578125	-14.69	165.03	0.68
19.042969	-20.84	171.56	0.19
20.507813	-22.14	162.48	0.79
21.972656	-22.03	90.73	0.32
23.437500	-21.82	78.97	0.50
24.902344	-12.92	57.17	0.87
26.367188	-11.23	124.55	0.32
27.832031	-13.32	53.98	0.86
29.296875	-14.98	58.62	0.46
30.761719	-16.43	22.35	0.45
32.226563	-15.05	25.29	0.64
33.691406	-18.21	-24.96	0.64
35.156250	-18.08	-44.80	0.82
36.621094	-19.68	-78.32	0.73
38.085938	-22.77	-22.19	0.64
39.550781	-22.45	-8.73	0.59
41.015625	-20.25	-6.85	0.43
42.480469	-18.78	-32.08	0.42
43.945313	-20.22	-31.45	0.58
45.410156	-20.13	-28.86	0.29
46.875000	-20.20	22.75	0.57
48.339844	-20.35	30.52	0.68
49.804688	-20.88	17.63	0.92
51.269531	-20.99	11.44	0.91
52.734375	-20.96	4.08	0.97
54.199219	-21.06	3.88	0.94
55.664063	-20.96	1.54	0.86
57.128906	-19.99	-6.87	0.89
58.593750	-19.08	-12.02	0.96
60.058594	-18.25	-20.76	0.98
61.523438	-17.61	-39.08	0.84
62.988281	-17.94	-49.60	0.90
64.453125	-19.13	-54.36	0.82
65.917969	-19.75	-58.64	0.91
67.382813	-19.36	-61.79	0.75
68.847656	-17.60	-64.42	0.51
70.312500	-16.84	-38.44	0.40
71.777344	-17.06	-33.79	0.53
73.242188	-18.21	-56.55	0.81
74.707031	-19.21	-98.84	0.72
76.171875	-19.39	-134.55	0.88
77.636719	-19.48	-137.98	0.78
79.101563	-19.26	-144.81	0.54
80.566406	-18.21	-150.41	0.72
82.031250	-17.44	-161.90	0.79
83.496094	-16.98	171.51	0.89
84.960938	-16.80	142.16	0.93
86.425781	-17.09	122.79	0.95
87.890625	-17.65	100.08	0.88
89.355469	-18.33	83.79	0.98
90.820313	-19.14	69.45	0.95
92.285156	-20.05	54.25	0.80
93.750000	-20.77	44.24	0.93
95.214844	-21.33	42.88	0.47
96.679688	-21.55	44.61	0.86
98.144531	-21.39	41.86	0.95
99.609375	-20.95	34.14	0.93
101.074219	-20.44	27.12	0.98
102.539063	-19.92	20.32	0.98
104.003906	-19.38	10.89	0.93
105.468750	-18.94	1.56	0.96
106.933594	-18.49	-9.43	0.77
108.398438	-18.31	-14.09	0.87
109.863281	-18.43	-9.50	0.14
111.328125	-18.52	-11.59	0.73
112.792969	-18.71	-18.05	0.89
114.257813	-19.27	-19.81	0.91
115.722656	-19.99	-19.58	0.59
117.187500	-20.71	-20.67	0.78
118.652344	-21.30	-18.04	0.82
120.117188	-21.71	-10.98	0.58
121.582031	-22.02	-2.25	0.55
123.046875	-21.95	5.29	0.80
124.511719	-21.55	8.47	0.92
125.976563	-20.83	8.18	0.83
127.441406	-20.08	6.18	0.89
128.906250	-19.40	5.61	0.97
130.371094	-18.80	8.88	0.85
131.835938	-18.17	19.32	0.92
133.300781	-17.54	35.17	0.94
134.765625	-16.81	47.39	0.51
136.230469	-16.17	49.88	0.94
137.695313	-15.63	46.51	0.97
139.160156	-15.16	40.31	0.95
140.625000	-14.70	34.07	0.97
142.089844	-14.28	27.42	0.98
143.554688	-13.97	19.88	0.98
145.019531	-13.79	13.08	0.94
146.484375	-13.73	6.21	0.97
147.949219	-13.84	1.12	0.96
149.414063	-13.97	-3.49	0.97
150.878906	-14.03	-7.33	0.96
152.343750	-14.04	-10.81	0.93
153.808594	-13.90	-14.45	0.95
155.273438	-13.59	-18.42	0.97
156.738281	-13.30	-23.18	0.96
158.203125	-13.06	-28.85	0.95
159.667969	-12.92	-34.77	0.98
161.132813	-12.87	-40.54	0.99
162.597656	-12.83	-46.04	0.99
164.062500	-12.80	-51.47	0.98
165.527344	-12.85	-56.69	0.98
166.992188	-12.98	-61.31	0.99
