	NT2000-90-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-38.71	51.62	1.00
2.929688	-38.44	55.90	0.99
4.394531	-35.98	74.18	0.97
5.859375	-33.23	59.34	0.93
7.324219	-28.77	50.06	0.75
8.789063	-24.75	63.90	0.73
10.253906	-25.38	57.18	0.54
11.718750	-20.83	26.30	0.58
13.183594	-21.12	39.65	0.69
14.648438	-25.74	0.96	0.41
16.113281	-23.40	26.11	0.48
17.578125	-22.20	-66.98	0.42
19.042969	-21.45	-55.34	0.45
20.507813	-21.36	170.29	0.78
21.972656	-21.70	105.86	0.36
23.437500	-24.03	138.42	0.36
24.902344	-16.77	80.21	0.84
26.367188	-11.73	28.57	0.61
27.832031	-7.55	25.49	0.77
29.296875	-11.04	27.34	0.63
30.761719	-13.61	0.65	0.67
32.226563	-13.49	-16.70	0.84
33.691406	-13.59	-17.00	0.75
35.156250	-13.66	-3.78	0.82
36.621094	-13.81	16.13	0.87
38.085938	-16.23	21.00	0.91
39.550781	-15.96	26.66	0.96
41.015625	-15.50	27.18	0.98
42.480469	-15.35	20.52	0.97
43.945313	-15.22	20.72	0.96
45.410156	-15.26	27.33	0.91
46.875000	-15.34	28.49	0.93
48.339844	-15.81	28.95	0.93
49.804688	-17.00	21.51	0.83
51.269531	-17.54	17.56	0.96
52.734375	-17.14	15.61	0.90
54.199219	-16.91	14.53	0.85
55.664063	-15.46	12.81	0.78
57.128906	-14.41	10.77	0.90
58.593750	-14.56	11.94	0.92
60.058594	-15.25	10.72	0.96
61.523438	-15.65	9.59	0.93
62.988281	-16.07	5.86	0.97
64.453125	-16.06	5.00	0.96
65.917969	-15.71	5.87	0.95
67.382813	-14.96	7.98	0.94
68.847656	-13.87	9.71	0.74
70.312500	-13.34	7.17	0.73
71.777344	-14.38	-4.02	0.59
73.242188	-15.61	-10.65	0.94
74.707031	-16.79	-15.42	0.88
76.171875	-17.42	-17.02	0.74
77.636719	-17.14	-14.94	0.35
79.101563	-16.40	-16.00	0.82
80.566406	-15.44	-15.81	0.66
82.031250	-14.87	-4.13	0.24
83.496094	-14.86	24.73	0.33
84.960938	-14.98	44.33	0.85
86.425781	-14.82	49.44	0.95
87.890625	-14.39	47.71	0.95
89.355469	-14.03	43.19	0.99
90.820313	-13.95	38.89	0.98
92.285156	-14.11	36.65	0.95
93.750000	-14.33	36.74	0.91
95.214844	-14.41	36.56	0.96
96.679688	-14.14	35.74	0.96
98.144531	-13.79	34.12	0.98
99.609375	-13.39	32.39	0.99
101.074219	-13.06	30.49	0.99
102.539063	-12.77	28.67	0.99
104.003906	-12.57	26.38	0.98
105.468750	-12.52	24.11	0.99
106.933594	-12.62	22.53	0.87
108.398438	-12.72	21.65	0.86
109.863281	-12.51	19.75	0.83
111.328125	-12.21	16.64	0.92
112.792969	-12.16	10.88	0.85
114.257813	-12.25	3.40	0.96
115.722656	-12.50	-0.89	0.97
117.187500	-12.91	-3.09	0.93
118.652344	-13.42	-2.88	0.91
120.117188	-13.75	-3.57	0.97
121.582031	-13.97	-2.86	0.94
123.046875	-14.13	-1.70	0.98
124.511719	-14.27	-0.74	0.99
125.976563	-14.42	-0.16	0.99
127.441406	-14.61	0.00	0.98
128.906250	-14.87	-0.08	0.95
130.371094	-15.20	1.34	0.97
131.835938	-15.56	5.05	0.94
133.300781	-15.72	10.63	0.55
134.765625	-15.48	17.35	0.52
136.230469	-14.91	22.92	0.87
137.695313	-14.31	26.37	0.96
139.160156	-13.62	28.59	0.99
140.625000	-12.96	29.28	0.98
142.089844	-12.36	28.45	0.99
143.554688	-11.89	25.74	0.98
145.019531	-11.53	21.91	0.95
146.484375	-11.26	17.87	0.97
147.949219	-11.05	14.28	0.99
149.414063	-10.90	10.90	0.99
150.878906	-10.78	7.61	0.96
152.343750	-10.71	4.39	0.95
153.808594	-10.53	1.61	0.91
155.273438	-10.31	-1.78	0.93
156.738281	-10.04	-5.60	0.98
158.203125	-9.86	-9.75	0.98
159.667969	-9.80	-13.79	0.98
161.132813	-9.86	-18.05	0.96
162.597656	-10.00	-21.97	0.99
164.062500	-10.22	-25.42	0.98
165.527344	-10.49	-28.37	0.99
166.992188	-10.80	-30.96	0.99
168.457031	-11.12	-33.18	0.99
169.921875	-11.42	-35.23	0.99
171.386719	-11.73	-37.13	0.99
172.851563	-12.04	-38.92	1.00
174.316406	-12.36	-40.64	1.00
175.781250	-12.68	-42.32	1.00
177.246094	-13.01	-43.84	0.98
178.710938	-13.29	-45.29	0.99
180.175781	-13.56	-46.83	0.99
181.640625	-13.83	-48.41	0.98
183.105469	-14.13	-49.76	0.98
184.570313	-14.46	-50.49	0.97
186.035156	-14.76	-50.40	0.85
187.500000	-14.96	-49.81	0.44
188.964844	-14.84	-49.25	0.70
190.429688	-14.69	-48.96	0.95
191.894531	-14.62	-50.22	0.97
193.359375	-14.63	-51.85	0.99
194.824219	-14.70	-53.73	0.97
196.289063	-14.80	-55.83	0.99
197.753906	-14.88	-58.29	0.98
199.218750	-14.98	-60.87	0.97
200.683594	-15.13	-63.38	0.95
202.148438	-15.24	-65.63	0.96
