	NT2000-20-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-46.78	1.74	0.45
2.929688	-38.29	57.24	0.91
4.394531	-36.29	81.91	0.85
5.859375	-33.46	43.50	0.84
7.324219	-31.01	55.81	0.80
8.789063	-20.64	102.02	0.70
10.253906	-19.70	148.63	0.69
11.718750	-26.18	-92.25	0.23
13.183594	-22.13	75.50	0.62
14.648438	-17.24	-151.37	0.44
16.113281	-20.37	-80.01	0.62
17.578125	-16.34	-49.91	0.51
19.042969	-14.84	53.07	0.70
20.507813	-18.05	-128.92	0.58
21.972656	-16.45	152.78	0.54
23.437500	-11.29	168.43	0.85
24.902344	-11.18	173.89	0.79
26.367188	-6.86	38.52	0.59
27.832031	-3.18	39.98	0.95
29.296875	-0.74	37.94	0.98
30.761719	-0.50	34.85	0.99
32.226563	-1.46	27.45	0.99
33.691406	-1.85	24.29	0.99
35.156250	-2.90	27.91	0.99
36.621094	-3.24	30.56	1.00
38.085938	-3.32	36.68	0.99
39.550781	-3.45	39.54	0.99
41.015625	-3.15	37.11	0.98
42.480469	-2.44	28.83	1.00
43.945313	-2.24	24.87	0.99
45.410156	-2.46	21.20	1.00
46.875000	-2.76	19.77	1.00
48.339844	-3.29	19.78	1.00
49.804688	-4.19	20.92	0.99
51.269531	-4.97	23.34	0.99
52.734375	-5.33	27.99	0.99
54.199219	-4.89	35.22	0.95
55.664063	-4.27	39.34	0.99
57.128906	-3.54	38.34	0.99
58.593750	-3.36	37.52	0.99
60.058594	-3.20	37.29	1.00
61.523438	-3.00	37.38	1.00
62.988281	-2.75	37.04	1.00
64.453125	-2.46	36.54	1.00
65.917969	-1.93	35.62	1.00
67.382813	-1.16	34.40	0.98
68.847656	-0.72	31.77	0.98
70.312500	-0.68	28.08	0.99
71.777344	-0.85	25.34	0.99
73.242188	-1.22	22.60	0.98
74.707031	-1.61	21.65	0.99
76.171875	-1.71	22.41	0.98
77.636719	-1.39	23.79	0.99
79.101563	-1.11	23.73	0.99
80.566406	-1.00	22.16	1.00
82.031250	-1.04	21.09	0.99
83.496094	-1.21	20.42	0.99
84.960938	-1.41	19.78	0.99
86.425781	-1.62	19.83	1.00
87.890625	-1.69	20.67	1.00
89.355469	-1.69	21.56	1.00
90.820313	-1.63	22.34	1.00
92.285156	-1.61	23.37	0.99
93.750000	-1.46	23.89	0.99
95.214844	-1.26	23.99	1.00
96.679688	-1.09	23.66	1.00
98.144531	-0.96	23.23	1.00
99.609375	-0.84	22.60	1.00
101.074219	-0.77	21.83	1.00
102.539063	-0.69	21.13	1.00
104.003906	-0.62	20.35	1.00
105.468750	-0.54	19.59	1.00
106.933594	-0.44	19.03	1.00
108.398438	-0.27	18.53	0.99
109.863281	-0.11	17.67	1.00
111.328125	0.00	15.97	0.99
112.792969	0.06	13.84	0.99
114.257813	0.04	11.34	0.99
115.722656	-0.16	8.91	0.98
117.187500	-0.42	7.44	1.00
118.652344	-0.63	6.54	1.00
120.117188	-0.82	6.07	1.00
121.582031	-0.98	5.94	1.00
123.046875	-1.16	5.70	1.00
124.511719	-1.34	5.57	1.00
125.976563	-1.53	5.57	1.00
127.441406	-1.75	5.62	1.00
128.906250	-1.98	6.24	0.99
130.371094	-2.15	7.40	1.00
131.835938	-2.24	8.95	1.00
133.300781	-2.26	10.54	1.00
134.765625	-2.24	12.07	1.00
136.230469	-2.19	13.49	1.00
137.695313	-2.10	14.95	0.99
139.160156	-1.93	16.39	1.00
140.625000	-1.68	17.43	1.00
142.089844	-1.38	18.05	1.00
143.554688	-1.05	18.12	0.99
145.019531	-0.74	17.61	1.00
146.484375	-0.46	16.60	1.00
147.949219	-0.20	15.28	1.00
149.414063	0.02	13.65	1.00
150.878906	0.18	11.88	1.00
152.343750	0.26	9.97	1.00
153.808594	0.26	7.85	1.00
155.273438	0.19	5.56	0.99
156.738281	0.03	3.67	1.00
158.203125	-0.20	2.31	0.99
159.667969	-0.49	1.53	0.99
161.132813	-0.70	1.05	0.99
162.597656	-0.84	0.72	0.99
164.062500	-0.90	0.40	1.00
165.527344	-0.98	0.01	1.00
166.992188	-1.06	-0.47	0.99
168.457031	-1.18	-0.75	1.00
169.921875	-1.30	-0.95	1.00
171.386719	-1.42	-1.03	1.00
172.851563	-1.56	-0.84	1.00
174.316406	-1.66	-0.39	1.00
175.781250	-1.73	0.25	1.00
177.246094	-1.77	0.81	1.00
178.710938	-1.77	1.41	1.00
180.175781	-1.75	2.02	0.99
181.640625	-1.70	2.53	1.00
183.105469	-1.64	2.85	1.00
184.570313	-1.59	3.06	1.00
186.035156	-1.53	3.22	0.99
187.500000	-1.46	3.32	1.00
188.964844	-1.39	3.09	1.00
190.429688	-1.33	2.56	0.99
191.894531	-1.30	2.04	1.00
193.359375	-1.28	1.76	0.99
194.824219	-1.24	1.61	0.99
196.289063	-1.14	1.39	0.99
197.753906	-1.01	0.93	1.00
199.218750	-0.90	0.13	1.00
200.683594	-0.81	-1.03	0.98
202.148438	-0.79	-2.22	0.99
203.613281	-0.87	-3.62	0.98
205.078125	-1.04	-4.88	0.98
206.542969	-1.23	-5.55	1.00
208.007813	-1.42	-6.05	1.00
209.472656	-1.59	-6.36	1.00
210.937500	-1.77	-6.53	1.00
212.402344	-1.94	-6.56	1.00
213.867188	-2.10	-6.39	1.00
215.332031	-2.25	-6.03	1.00
216.796875	-2.40	-5.59	1.00
218.261719	-2.55	-5.05	1.00
219.726563	-2.68	-4.35	1.00
221.191406	-2.80	-3.52	1.00
222.656250	-2.90	-2.60	1.00
224.121094	-2.99	-1.63	1.00
225.585938	-3.07	-0.57	0.99
227.050781	-3.14	0.64	0.99
228.515625	-3.18	2.01	0.98
229.980469	-3.17	3.44	1.00
231.445313	-3.13	4.76	1.00
232.910156	-3.07	5.98	1.00
234.375000	-2.97	7.14	1.00
235.839844	-2.86	8.13	1.00
237.304688	-2.72	8.94	1.00
238.769531	-2.57	9.52	0.99
240.234375	-2.42	9.77	1.00
241.699219	-2.29	9.78	0.99
243.164063	-2.17	9.61	1.00
244.628906	-2.07	9.47	1.00
246.093750	-1.98	9.38	1.00
247.558594	-1.90	9.29	1.00
249.023438	-1.82	9.20	1.00
250.488281	-1.76	9.10	1.00
251.953125	-1.70	9.02	1.00
253.417969	-1.65	9.02	1.00
254.882813	-1.59	9.09	1.00
256.347656	-1.53	9.21	0.99
257.812500	-1.45	9.34	1.00
259.277344	-1.36	9.44	1.00
260.742188	-1.25	9.48	0.99
262.207031	-1.13	9.45	0.99
263.671875	-1.01	9.30	1.00
265.136719	-0.89	9.11	1.00
266.601563	-0.78	8.85	1.00
268.066406	-0.66	8.52	1.00
269.531250	-0.53	8.10	1.00
270.996094	-0.40	7.57	1.00
272.460938	-0.28	6.92	1.00
273.925781	-0.16	6.11	0.99
275.390625	-0.06	5.19	1.00
276.855469	0.02	4.22	1.00
278.320313	0.09	3.19	1.00
279.785156	0.13	2.04	1.00
281.250000	0.14	0.87	1.00
282.714844	0.13	-0.28	1.00
284.179688	0.10	-1.41	1.00
285.644531	0.06	-2.47	1.00
287.109375	-0.00	-3.49	1.00
288.574219	-0.08	-4.44	1.00
290.039063	-0.16	-5.38	1.00
291.503906	-0.25	-6.31	1.00
292.968750	-0.35	-7.24	1.00
294.433594	-0.46	-8.10	1.00
295.898438	-0.58	-8.89	1.00
297.363281	-0.71	-9.59	1.00
298.828125	-0.84	-10.23	1.00
300.292969	-0.98	-10.78	1.00
301.757813	-1.13	-11.25	1.00
303.222656	-1.28	-11.62	0.99
304.687500	-1.44	-11.87	0.99
306.152344	-1.59	-12.06	1.00
307.617188	-1.74	-12.19	1.00
309.082031	-1.88	-12.28	0.98
310.546875	-2.03	-12.31	1.00
312.011719	-2.18	-12.12	0.99
313.476563	-2.33	-11.77	1.00
314.941406	-2.46	-11.32	1.00
316.406250	-2.57	-10.78	1.00
317.871094	-2.66	-10.19	1.00
319.335938	-2.74	-9.59	1.00
320.800781	-2.80	-8.97	1.00
322.265625	-2.85	-8.36	1.00
323.730469	-2.88	-7.75	1.00
325.195313	-2.90	-7.16	1.00
326.660156	-2.92	-6.59	1.00
328.125000	-2.91	-6.03	1.00
329.589844	-2.89	-5.52	1.00
331.054688	-2.86	-5.10	0.99
