	NT2000-40-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-42.37	41.10	0.76
2.929688	-39.09	68.04	0.96
4.394531	-39.80	76.74	0.89
5.859375	-37.71	49.60	0.79
7.324219	-31.27	45.61	0.17
8.789063	-22.88	28.73	0.47
10.253906	-22.65	58.49	0.19
11.718750	-26.76	75.30	0.79
13.183594	-28.04	89.75	0.84
14.648438	-24.98	85.74	0.63
16.113281	-18.82	157.37	0.44
17.578125	-16.03	149.33	0.46
19.042969	-12.66	38.91	0.43
20.507813	-17.23	-55.07	0.39
21.972656	-16.88	118.18	0.31
23.437500	-17.02	171.15	0.59
24.902344	-13.30	73.55	0.40
26.367188	-9.97	71.50	0.83
27.832031	-2.58	37.78	0.82
29.296875	-1.40	39.86	0.96
30.761719	-2.29	34.42	0.97
32.226563	-2.27	34.41	0.98
33.691406	-3.82	31.90	0.98
35.156250	-4.28	30.94	1.00
36.621094	-4.13	29.67	1.00
38.085938	-4.01	30.59	0.99
39.550781	-4.14	31.12	0.98
41.015625	-3.03	26.09	0.98
42.480469	-2.66	26.13	1.00
43.945313	-2.98	24.15	0.99
45.410156	-3.72	20.11	1.00
46.875000	-4.34	18.12	1.00
48.339844	-5.30	16.79	0.99
49.804688	-5.85	16.82	1.00
51.269531	-6.38	18.38	0.99
52.734375	-6.62	22.09	0.99
54.199219	-6.67	28.40	0.99
55.664063	-5.88	31.37	0.97
57.128906	-5.01	33.55	1.00
58.593750	-4.57	33.65	1.00
60.058594	-4.36	33.64	1.00
61.523438	-4.24	33.50	1.00
62.988281	-4.06	33.68	1.00
64.453125	-3.89	34.37	1.00
65.917969	-3.47	35.11	0.99
67.382813	-2.80	34.16	0.99
68.847656	-2.34	32.23	0.99
70.312500	-2.18	29.40	0.99
71.777344	-2.30	27.59	1.00
73.242188	-2.53	26.10	0.99
74.707031	-2.85	25.00	0.96
76.171875	-3.12	26.01	0.98
77.636719	-2.97	26.65	0.99
79.101563	-2.76	25.95	0.99
80.566406	-2.65	24.22	1.00
82.031250	-2.76	23.09	0.99
83.496094	-2.94	21.53	0.99
84.960938	-3.11	21.21	0.99
86.425781	-3.21	22.08	0.99
87.890625	-3.16	23.29	1.00
89.355469	-3.04	23.90	1.00
90.820313	-2.88	23.74	1.00
92.285156	-2.79	23.99	0.99
93.750000	-2.72	24.49	0.99
95.214844	-2.57	24.56	1.00
96.679688	-2.44	24.10	1.00
98.144531	-2.33	23.46	1.00
99.609375	-2.23	23.04	1.00
101.074219	-2.12	22.95	0.99
102.539063	-1.98	22.57	1.00
104.003906	-1.88	22.28	1.00
105.468750	-1.78	21.95	1.00
106.933594	-1.67	21.50	1.00
108.398438	-1.49	20.85	0.99
109.863281	-1.30	19.79	0.99
111.328125	-1.10	18.18	0.99
112.792969	-0.97	16.05	0.99
114.257813	-0.98	13.52	0.98
115.722656	-1.21	10.61	0.98
