	NT2000-170-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-38.85	50.50	0.99
2.929688	-38.13	57.39	0.96
4.394531	-34.12	48.68	0.89
5.859375	-29.28	52.04	0.85
7.324219	-26.44	69.17	0.68
8.789063	-21.49	110.13	0.66
10.253906	-19.94	67.20	0.49
11.718750	-22.96	59.88	0.52
13.183594	-21.03	51.32	0.81
14.648438	-16.03	-6.56	0.56
16.113281	-15.47	52.70	0.73
17.578125	-10.48	45.87	0.37
19.042969	-7.72	36.81	0.65
20.507813	-9.95	50.62	0.80
21.972656	-11.81	16.15	0.84
23.437500	-10.79	15.94	0.91
24.902344	-9.77	8.89	0.66
26.367188	-10.11	-101.95	0.73
27.832031	-7.28	-107.43	0.82
29.296875	-3.43	-106.60	0.75
30.761719	-4.51	-140.78	0.84
32.226563	-5.14	-143.98	0.98
33.691406	-6.11	-146.89	0.99
35.156250	-6.25	-144.13	0.99
36.621094	-6.37	-137.02	0.99
38.085938	-5.86	-132.32	0.98
39.550781	-5.31	-132.85	0.99
41.015625	-4.50	-137.87	0.98
42.480469	-4.08	-146.31	0.97
43.945313	-4.57	-155.02	0.99
45.410156	-5.17	-156.95	0.99
46.875000	-5.44	-158.27	0.99
48.339844	-6.05	-159.65	0.99
49.804688	-7.28	-161.14	0.98
51.269531	-8.52	-155.56	0.99
52.734375	-9.27	-143.86	0.93
54.199219	-8.97	-131.53	0.96
55.664063	-7.29	-125.51	0.82
57.128906	-6.12	-121.96	0.94
58.593750	-6.66	-128.19	0.95
60.058594	-6.74	-131.43	0.95
61.523438	-6.40	-133.04	0.97
62.988281	-5.89	-133.04	0.96
64.453125	-5.30	-129.26	0.98
65.917969	-4.77	-127.78	0.99
67.382813	-4.22	-129.46	0.98
68.847656	-3.60	-134.28	0.97
70.312500	-3.35	-140.24	0.98
71.777344	-3.37	-143.56	0.96
73.242188	-3.53	-145.29	0.89
74.707031	-3.53	-144.83	0.88
76.171875	-3.42	-141.63	0.92
77.636719	-2.81	-141.15	0.91
79.101563	-2.23	-143.13	0.82
80.566406	-2.37	-145.91	0.93
82.031250	-2.89	-147.21	0.96
83.496094	-3.49	-147.46	0.64
84.960938	-3.69	-146.80	0.78
86.425781	-4.10	-148.57	0.94
87.890625	-4.28	-148.32	0.88
89.355469	-4.22	-144.68	0.72
90.820313	-4.06	-143.62	0.68
92.285156	-3.66	-142.96	0.76
93.750000	-3.04	-142.25	0.78
95.214844	-2.80	-142.56	0.82
96.679688	-2.80	-143.39	0.97
98.144531	-2.78	-143.49	0.99
99.609375	-2.75	-143.32	0.98
101.074219	-2.69	-143.03	0.96
102.539063	-2.66	-142.51	0.96
104.003906	-2.57	-142.73	0.85
105.468750	-2.39	-143.33	0.93
106.933594	-2.15	-144.04	0.99
108.398438	-1.82	-145.46	0.97
109.863281	-1.43	-147.64	0.95
111.328125	-1.07	-150.32	0.98
112.792969	-0.73	-153.15	0.96
114.257813	-0.68	-156.47	0.98
115.722656	-0.88	-160.38	0.94
117.187500	-1.24	-162.02	0.93
118.652344	-1.61	-162.35	0.99
120.117188	-1.87	-162.53	1.00
121.582031	-2.10	-162.57	1.00
123.046875	-2.34	-162.66	0.99
124.511719	-2.56	-162.73	0.99
125.976563	-2.80	-162.52	0.99
127.441406	-3.06	-161.80	0.99
128.906250	-3.27	-160.54	0.98
130.371094	-3.37	-158.85	0.98
131.835938	-3.37	-157.43	0.99
133.300781	-3.30	-156.26	0.99
134.765625	-3.23	-155.51	1.00
136.230469	-3.18	-154.73	0.99
137.695313	-3.11	-153.53	0.99
139.160156	-2.91	-152.42	0.98
140.625000	-2.60	-151.28	0.99
142.089844	-2.23	-150.72	0.99
143.554688	-1.81	-150.64	0.99
145.019531	-1.38	-151.32	0.99
146.484375	-1.01	-152.76	0.99
147.949219	-0.71	-154.89	0.99
149.414063	-0.50	-157.46	0.99
150.878906	-0.40	-159.92	1.00
