	NT2000-50-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-38.97	50.84	0.99
2.929688	-37.14	55.34	0.98
4.394531	-35.92	64.64	0.93
5.859375	-36.37	68.13	0.78
7.324219	-30.08	134.58	0.47
8.789063	-24.05	162.02	0.31
10.253906	-29.57	127.80	0.79
11.718750	-24.41	34.03	0.43
13.183594	-24.39	150.42	0.17
14.648438	-24.62	78.15	0.88
16.113281	-24.11	0.20	0.32
17.578125	-11.63	178.35	0.34
19.042969	-25.87	-117.19	0.28
20.507813	-20.86	-59.35	0.46
21.972656	-19.07	-147.75	0.64
23.437500	-18.18	158.00	0.19
24.902344	-13.68	150.59	0.35
26.367188	-7.39	46.62	0.82
27.832031	-2.71	38.63	0.97
29.296875	-2.77	46.94	0.93
30.761719	-3.09	45.54	0.95
32.226563	-3.61	38.21	0.97
33.691406	-3.94	30.79	0.99
35.156250	-4.32	29.01	0.99
36.621094	-5.37	27.30	0.98
38.085938	-5.60	29.72	0.99
39.550781	-5.27	31.46	0.97
41.015625	-4.61	26.55	0.98
42.480469	-4.46	24.13	0.99
43.945313	-4.64	24.45	1.00
45.410156	-4.97	23.01	0.99
46.875000	-5.56	20.70	0.99
48.339844	-6.26	20.93	1.00
49.804688	-7.14	22.35	0.99
51.269531	-8.02	25.33	0.99
52.734375	-8.27	29.41	0.99
54.199219	-7.81	33.10	0.99
55.664063	-7.35	36.17	0.96
57.128906	-6.49	32.70	0.99
58.593750	-6.03	31.51	1.00
60.058594	-5.74	32.55	0.99
61.523438	-5.63	32.78	1.00
62.988281	-5.59	32.31	0.99
64.453125	-5.47	32.59	0.99
65.917969	-5.19	33.55	0.97
67.382813	-4.83	31.81	0.99
68.847656	-4.43	26.48	0.96
70.312500	-4.15	20.48	0.92
71.777344	-4.40	20.29	0.96
73.242188	-4.63	20.35	0.98
74.707031	-4.87	22.00	0.95
76.171875	-4.91	25.80	0.93
77.636719	-4.50	27.53	0.97
