	NT2000-70-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-39.45	49.94	0.99
2.929688	-38.34	52.42	0.96
4.394531	-35.59	80.31	0.84
5.859375	-34.77	85.06	0.90
7.324219	-31.08	65.20	0.75
8.789063	-31.52	59.53	0.78
10.253906	-28.32	106.14	0.76
11.718750	-28.58	97.77	0.87
13.183594	-26.82	95.34	0.85
14.648438	-23.71	74.22	0.89
16.113281	-24.93	-48.51	0.71
17.578125	-18.84	-45.93	0.47
19.042969	-21.41	-125.02	0.42
20.507813	-21.15	-163.12	0.59
21.972656	-19.54	122.80	0.57
23.437500	-16.63	89.83	0.60
24.902344	-11.93	125.61	0.30
26.367188	-9.04	59.40	0.85
27.832031	-7.50	51.85	0.91
29.296875	-6.10	46.82	0.95
30.761719	-7.86	36.53	0.91
32.226563	-8.98	23.45	0.97
33.691406	-8.73	21.64	0.96
35.156250	-8.81	23.20	0.99
36.621094	-8.98	23.54	0.99
38.085938	-8.99	24.87	0.99
39.550781	-8.54	26.82	0.97
41.015625	-8.39	22.99	0.96
42.480469	-8.09	19.68	0.99
43.945313	-8.70	19.05	0.98
45.410156	-8.78	17.83	0.99
46.875000	-9.22	17.04	0.95
48.339844	-9.92	15.44	0.99
49.804688	-10.35	15.39	1.00
51.269531	-11.00	18.92	0.99
52.734375	-11.31	23.55	0.99
54.199219	-11.19	28.86	0.98
55.664063	-10.36	31.31	0.99
57.128906	-9.75	31.25	0.99
58.593750	-9.44	29.04	1.00
60.058594	-9.28	27.92	1.00
61.523438	-9.23	27.60	1.00
62.988281	-9.33	28.28	1.00
64.453125	-9.24	29.82	1.00
65.917969	-9.05	31.36	0.99
67.382813	-8.62	32.50	0.97
68.847656	-8.09	31.26	0.97
70.312500	-7.89	25.66	0.99
71.777344	-8.05	22.67	1.00
73.242188	-8.40	21.07	0.99
74.707031	-8.94	20.72	0.98
76.171875	-9.26	22.19	0.98
77.636719	-8.99	23.98	0.97
79.101563	-8.71	24.23	0.99
80.566406	-8.61	24.06	1.00
82.031250	-8.75	23.95	0.98
83.496094	-8.86	24.83	0.99
84.960938	-8.95	27.58	0.99
86.425781	-8.76	30.22	0.99
87.890625	-8.42	31.50	0.99
89.355469	-8.05	31.54	1.00
90.820313	-7.81	31.22	1.00
92.285156	-7.66	30.39	1.00
93.750000	-7.50	29.91	1.00
95.214844	-7.30	29.41	1.00
96.679688	-7.07	28.83	1.00
98.144531	-6.88	27.89	1.00
99.609375	-6.70	26.93	1.00
101.074219	-6.50	25.83	1.00
102.539063	-6.35	24.47	1.00
104.003906	-6.22	22.83	1.00
105.468750	-6.18	21.45	1.00
106.933594	-6.13	20.50	1.00
108.398438	-6.08	19.79	1.00
109.863281	-5.99	18.54	1.00
111.328125	-5.86	16.64	0.98
112.792969	-5.85	14.21	0.99
114.257813	-5.97	10.63	0.97
115.722656	-6.25	8.19	0.99
117.187500	-6.52	6.97	1.00
118.652344	-6.73	6.58	0.99
120.117188	-6.89	6.72	0.99
121.582031	-7.01	6.58	1.00
123.046875	-7.15	6.47	1.00
124.511719	-7.29	6.42	1.00
125.976563	-7.45	6.44	1.00
127.441406	-7.64	6.54	0.99
128.906250	-7.86	7.03	0.99
130.371094	-8.07	8.38	0.99
131.835938	-8.27	10.87	0.99
133.300781	-8.34	13.72	1.00
134.765625	-8.24	16.42	0.99
136.230469	-7.99	18.94	0.99
137.695313	-7.58	20.80	1.00
139.160156	-7.12	21.90	0.99
140.625000	-6.59	22.33	0.99
142.089844	-6.09	21.81	1.00
143.554688	-5.62	20.54	0.99
145.019531	-5.22	18.22	0.99
146.484375	-4.91	15.89	1.00
147.949219	-4.67	13.56	1.00
149.414063	-4.48	11.07	1.00
150.878906	-4.33	8.49	0.99
152.343750	-4.24	5.88	1.00
153.808594	-4.19	3.20	1.00
155.273438	-4.20	0.47	1.00
156.738281	-4.29	-2.15	0.99
158.203125	-4.42	-4.70	0.99
159.667969	-4.65	-6.71	0.98
161.132813	-4.92	-8.58	1.00
162.597656	-5.18	-10.09	1.00
164.062500	-5.43	-11.29	1.00
165.527344	-5.69	-12.46	1.00
166.992188	-5.97	-13.44	1.00
168.457031	-6.24	-14.11	1.00
169.921875	-6.49	-14.50	1.00
171.386719	-6.75	-14.83	1.00
172.851563	-6.99	-14.99	1.00
174.316406	-7.23	-14.90	1.00
175.781250	-7.45	-14.68	1.00
177.246094	-7.66	-14.33	1.00
178.710938	-7.84	-13.78	1.00
180.175781	-8.00	-13.16	1.00
181.640625	-8.13	-12.42	1.00
183.105469	-8.26	-11.62	1.00
184.570313	-8.34	-10.70	0.99
186.035156	-8.38	-9.72	0.98
187.500000	-8.33	-9.00	0.97
188.964844	-8.25	-8.65	0.98
190.429688	-8.23	-9.01	0.96
191.894531	-8.28	-10.00	0.96
193.359375	-8.41	-10.66	0.96
194.824219	-8.52	-10.98	0.99
196.289063	-8.58	-11.16	0.98
197.753906	-8.61	-11.51	1.00
199.218750	-8.64	-12.06	1.00
200.683594	-8.67	-12.83	0.94
202.148438	-8.75	-13.82	0.95
203.613281	-8.90	-14.79	1.00
205.078125	-9.11	-15.60	1.00
206.542969	-9.35	-16.22	1.00
208.007813	-9.63	-16.67	1.00
209.472656	-9.96	-16.82	0.99
210.937500	-10.34	-16.45	0.99
212.402344	-10.76	-15.23	0.85
213.867188	-11.09	-13.78	0.94
215.332031	-11.35	-12.18	0.98
216.796875	-11.59	-10.44	0.99
218.261719	-11.83	-8.37	1.00
219.726563	-12.04	-5.89	0.99
221.191406	-12.22	-3.00	0.97
222.656250	-12.35	0.10	0.98
224.121094	-12.45	3.28	0.99
225.585938	-12.54	6.73	0.92
227.050781	-12.62	10.39	0.92
228.515625	-12.57	14.00	0.96
229.980469	-12.39	17.42	0.98
231.445313	-12.13	20.42	1.00
232.910156	-11.83	22.97	1.00
234.375000	-11.50	25.09	1.00
235.839844	-11.14	26.83	1.00
237.304688	-10.74	28.19	0.99
238.769531	-10.31	29.24	0.95
240.234375	-9.88	29.75	0.99
241.699219	-9.48	29.66	0.98
243.164063	-9.14	29.32	1.00
244.628906	-8.85	28.85	1.00
246.093750	-8.58	28.31	1.00
247.558594	-8.34	27.74	1.00
249.023438	-8.12	27.12	1.00
250.488281	-7.91	26.51	1.00
251.953125	-7.72	25.91	1.00
253.417969	-7.54	25.35	0.99
254.882813	-7.38	24.88	1.00
256.347656	-7.20	24.48	1.00
257.812500	-7.01	24.11	1.00
