	NT2000-150-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-38.85	50.50	0.99
2.929688	-37.72	52.80	0.98
4.394531	-35.99	58.93	0.94
5.859375	-32.74	86.38	0.82
7.324219	-28.40	123.06	0.78
8.789063	-27.02	98.10	0.89
10.253906	-24.70	73.79	0.91
11.718750	-22.43	71.03	0.95
13.183594	-21.09	65.05	0.71
14.648438	-22.43	-11.33	0.13
16.113281	-15.57	35.86	0.60
17.578125	-15.27	27.12	0.48
19.042969	-18.08	51.64	0.63
20.507813	-13.23	28.59	0.95
21.972656	-12.64	6.53	0.96
23.437500	-12.73	12.55	0.76
24.902344	-6.25	6.33	0.84
26.367188	-10.96	-46.59	0.30
27.832031	-6.33	-126.42	0.75
29.296875	-7.41	-136.58	0.87
30.761719	-7.30	-148.97	0.92
32.226563	-7.56	-145.85	0.94
33.691406	-7.70	-140.44	0.99
35.156250	-7.82	-139.17	1.00
36.621094	-7.39	-138.66	0.99
38.085938	-6.82	-137.82	0.99
39.550781	-6.26	-140.81	0.98
41.015625	-5.58	-145.36	0.98
42.480469	-5.58	-148.90	0.99
43.945313	-6.20	-151.79	0.99
45.410156	-6.71	-155.27	1.00
46.875000	-7.26	-158.43	0.99
48.339844	-8.00	-160.03	1.00
49.804688	-9.10	-159.34	0.99
51.269531	-10.65	-153.45	0.98
52.734375	-11.21	-142.80	0.96
54.199219	-10.49	-130.24	0.90
55.664063	-9.45	-122.66	0.93
57.128906	-8.32	-125.36	0.99
58.593750	-7.69	-126.92	0.99
60.058594	-7.30	-126.81	1.00
61.523438	-6.78	-126.25	0.99
62.988281	-6.33	-126.26	1.00
64.453125	-5.85	-126.47	1.00
65.917969	-5.16	-126.87	0.98
67.382813	-4.55	-130.15	0.99
68.847656	-4.07	-135.21	0.98
70.312500	-3.92	-140.57	0.99
71.777344	-3.99	-144.78	0.99
73.242188	-4.20	-147.75	0.99
74.707031	-4.48	-148.31	0.97
76.171875	-4.56	-147.17	0.97
77.636719	-4.41	-147.76	0.99
79.101563	-4.39	-149.89	0.99
80.566406	-4.40	-153.32	0.96
82.031250	-4.45	-156.50	0.94
83.496094	-4.61	-158.99	0.99
84.960938	-4.89	-160.95	0.99
86.425781	-5.27	-161.50	0.98
87.890625	-5.63	-159.45	0.96
89.355469	-5.74	-156.23	0.98
90.820313	-5.68	-153.42	0.99
92.285156	-5.59	-151.41	1.00
93.750000	-5.27	-149.67	0.96
95.214844	-5.07	-149.48	0.98
96.679688	-5.01	-150.70	0.99
98.144531	-5.09	-151.85	1.00
99.609375	-5.22	-152.68	1.00
101.074219	-5.33	-153.03	1.00
102.539063	-5.40	-152.89	1.00
104.003906	-5.44	-152.61	1.00
105.468750	-5.25	-152.20	0.99
106.933594	-4.92	-152.17	0.98
108.398438	-4.53	-152.42	0.99
109.863281	-4.21	-153.49	0.93
111.328125	-3.87	-155.31	0.91
112.792969	-3.51	-156.85	0.95
114.257813	-3.36	-158.43	0.98
115.722656	-3.51	-161.97	0.95
117.187500	-3.70	-164.22	0.98
118.652344	-3.90	-165.62	1.00
120.117188	-4.05	-166.96	1.00
121.582031	-4.19	-168.34	1.00
123.046875	-4.35	-169.57	1.00
124.511719	-4.57	-170.42	1.00
125.976563	-4.82	-170.92	0.99
127.441406	-5.08	-170.53	0.99
128.906250	-5.35	-169.32	0.99
130.371094	-5.52	-167.78	0.98
131.835938	-5.58	-166.44	0.98
133.300781	-5.61	-165.47	0.99
134.765625	-5.67	-164.70	0.99
136.230469	-5.79	-163.46	0.99
137.695313	-5.92	-161.55	0.98
139.160156	-5.93	-159.56	0.99
140.625000	-5.80	-157.77	1.00
142.089844	-5.56	-156.25	0.99
143.554688	-5.22	-154.83	0.98
145.019531	-4.83	-154.19	1.00
146.484375	-4.45	-154.45	0.99
147.949219	-4.12	-155.44	0.99
149.414063	-3.84	-157.11	0.99
150.878906	-3.69	-159.20	0.99
