	NT2000-170-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-16.69	41.26	0.93
35.156250	-15.75	41.19	0.98
36.621094	-15.44	33.48	0.99
38.085938	-15.32	24.78	0.99
39.550781	-15.50	19.04	0.99
41.015625	-16.48	16.30	0.93
42.480469	-17.14	25.73	0.90
43.945313	-16.24	34.17	0.98
45.410156	-14.97	38.47	0.99
46.875000	-14.07	39.76	0.99
48.339844	-13.34	36.69	0.99
49.804688	-12.22	31.62	1.00
51.269531	-11.25	26.47	0.99
52.734375	-10.42	19.74	0.99
54.199219	-9.87	12.30	0.99
55.664063	-10.01	5.86	0.98
57.128906	-10.28	0.22	1.00
58.593750	-10.59	-4.11	0.99
60.058594	-10.86	-7.89	0.99
61.523438	-10.93	-11.92	1.00
62.988281	-11.03	-15.31	1.00
64.453125	-11.17	-18.36	1.00
65.917969	-11.39	-22.06	0.99
67.382813	-11.77	-27.47	0.99
68.847656	-12.71	-31.49	0.98
70.312500	-14.29	-33.34	0.80
71.777344	-15.18	-33.03	0.90
73.242188	-15.13	-30.66	0.77
74.707031	-14.59	-28.86	0.96
76.171875	-14.04	-31.28	0.97
77.636719	-13.89	-35.05	0.99
79.101563	-14.24	-39.33	0.96
80.566406	-14.95	-42.66	0.94
82.031250	-15.83	-43.23	0.87
83.496094	-16.58	-40.00	0.67
84.960938	-17.21	-28.16	0.45
86.425781	-17.04	-19.76	0.75
87.890625	-16.10	-15.25	0.95
89.355469	-15.33	-13.63	0.98
90.820313	-14.77	-14.10	0.90
92.285156	-14.34	-16.59	0.94
93.750000	-14.05	-20.74	0.97
95.214844	-14.02	-24.89	0.97
96.679688	-14.19	-28.19	0.98
98.144531	-14.24	-30.61	0.99
99.609375	-14.18	-32.31	0.98
101.074219	-14.04	-34.62	0.99
102.539063	-13.86	-37.27	0.99
104.003906	-13.67	-39.83	0.96
105.468750	-13.47	-42.59	0.92
106.933594	-13.31	-46.15	0.94
108.398438	-13.20	-50.42	0.94
109.863281	-13.21	-54.94	0.97
111.328125	-13.29	-60.76	0.96
112.792969	-13.48	-67.53	0.98
114.257813	-13.97	-73.08	0.89
115.722656	-14.80	-76.20	0.81
117.187500	-15.76	-74.34	0.49
118.652344	-16.42	-70.76	0.79
120.117188	-16.77	-68.06	0.98
121.582031	-17.05	-65.60	0.93
123.046875	-17.20	-60.70	0.96
124.511719	-17.13	-51.95	0.85
125.976563	-16.87	-39.04	0.59
127.441406	-16.43	-27.63	0.86
128.906250	-16.06	-23.77	0.96
130.371094	-15.81	-23.57	0.99
131.835938	-15.70	-24.80	0.98
133.300781	-15.67	-27.07	0.88
134.765625	-15.60	-27.28	0.29
136.230469	-15.24	-26.50	0.76
137.695313	-14.67	-27.55	0.80
139.160156	-14.08	-29.83	0.99
140.625000	-13.57	-33.37	0.99
142.089844	-13.13	-37.77	1.00
143.554688	-12.75	-43.05	0.99
145.019531	-12.45	-48.66	1.00
146.484375	-12.22	-54.56	1.00
147.949219	-12.05	-60.94	0.99
149.414063	-11.95	-67.71	0.99
150.878906	-11.93	-74.70	0.99
152.343750	-11.95	-80.87	0.99
153.808594	-12.01	-86.18	0.98
155.273438	-12.14	-90.13	0.92
156.738281	-12.31	-84.19	0.96
158.203125	-12.58	-51.21	0.89
159.667969	-12.93	-19.76	0.90
161.132813	-13.33	-12.50	0.96
162.597656	-13.72	-12.04	0.99
164.062500	-14.07	-13.54	1.00
165.527344	-14.37	-15.73	0.99
166.992188	-14.62	-18.38	0.99
168.457031	-14.81	-20.91	1.00
169.921875	-14.93	-23.39	1.00
171.386719	-14.99	-25.84	0.99
172.851563	-14.96	-28.28	0.97
174.316406	-14.89	-31.02	0.97
175.781250	-14.82	-33.50	0.92
177.246094	-14.67	-35.55	0.85
178.710938	-14.42	-38.07	0.97
180.175781	-14.22	-41.46	0.97
181.640625	-14.09	-45.10	1.00
183.105469	-14.03	-48.69	0.99
184.570313	-14.02	-52.18	1.00
186.035156	-14.02	-55.46	1.00
187.500000	-14.03	-58.74	0.99
188.964844	-14.06	-61.91	0.98
190.429688	-14.13	-64.94	0.88
191.894531	-14.25	-66.54	0.36
193.359375	-14.20	-67.65	0.42
194.824219	-13.97	-69.06	0.94
196.289063	-13.74	-71.55	0.97
197.753906	-13.54	-75.41	0.99
199.218750	-13.40	-80.62	0.95
200.683594	-13.34	-87.61	0.97
202.148438	-13.44	-95.27	0.92
203.613281	-13.74	-98.41	0.88
205.078125	-14.19	-86.71	0.96
206.542969	-14.72	-48.71	0.97
208.007813	-15.32	-10.91	0.97
209.472656	-15.90	3.21	0.99
210.937500	-16.47	6.69	0.97
212.402344	-17.03	6.49	0.98
213.867188	-17.58	4.92	0.99
215.332031	-18.10	3.33	0.96
216.796875	-18.59	2.11	0.97
218.261719	-19.03	1.49	0.96
219.726563	-19.38	0.90	0.90
221.191406	-19.68	0.68	0.85
222.656250	-19.91	1.11	0.81
224.121094	-19.99	1.46	0.90
225.585938	-19.92	1.71	0.81
227.050781	-19.79	1.30	0.90
228.515625	-19.65	0.04	0.98
229.980469	-19.53	-1.70	0.98
231.445313	-19.40	-3.70	0.99
232.910156	-19.24	-5.89	0.98
234.375000	-19.07	-8.37	0.99
235.839844	-18.94	-11.06	0.99
237.304688	-18.86	-13.83	0.95
238.769531	-18.83	-16.74	0.98
240.234375	-18.87	-18.35	0.95
241.699219	-18.97	-18.28	0.93
243.164063	-19.12	-16.02	0.86
244.628906	-19.29	-12.60	0.80
246.093750	-19.43	-9.31	0.70
247.558594	-19.48	-6.57	0.56
249.023438	-19.39	-4.12	0.51
250.488281	-19.23	-2.02	0.92
251.953125	-19.07	-1.17	0.97
253.417969	-18.90	-1.37	0.99
254.882813	-18.72	-2.20	0.99
256.347656	-18.55	-3.68	0.99
257.812500	-18.39	-5.67	0.98
259.277344	-18.26	-8.06	0.97
260.742188	-18.19	-10.51	0.98
262.207031	-18.16	-12.88	0.96
263.671875	-18.19	-14.35	0.95
265.136719	-18.25	-14.61	0.53
266.601563	-18.32	-14.43	0.58
268.066406	-18.34	-14.63	0.91
269.531250	-18.35	-15.26	0.97
270.996094	-18.39	-15.56	0.97
272.460938	-18.46	-15.22	0.92
273.925781	-18.52	-13.84	0.50
275.390625	-18.55	-12.06	0.76
276.855469	-18.53	-10.58	0.88
278.320313	-18.50	-9.40	0.97
279.785156	-18.47	-8.18	0.91
281.250000	-18.42	-6.33	0.98
282.714844	-18.36	-3.26	0.96
284.179688	-18.28	1.00	0.88
285.644531	-18.20	5.65	0.93
287.109375	-18.11	9.74	0.92
288.574219	-18.05	12.04	0.98
290.039063	-18.01	12.82	0.97
291.503906	-18.00	12.52	0.99
292.968750	-18.02	11.39	0.98
294.433594	-18.08	9.97	0.98
295.898438	-18.17	8.47	1.00
297.363281	-18.28	7.30	0.99
298.828125	-18.41	6.58	0.98
300.292969	-18.58	6.70	0.97
301.757813	-18.76	7.96	0.96
303.222656	-18.97	10.50	0.91
304.687500	-19.15	13.62	0.88
306.152344	-19.29	16.56	0.85
307.617188	-19.40	19.00	0.88
309.082031	-19.47	20.94	0.93
310.546875	-19.51	22.78	0.96
312.011719	-19.53	24.84	0.58
313.476563	-19.50	27.02	0.88
314.941406	-19.43	28.89	0.92
316.406250	-19.30	30.36	0.96
317.871094	-19.14	31.35	0.98
319.335938	-18.97	31.71	0.95
320.800781	-18.80	31.48	0.98
322.265625	-18.65	30.68	0.99
323.730469	-18.53	29.49	0.99
325.195313	-18.43	28.14	1.00
326.660156	-18.36	26.63	0.98
328.125000	-18.32	25.12	0.98
329.589844	-18.31	23.78	1.00
331.054688	-18.30	22.69	0.99
332.519531	-18.31	21.82	0.98
333.984375	-18.31	21.16	0.96
335.449219	-18.27	20.57	0.96
336.914063	-18.23	19.94	0.99
338.378906	-18.19	19.31	0.96
339.843750	-18.14	18.69	0.98
341.308594	-18.08	18.04	1.00
342.773438	-18.01	17.31	1.00
344.238281	-17.94	16.50	1.00
345.703125	-17.87	15.61	1.00
347.167969	-17.82	14.67	1.00
348.632813	-17.77	13.71	1.00
350.097656	-17.73	12.73	0.99
351.562500	-17.70	11.68	0.99
353.027344	-17.69	10.67	1.00
354.492188	-17.69	9.71	1.00
355.957031	-17.71	8.86	1.00
357.421875	-17.74	8.13	1.00
358.886719	-17.78	7.55	1.00
360.351563	-17.82	7.09	1.00
361.816406	-17.86	6.76	1.00
363.281250	-17.89	6.52	1.00
364.746094	-17.92	6.37	1.00
366.210938	-17.93	6.31	0.99
367.675781	-17.92	6.28	0.99
369.140625	-17.90	6.28	0.95
370.605469	-17.85	6.31	0.95
372.070313	-17.77	6.26	0.97
373.535156	-17.69	6.08	0.99
375.000000	-17.61	5.78	0.99
376.464844	-17.54	5.45	0.99
377.929688	-17.48	5.11	1.00
379.394531	-17.43	4.83	1.00
380.859375	-17.39	4.60	1.00
382.324219	-17.34	4.41	1.00
383.789063	-17.30	4.28	1.00
385.253906	-17.26	4.23	0.99
386.718750	-17.21	4.28	0.97
388.183594	-17.16	4.43	0.86
389.648438	-17.05	4.60	0.96
391.113281	-16.92	4.70	0.98
392.578125	-16.77	4.70	0.99
394.042969	-16.61	4.59	1.00
