	NT2000-130-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-12.43	39.09	0.98
35.156250	-12.20	31.91	0.99
36.621094	-12.32	23.64	0.99
38.085938	-12.40	18.59	0.99
39.550781	-13.11	17.17	0.99
41.015625	-14.71	18.46	0.97
42.480469	-15.47	27.35	0.94
43.945313	-14.25	33.23	0.98
45.410156	-13.15	34.96	0.99
46.875000	-12.27	34.22	1.00
48.339844	-11.36	31.86	1.00
49.804688	-10.46	29.33	1.00
51.269531	-9.65	25.98	1.00
52.734375	-8.97	21.73	1.00
54.199219	-8.75	17.77	1.00
55.664063	-8.87	13.49	0.99
57.128906	-9.23	9.46	1.00
58.593750	-9.38	6.66	1.00
60.058594	-9.38	4.57	1.00
61.523438	-9.45	2.44	1.00
62.988281	-9.67	0.17	1.00
64.453125	-9.91	-1.73	1.00
65.917969	-10.08	-3.58	0.99
67.382813	-10.43	-4.49	1.00
68.847656	-10.90	-3.09	0.95
70.312500	-11.32	1.62	0.83
71.777344	-11.83	1.62	0.92
73.242188	-12.18	0.44	0.98
74.707031	-12.07	-1.04	0.98
76.171875	-12.08	-3.32	1.00
77.636719	-12.40	-4.98	0.99
79.101563	-13.00	-5.67	1.00
80.566406	-13.69	-4.28	0.99
82.031250	-14.25	-1.14	0.98
83.496094	-14.63	4.63	0.94
84.960938	-14.33	10.57	0.95
86.425781	-13.56	14.44	0.98
87.890625	-12.77	15.24	0.99
89.355469	-12.12	13.41	0.98
90.820313	-11.70	10.35	0.99
92.285156	-11.42	7.11	1.00
93.750000	-11.35	5.12	1.00
95.214844	-11.48	4.05	0.99
96.679688	-11.60	3.96	0.99
98.144531	-11.55	4.11	0.99
99.609375	-11.43	3.90	1.00
101.074219	-11.33	3.28	1.00
102.539063	-11.26	2.45	1.00
104.003906	-11.25	1.51	1.00
105.468750	-11.29	0.37	1.00
106.933594	-11.44	-1.01	1.00
108.398438	-11.69	-2.76	0.99
109.863281	-11.95	-3.98	0.99
111.328125	-12.25	-4.79	1.00
112.792969	-12.60	-5.39	0.99
114.257813	-13.05	-4.96	0.87
115.722656	-13.43	-2.78	0.70
117.187500	-13.43	-0.57	0.97
118.652344	-13.43	0.90	1.00
120.117188	-13.45	2.11	1.00
121.582031	-13.47	3.45	1.00
123.046875	-13.44	5.04	0.99
124.511719	-13.32	6.46	0.97
125.976563	-12.98	7.57	0.94
127.441406	-12.67	7.38	0.99
128.906250	-12.49	6.53	1.00
130.371094	-12.43	5.22	1.00
131.835938	-12.45	4.19	0.99
133.300781	-12.56	3.89	0.94
134.765625	-12.53	4.32	0.90
136.230469	-12.31	5.12	0.91
137.695313	-11.99	5.54	0.99
139.160156	-11.75	5.04	0.99
140.625000	-11.61	3.89	1.00
142.089844	-11.51	2.59	1.00
143.554688	-11.47	1.09	1.00
145.019531	-11.47	-0.70	0.99
146.484375	-11.52	-2.30	1.00
147.949219	-11.63	-3.51	1.00
149.414063	-11.78	-4.10	1.00
150.878906	-11.96	-3.85	0.99
152.343750	-12.14	-2.64	0.98
153.808594	-12.28	-0.61	0.84
155.273438	-12.26	2.28	0.56
156.738281	-11.93	4.72	0.89
158.203125	-11.55	5.52	0.98
159.667969	-11.24	4.68	0.99
161.132813	-11.01	3.12	1.00
162.597656	-10.86	1.33	1.00
164.062500	-10.79	-0.47	1.00
165.527344	-10.80	-2.27	0.99
166.992188	-10.86	-3.63	1.00
168.457031	-10.94	-4.51	1.00
169.921875	-11.02	-5.28	1.00
171.386719	-11.09	-5.95	1.00
172.851563	-11.14	-6.56	1.00
174.316406	-11.20	-7.30	1.00
175.781250	-11.26	-8.09	0.99
177.246094	-11.32	-8.86	0.99
178.710938	-11.39	-9.87	0.99
180.175781	-11.47	-11.13	0.99
181.640625	-11.61	-12.47	1.00
183.105469	-11.77	-13.54	0.99
184.570313	-11.93	-14.19	0.99
186.035156	-12.05	-14.52	1.00
187.500000	-12.14	-14.69	1.00
188.964844	-12.21	-14.71	1.00
190.429688	-12.24	-14.59	0.98
191.894531	-12.20	-14.45	0.98
193.359375	-12.11	-14.50	0.99
194.824219	-12.03	-14.92	0.99
196.289063	-11.97	-15.57	1.00
197.753906	-11.95	-16.10	0.99
199.218750	-11.98	-16.46	0.97
200.683594	-12.06	-15.77	0.99
202.148438	-12.19	-13.15	0.87
203.613281	-12.35	-8.26	0.72
205.078125	-12.54	-3.24	0.95
206.542969	-12.73	0.16	0.97
208.007813	-12.93	2.00	0.98
209.472656	-13.15	2.91	0.99
210.937500	-13.40	3.34	0.98
212.402344	-13.67	3.87	0.99
213.867188	-13.94	4.68	1.00
215.332031	-14.19	5.54	1.00
216.796875	-14.42	6.47	1.00
218.261719	-14.62	7.49	1.00
219.726563	-14.78	8.55	0.99
221.191406	-14.92	9.73	0.98
222.656250	-15.01	11.08	0.96
224.121094	-15.03	12.49	0.99
225.585938	-15.01	13.81	0.97
227.050781	-14.96	15.03	0.98
228.515625	-14.88	15.93	0.99
229.980469	-14.81	16.71	1.00
231.445313	-14.74	17.45	1.00
232.910156	-14.66	18.10	1.00
234.375000	-14.61	18.69	1.00
235.839844	-14.58	19.30	1.00
237.304688	-14.57	19.99	0.99
238.769531	-14.59	20.95	0.94
240.234375	-14.59	22.27	0.90
241.699219	-14.55	23.88	0.34
243.164063	-14.36	25.33	0.83
244.628906	-14.08	26.52	0.98
246.093750	-13.80	27.22	0.99
247.558594	-13.53	27.55	1.00
249.023438	-13.27	27.64	1.00
250.488281	-13.00	27.48	0.99
251.953125	-12.75	27.04	1.00
253.417969	-12.53	26.40	1.00
254.882813	-12.33	25.69	1.00
256.347656	-12.17	24.95	1.00
257.812500	-12.03	24.20	1.00
259.277344	-11.91	23.51	1.00
260.742188	-11.82	22.87	1.00
262.207031	-11.75	22.44	0.99
263.671875	-11.69	22.21	0.97
265.136719	-11.61	21.99	0.98
266.601563	-11.51	21.63	0.99
268.066406	-11.43	21.21	1.00
269.531250	-11.36	20.73	1.00
270.996094	-11.30	20.32	0.99
272.460938	-11.23	20.04	0.98
273.925781	-11.15	19.78	0.99
275.390625	-11.05	19.45	1.00
276.855469	-10.96	18.99	1.00
278.320313	-10.87	18.42	1.00
279.785156	-10.80	17.79	1.00
281.250000	-10.74	17.21	1.00
282.714844	-10.67	16.69	1.00
284.179688	-10.60	16.22	1.00
285.644531	-10.51	15.77	0.98
287.109375	-10.41	15.14	0.99
288.574219	-10.32	14.30	1.00
290.039063	-10.26	13.27	0.99
291.503906	-10.21	12.16	1.00
292.968750	-10.19	11.05	1.00
294.433594	-10.20	9.94	1.00
295.898438	-10.23	8.90	1.00
297.363281	-10.28	7.95	1.00
298.828125	-10.34	7.11	1.00
300.292969	-10.41	6.41	1.00
301.757813	-10.49	5.83	1.00
303.222656	-10.56	5.34	1.00
304.687500	-10.63	4.92	1.00
306.152344	-10.69	4.54	1.00
307.617188	-10.75	4.16	1.00
309.082031	-10.81	3.79	1.00
310.546875	-10.88	3.45	1.00
312.011719	-10.96	3.16	0.99
313.476563	-11.04	3.04	0.98
314.941406	-11.11	2.99	0.99
316.406250	-11.16	2.92	1.00
317.871094	-11.20	2.81	1.00
319.335938	-11.24	2.67	1.00
320.800781	-11.27	2.49	1.00
322.265625	-11.30	2.23	1.00
323.730469	-11.34	1.92	1.00
325.195313	-11.38	1.59	1.00
326.660156	-11.44	1.27	1.00
328.125000	-11.51	1.02	1.00
329.589844	-11.59	0.84	1.00
331.054688	-11.67	0.76	1.00
332.519531	-11.75	0.76	1.00
333.984375	-11.83	0.85	1.00
335.449219	-11.89	1.01	1.00
336.914063	-11.95	1.21	1.00
338.378906	-11.99	1.42	0.98
339.843750	-12.01	1.63	0.98
341.308594	-12.01	1.76	1.00
342.773438	-12.02	1.79	1.00
344.238281	-12.02	1.72	1.00
345.703125	-12.03	1.57	1.00
347.167969	-12.04	1.39	1.00
348.632813	-12.07	1.20	1.00
350.097656	-12.10	1.01	1.00
351.562500	-12.13	0.81	1.00
353.027344	-12.18	0.65	1.00
354.492188	-12.23	0.51	1.00
355.957031	-12.29	0.43	1.00
357.421875	-12.36	0.42	1.00
358.886719	-12.43	0.51	1.00
360.351563	-12.50	0.67	1.00
361.816406	-12.56	0.88	1.00
363.281250	-12.62	1.13	1.00
364.746094	-12.67	1.46	1.00
366.210938	-12.72	1.88	1.00
367.675781	-12.75	2.36	0.99
369.140625	-12.76	2.89	0.93
370.605469	-12.72	3.41	0.90
372.070313	-12.67	3.87	0.98
373.535156	-12.61	4.15	0.99
375.000000	-12.55	4.28	1.00
376.464844	-12.51	4.28	1.00
377.929688	-12.48	4.21	1.00
379.394531	-12.46	4.12	1.00
380.859375	-12.45	4.03	1.00
382.324219	-12.44	3.97	1.00
383.789063	-12.45	3.95	1.00
385.253906	-12.45	3.95	1.00
386.718750	-12.45	3.94	1.00
388.183594	-12.45	3.94	1.00
389.648438	-12.45	3.93	1.00
391.113281	-12.45	3.93	1.00
392.578125	-12.45	3.93	1.00
394.042969	-12.46	3.95	1.00
395.507813	-12.46	3.99	1.00
396.972656	-12.45	4.02	1.00
398.437500	-12.44	4.04	1.00
399.902344	-12.43	4.02	1.00
401.367188	-12.42	3.97	1.00
