	NT2000-140-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-13.88	39.37	0.99
35.156250	-13.09	32.74	0.99
36.621094	-12.95	27.68	0.99
38.085938	-12.75	22.75	0.99
39.550781	-12.61	20.06	0.97
41.015625	-13.33	23.47	0.94
42.480469	-15.05	32.19	0.86
43.945313	-14.39	37.92	0.98
45.410156	-13.75	39.17	0.99
46.875000	-13.06	36.85	0.98
48.339844	-12.40	33.68	0.99
49.804688	-11.48	29.44	0.99
51.269531	-10.62	26.98	1.00
52.734375	-9.99	22.54	0.99
54.199219	-9.52	16.53	0.99
55.664063	-9.46	11.30	0.99
57.128906	-9.73	6.68	0.99
58.593750	-9.90	3.36	0.99
60.058594	-10.04	0.78	0.99
61.523438	-10.16	-2.16	0.99
62.988281	-10.46	-5.23	0.99
64.453125	-10.73	-7.95	0.99
65.917969	-11.01	-11.58	0.97
67.382813	-11.40	-18.25	0.98
68.847656	-12.11	-23.19	0.98
70.312500	-12.81	-25.74	0.83
71.777344	-13.34	-22.86	0.70
73.242188	-13.11	-18.75	0.94
74.707031	-12.76	-16.66	0.97
76.171875	-12.65	-17.77	0.97
77.636719	-12.84	-18.94	0.99
79.101563	-13.25	-19.59	0.99
80.566406	-13.72	-19.42	0.86
82.031250	-14.28	-17.56	0.70
83.496094	-15.03	-10.87	0.75
84.960938	-15.47	-5.49	0.49
86.425781	-15.29	0.28	0.89
87.890625	-14.94	2.39	0.95
89.355469	-14.47	1.19	0.97
90.820313	-14.06	-0.30	0.99
92.285156	-13.68	-2.57	0.97
93.750000	-13.48	-4.64	0.99
95.214844	-13.55	-5.94	0.99
96.679688	-13.54	-6.42	0.99
98.144531	-13.42	-6.57	0.99
99.609375	-13.27	-6.99	0.99
101.074219	-13.10	-8.00	0.99
102.539063	-12.96	-9.23	0.98
104.003906	-12.85	-10.63	0.99
105.468750	-12.79	-12.13	0.99
106.933594	-12.82	-13.63	0.95
108.398438	-12.97	-15.64	0.93
109.863281	-13.26	-17.16	0.96
111.328125	-13.46	-19.01	0.95
112.792969	-13.63	-21.65	0.93
114.257813	-14.02	-22.46	0.86
115.722656	-14.50	-19.14	0.55
117.187500	-14.77	-13.84	0.90
118.652344	-14.94	-10.33	0.98
120.117188	-15.10	-7.93	0.98
121.582031	-15.25	-5.44	0.97
123.046875	-15.30	-2.50	0.98
124.511719	-15.15	0.33	0.88
125.976563	-14.77	2.69	0.91
127.441406	-14.36	3.03	0.98
128.906250	-14.11	2.47	0.99
130.371094	-14.02	1.08	0.99
131.835938	-14.05	-0.20	0.99
133.300781	-14.18	-0.69	0.93
134.765625	-14.30	0.13	0.71
136.230469	-14.07	0.67	0.88
137.695313	-13.64	0.06	0.92
139.160156	-13.19	-1.73	0.99
140.625000	-12.86	-3.72	1.00
142.089844	-12.61	-5.89	1.00
143.554688	-12.44	-8.21	0.99
145.019531	-12.37	-11.01	0.98
146.484375	-12.35	-13.44	1.00
147.949219	-12.41	-15.52	1.00
149.414063	-12.53	-16.87	0.99
150.878906	-12.69	-17.17	0.99
152.343750	-12.85	-16.10	0.98
153.808594	-12.97	-13.40	0.84
155.273438	-12.97	-8.90	0.77
156.738281	-12.76	-3.76	0.76
158.203125	-12.47	-0.62	0.97
159.667969	-12.25	-0.38	0.96
161.132813	-12.09	-1.25	0.99
162.597656	-12.00	-2.73	0.99
164.062500	-11.97	-4.43	0.99
165.527344	-12.02	-6.16	0.97
166.992188	-12.14	-7.59	0.97
168.457031	-12.29	-8.80	1.00
169.921875	-12.42	-9.94	0.99
171.386719	-12.52	-10.94	1.00
172.851563	-12.59	-11.89	1.00
174.316406	-12.63	-12.95	0.99
175.781250	-12.68	-13.98	0.98
177.246094	-12.72	-14.98	0.99
178.710938	-12.71	-16.43	0.97
180.175781	-12.71	-18.37	0.99
181.640625	-12.77	-20.39	1.00
183.105469	-12.87	-22.21	0.99
184.570313	-12.99	-23.59	1.00
186.035156	-13.09	-24.70	1.00
187.500000	-13.18	-25.56	1.00
188.964844	-13.25	-26.15	0.99
190.429688	-13.29	-26.36	0.94
191.894531	-13.25	-26.08	0.76
193.359375	-13.12	-25.67	0.97
194.824219	-12.96	-25.88	0.99
196.289063	-12.81	-26.53	0.99
197.753906	-12.70	-27.44	0.98
199.218750	-12.64	-27.92	0.98
200.683594	-12.67	-26.81	0.98
202.148438	-12.80	-22.43	0.85
203.613281	-13.00	-13.39	0.81
205.078125	-13.29	-4.93	0.97
206.542969	-13.60	0.76	0.98
208.007813	-13.92	3.93	0.98
209.472656	-14.25	5.49	0.99
210.937500	-14.62	6.09	0.96
212.402344	-14.99	6.32	0.99
213.867188	-15.36	6.84	0.99
215.332031	-15.69	7.44	0.99
216.796875	-15.99	8.21	0.99
218.261719	-16.23	9.20	0.98
219.726563	-16.42	10.26	0.99
221.191406	-16.58	11.53	0.91
222.656250	-16.68	12.87	0.91
224.121094	-16.71	14.05	0.99
225.585938	-16.68	15.05	0.98
227.050781	-16.58	15.81	0.98
228.515625	-16.48	16.28	0.99
229.980469	-16.38	16.62	1.00
231.445313	-16.29	17.05	0.98
232.910156	-16.18	17.37	0.99
234.375000	-16.08	17.56	1.00
235.839844	-16.01	17.81	0.99
237.304688	-15.96	18.30	1.00
238.769531	-15.94	19.17	0.95
240.234375	-15.96	20.40	0.96
241.699219	-15.92	22.09	0.71
243.164063	-15.79	23.88	0.72
244.628906	-15.61	25.22	0.98
246.093750	-15.41	26.04	0.99
247.558594	-15.21	26.41	1.00
249.023438	-14.98	26.48	0.99
250.488281	-14.74	26.32	0.98
251.953125	-14.52	25.80	0.99
253.417969	-14.32	25.02	1.00
254.882813	-14.16	24.12	1.00
256.347656	-14.02	23.13	1.00
257.812500	-13.91	22.11	1.00
259.277344	-13.83	21.04	0.99
260.742188	-13.78	20.07	0.99
262.207031	-13.75	19.35	0.99
263.671875	-13.73	18.94	0.96
265.136719	-13.69	18.72	0.97
266.601563	-13.64	18.36	0.99
268.066406	-13.60	17.89	1.00
269.531250	-13.59	17.43	0.99
270.996094	-13.59	16.97	0.99
272.460938	-13.59	16.70	0.99
273.925781	-13.57	16.58	0.97
275.390625	-13.53	16.41	0.99
276.855469	-13.47	16.10	1.00
278.320313	-13.42	15.70	0.99
279.785156	-13.39	15.24	1.00
281.250000	-13.35	14.93	1.00
282.714844	-13.32	14.75	0.98
284.179688	-13.25	14.64	0.95
285.644531	-13.13	14.58	0.93
287.109375	-12.99	14.32	0.96
288.574219	-12.86	13.68	0.99
290.039063	-12.75	12.69	0.99
291.503906	-12.67	11.51	1.00
292.968750	-12.63	10.24	0.99
294.433594	-12.62	8.95	1.00
295.898438	-12.64	7.75	1.00
297.363281	-12.69	6.68	1.00
298.828125	-12.76	5.76	0.99
300.292969	-12.84	5.02	0.99
301.757813	-12.93	4.47	1.00
303.222656	-13.01	4.05	1.00
304.687500	-13.08	3.70	1.00
306.152344	-13.13	3.39	1.00
307.617188	-13.18	3.09	0.99
309.082031	-13.23	2.81	1.00
310.546875	-13.29	2.60	1.00
312.011719	-13.36	2.49	0.98
313.476563	-13.43	2.57	0.97
314.941406	-13.50	2.80	0.98
316.406250	-13.53	3.03	0.99
317.871094	-13.54	3.21	1.00
319.335938	-13.53	3.30	0.99
320.800781	-13.50	3.30	0.99
322.265625	-13.48	3.18	1.00
323.730469	-13.47	2.96	1.00
325.195313	-13.47	2.69	1.00
326.660156	-13.47	2.40	1.00
328.125000	-13.49	2.14	1.00
329.589844	-13.53	1.92	1.00
331.054688	-13.56	1.78	1.00
332.519531	-13.60	1.71	1.00
333.984375	-13.63	1.74	0.99
335.449219	-13.66	1.85	0.99
336.914063	-13.67	1.95	1.00
338.378906	-13.67	2.02	1.00
339.843750	-13.66	2.07	0.99
341.308594	-13.63	2.04	1.00
342.773438	-13.61	1.91	1.00
344.238281	-13.59	1.69	1.00
345.703125	-13.57	1.38	1.00
347.167969	-13.57	1.04	1.00
348.632813	-13.57	0.68	1.00
350.097656	-13.58	0.30	1.00
351.562500	-13.60	-0.09	0.99
353.027344	-13.63	-0.46	1.00
354.492188	-13.68	-0.77	1.00
355.957031	-13.73	-1.02	0.99
357.421875	-13.80	-1.17	1.00
358.886719	-13.87	-1.19	0.99
360.351563	-13.93	-1.10	1.00
361.816406	-13.99	-0.94	1.00
363.281250	-14.04	-0.72	1.00
364.746094	-14.08	-0.43	1.00
366.210938	-14.11	-0.09	1.00
367.675781	-14.13	0.32	0.98
369.140625	-14.12	0.75	0.94
370.605469	-14.08	1.17	0.97
372.070313	-14.02	1.50	0.98
373.535156	-13.95	1.67	0.99
375.000000	-13.89	1.69	1.00
376.464844	-13.84	1.58	0.99
377.929688	-13.79	1.40	1.00
379.394531	-13.76	1.18	1.00
380.859375	-13.73	0.95	1.00
382.324219	-13.72	0.74	1.00
383.789063	-13.71	0.56	1.00
385.253906	-13.70	0.41	1.00
386.718750	-13.69	0.25	1.00
388.183594	-13.68	0.09	1.00
389.648438	-13.67	-0.06	1.00
391.113281	-13.66	-0.20	1.00
392.578125	-13.66	-0.34	1.00
394.042969	-13.65	-0.45	1.00
395.507813	-13.65	-0.53	1.00
396.972656	-13.63	-0.61	1.00
