	NT2000-20-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-2.64	33.19	0.99
35.156250	-2.57	34.44	1.00
36.621094	-2.44	34.67	1.00
38.085938	-2.31	34.30	1.00
39.550781	-2.05	33.53	1.00
41.015625	-1.84	32.54	1.00
42.480469	-1.79	29.88	1.00
43.945313	-1.90	27.40	1.00
45.410156	-2.00	25.57	1.00
46.875000	-2.17	24.70	1.00
48.339844	-2.42	23.96	1.00
49.804688	-2.68	23.79	1.00
51.269531	-2.94	24.52	1.00
52.734375	-3.15	25.97	1.00
54.199219	-3.10	27.64	1.00
55.664063	-2.79	29.69	1.00
57.128906	-2.47	31.03	1.00
58.593750	-2.24	31.33	1.00
60.058594	-2.07	30.57	1.00
61.523438	-1.99	30.04	1.00
62.988281	-1.91	29.68	1.00
64.453125	-1.83	29.58	1.00
65.917969	-1.68	29.69	1.00
67.382813	-1.44	29.66	1.00
68.847656	-1.20	28.40	1.00
70.312500	-1.05	26.10	1.00
71.777344	-1.09	24.26	1.00
73.242188	-1.24	23.11	1.00
74.707031	-1.41	23.08	1.00
76.171875	-1.45	23.83	1.00
77.636719	-1.35	24.16	1.00
79.101563	-1.09	23.98	1.00
80.566406	-0.93	23.18	1.00
82.031250	-0.85	22.04	1.00
83.496094	-0.84	20.93	1.00
84.960938	-0.91	20.12	1.00
86.425781	-1.02	19.77	1.00
87.890625	-1.14	19.99	1.00
89.355469	-1.21	20.38	1.00
90.820313	-1.22	20.78	1.00
92.285156	-1.23	21.38	1.00
93.750000	-1.17	21.91	1.00
95.214844	-1.09	22.06	1.00
96.679688	-1.00	21.88	1.00
98.144531	-0.92	21.65	1.00
99.609375	-0.86	21.47	1.00
101.074219	-0.79	21.41	1.00
102.539063	-0.72	21.40	1.00
104.003906	-0.64	21.32	1.00
105.468750	-0.58	21.15	1.00
106.933594	-0.50	20.96	1.00
108.398438	-0.39	20.74	1.00
109.863281	-0.26	20.34	1.00
111.328125	-0.13	19.64	1.00
112.792969	0.00	18.53	1.00
114.257813	0.10	16.91	0.99
115.722656	0.10	15.18	0.99
117.187500	0.03	14.11	1.00
118.652344	-0.03	13.53	1.00
120.117188	-0.05	13.07	1.00
121.582031	-0.08	12.49	1.00
123.046875	-0.12	11.73	1.00
124.511719	-0.18	10.90	1.00
125.976563	-0.29	10.04	0.99
127.441406	-0.44	9.54	1.00
128.906250	-0.60	9.65	0.99
130.371094	-0.74	10.14	1.00
131.835938	-0.81	10.70	1.00
133.300781	-0.84	11.19	1.00
134.765625	-0.87	11.61	1.00
136.230469	-0.93	12.01	1.00
137.695313	-0.98	12.63	1.00
139.160156	-0.98	13.35	1.00
140.625000	-0.94	14.16	1.00
142.089844	-0.86	14.86	1.00
143.554688	-0.73	15.34	1.00
145.019531	-0.55	15.63	1.00
146.484375	-0.36	15.58	1.00
147.949219	-0.17	15.23	1.00
149.414063	-0.02	14.51	1.00
150.878906	0.08	13.50	1.00
152.343750	0.13	12.38	1.00
153.808594	0.15	11.18	1.00
155.273438	0.12	9.97	1.00
156.738281	0.03	8.78	1.00
158.203125	-0.12	7.86	1.00
159.667969	-0.28	7.35	0.99
161.132813	-0.44	7.14	1.00
162.597656	-0.56	7.11	1.00
164.062500	-0.68	7.15	1.00
165.527344	-0.79	7.29	1.00
166.992188	-0.88	7.52	1.00
168.457031	-0.95	7.82	1.00
169.921875	-1.02	8.17	1.00
171.386719	-1.08	8.55	1.00
172.851563	-1.12	8.97	1.00
174.316406	-1.15	9.43	1.00
175.781250	-1.17	9.93	1.00
177.246094	-1.18	10.45	1.00
178.710938	-1.18	11.03	1.00
180.175781	-1.15	11.67	1.00
181.640625	-1.09	12.27	1.00
183.105469	-1.02	12.73	1.00
184.570313	-0.94	13.08	1.00
186.035156	-0.85	13.32	1.00
187.500000	-0.76	13.43	1.00
188.964844	-0.67	13.36	1.00
190.429688	-0.59	13.04	0.99
191.894531	-0.54	12.62	1.00
193.359375	-0.51	12.27	1.00
194.824219	-0.48	12.05	1.00
196.289063	-0.43	11.88	1.00
197.753906	-0.37	11.61	1.00
199.218750	-0.29	11.26	1.00
200.683594	-0.22	10.66	0.99
202.148438	-0.18	9.69	0.99
203.613281	-0.20	8.60	0.99
205.078125	-0.26	7.76	1.00
206.542969	-0.33	7.14	1.00
208.007813	-0.42	6.68	1.00
209.472656	-0.50	6.37	1.00
210.937500	-0.59	6.21	1.00
212.402344	-0.67	6.19	1.00
213.867188	-0.74	6.28	1.00
215.332031	-0.79	6.40	1.00
216.796875	-0.83	6.51	1.00
218.261719	-0.87	6.60	1.00
219.726563	-0.91	6.71	1.00
221.191406	-0.94	6.81	1.00
222.656250	-0.98	6.88	1.00
224.121094	-1.01	6.95	1.00
225.585938	-1.06	7.04	1.00
227.050781	-1.10	7.20	1.00
228.515625	-1.14	7.46	1.00
229.980469	-1.17	7.75	1.00
231.445313	-1.18	8.05	1.00
232.910156	-1.19	8.36	1.00
234.375000	-1.20	8.68	1.00
235.839844	-1.19	9.02	1.00
237.304688	-1.17	9.36	1.00
238.769531	-1.15	9.67	1.00
240.234375	-1.11	9.90	1.00
241.699219	-1.06	10.02	1.00
243.164063	-1.03	10.04	1.00
244.628906	-1.01	10.01	1.00
246.093750	-0.99	10.01	1.00
247.558594	-0.98	10.01	1.00
249.023438	-0.97	9.99	1.00
250.488281	-0.97	9.98	1.00
251.953125	-0.97	9.99	1.00
253.417969	-0.98	10.05	1.00
254.882813	-0.99	10.17	1.00
256.347656	-1.00	10.35	1.00
257.812500	-1.00	10.59	1.00
259.277344	-0.98	10.84	1.00
260.742188	-0.95	11.08	1.00
262.207031	-0.91	11.27	1.00
263.671875	-0.85	11.38	1.00
265.136719	-0.80	11.41	1.00
266.601563	-0.76	11.43	1.00
268.066406	-0.72	11.48	1.00
269.531250	-0.67	11.56	1.00
270.996094	-0.61	11.60	1.00
272.460938	-0.55	11.58	1.00
273.925781	-0.48	11.48	1.00
275.390625	-0.42	11.30	1.00
276.855469	-0.35	11.10	1.00
278.320313	-0.30	10.87	1.00
279.785156	-0.24	10.57	1.00
281.250000	-0.18	10.21	1.00
282.714844	-0.13	9.79	1.00
284.179688	-0.09	9.33	1.00
285.644531	-0.05	8.81	0.99
287.109375	-0.03	8.22	1.00
288.574219	-0.04	7.62	1.00
290.039063	-0.06	7.09	1.00
291.503906	-0.09	6.67	1.00
292.968750	-0.12	6.34	1.00
294.433594	-0.14	6.05	1.00
295.898438	-0.17	5.78	1.00
297.363281	-0.20	5.52	1.00
298.828125	-0.23	5.28	1.00
300.292969	-0.26	5.04	1.00
301.757813	-0.30	4.80	1.00
303.222656	-0.34	4.56	1.00
304.687500	-0.38	4.36	1.00
306.152344	-0.42	4.20	1.00
307.617188	-0.47	4.05	1.00
309.082031	-0.51	3.87	1.00
310.546875	-0.55	3.63	0.99
312.011719	-0.61	3.29	0.98
313.476563	-0.69	2.88	0.96
314.941406	-0.77	2.61	1.00
316.406250	-0.85	2.43	1.00
317.871094	-0.93	2.31	1.00
319.335938	-1.00	2.26	1.00
320.800781	-1.08	2.25	1.00
322.265625	-1.14	2.28	1.00
323.730469	-1.21	2.36	1.00
325.195313	-1.27	2.47	1.00
326.660156	-1.33	2.64	1.00
328.125000	-1.38	2.84	1.00
329.589844	-1.42	3.06	1.00
331.054688	-1.45	3.29	1.00
332.519531	-1.47	3.51	1.00
333.984375	-1.49	3.70	1.00
335.449219	-1.51	3.87	1.00
336.914063	-1.52	4.03	1.00
338.378906	-1.53	4.17	1.00
339.843750	-1.55	4.29	1.00
341.308594	-1.56	4.38	1.00
342.773438	-1.58	4.46	1.00
344.238281	-1.60	4.54	1.00
345.703125	-1.62	4.64	1.00
347.167969	-1.65	4.76	1.00
348.632813	-1.67	4.90	1.00
350.097656	-1.69	5.06	1.00
351.562500	-1.72	5.23	1.00
353.027344	-1.73	5.42	1.00
354.492188	-1.75	5.61	1.00
355.957031	-1.76	5.79	1.00
357.421875	-1.78	5.97	1.00
358.886719	-1.79	6.13	1.00
360.351563	-1.80	6.30	1.00
361.816406	-1.81	6.46	1.00
363.281250	-1.82	6.61	1.00
364.746094	-1.82	6.75	1.00
366.210938	-1.83	6.88	1.00
367.675781	-1.84	7.02	1.00
369.140625	-1.85	7.16	1.00
370.605469	-1.86	7.29	1.00
372.070313	-1.88	7.43	1.00
373.535156	-1.89	7.58	1.00
375.000000	-1.90	7.75	1.00
376.464844	-1.91	7.92	1.00
377.929688	-1.92	8.11	1.00
379.394531	-1.93	8.29	1.00
380.859375	-1.94	8.48	1.00
382.324219	-1.94	8.65	1.00
383.789063	-1.94	8.81	1.00
385.253906	-1.95	8.96	1.00
386.718750	-1.96	9.10	1.00
388.183594	-1.96	9.25	1.00
389.648438	-1.98	9.41	1.00
391.113281	-1.99	9.60	1.00
392.578125	-2.00	9.80	1.00
394.042969	-2.01	10.03	1.00
395.507813	-2.01	10.26	1.00
396.972656	-2.02	10.49	1.00
398.437500	-2.02	10.74	1.00
399.902344	-2.03	10.99	1.00
401.367188	-2.03	11.26	1.00
402.832031	-2.03	11.55	1.00
404.296875	-2.02	11.84	1.00
405.761719	-2.01	12.14	1.00
