	NT2000-80-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-6.43	35.40	1.00
35.156250	-6.18	35.04	1.00
36.621094	-6.10	31.21	1.00
38.085938	-6.19	27.50	1.00
39.550781	-6.12	25.41	0.99
41.015625	-6.02	26.48	0.99
42.480469	-6.04	28.22	1.00
43.945313	-6.03	27.92	1.00
45.410156	-6.21	27.65	1.00
46.875000	-6.17	27.75	1.00
48.339844	-6.11	27.50	1.00
49.804688	-6.05	26.69	1.00
51.269531	-6.03	26.02	1.00
52.734375	-6.03	25.84	1.00
54.199219	-5.93	25.65	1.00
55.664063	-5.83	25.22	1.00
57.128906	-5.77	24.69	0.99
58.593750	-5.56	23.87	1.00
60.058594	-5.34	22.83	1.00
61.523438	-5.28	21.45	1.00
62.988281	-5.30	20.65	1.00
64.453125	-5.38	20.47	1.00
65.917969	-5.42	20.70	1.00
67.382813	-5.37	21.30	1.00
68.847656	-5.26	21.97	0.92
70.312500	-5.20	21.30	0.99
71.777344	-5.30	20.24	1.00
73.242188	-5.49	19.58	1.00
74.707031	-5.67	19.56	1.00
76.171875	-5.77	20.03	1.00
77.636719	-5.75	20.55	1.00
79.101563	-5.66	20.96	1.00
80.566406	-5.56	21.07	1.00
82.031250	-5.55	21.48	1.00
83.496094	-5.54	22.20	1.00
84.960938	-5.46	23.13	1.00
86.425781	-5.32	23.78	1.00
87.890625	-5.10	24.03	1.00
89.355469	-4.93	23.96	1.00
90.820313	-4.80	23.55	1.00
92.285156	-4.75	23.06	1.00
93.750000	-4.70	22.82	1.00
95.214844	-4.64	22.76	1.00
96.679688	-4.57	22.85	1.00
98.144531	-4.48	22.86	1.00
99.609375	-4.38	22.55	1.00
101.074219	-4.28	22.02	1.00
102.539063	-4.19	21.46	1.00
104.003906	-4.14	20.84	1.00
105.468750	-4.11	20.15	1.00
106.933594	-4.11	19.45	1.00
108.398438	-4.10	19.07	1.00
109.863281	-4.08	18.86	1.00
111.328125	-3.97	18.52	1.00
112.792969	-3.87	17.87	1.00
114.257813	-3.82	16.89	1.00
115.722656	-3.86	15.99	1.00
117.187500	-3.94	15.45	1.00
118.652344	-3.99	15.12	1.00
120.117188	-4.02	14.89	1.00
121.582031	-4.01	14.59	1.00
123.046875	-4.03	14.19	1.00
124.511719	-4.06	13.64	1.00
125.976563	-4.13	13.03	1.00
127.441406	-4.24	12.49	1.00
128.906250	-4.36	12.42	1.00
130.371094	-4.48	12.74	1.00
131.835938	-4.56	13.29	1.00
133.300781	-4.60	14.03	1.00
134.765625	-4.59	14.92	1.00
136.230469	-4.53	15.81	1.00
137.695313	-4.44	16.48	1.00
139.160156	-4.33	16.99	1.00
140.625000	-4.21	17.36	1.00
142.089844	-4.06	17.60	1.00
143.554688	-3.89	17.62	1.00
145.019531	-3.74	17.28	1.00
146.484375	-3.61	16.73	1.00
147.949219	-3.50	16.09	1.00
149.414063	-3.41	15.36	1.00
150.878906	-3.34	14.56	1.00
152.343750	-3.28	13.79	1.00
153.808594	-3.24	13.04	1.00
155.273438	-3.20	12.25	1.00
156.738281	-3.18	11.17	1.00
158.203125	-3.23	9.84	0.99
159.667969	-3.32	8.63	1.00
161.132813	-3.43	7.72	1.00
162.597656	-3.55	6.89	1.00
164.062500	-3.68	6.15	1.00
165.527344	-3.83	5.62	1.00
166.992188	-3.98	5.33	1.00
168.457031	-4.11	5.20	1.00
169.921875	-4.22	5.19	1.00
171.386719	-4.32	5.23	1.00
172.851563	-4.41	5.36	1.00
174.316406	-4.49	5.55	1.00
175.781250	-4.56	5.77	0.99
177.246094	-4.64	6.20	0.99
178.710938	-4.72	6.65	1.00
180.175781	-4.79	7.11	1.00
181.640625	-4.84	7.58	1.00
183.105469	-4.88	8.07	1.00
184.570313	-4.89	8.57	1.00
186.035156	-4.89	9.05	1.00
187.500000	-4.85	9.48	1.00
188.964844	-4.80	9.68	1.00
190.429688	-4.74	9.60	0.99
191.894531	-4.71	9.26	1.00
193.359375	-4.71	9.02	1.00
194.824219	-4.73	8.88	1.00
196.289063	-4.75	8.79	1.00
197.753906	-4.76	8.72	1.00
199.218750	-4.78	8.62	1.00
200.683594	-4.79	8.49	0.99
202.148438	-4.81	8.13	0.98
203.613281	-4.87	7.98	0.99
205.078125	-4.93	8.06	1.00
206.542969	-4.97	8.08	1.00
208.007813	-5.02	8.03	1.00
209.472656	-5.09	7.90	1.00
210.937500	-5.18	7.94	0.99
212.402344	-5.28	8.18	0.99
213.867188	-5.38	8.66	1.00
215.332031	-5.45	9.21	1.00
216.796875	-5.51	9.77	1.00
218.261719	-5.55	10.34	1.00
219.726563	-5.59	10.93	1.00
221.191406	-5.62	11.53	1.00
222.656250	-5.64	12.14	1.00
224.121094	-5.66	12.72	1.00
225.585938	-5.67	13.30	1.00
227.050781	-5.68	13.93	1.00
228.515625	-5.68	14.56	1.00
229.980469	-5.67	15.20	1.00
231.445313	-5.66	15.83	1.00
232.910156	-5.63	16.47	1.00
234.375000	-5.61	17.11	1.00
235.839844	-5.57	17.76	1.00
237.304688	-5.53	18.42	1.00
238.769531	-5.47	19.09	1.00
240.234375	-5.38	19.74	0.99
241.699219	-5.28	20.24	1.00
243.164063	-5.16	20.52	1.00
244.628906	-5.06	20.63	1.00
246.093750	-4.95	20.61	1.00
247.558594	-4.87	20.53	1.00
249.023438	-4.80	20.42	1.00
250.488281	-4.73	20.28	1.00
251.953125	-4.68	20.15	1.00
253.417969	-4.64	20.03	1.00
254.882813	-4.61	19.95	1.00
256.347656	-4.57	19.90	1.00
257.812500	-4.53	19.87	1.00
259.277344	-4.50	19.87	1.00
260.742188	-4.46	19.88	1.00
262.207031	-4.41	19.90	1.00
263.671875	-4.36	19.87	1.00
265.136719	-4.32	19.80	1.00
266.601563	-4.27	19.75	1.00
268.066406	-4.23	19.72	1.00
269.531250	-4.18	19.72	1.00
270.996094	-4.12	19.71	1.00
272.460938	-4.05	19.67	0.99
273.925781	-3.97	19.57	1.00
275.390625	-3.90	19.36	1.00
276.855469	-3.83	19.12	1.00
278.320313	-3.77	18.83	1.00
279.785156	-3.72	18.52	1.00
281.250000	-3.67	18.19	1.00
282.714844	-3.63	17.83	1.00
284.179688	-3.58	17.47	1.00
285.644531	-3.54	17.09	1.00
287.109375	-3.49	16.64	1.00
288.574219	-3.46	16.13	1.00
290.039063	-3.43	15.58	1.00
291.503906	-3.42	15.02	1.00
292.968750	-3.42	14.47	1.00
294.433594	-3.43	13.95	1.00
295.898438	-3.45	13.44	1.00
297.363281	-3.47	12.93	1.00
298.828125	-3.50	12.44	1.00
300.292969	-3.54	11.97	1.00
301.757813	-3.58	11.51	1.00
303.222656	-3.63	11.06	1.00
304.687500	-3.68	10.65	1.00
306.152344	-3.74	10.30	1.00
307.617188	-3.80	9.98	1.00
309.082031	-3.86	9.68	1.00
310.546875	-3.92	9.39	1.00
312.011719	-4.00	9.14	1.00
313.476563	-4.07	8.98	0.99
314.941406	-4.14	8.93	1.00
316.406250	-4.21	8.92	1.00
317.871094	-4.26	8.93	1.00
319.335938	-4.31	8.92	1.00
320.800781	-4.36	8.91	1.00
322.265625	-4.41	8.89	1.00
323.730469	-4.46	8.88	1.00
325.195313	-4.51	8.90	1.00
326.660156	-4.56	8.97	1.00
328.125000	-4.61	9.08	1.00
329.589844	-4.66	9.23	1.00
331.054688	-4.70	9.40	1.00
332.519531	-4.73	9.57	1.00
333.984375	-4.76	9.73	1.00
335.449219	-4.79	9.87	1.00
336.914063	-4.82	10.00	1.00
338.378906	-4.85	10.12	1.00
339.843750	-4.88	10.22	1.00
341.308594	-4.91	10.32	1.00
342.773438	-4.94	10.39	1.00
344.238281	-4.98	10.45	1.00
345.703125	-5.02	10.54	1.00
347.167969	-5.06	10.64	1.00
348.632813	-5.10	10.78	1.00
350.097656	-5.14	10.93	1.00
351.562500	-5.18	11.11	1.00
353.027344	-5.22	11.31	1.00
354.492188	-5.26	11.54	1.00
355.957031	-5.30	11.78	1.00
357.421875	-5.33	12.05	1.00
358.886719	-5.36	12.33	1.00
360.351563	-5.39	12.62	1.00
361.816406	-5.41	12.93	1.00
363.281250	-5.43	13.25	1.00
364.746094	-5.45	13.57	1.00
366.210938	-5.46	13.89	1.00
367.675781	-5.47	14.20	1.00
369.140625	-5.47	14.50	1.00
370.605469	-5.47	14.78	1.00
372.070313	-5.47	15.03	1.00
373.535156	-5.48	15.25	1.00
375.000000	-5.48	15.47	1.00
376.464844	-5.49	15.68	1.00
377.929688	-5.50	15.89	1.00
379.394531	-5.51	16.11	1.00
380.859375	-5.52	16.35	1.00
382.324219	-5.53	16.59	1.00
383.789063	-5.54	16.86	1.00
385.253906	-5.54	17.13	1.00
386.718750	-5.54	17.41	1.00
388.183594	-5.54	17.68	1.00
389.648438	-5.54	17.94	1.00
391.113281	-5.54	18.21	1.00
392.578125	-5.54	18.47	1.00
394.042969	-5.53	18.73	1.00
395.507813	-5.52	18.98	1.00
396.972656	-5.51	19.19	1.00
398.437500	-5.50	19.38	1.00
399.902344	-5.50	19.57	1.00
401.367188	-5.49	19.75	1.00
402.832031	-5.49	19.95	1.00
404.296875	-5.49	20.16	1.00
405.761719	-5.49	20.38	1.00
