	NT2000-160-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-16.31	44.66	0.99
35.156250	-15.73	34.87	0.96
36.621094	-15.71	28.03	0.99
38.085938	-15.58	20.17	0.98
39.550781	-16.01	12.93	0.96
41.015625	-17.96	12.73	0.88
42.480469	-18.28	25.65	0.93
43.945313	-17.38	32.37	0.97
45.410156	-15.98	36.27	0.98
46.875000	-14.80	35.90	0.99
48.339844	-13.47	35.13	0.99
49.804688	-12.27	32.34	1.00
51.269531	-10.94	25.83	0.99
52.734375	-10.19	19.29	1.00
54.199219	-9.82	11.73	0.99
55.664063	-9.87	4.34	0.99
57.128906	-10.24	-0.45	0.99
58.593750	-10.67	-3.98	1.00
60.058594	-10.95	-6.99	1.00
61.523438	-11.03	-10.48	1.00
62.988281	-11.02	-14.28	1.00
64.453125	-10.94	-17.71	1.00
65.917969	-10.94	-21.29	0.99
67.382813	-11.16	-26.01	0.99
68.847656	-11.71	-30.56	0.95
70.312500	-12.73	-33.20	0.92
71.777344	-13.15	-31.85	0.83
73.242188	-13.44	-24.65	0.88
74.707031	-13.25	-21.89	0.96
76.171875	-13.13	-24.44	0.98
77.636719	-13.35	-28.20	0.98
79.101563	-13.81	-32.37	0.98
80.566406	-14.46	-35.27	0.93
82.031250	-15.09	-37.07	0.90
83.496094	-15.76	-34.17	0.92
84.960938	-16.10	-26.37	0.78
86.425781	-15.58	-17.90	0.94
87.890625	-15.01	-13.60	0.97
89.355469	-14.55	-12.78	0.98
90.820313	-14.22	-12.98	0.99
92.285156	-14.00	-14.77	0.99
93.750000	-13.97	-18.69	0.97
95.214844	-14.08	-22.36	0.98
96.679688	-14.25	-24.42	0.99
98.144531	-14.35	-25.65	0.99
99.609375	-14.30	-26.95	0.98
101.074219	-14.17	-29.08	0.99
102.539063	-14.06	-31.59	1.00
104.003906	-13.94	-34.08	1.00
105.468750	-13.77	-36.70	0.98
106.933594	-13.59	-40.15	0.99
108.398438	-13.52	-43.57	1.00
109.863281	-13.57	-46.90	0.99
111.328125	-13.74	-50.63	1.00
112.792969	-14.07	-54.87	0.97
114.257813	-14.64	-59.57	0.94
115.722656	-15.43	-59.78	0.80
117.187500	-16.38	-53.66	0.63
118.652344	-16.99	-48.24	0.93
120.117188	-17.43	-43.38	0.95
121.582031	-17.82	-38.55	0.92
123.046875	-17.97	-31.08	0.86
124.511719	-17.76	-21.38	0.52
125.976563	-17.17	-11.40	0.78
127.441406	-16.57	-7.40	0.88
128.906250	-16.04	-8.21	0.97
130.371094	-15.63	-11.04	0.96
131.835938	-15.31	-13.55	0.98
133.300781	-15.12	-14.53	0.96
134.765625	-14.90	-13.76	0.50
136.230469	-14.50	-12.55	0.84
137.695313	-14.02	-13.42	0.95
139.160156	-13.58	-16.07	0.98
140.625000	-13.21	-20.04	0.99
142.089844	-12.87	-24.64	0.99
143.554688	-12.58	-29.63	1.00
145.019531	-12.36	-34.94	0.99
146.484375	-12.20	-40.58	1.00
147.949219	-12.09	-46.08	0.99
149.414063	-12.04	-51.27	0.99
150.878906	-12.07	-55.26	0.99
152.343750	-12.13	-57.92	0.97
153.808594	-12.20	-58.33	0.97
155.273438	-12.29	-52.69	0.92
156.738281	-12.40	-37.24	0.89
158.203125	-12.51	-17.75	0.91
159.667969	-12.70	-8.84	0.97
161.132813	-12.94	-7.38	0.95
162.597656	-13.19	-8.42	0.99
164.062500	-13.44	-10.29	1.00
165.527344	-13.65	-12.52	0.99
166.992188	-13.87	-14.84	0.99
168.457031	-14.05	-16.99	1.00
169.921875	-14.16	-19.08	1.00
171.386719	-14.22	-21.09	0.99
172.851563	-14.18	-23.07	0.98
174.316406	-14.09	-25.28	0.98
175.781250	-13.99	-27.70	0.96
177.246094	-13.85	-29.93	0.90
178.710938	-13.66	-32.66	0.98
180.175781	-13.52	-36.15	0.99
181.640625	-13.44	-39.86	0.99
183.105469	-13.41	-43.53	0.99
184.570313	-13.41	-46.80	0.99
186.035156	-13.41	-49.82	1.00
187.500000	-13.41	-52.69	1.00
188.964844	-13.43	-55.28	0.99
190.429688	-13.46	-57.69	0.89
191.894531	-13.52	-58.52	0.61
193.359375	-13.51	-58.66	0.85
194.824219	-13.40	-59.75	0.97
196.289063	-13.27	-62.02	0.97
197.753906	-13.16	-65.33	0.98
199.218750	-13.10	-69.70	0.98
200.683594	-13.15	-75.04	0.89
202.148438	-13.35	-80.05	0.88
203.613281	-13.70	-73.91	0.90
205.078125	-14.19	-48.73	0.94
206.542969	-14.77	-20.73	0.97
208.007813	-15.35	-4.31	0.99
209.472656	-15.94	2.49	0.98
210.937500	-16.52	4.57	0.91
212.402344	-17.10	4.35	0.99
213.867188	-17.66	3.75	0.99
215.332031	-18.19	3.21	0.96
216.796875	-18.68	3.04	0.98
218.261719	-19.10	3.59	0.97
219.726563	-19.46	4.31	0.97
221.191406	-19.76	5.28	0.86
222.656250	-19.98	6.78	0.77
224.121094	-20.08	7.91	0.74
225.585938	-20.00	8.79	0.89
227.050781	-19.81	9.12	0.94
228.515625	-19.61	8.62	0.94
229.980469	-19.43	7.67	0.99
231.445313	-19.23	6.68	0.99
232.910156	-19.03	5.52	0.98
234.375000	-18.84	4.05	0.99
235.839844	-18.69	2.53	0.99
237.304688	-18.57	1.26	0.98
238.769531	-18.53	0.75	0.98
240.234375	-18.52	1.34	0.90
241.699219	-18.54	3.66	0.87
243.164063	-18.59	7.45	0.90
244.628906	-18.63	10.63	0.80
246.093750	-18.64	12.89	0.96
247.558594	-18.63	14.37	0.97
249.023438	-18.53	15.46	0.87
250.488281	-18.37	15.96	0.95
251.953125	-18.19	15.63	0.98
253.417969	-18.04	14.68	1.00
254.882813	-17.90	13.35	0.99
256.347656	-17.78	11.70	1.00
257.812500	-17.69	9.83	0.99
259.277344	-17.62	7.73	0.97
260.742188	-17.60	5.59	0.98
262.207031	-17.63	3.97	0.97
263.671875	-17.68	3.15	0.91
265.136719	-17.76	3.12	0.25
266.601563	-17.78	3.08	0.95
268.066406	-17.77	2.59	0.93
269.531250	-17.78	1.98	0.98
270.996094	-17.81	1.59	0.96
272.460938	-17.86	1.54	0.92
273.925781	-17.92	2.09	0.77
275.390625	-17.94	2.96	0.78
276.855469	-17.92	3.53	0.97
278.320313	-17.91	3.83	0.97
279.785156	-17.91	4.20	0.97
281.250000	-17.92	4.78	0.96
282.714844	-17.91	5.79	0.89
284.179688	-17.87	7.19	0.84
285.644531	-17.76	8.73	0.65
287.109375	-17.63	10.08	0.95
288.574219	-17.52	10.48	0.96
290.039063	-17.45	10.00	0.99
291.503906	-17.42	8.98	0.99
292.968750	-17.42	7.56	0.99
294.433594	-17.47	6.13	0.99
295.898438	-17.57	4.79	1.00
297.363281	-17.69	3.68	1.00
298.828125	-17.85	2.83	0.99
300.292969	-18.04	2.36	0.98
301.757813	-18.26	2.41	0.96
303.222656	-18.48	2.98	0.95
304.687500	-18.66	3.86	0.65
306.152344	-18.77	4.82	0.86
307.617188	-18.82	5.72	0.96
309.082031	-18.86	6.50	0.97
310.546875	-18.89	7.41	0.99
312.011719	-18.91	8.55	0.89
313.476563	-18.91	9.97	0.63
314.941406	-18.88	11.59	0.74
316.406250	-18.76	13.04	0.91
317.871094	-18.60	14.24	0.93
319.335938	-18.41	15.11	0.97
320.800781	-18.23	15.48	0.97
322.265625	-18.07	15.46	0.99
323.730469	-17.92	15.08	0.99
325.195313	-17.80	14.48	0.99
326.660156	-17.70	13.80	1.00
328.125000	-17.63	13.05	0.99
329.589844	-17.59	12.36	1.00
331.054688	-17.56	11.77	0.99
332.519531	-17.54	11.34	0.99
333.984375	-17.52	11.04	0.97
335.449219	-17.48	10.81	0.98
336.914063	-17.43	10.60	0.99
338.378906	-17.38	10.40	0.98
339.843750	-17.31	10.25	0.95
341.308594	-17.22	10.04	0.99
342.773438	-17.13	9.72	0.99
344.238281	-17.03	9.30	1.00
345.703125	-16.94	8.75	0.99
347.167969	-16.86	8.10	1.00
348.632813	-16.80	7.40	1.00
350.097656	-16.74	6.63	1.00
351.562500	-16.70	5.85	1.00
353.027344	-16.68	5.05	0.99
354.492188	-16.67	4.30	1.00
355.957031	-16.69	3.62	0.99
357.421875	-16.71	3.04	0.99
358.886719	-16.74	2.61	0.99
360.351563	-16.78	2.33	1.00
361.816406	-16.81	2.14	1.00
363.281250	-16.84	2.04	1.00
364.746094	-16.87	2.03	1.00
366.210938	-16.88	2.10	1.00
367.675781	-16.87	2.22	1.00
369.140625	-16.86	2.40	0.96
370.605469	-16.82	2.64	0.81
372.070313	-16.74	2.82	0.97
373.535156	-16.66	2.84	0.99
375.000000	-16.58	2.70	0.99
376.464844	-16.50	2.46	1.00
377.929688	-16.44	2.19	1.00
379.394531	-16.38	1.93	1.00
380.859375	-16.33	1.69	1.00
382.324219	-16.29	1.48	1.00
383.789063	-16.24	1.32	1.00
385.253906	-16.20	1.22	0.99
386.718750	-16.15	1.17	0.98
388.183594	-16.08	1.18	0.98
389.648438	-16.00	1.17	0.98
391.113281	-15.90	1.14	0.99
392.578125	-15.79	1.06	1.00
394.042969	-15.68	0.92	1.00
395.507813	-15.56	0.74	1.00
396.972656	-15.44	0.50	1.00
