	NT2000-110-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-9.40	34.85	1.00
35.156250	-9.78	29.76	1.00
36.621094	-9.71	25.52	1.00
38.085938	-9.79	22.73	1.00
39.550781	-10.06	22.15	1.00
41.015625	-10.70	22.99	0.98
42.480469	-10.83	26.59	1.00
43.945313	-10.88	30.38	0.98
45.410156	-10.44	30.30	0.99
46.875000	-9.82	30.19	1.00
48.339844	-9.29	29.55	1.00
49.804688	-8.77	28.48	1.00
51.269531	-8.32	26.31	1.00
52.734375	-7.96	24.12	1.00
54.199219	-7.75	21.09	1.00
55.664063	-7.71	18.57	1.00
57.128906	-7.85	16.21	1.00
58.593750	-7.92	14.49	1.00
60.058594	-7.93	12.80	1.00
61.523438	-7.98	10.82	1.00
62.988281	-8.12	9.08	1.00
64.453125	-8.27	7.75	1.00
65.917969	-8.45	6.62	1.00
67.382813	-8.72	5.67	1.00
68.847656	-9.07	5.66	1.00
70.312500	-9.27	6.31	1.00
71.777344	-9.31	7.54	0.99
73.242188	-9.41	8.32	1.00
74.707031	-9.49	8.52	1.00
76.171875	-9.65	8.49	1.00
77.636719	-9.88	8.62	1.00
79.101563	-10.12	9.38	1.00
80.566406	-10.31	10.64	1.00
82.031250	-10.43	12.56	1.00
83.496094	-10.46	15.43	0.99
84.960938	-10.20	18.46	0.99
86.425781	-9.67	20.48	0.99
87.890625	-9.24	20.90	1.00
89.355469	-8.89	20.17	1.00
90.820313	-8.67	18.91	1.00
92.285156	-8.55	17.45	1.00
93.750000	-8.55	16.12	1.00
95.214844	-8.57	15.47	1.00
96.679688	-8.54	15.56	1.00
98.144531	-8.44	15.50	1.00
99.609375	-8.30	15.04	1.00
101.074219	-8.18	14.22	1.00
102.539063	-8.08	13.34	1.00
104.003906	-8.00	12.37	1.00
105.468750	-7.96	11.30	1.00
106.933594	-7.98	10.35	1.00
108.398438	-8.09	9.51	1.00
109.863281	-8.19	9.35	1.00
111.328125	-8.25	9.40	1.00
112.792969	-8.32	9.08	1.00
114.257813	-8.44	9.02	0.99
115.722656	-8.59	9.53	0.99
117.187500	-8.66	10.14	1.00
118.652344	-8.69	10.56	1.00
120.117188	-8.71	10.92	1.00
121.582031	-8.72	11.31	1.00
123.046875	-8.70	11.55	1.00
124.511719	-8.66	11.65	1.00
125.976563	-8.61	11.44	0.99
127.441406	-8.59	10.86	1.00
128.906250	-8.64	10.14	1.00
130.371094	-8.74	9.82	1.00
131.835938	-8.87	9.87	1.00
133.300781	-9.00	10.35	0.99
134.765625	-9.04	11.25	0.98
136.230469	-8.92	12.32	0.93
137.695313	-8.71	12.96	1.00
139.160156	-8.53	12.98	1.00
140.625000	-8.39	12.88	1.00
142.089844	-8.26	12.71	1.00
143.554688	-8.13	12.34	1.00
145.019531	-8.02	11.74	1.00
146.484375	-7.94	11.11	1.00
147.949219	-7.91	10.51	1.00
149.414063	-7.90	10.05	1.00
150.878906	-7.91	9.76	1.00
152.343750	-7.91	9.68	1.00
153.808594	-7.90	9.83	0.99
155.273438	-7.82	10.06	0.96
156.738281	-7.63	10.07	0.98
158.203125	-7.48	9.30	0.99
159.667969	-7.40	8.04	1.00
161.132813	-7.38	6.75	1.00
162.597656	-7.39	5.43	1.00
164.062500	-7.45	4.03	1.00
165.527344	-7.56	2.78	1.00
166.992188	-7.70	1.82	0.99
168.457031	-7.84	1.16	1.00
169.921875	-7.95	0.67	1.00
171.386719	-8.06	0.26	1.00
172.851563	-8.16	-0.11	1.00
174.316406	-8.25	-0.47	1.00
175.781250	-8.35	-0.74	1.00
177.246094	-8.44	-0.90	1.00
178.710938	-8.53	-0.98	1.00
180.175781	-8.62	-1.03	1.00
181.640625	-8.74	-1.04	1.00
183.105469	-8.88	-0.87	1.00
184.570313	-9.00	-0.47	0.99
186.035156	-9.09	0.04	1.00
187.500000	-9.15	0.55	1.00
188.964844	-9.17	1.00	1.00
190.429688	-9.18	1.22	1.00
191.894531	-9.20	1.20	1.00
193.359375	-9.24	1.08	1.00
194.824219	-9.30	0.94	1.00
196.289063	-9.38	0.81	1.00
197.753906	-9.50	0.77	1.00
199.218750	-9.64	0.99	1.00
200.683594	-9.81	1.68	0.99
202.148438	-9.98	2.98	0.91
203.613281	-10.06	4.53	0.95
205.078125	-10.05	5.71	0.99
206.542969	-10.00	6.40	0.99
208.007813	-9.99	6.67	0.99
209.472656	-10.02	6.63	0.99
210.937500	-10.12	6.55	0.98
212.402344	-10.24	6.84	0.99
213.867188	-10.36	7.40	0.99
215.332031	-10.44	8.11	1.00
216.796875	-10.51	8.89	1.00
218.261719	-10.56	9.73	1.00
219.726563	-10.61	10.62	1.00
221.191406	-10.66	11.58	0.99
222.656250	-10.68	12.57	0.99
224.121094	-10.67	13.52	1.00
225.585938	-10.66	14.41	1.00
227.050781	-10.63	15.28	1.00
228.515625	-10.59	16.09	1.00
229.980469	-10.55	16.86	1.00
231.445313	-10.51	17.59	1.00
232.910156	-10.47	18.26	1.00
234.375000	-10.42	18.91	1.00
235.839844	-10.39	19.58	1.00
237.304688	-10.36	20.30	0.99
238.769531	-10.32	21.19	0.99
240.234375	-10.25	22.17	0.98
241.699219	-10.14	23.18	0.97
243.164063	-9.97	24.05	0.99
244.628906	-9.80	24.64	1.00
246.093750	-9.63	24.97	1.00
247.558594	-9.47	25.13	1.00
249.023438	-9.31	25.18	1.00
250.488281	-9.16	25.12	1.00
251.953125	-9.02	24.93	1.00
253.417969	-8.90	24.64	1.00
254.882813	-8.80	24.34	1.00
256.347656	-8.70	24.07	1.00
257.812500	-8.62	23.81	1.00
259.277344	-8.54	23.55	1.00
260.742188	-8.47	23.34	1.00
262.207031	-8.40	23.19	1.00
263.671875	-8.33	23.08	1.00
265.136719	-8.24	22.98	1.00
266.601563	-8.15	22.83	1.00
268.066406	-8.06	22.64	1.00
269.531250	-7.98	22.44	1.00
270.996094	-7.89	22.26	1.00
272.460938	-7.80	22.11	0.99
273.925781	-7.69	21.93	0.99
275.390625	-7.59	21.63	1.00
276.855469	-7.48	21.22	1.00
278.320313	-7.39	20.75	1.00
279.785156	-7.31	20.20	1.00
281.250000	-7.25	19.64	1.00
282.714844	-7.19	19.09	1.00
284.179688	-7.13	18.57	1.00
285.644531	-7.07	18.01	1.00
287.109375	-7.01	17.36	0.99
288.574219	-6.95	16.61	1.00
290.039063	-6.91	15.78	1.00
291.503906	-6.89	14.94	1.00
292.968750	-6.89	14.07	1.00
294.433594	-6.91	13.24	1.00
295.898438	-6.94	12.47	1.00
297.363281	-6.98	11.75	1.00
298.828125	-7.02	11.12	1.00
300.292969	-7.08	10.57	1.00
301.757813	-7.13	10.05	1.00
303.222656	-7.19	9.58	1.00
304.687500	-7.25	9.13	1.00
306.152344	-7.31	8.71	1.00
307.617188	-7.37	8.30	1.00
309.082031	-7.44	7.89	1.00
310.546875	-7.51	7.51	1.00
312.011719	-7.59	7.19	1.00
313.476563	-7.69	6.96	0.97
314.941406	-7.77	6.78	1.00
316.406250	-7.84	6.63	1.00
317.871094	-7.90	6.48	1.00
319.335938	-7.96	6.33	1.00
320.800781	-8.02	6.17	1.00
322.265625	-8.08	6.00	1.00
323.730469	-8.15	5.82	1.00
325.195313	-8.22	5.65	1.00
326.660156	-8.29	5.52	1.00
328.125000	-8.37	5.45	1.00
329.589844	-8.45	5.46	1.00
331.054688	-8.53	5.55	1.00
332.519531	-8.60	5.70	1.00
333.984375	-8.66	5.87	1.00
335.449219	-8.71	6.05	1.00
336.914063	-8.75	6.21	1.00
338.378906	-8.79	6.38	1.00
339.843750	-8.82	6.52	1.00
341.308594	-8.84	6.63	1.00
342.773438	-8.86	6.70	1.00
344.238281	-8.88	6.71	1.00
345.703125	-8.90	6.67	1.00
347.167969	-8.94	6.62	1.00
348.632813	-8.98	6.58	1.00
350.097656	-9.02	6.57	1.00
351.562500	-9.07	6.57	1.00
353.027344	-9.12	6.61	1.00
354.492188	-9.17	6.69	1.00
355.957031	-9.23	6.82	1.00
357.421875	-9.28	7.01	1.00
358.886719	-9.34	7.25	1.00
360.351563	-9.39	7.56	1.00
361.816406	-9.43	7.90	1.00
363.281250	-9.47	8.27	1.00
364.746094	-9.49	8.67	1.00
366.210938	-9.51	9.10	1.00
367.675781	-9.52	9.55	1.00
369.140625	-9.51	9.99	0.98
370.605469	-9.48	10.38	0.99
372.070313	-9.46	10.68	1.00
373.535156	-9.43	10.89	1.00
375.000000	-9.41	11.02	1.00
376.464844	-9.40	11.08	1.00
377.929688	-9.39	11.11	1.00
379.394531	-9.39	11.12	1.00
380.859375	-9.39	11.14	1.00
382.324219	-9.41	11.18	1.00
383.789063	-9.42	11.25	1.00
385.253906	-9.44	11.34	1.00
386.718750	-9.45	11.43	1.00
388.183594	-9.47	11.53	1.00
389.648438	-9.48	11.62	1.00
391.113281	-9.50	11.72	1.00
392.578125	-9.53	11.83	1.00
394.042969	-9.55	11.96	1.00
395.507813	-9.57	12.12	1.00
396.972656	-9.59	12.30	1.00
398.437500	-9.61	12.47	1.00
399.902344	-9.63	12.64	1.00
401.367188	-9.65	12.81	1.00
402.832031	-9.67	12.98	1.00
404.296875	-9.70	13.17	1.00
