	NT2000-70-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-5.38	37.73	1.00
35.156250	-5.45	35.94	1.00
36.621094	-5.39	33.18	1.00
38.085938	-5.37	30.74	1.00
39.550781	-5.32	29.56	1.00
41.015625	-5.33	29.23	1.00
42.480469	-5.33	28.56	1.00
43.945313	-5.28	28.36	1.00
45.410156	-5.23	26.92	1.00
46.875000	-5.22	25.83	1.00
48.339844	-5.18	25.25	1.00
49.804688	-5.22	25.46	1.00
51.269531	-5.26	25.74	1.00
52.734375	-5.25	26.10	1.00
54.199219	-5.22	26.03	1.00
55.664063	-5.02	26.33	1.00
57.128906	-4.85	26.50	1.00
58.593750	-4.66	26.28	1.00
60.058594	-4.52	25.60	1.00
61.523438	-4.44	24.66	1.00
62.988281	-4.43	23.92	1.00
64.453125	-4.45	23.59	1.00
65.917969	-4.44	23.51	1.00
67.382813	-4.38	23.62	1.00
68.847656	-4.27	23.06	0.99
70.312500	-4.24	21.87	0.99
71.777344	-4.28	20.76	1.00
73.242188	-4.41	20.41	1.00
74.707031	-4.57	21.03	1.00
76.171875	-4.63	21.93	1.00
77.636719	-4.59	22.66	1.00
79.101563	-4.45	23.02	1.00
80.566406	-4.32	22.87	1.00
82.031250	-4.26	22.73	1.00
83.496094	-4.24	22.73	1.00
84.960938	-4.20	22.94	1.00
86.425781	-4.14	23.25	1.00
87.890625	-4.06	23.54	1.00
89.355469	-3.96	23.54	1.00
90.820313	-3.84	23.27	1.00
92.285156	-3.76	23.07	1.00
93.750000	-3.71	23.09	1.00
95.214844	-3.67	23.04	1.00
96.679688	-3.60	23.05	1.00
98.144531	-3.51	22.91	1.00
99.609375	-3.42	22.57	1.00
101.074219	-3.34	22.21	1.00
102.539063	-3.27	21.83	1.00
104.003906	-3.21	21.37	1.00
105.468750	-3.17	20.90	1.00
106.933594	-3.15	20.49	1.00
108.398438	-3.11	20.33	1.00
109.863281	-3.02	20.24	1.00
111.328125	-2.90	19.85	1.00
112.792969	-2.78	18.97	1.00
114.257813	-2.73	17.86	1.00
115.722656	-2.76	16.73	1.00
117.187500	-2.84	15.90	1.00
118.652344	-2.91	15.47	1.00
120.117188	-2.95	15.09	1.00
121.582031	-2.98	14.63	1.00
123.046875	-3.03	14.06	1.00
124.511719	-3.10	13.47	1.00
125.976563	-3.21	12.92	1.00
127.441406	-3.35	12.68	1.00
128.906250	-3.51	12.81	1.00
130.371094	-3.63	13.28	1.00
131.835938	-3.72	13.97	1.00
133.300781	-3.77	14.87	1.00
134.765625	-3.78	15.82	1.00
136.230469	-3.75	16.81	1.00
137.695313	-3.68	17.69	1.00
139.160156	-3.58	18.45	1.00
140.625000	-3.45	19.08	1.00
142.089844	-3.29	19.54	1.00
143.554688	-3.09	19.83	1.00
145.019531	-2.89	19.70	1.00
146.484375	-2.72	19.20	1.00
147.949219	-2.57	18.54	1.00
149.414063	-2.44	17.72	1.00
150.878906	-2.34	16.74	1.00
152.343750	-2.26	15.80	1.00
153.808594	-2.19	14.82	1.00
155.273438	-2.14	13.74	1.00
156.738281	-2.13	12.52	1.00
158.203125	-2.16	11.06	0.99
159.667969	-2.25	9.74	1.00
161.132813	-2.35	8.79	1.00
162.597656	-2.45	8.08	1.00
164.062500	-2.58	7.43	1.00
165.527344	-2.73	6.96	1.00
166.992188	-2.89	6.69	1.00
168.457031	-3.04	6.62	1.00
169.921875	-3.16	6.68	1.00
171.386719	-3.28	6.79	1.00
172.851563	-3.38	6.98	1.00
174.316406	-3.47	7.25	1.00
175.781250	-3.54	7.54	1.00
177.246094	-3.61	7.88	1.00
178.710938	-3.69	8.31	1.00
180.175781	-3.74	8.81	1.00
181.640625	-3.78	9.37	1.00
183.105469	-3.80	9.97	1.00
184.570313	-3.80	10.57	1.00
186.035156	-3.77	11.14	1.00
187.500000	-3.72	11.61	1.00
188.964844	-3.66	11.87	1.00
190.429688	-3.58	11.87	0.99
191.894531	-3.54	11.60	0.99
193.359375	-3.53	11.42	1.00
194.824219	-3.53	11.37	1.00
196.289063	-3.51	11.33	1.00
197.753906	-3.47	11.28	1.00
199.218750	-3.44	11.11	1.00
200.683594	-3.41	10.78	1.00
202.148438	-3.40	10.20	0.99
203.613281	-3.44	9.45	0.99
205.078125	-3.50	8.83	1.00
206.542969	-3.57	8.29	1.00
208.007813	-3.65	7.77	1.00
209.472656	-3.76	7.40	1.00
210.937500	-3.88	7.21	1.00
212.402344	-4.00	7.25	1.00
213.867188	-4.10	7.49	1.00
215.332031	-4.19	7.76	1.00
216.796875	-4.27	8.06	1.00
218.261719	-4.34	8.38	1.00
219.726563	-4.40	8.75	1.00
221.191406	-4.46	9.17	1.00
222.656250	-4.51	9.60	1.00
224.121094	-4.56	10.04	1.00
225.585938	-4.61	10.48	1.00
227.050781	-4.65	10.97	1.00
228.515625	-4.69	11.53	1.00
229.980469	-4.73	12.12	1.00
231.445313	-4.76	12.73	1.00
232.910156	-4.78	13.38	1.00
234.375000	-4.80	14.07	1.00
235.839844	-4.81	14.79	1.00
237.304688	-4.80	15.55	1.00
238.769531	-4.78	16.37	1.00
240.234375	-4.74	17.20	0.99
241.699219	-4.67	17.95	1.00
243.164063	-4.58	18.58	1.00
244.628906	-4.49	19.11	1.00
246.093750	-4.40	19.52	1.00
247.558594	-4.32	19.84	1.00
249.023438	-4.25	20.12	1.00
250.488281	-4.18	20.39	1.00
251.953125	-4.12	20.65	1.00
253.417969	-4.05	20.92	1.00
254.882813	-3.99	21.18	1.00
256.347656	-3.93	21.44	1.00
257.812500	-3.86	21.73	1.00
259.277344	-3.78	22.01	1.00
260.742188	-3.69	22.26	1.00
262.207031	-3.58	22.45	1.00
263.671875	-3.47	22.52	1.00
265.136719	-3.35	22.47	1.00
266.601563	-3.25	22.31	1.00
268.066406	-3.15	22.12	1.00
269.531250	-3.05	21.90	1.00
270.996094	-2.96	21.63	1.00
272.460938	-2.85	21.29	1.00
273.925781	-2.76	20.83	0.99
275.390625	-2.67	20.32	1.00
276.855469	-2.60	19.81	1.00
278.320313	-2.53	19.30	1.00
279.785156	-2.47	18.77	1.00
281.250000	-2.41	18.21	1.00
282.714844	-2.37	17.67	1.00
284.179688	-2.33	17.14	1.00
285.644531	-2.28	16.59	1.00
287.109375	-2.24	15.99	1.00
288.574219	-2.21	15.34	1.00
290.039063	-2.19	14.63	1.00
291.503906	-2.19	13.91	1.00
292.968750	-2.20	13.18	1.00
294.433594	-2.22	12.47	1.00
295.898438	-2.25	11.78	1.00
297.363281	-2.30	11.13	1.00
298.828125	-2.35	10.52	1.00
300.292969	-2.42	9.94	1.00
301.757813	-2.49	9.38	1.00
303.222656	-2.57	8.87	1.00
304.687500	-2.65	8.44	1.00
306.152344	-2.74	8.08	1.00
307.617188	-2.82	7.78	1.00
309.082031	-2.91	7.52	1.00
310.546875	-2.99	7.29	1.00
312.011719	-3.09	7.10	0.99
313.476563	-3.18	7.00	0.99
314.941406	-3.26	6.99	1.00
316.406250	-3.34	7.02	1.00
317.871094	-3.41	7.08	1.00
319.335938	-3.47	7.14	1.00
320.800781	-3.53	7.19	1.00
322.265625	-3.59	7.23	1.00
323.730469	-3.65	7.26	1.00
325.195313	-3.71	7.33	1.00
326.660156	-3.77	7.45	1.00
328.125000	-3.83	7.62	1.00
329.589844	-3.88	7.81	1.00
331.054688	-3.93	8.02	1.00
332.519531	-3.97	8.22	1.00
333.984375	-4.01	8.41	1.00
335.449219	-4.05	8.58	1.00
336.914063	-4.09	8.76	1.00
338.378906	-4.13	8.97	1.00
339.843750	-4.16	9.19	1.00
341.308594	-4.20	9.43	1.00
342.773438	-4.24	9.66	1.00
344.238281	-4.28	9.89	1.00
345.703125	-4.31	10.14	1.00
347.167969	-4.35	10.40	1.00
348.632813	-4.38	10.68	1.00
350.097656	-4.42	10.97	1.00
351.562500	-4.45	11.29	1.00
353.027344	-4.48	11.63	1.00
354.492188	-4.51	11.99	1.00
355.957031	-4.53	12.37	1.00
357.421875	-4.54	12.76	1.00
358.886719	-4.56	13.15	1.00
360.351563	-4.56	13.54	1.00
361.816406	-4.56	13.92	1.00
363.281250	-4.56	14.28	1.00
364.746094	-4.56	14.63	1.00
366.210938	-4.55	14.96	1.00
367.675781	-4.54	15.26	1.00
369.140625	-4.52	15.54	1.00
370.605469	-4.50	15.78	1.00
372.070313	-4.49	15.99	1.00
373.535156	-4.47	16.17	1.00
375.000000	-4.46	16.33	1.00
376.464844	-4.45	16.47	1.00
377.929688	-4.44	16.61	1.00
379.394531	-4.44	16.74	1.00
380.859375	-4.43	16.87	1.00
382.324219	-4.43	16.99	1.00
383.789063	-4.43	17.13	1.00
385.253906	-4.44	17.29	1.00
386.718750	-4.44	17.45	1.00
388.183594	-4.44	17.62	1.00
389.648438	-4.45	17.78	1.00
391.113281	-4.45	17.96	1.00
392.578125	-4.45	18.16	1.00
394.042969	-4.46	18.37	1.00
395.507813	-4.45	18.58	1.00
396.972656	-4.45	18.77	1.00
398.437500	-4.44	18.94	1.00
399.902344	-4.44	19.11	1.00
401.367188	-4.45	19.28	1.00
402.832031	-4.45	19.47	1.00
404.296875	-4.46	19.68	1.00
405.761719	-4.46	19.90	1.00
