	NT2000-100-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-8.87	35.33	1.00
35.156250	-8.48	31.88	1.00
36.621094	-8.29	29.17	1.00
38.085938	-8.53	25.62	1.00
39.550781	-8.83	23.47	1.00
41.015625	-9.34	22.94	1.00
42.480469	-9.39	26.46	0.99
43.945313	-9.00	29.06	1.00
45.410156	-8.65	29.47	1.00
46.875000	-8.29	29.28	1.00
48.339844	-7.96	28.75	1.00
49.804688	-7.71	27.60	1.00
51.269531	-7.49	26.27	1.00
52.734375	-7.30	24.64	1.00
54.199219	-7.18	22.73	1.00
55.664063	-7.14	20.83	1.00
57.128906	-7.16	19.68	1.00
58.593750	-7.15	18.68	1.00
60.058594	-7.08	17.21	1.00
61.523438	-7.07	15.38	1.00
62.988281	-7.18	14.06	1.00
64.453125	-7.29	13.17	1.00
65.917969	-7.41	12.56	1.00
67.382813	-7.56	12.12	1.00
68.847656	-7.72	12.02	1.00
70.312500	-7.87	12.17	1.00
71.777344	-8.00	12.36	1.00
73.242188	-8.13	12.52	1.00
74.707031	-8.24	12.77	1.00
76.171875	-8.33	13.14	1.00
77.636719	-8.43	13.94	1.00
79.101563	-8.49	15.15	1.00
80.566406	-8.54	16.34	1.00
82.031250	-8.58	17.72	1.00
83.496094	-8.58	19.72	1.00
84.960938	-8.36	21.46	1.00
86.425781	-8.00	22.52	0.99
87.890625	-7.63	22.79	1.00
89.355469	-7.38	22.18	1.00
90.820313	-7.20	20.90	1.00
92.285156	-7.11	19.71	1.00
93.750000	-7.10	18.79	1.00
95.214844	-7.09	18.53	1.00
96.679688	-7.07	18.79	1.00
98.144531	-6.97	18.91	1.00
99.609375	-6.86	18.61	1.00
101.074219	-6.77	17.95	1.00
102.539063	-6.70	17.14	1.00
104.003906	-6.65	16.25	1.00
105.468750	-6.62	15.25	1.00
106.933594	-6.66	14.42	1.00
108.398438	-6.75	13.79	1.00
109.863281	-6.80	13.63	1.00
111.328125	-6.81	13.51	1.00
112.792969	-6.82	13.11	1.00
114.257813	-6.89	12.75	1.00
115.722656	-6.99	12.88	1.00
117.187500	-7.03	13.04	1.00
118.652344	-7.04	13.13	1.00
120.117188	-7.04	13.22	1.00
121.582031	-7.01	13.27	1.00
123.046875	-6.97	13.20	1.00
124.511719	-6.92	12.96	1.00
125.976563	-6.89	12.52	1.00
127.441406	-6.90	12.05	1.00
128.906250	-6.96	11.67	1.00
130.371094	-7.05	11.64	1.00
131.835938	-7.12	12.01	1.00
133.300781	-7.18	12.78	1.00
134.765625	-7.17	13.89	0.99
136.230469	-7.08	15.02	0.99
137.695313	-6.93	15.63	1.00
139.160156	-6.80	15.92	1.00
140.625000	-6.68	16.05	1.00
142.089844	-6.56	16.07	1.00
143.554688	-6.44	15.84	1.00
145.019531	-6.33	15.34	1.00
146.484375	-6.25	14.66	1.00
147.949219	-6.19	13.95	1.00
149.414063	-6.15	13.28	1.00
150.878906	-6.13	12.66	1.00
152.343750	-6.13	12.15	1.00
153.808594	-6.12	11.73	1.00
155.273438	-6.07	11.15	1.00
156.738281	-5.98	10.39	0.99
158.203125	-5.90	9.22	0.99
159.667969	-5.88	7.94	1.00
161.132813	-5.90	6.79	1.00
162.597656	-5.94	5.69	1.00
164.062500	-6.01	4.59	1.00
165.527344	-6.13	3.62	1.00
166.992188	-6.26	2.95	1.00
168.457031	-6.41	2.56	1.00
169.921875	-6.54	2.37	1.00
171.386719	-6.67	2.24	1.00
172.851563	-6.79	2.20	1.00
174.316406	-6.90	2.20	1.00
175.781250	-7.01	2.21	1.00
177.246094	-7.11	2.33	1.00
178.710938	-7.20	2.56	1.00
180.175781	-7.29	2.81	1.00
181.640625	-7.38	3.12	1.00
183.105469	-7.46	3.53	1.00
184.570313	-7.54	4.08	1.00
186.035156	-7.58	4.66	1.00
187.500000	-7.59	5.17	1.00
188.964844	-7.58	5.54	1.00
190.429688	-7.57	5.66	0.99
191.894531	-7.58	5.55	1.00
193.359375	-7.60	5.31	1.00
194.824219	-7.65	5.13	1.00
196.289063	-7.71	5.02	1.00
197.753906	-7.78	5.01	1.00
199.218750	-7.88	5.17	1.00
200.683594	-8.00	5.63	0.99
202.148438	-8.10	6.44	0.98
203.613281	-8.13	7.23	0.99
205.078125	-8.11	7.77	0.99
206.542969	-8.08	7.98	0.99
208.007813	-8.07	7.88	0.99
209.472656	-8.11	7.64	1.00
210.937500	-8.21	7.50	0.98
212.402344	-8.32	7.72	0.99
213.867188	-8.43	8.28	0.99
215.332031	-8.51	8.98	1.00
216.796875	-8.57	9.71	1.00
218.261719	-8.61	10.44	1.00
219.726563	-8.64	11.14	1.00
221.191406	-8.66	11.86	1.00
222.656250	-8.66	12.60	1.00
224.121094	-8.66	13.30	1.00
225.585938	-8.65	13.97	1.00
227.050781	-8.64	14.65	1.00
228.515625	-8.63	15.32	1.00
229.980469	-8.61	15.98	1.00
231.445313	-8.58	16.62	1.00
232.910156	-8.56	17.21	1.00
234.375000	-8.53	17.78	1.00
235.839844	-8.50	18.37	1.00
237.304688	-8.47	18.98	0.99
238.769531	-8.43	19.66	1.00
240.234375	-8.34	20.40	0.99
241.699219	-8.22	21.21	0.98
243.164063	-8.08	21.81	1.00
244.628906	-7.95	22.19	1.00
246.093750	-7.82	22.39	1.00
247.558594	-7.70	22.45	1.00
249.023438	-7.59	22.44	1.00
250.488281	-7.49	22.35	1.00
251.953125	-7.40	22.18	1.00
253.417969	-7.33	21.99	1.00
254.882813	-7.27	21.81	1.00
256.347656	-7.21	21.65	1.00
257.812500	-7.16	21.52	1.00
259.277344	-7.12	21.41	1.00
260.742188	-7.08	21.34	1.00
262.207031	-7.04	21.32	1.00
263.671875	-7.00	21.33	1.00
265.136719	-6.95	21.35	1.00
266.601563	-6.90	21.39	1.00
268.066406	-6.85	21.43	1.00
269.531250	-6.79	21.46	1.00
270.996094	-6.73	21.53	1.00
272.460938	-6.65	21.60	1.00
273.925781	-6.56	21.64	0.99
275.390625	-6.46	21.58	1.00
276.855469	-6.36	21.43	1.00
278.320313	-6.26	21.20	1.00
279.785156	-6.17	20.89	1.00
281.250000	-6.09	20.52	1.00
282.714844	-6.01	20.13	1.00
284.179688	-5.94	19.74	1.00
285.644531	-5.87	19.33	1.00
287.109375	-5.80	18.85	1.00
288.574219	-5.73	18.27	1.00
290.039063	-5.67	17.60	1.00
291.503906	-5.64	16.91	1.00
292.968750	-5.62	16.18	1.00
294.433594	-5.61	15.49	1.00
295.898438	-5.62	14.83	1.00
297.363281	-5.64	14.22	1.00
298.828125	-5.66	13.66	1.00
300.292969	-5.68	13.14	1.00
301.757813	-5.71	12.63	1.00
303.222656	-5.74	12.13	1.00
304.687500	-5.77	11.65	1.00
306.152344	-5.81	11.20	1.00
307.617188	-5.85	10.74	1.00
309.082031	-5.89	10.29	1.00
310.546875	-5.95	9.86	1.00
312.011719	-6.02	9.47	1.00
313.476563	-6.09	9.15	0.98
314.941406	-6.17	8.89	1.00
316.406250	-6.24	8.67	1.00
317.871094	-6.29	8.49	1.00
319.335938	-6.35	8.30	1.00
320.800781	-6.40	8.10	1.00
322.265625	-6.46	7.90	1.00
323.730469	-6.52	7.68	1.00
325.195313	-6.58	7.50	1.00
326.660156	-6.65	7.36	1.00
328.125000	-6.71	7.27	1.00
329.589844	-6.78	7.24	1.00
331.054688	-6.84	7.27	1.00
332.519531	-6.89	7.31	1.00
333.984375	-6.93	7.35	1.00
335.449219	-6.97	7.35	1.00
336.914063	-7.01	7.33	1.00
338.378906	-7.05	7.30	1.00
339.843750	-7.10	7.29	1.00
341.308594	-7.14	7.27	1.00
342.773438	-7.18	7.24	1.00
344.238281	-7.23	7.21	1.00
345.703125	-7.29	7.17	1.00
347.167969	-7.35	7.16	1.00
348.632813	-7.41	7.17	1.00
350.097656	-7.47	7.22	1.00
351.562500	-7.53	7.30	1.00
353.027344	-7.60	7.41	1.00
354.492188	-7.67	7.56	1.00
355.957031	-7.73	7.75	1.00
357.421875	-7.80	7.98	1.00
358.886719	-7.86	8.26	1.00
360.351563	-7.92	8.59	1.00
361.816406	-7.98	8.95	1.00
363.281250	-8.03	9.34	1.00
364.746094	-8.08	9.76	1.00
366.210938	-8.12	10.21	1.00
367.675781	-8.14	10.65	1.00
369.140625	-8.16	11.09	1.00
370.605469	-8.17	11.52	1.00
372.070313	-8.18	11.91	1.00
373.535156	-8.18	12.24	1.00
375.000000	-8.18	12.53	1.00
376.464844	-8.19	12.78	1.00
377.929688	-8.20	13.01	1.00
379.394531	-8.22	13.23	1.00
380.859375	-8.23	13.46	1.00
382.324219	-8.26	13.71	1.00
383.789063	-8.28	14.01	1.00
385.253906	-8.30	14.36	0.99
386.718750	-8.32	14.72	1.00
388.183594	-8.33	15.09	1.00
389.648438	-8.33	15.44	1.00
391.113281	-8.33	15.78	1.00
392.578125	-8.33	16.12	1.00
394.042969	-8.33	16.46	1.00
395.507813	-8.32	16.80	1.00
396.972656	-8.31	17.13	1.00
398.437500	-8.30	17.44	1.00
399.902344	-8.29	17.72	1.00
401.367188	-8.27	17.98	1.00
402.832031	-8.26	18.23	1.00
404.296875	-8.25	18.47	1.00
405.761719	-8.25	18.71	1.00
