	NT2000-180-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-15.60	49.62	0.98
35.156250	-15.59	43.54	0.99
36.621094	-15.28	36.49	0.99
38.085938	-14.87	31.06	0.99
39.550781	-14.22	28.49	0.96
41.015625	-14.86	30.93	0.93
42.480469	-15.86	34.13	0.97
43.945313	-15.64	37.14	0.98
45.410156	-14.91	37.71	0.99
46.875000	-14.22	37.80	1.00
48.339844	-13.26	36.03	0.99
49.804688	-12.08	32.40	0.99
51.269531	-10.92	26.04	0.99
52.734375	-10.10	18.76	0.99
54.199219	-9.61	11.94	0.99
55.664063	-9.67	5.37	0.98
57.128906	-10.06	-0.31	1.00
58.593750	-10.47	-4.69	0.99
60.058594	-10.95	-8.05	0.99
61.523438	-11.18	-12.12	0.98
62.988281	-11.24	-15.86	1.00
64.453125	-11.22	-18.81	1.00
65.917969	-11.29	-22.81	1.00
67.382813	-11.52	-28.32	0.98
68.847656	-12.14	-33.17	0.98
70.312500	-13.23	-35.14	0.93
71.777344	-13.73	-34.22	0.86
73.242188	-13.64	-30.31	0.77
74.707031	-13.24	-26.75	0.88
76.171875	-12.95	-28.54	0.96
77.636719	-13.09	-32.99	0.97
79.101563	-13.62	-37.16	0.97
80.566406	-14.50	-40.16	0.98
82.031250	-15.53	-38.86	0.94
83.496094	-16.46	-34.18	0.80
84.960938	-16.80	-26.86	0.65
86.425781	-16.35	-21.06	0.89
87.890625	-15.41	-19.35	0.96
89.355469	-14.75	-20.60	0.97
90.820313	-14.11	-23.00	0.98
92.285156	-13.74	-25.94	0.99
93.750000	-13.55	-29.67	0.99
95.214844	-13.51	-33.34	0.99
96.679688	-13.64	-35.88	0.98
98.144531	-13.74	-37.61	0.95
99.609375	-13.71	-39.07	0.99
101.074219	-13.65	-41.32	0.99
102.539063	-13.58	-43.79	0.99
104.003906	-13.49	-45.88	0.99
105.468750	-13.35	-47.66	0.96
106.933594	-13.12	-49.83	0.98
108.398438	-12.91	-52.85	0.91
109.863281	-12.84	-56.15	0.96
111.328125	-12.91	-60.62	0.97
112.792969	-13.17	-65.85	0.98
114.257813	-13.73	-70.51	0.89
115.722656	-14.60	-72.10	0.62
117.187500	-15.60	-69.40	0.11
118.652344	-16.26	-66.60	0.93
120.117188	-16.61	-65.52	0.93
121.582031	-16.82	-65.42	0.95
123.046875	-16.91	-62.56	0.98
124.511719	-16.89	-55.60	0.94
125.976563	-16.71	-43.65	0.67
127.441406	-16.32	-31.58	0.87
128.906250	-15.96	-26.91	0.96
130.371094	-15.69	-26.89	0.97
131.835938	-15.54	-28.51	0.97
133.300781	-15.48	-30.35	0.92
134.765625	-15.47	-31.04	0.42
136.230469	-15.24	-30.68	0.74
137.695313	-14.69	-31.92	0.96
139.160156	-14.16	-34.88	0.98
140.625000	-13.67	-39.35	0.99
142.089844	-13.24	-44.64	0.99
143.554688	-12.85	-50.54	0.99
145.019531	-12.56	-56.71	0.99
146.484375	-12.31	-63.09	0.99
147.949219	-12.10	-69.80	1.00
149.414063	-11.97	-77.05	0.97
150.878906	-11.90	-85.07	0.99
152.343750	-11.88	-92.87	0.99
153.808594	-11.90	-101.23	0.99
155.273438	-12.00	-110.21	0.95
156.738281	-12.20	-114.63	0.97
158.203125	-12.50	-91.10	0.84
159.667969	-12.88	-12.98	0.95
161.132813	-13.32	-3.36	0.94
162.597656	-13.73	-2.74	1.00
164.062500	-14.09	-4.78	0.99
165.527344	-14.40	-7.80	0.99
166.992188	-14.66	-11.05	0.99
168.457031	-14.85	-14.01	1.00
169.921875	-14.96	-16.97	0.99
171.386719	-15.00	-19.75	0.98
172.851563	-14.96	-22.58	0.97
174.316406	-14.86	-25.75	0.96
175.781250	-14.77	-28.67	0.93
177.246094	-14.62	-31.13	0.92
178.710938	-14.43	-34.21	0.98
180.175781	-14.29	-38.23	0.98
181.640625	-14.21	-42.54	0.99
183.105469	-14.19	-46.84	0.99
184.570313	-14.21	-50.82	1.00
186.035156	-14.24	-54.55	1.00
187.500000	-14.27	-58.26	0.99
188.964844	-14.33	-61.88	0.98
190.429688	-14.46	-64.99	0.85
191.894531	-14.62	-67.04	0.48
193.359375	-14.63	-68.76	0.46
194.824219	-14.48	-70.83	0.89
196.289063	-14.27	-73.83	0.96
197.753906	-14.09	-78.02	0.98
199.218750	-13.98	-83.40	0.96
200.683594	-13.96	-89.92	0.98
202.148438	-14.12	-95.04	0.91
203.613281	-14.47	-92.73	0.83
205.078125	-14.94	-79.97	0.96
206.542969	-15.47	-60.86	0.93
208.007813	-16.02	-41.77	0.99
209.472656	-16.52	-28.30	0.99
210.937500	-16.98	-20.62	0.98
212.402344	-17.41	-17.39	0.98
213.867188	-17.84	-16.76	0.98
215.332031	-18.26	-17.23	0.97
216.796875	-18.67	-17.65	0.97
218.261719	-19.04	-17.72	0.94
219.726563	-19.33	-17.78	0.95
221.191406	-19.56	-17.77	0.92
222.656250	-19.71	-17.43	0.91
224.121094	-19.76	-17.15	0.84
225.585938	-19.70	-16.84	0.36
227.050781	-19.54	-16.78	0.87
228.515625	-19.36	-17.69	0.98
229.980469	-19.18	-19.30	0.99
231.445313	-19.00	-21.36	0.98
232.910156	-18.82	-23.90	1.00
234.375000	-18.66	-27.02	0.97
235.839844	-18.54	-30.55	0.99
237.304688	-18.49	-34.53	0.97
238.769531	-18.50	-38.94	0.98
240.234375	-18.60	-43.08	0.96
241.699219	-18.78	-46.28	0.96
243.164063	-19.03	-47.81	0.92
244.628906	-19.32	-47.62	0.87
246.093750	-19.60	-46.43	0.57
247.558594	-19.79	-44.95	0.93
249.023438	-19.90	-43.00	0.68
250.488281	-19.95	-40.40	0.89
251.953125	-19.94	-38.21	0.89
253.417969	-19.87	-36.62	0.96
254.882813	-19.72	-35.62	0.97
256.347656	-19.55	-35.52	0.98
257.812500	-19.36	-36.37	0.96
259.277344	-19.20	-38.37	0.97
260.742188	-19.09	-41.24	0.96
262.207031	-19.03	-44.82	0.96
263.671875	-19.03	-48.02	0.95
265.136719	-19.10	-50.18	0.64
266.601563	-19.17	-51.83	0.38
268.066406	-19.15	-53.47	0.69
269.531250	-19.05	-55.80	0.97
270.996094	-18.97	-58.49	0.98
272.460938	-18.90	-61.23	0.92
273.925781	-18.85	-63.25	0.86
275.390625	-18.81	-63.48	0.88
276.855469	-18.77	-61.92	0.24
278.320313	-18.68	-60.05	0.87
279.785156	-18.54	-58.42	0.91
281.250000	-18.40	-51.96	0.98
282.714844	-18.25	-26.14	0.97
284.179688	-18.12	31.11	0.94
285.644531	-18.01	51.68	0.92
287.109375	-17.96	53.05	0.96
288.574219	-17.94	50.01	0.98
290.039063	-17.95	46.16	0.98
291.503906	-17.99	42.20	0.99
292.968750	-18.05	38.32	0.96
294.433594	-18.13	35.35	0.96
295.898438	-18.20	33.55	0.99
297.363281	-18.26	32.81	0.98
298.828125	-18.31	33.16	0.95
300.292969	-18.37	35.16	0.97
301.757813	-18.41	38.77	0.95
303.222656	-18.46	43.51	0.76
304.687500	-18.49	47.30	0.94
306.152344	-18.52	49.55	0.95
307.617188	-18.53	50.52	0.89
309.082031	-18.50	51.54	0.91
310.546875	-18.44	52.85	0.78
312.011719	-18.32	54.35	0.85
313.476563	-18.17	55.52	0.95
314.941406	-18.03	55.74	0.96
316.406250	-17.88	55.16	0.98
317.871094	-17.74	53.91	0.99
319.335938	-17.62	51.95	0.97
320.800781	-17.51	49.44	0.98
322.265625	-17.44	46.71	0.99
323.730469	-17.40	43.90	0.99
325.195313	-17.39	41.19	0.99
326.660156	-17.41	38.59	0.99
328.125000	-17.45	36.24	0.99
329.589844	-17.52	34.22	0.99
331.054688	-17.61	32.55	0.99
332.519531	-17.72	31.24	0.92
333.984375	-17.80	30.17	0.92
335.449219	-17.84	29.16	0.97
336.914063	-17.87	28.12	0.97
338.378906	-17.91	27.14	0.97
339.843750	-17.93	26.24	0.98
341.308594	-17.93	25.38	0.99
342.773438	-17.91	24.48	1.00
344.238281	-17.89	23.53	1.00
345.703125	-17.86	22.49	0.99
347.167969	-17.84	21.44	1.00
348.632813	-17.82	20.41	0.99
350.097656	-17.79	19.36	0.98
351.562500	-17.77	18.25	0.99
353.027344	-17.77	17.15	1.00
354.492188	-17.78	16.11	1.00
355.957031	-17.79	15.16	1.00
357.421875	-17.82	14.32	1.00
358.886719	-17.84	13.60	1.00
360.351563	-17.86	12.99	1.00
361.816406	-17.87	12.49	0.99
363.281250	-17.87	12.01	0.99
364.746094	-17.86	11.58	0.99
366.210938	-17.84	11.19	0.99
367.675781	-17.82	10.79	0.99
369.140625	-17.78	10.41	0.98
370.605469	-17.74	10.07	0.94
372.070313	-17.69	9.63	0.99
373.535156	-17.64	9.09	0.99
375.000000	-17.59	8.50	1.00
376.464844	-17.55	7.92	0.99
377.929688	-17.52	7.36	0.99
379.394531	-17.50	6.87	1.00
380.859375	-17.47	6.43	1.00
382.324219	-17.45	6.04	1.00
383.789063	-17.43	5.72	0.99
385.253906	-17.42	5.51	0.99
386.718750	-17.41	5.46	0.97
388.183594	-17.41	5.59	0.90
389.648438	-17.38	5.85	0.71
391.113281	-17.29	6.06	0.95
392.578125	-17.18	6.18	0.97
