	NT2000-90-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-7.09	33.87	0.99
35.156250	-7.13	30.79	1.00
36.621094	-7.16	28.82	1.00
38.085938	-7.28	26.28	1.00
39.550781	-7.54	24.89	1.00
41.015625	-7.79	24.37	1.00
42.480469	-7.86	26.12	1.00
43.945313	-7.63	27.54	1.00
45.410156	-7.38	27.75	1.00
46.875000	-7.28	28.04	1.00
48.339844	-7.26	27.85	1.00
49.804688	-7.09	27.71	1.00
51.269531	-6.89	27.14	1.00
52.734375	-6.65	26.13	1.00
54.199219	-6.55	25.19	1.00
55.664063	-6.56	23.68	1.00
57.128906	-6.50	22.42	1.00
58.593750	-6.40	20.91	1.00
60.058594	-6.29	19.03	1.00
61.523438	-6.25	17.73	1.00
62.988281	-6.28	16.76	1.00
64.453125	-6.37	16.11	1.00
65.917969	-6.46	15.70	1.00
67.382813	-6.57	15.43	1.00
68.847656	-6.73	15.22	0.99
70.312500	-6.83	15.44	0.99
71.777344	-6.89	15.17	1.00
73.242188	-6.94	15.16	1.00
74.707031	-7.00	15.42	1.00
76.171875	-7.07	16.06	1.00
77.636719	-7.06	17.24	1.00
79.101563	-7.04	18.02	1.00
80.566406	-6.98	18.37	0.99
82.031250	-6.92	18.97	1.00
83.496094	-6.86	19.89	1.00
84.960938	-6.74	20.66	1.00
86.425781	-6.53	20.89	1.00
87.890625	-6.23	20.86	0.99
89.355469	-6.01	20.63	1.00
90.820313	-5.85	20.32	1.00
92.285156	-5.76	19.57	1.00
93.750000	-5.68	19.05	1.00
95.214844	-5.64	18.98	1.00
96.679688	-5.60	19.22	1.00
98.144531	-5.56	19.47	1.00
99.609375	-5.49	19.43	1.00
101.074219	-5.41	19.36	1.00
102.539063	-5.34	19.04	1.00
104.003906	-5.29	18.71	1.00
105.468750	-5.28	18.27	1.00
106.933594	-5.30	17.73	1.00
108.398438	-5.35	17.55	1.00
109.863281	-5.36	17.48	1.00
111.328125	-5.31	17.44	1.00
112.792969	-5.25	16.99	1.00
114.257813	-5.22	16.26	0.99
115.722656	-5.28	15.64	1.00
117.187500	-5.34	15.29	1.00
118.652344	-5.37	15.09	1.00
120.117188	-5.39	14.99	1.00
121.582031	-5.38	14.85	1.00
123.046875	-5.36	14.53	1.00
124.511719	-5.36	14.02	1.00
125.976563	-5.38	13.43	1.00
127.441406	-5.44	12.87	1.00
128.906250	-5.54	12.63	1.00
130.371094	-5.63	12.83	1.00
131.835938	-5.71	13.44	1.00
133.300781	-5.74	14.29	1.00
134.765625	-5.71	15.35	1.00
136.230469	-5.61	16.38	1.00
137.695313	-5.48	17.06	1.00
139.160156	-5.35	17.46	1.00
140.625000	-5.22	17.68	1.00
142.089844	-5.07	17.78	1.00
143.554688	-4.90	17.62	1.00
145.019531	-4.75	17.15	1.00
146.484375	-4.63	16.38	1.00
147.949219	-4.55	15.50	1.00
149.414063	-4.48	14.58	1.00
150.878906	-4.43	13.64	1.00
152.343750	-4.41	12.76	1.00
153.808594	-4.40	11.93	1.00
155.273438	-4.38	11.00	1.00
156.738281	-4.36	9.91	1.00
158.203125	-4.38	8.54	0.99
159.667969	-4.44	7.35	1.00
161.132813	-4.52	6.42	1.00
162.597656	-4.61	5.59	1.00
164.062500	-4.73	4.80	1.00
165.527344	-4.87	4.10	1.00
166.992188	-5.02	3.64	1.00
168.457031	-5.17	3.43	1.00
169.921875	-5.30	3.34	1.00
171.386719	-5.43	3.32	1.00
172.851563	-5.55	3.37	1.00
174.316406	-5.65	3.49	1.00
175.781250	-5.75	3.67	1.00
177.246094	-5.85	3.91	1.00
178.710938	-5.94	4.18	1.00
180.175781	-6.01	4.49	1.00
181.640625	-6.08	4.84	1.00
183.105469	-6.15	5.27	1.00
184.570313	-6.19	5.75	1.00
186.035156	-6.22	6.26	1.00
187.500000	-6.21	6.73	1.00
188.964844	-6.19	7.04	1.00
190.429688	-6.16	7.14	1.00
191.894531	-6.15	7.04	1.00
193.359375	-6.17	6.93	1.00
194.824219	-6.20	6.91	1.00
196.289063	-6.25	6.97	1.00
197.753906	-6.30	7.07	1.00
199.218750	-6.35	7.26	1.00
200.683594	-6.42	7.57	1.00
202.148438	-6.49	7.92	0.99
203.613281	-6.56	8.40	0.99
205.078125	-6.61	8.88	0.99
206.542969	-6.61	9.23	0.99
208.007813	-6.63	9.35	1.00
209.472656	-6.67	9.32	0.99
210.937500	-6.75	9.24	0.99
212.402344	-6.86	9.39	0.99
213.867188	-6.97	9.80	1.00
215.332031	-7.05	10.35	1.00
216.796875	-7.13	10.96	1.00
218.261719	-7.19	11.60	1.00
219.726563	-7.24	12.28	1.00
221.191406	-7.27	13.00	1.00
222.656250	-7.29	13.75	1.00
224.121094	-7.29	14.47	1.00
225.585938	-7.29	15.23	1.00
227.050781	-7.28	16.03	1.00
228.515625	-7.26	16.85	1.00
229.980469	-7.22	17.66	1.00
231.445313	-7.18	18.46	1.00
232.910156	-7.13	19.21	1.00
234.375000	-7.07	19.93	1.00
235.839844	-7.00	20.63	1.00
237.304688	-6.93	21.32	1.00
238.769531	-6.83	22.05	0.99
240.234375	-6.71	22.78	0.99
241.699219	-6.56	23.42	0.99
243.164063	-6.39	23.85	1.00
244.628906	-6.22	24.05	1.00
246.093750	-6.06	24.04	1.00
247.558594	-5.92	23.87	1.00
249.023438	-5.80	23.60	1.00
250.488281	-5.69	23.28	1.00
251.953125	-5.61	22.95	1.00
253.417969	-5.53	22.66	1.00
254.882813	-5.47	22.40	1.00
256.347656	-5.41	22.16	1.00
257.812500	-5.36	21.95	1.00
259.277344	-5.31	21.76	1.00
260.742188	-5.25	21.59	1.00
262.207031	-5.19	21.41	1.00
263.671875	-5.14	21.21	1.00
265.136719	-5.08	20.99	1.00
266.601563	-5.03	20.78	1.00
268.066406	-4.97	20.60	1.00
269.531250	-4.91	20.43	1.00
270.996094	-4.85	20.26	1.00
272.460938	-4.77	20.02	0.99
273.925781	-4.68	19.67	1.00
275.390625	-4.61	19.21	1.00
276.855469	-4.55	18.72	1.00
278.320313	-4.50	18.18	1.00
279.785156	-4.46	17.64	1.00
281.250000	-4.43	17.10	1.00
282.714844	-4.40	16.57	1.00
284.179688	-4.38	16.04	1.00
285.644531	-4.36	15.49	1.00
287.109375	-4.34	14.91	1.00
288.574219	-4.34	14.31	1.00
290.039063	-4.35	13.69	1.00
291.503906	-4.37	13.06	1.00
292.968750	-4.40	12.47	1.00
294.433594	-4.44	11.91	1.00
295.898438	-4.49	11.39	1.00
297.363281	-4.55	10.91	1.00
298.828125	-4.61	10.47	1.00
300.292969	-4.67	10.06	1.00
301.757813	-4.73	9.69	1.00
303.222656	-4.80	9.35	1.00
304.687500	-4.87	9.06	1.00
306.152344	-4.94	8.82	1.00
307.617188	-5.01	8.61	1.00
309.082031	-5.09	8.43	1.00
310.546875	-5.16	8.25	1.00
312.011719	-5.24	8.14	1.00
313.476563	-5.32	8.12	0.99
314.941406	-5.39	8.16	1.00
316.406250	-5.45	8.24	1.00
317.871094	-5.50	8.31	1.00
319.335938	-5.55	8.37	1.00
320.800781	-5.59	8.40	1.00
322.265625	-5.64	8.43	1.00
323.730469	-5.68	8.45	1.00
325.195313	-5.73	8.48	1.00
326.660156	-5.78	8.53	1.00
328.125000	-5.83	8.62	1.00
329.589844	-5.88	8.74	1.00
331.054688	-5.93	8.90	1.00
332.519531	-5.97	9.07	1.00
333.984375	-6.01	9.23	1.00
335.449219	-6.04	9.38	1.00
336.914063	-6.08	9.53	1.00
338.378906	-6.11	9.69	1.00
339.843750	-6.15	9.86	1.00
341.308594	-6.18	10.02	1.00
342.773438	-6.21	10.16	1.00
344.238281	-6.24	10.29	1.00
345.703125	-6.27	10.42	1.00
347.167969	-6.31	10.56	1.00
348.632813	-6.35	10.72	1.00
350.097656	-6.39	10.90	1.00
351.562500	-6.43	11.12	1.00
353.027344	-6.47	11.37	1.00
354.492188	-6.51	11.65	1.00
355.957031	-6.55	11.96	1.00
357.421875	-6.58	12.29	1.00
358.886719	-6.61	12.63	1.00
360.351563	-6.63	12.99	1.00
361.816406	-6.65	13.36	1.00
363.281250	-6.67	13.75	1.00
364.746094	-6.68	14.15	1.00
366.210938	-6.69	14.55	1.00
367.675781	-6.68	14.94	1.00
369.140625	-6.67	15.31	1.00
370.605469	-6.66	15.66	1.00
372.070313	-6.64	15.96	1.00
373.535156	-6.62	16.22	1.00
375.000000	-6.61	16.43	1.00
376.464844	-6.59	16.62	1.00
377.929688	-6.58	16.78	1.00
379.394531	-6.58	16.94	1.00
380.859375	-6.57	17.10	1.00
382.324219	-6.57	17.26	1.00
383.789063	-6.57	17.45	1.00
385.253906	-6.57	17.66	1.00
386.718750	-6.57	17.88	1.00
388.183594	-6.56	18.09	1.00
389.648438	-6.56	18.30	1.00
391.113281	-6.54	18.49	1.00
392.578125	-6.53	18.68	1.00
394.042969	-6.52	18.88	1.00
395.507813	-6.50	19.06	1.00
396.972656	-6.49	19.20	1.00
398.437500	-6.47	19.30	1.00
399.902344	-6.46	19.39	1.00
401.367188	-6.45	19.46	1.00
402.832031	-6.44	19.53	1.00
404.296875	-6.44	19.61	1.00
405.761719	-6.44	19.71	1.00
